================================================================================
NIKKE Red Ash (Part 2) - Complete Japanese Transcript
Video ID: 6AwG4cfTbk4
Duration: 1:12:14 (4334 seconds)
================================================================================

[00:00:20] 大量のラプチャー部隊がアークの入り口に
[00:03:47] 状態で長時間意識を保っていたケースは
[00:03:50] 非常に珍しいのですね
[00:03:55] いいえ今のところレッドフードだけ
[00:03:59] ですどのケースを調べてもレッドフード
[00:04:03] ほどのを持ったはいませんでした死人扱い
[00:04:06] するのですねまだ生きているかもしれない
[00:04:11] ですよそうだといいのですがあの時すでに
[00:04:15] 新色末期でした
[00:04:18] からレッドフードがいなくなる前に1つ
[00:04:24] 約束をしていました必ず直すとそれなのに
[00:04:28] レッドフードが立ち去る時私は引き止め
[00:04:30] られませんでした
[00:04:33] 直して見せると堂々と言い切ることができ
[00:04:37] ませんでしたあの時はレッドフードを
[00:04:42] 引き止める口実で約束しただけでしたから
[00:04:46] きっと一生後悔するでしょうです
[00:04:52] から私はさらに努力します今すぐ近日中と
[00:04:56] は言えないでしょうがいつか必ず新色を
[00:05:00] 克服する方法を見つけてみせますそうです
[00:05:05] か話が出たついでに聞きますがドロシーは
[00:05:09] どうですかレッドフードと仲が良かったと
[00:05:14] は言えませんがそれでも私です
[00:05:18] か打ってあげればよかったそう後悔してい
[00:05:22] ます1人で苦しみながら死ぬことを選ぶと
[00:05:28] 分かっていたなら私が泣きながらでも振っ
[00:05:31] てあげればよかった後悔しています
[00:05:32] よ
[00:05:34] 毎日
[00:05:36] 毎日
[00:05:40] やっぱりドロシーは優しいです
[00:05:44] ねスノー
[00:05:46] ねスノー
[00:05:50] ホワイトこんにちは来たついでに見て
[00:05:53] もらえませんかランスという武器を
[00:05:56] モチーフにした0距離射撃に最適化した
[00:06:00] 武器です遠くからでもてますがとなったら
[00:06:04] 投げたりついたりできます見事だな一度
[00:06:08] 使ってみませんかグレンならうまく扱え
[00:06:13] そうですが結構だ私は今の獲物で満足して
[00:06:18] いるからねそうですか残念ですね1時間後
[00:06:23] に出撃だそうだあはいわかりました希望は
[00:06:28] どれくらいですかさ大量だということと
[00:06:30] 巨大ラプチャー2期いるということしか
[00:06:36] 聞いていないなそうですかじゃあこれと
[00:06:42] ていこう最近は体感ライフルを全く使って
[00:06:45] いないようだ
[00:06:48] な思い出すからかい
[00:06:52] はいレッドフードの武器と相性がいい装備
[00:06:56] でしたからまだ憎いのかい
[00:06:59] はいもうそろそろ
[00:07:03] 許してやったらどうだ許したからって何か
[00:07:08] 変わりますか死んだのにそれに私は何が
[00:07:12] あっても許しません仲間を捨てていった人
[00:07:13] だ
[00:07:16] から行きましょう
[00:07:30] しようああ
[00:07:37] よ壊れちまった
[00:07:42] なみんなボロボロか体もボロボロカセット
[00:07:44] プレイヤーも
[00:07:54] ボロボロヒッチハイクは諦めるかま今は
[00:07:58] 避難だのなんだので忙しいだろうしなだ
[00:08:03] からって歩くには遠すぎるよな途中でどう
[00:08:17] なこんなところで何をされているのですか
[00:08:21] なこんなところで何をされているのですか
[00:08:25] ヒッチ俳句中だよ目的地はどちらですか
[00:08:28] この車どこまで行くん
[00:08:29] だ
[00:08:30] アークの入口まで行きますおちょうど
[00:08:33] アークの入口まで行きますおちょうど
[00:08:37] 良かったちょっと乗せてくれよ抽選券は
[00:08:40] おちですかアークには抽選券がないと入れ
[00:08:43] ませんよああ違うんだアークに行きたいん
[00:08:47] じゃなくてその途中に用事があるんだよ
[00:08:49] そこで降りるから乗せてくれない
[00:08:51] か分かりましたあそれ
[00:08:55] か分かりましたあそれ
[00:08:59] から強めの鎮痛剤を持ってないか
[00:09:00] けよ
[00:09:06] の状況終了ラプチャーは全滅しましたご
[00:09:11] の状況終了ラプチャーは全滅しましたご
[00:09:16] 苦労だったすぐに戻ろうやは出なかったか
[00:09:19] シンデレラのことですか
[00:09:22] ああ早く雪辱を果たしたくて体がうずうず
[00:09:28] しているよ勝つ自信があるのですかさあね
[00:09:31] それでもでぶつかればどうにかなるだろう
[00:09:35] シンデレラって言葉はもう禁止正式な
[00:09:39] コードネームがついたのアナオールだって
[00:09:40] アキオール今はどこかに消えたのかい
[00:09:44] アキオール今はどこかに消えたのかい
[00:09:45] まさか防衛線を中心に作戦を実行してる
[00:09:49] まさか防衛線を中心に作戦を実行してる
[00:09:52] から会えないだけでアキオールの活躍は
[00:09:57] 大きな話題ね出現した場所は全部消まとも
[00:10:00] に抵抗もできないらしい
[00:10:04] それから必ず1人人間だろうとだろうと
[00:10:09] 生かしておくんだってまるで自分の実績を
[00:10:12] みんなに知らせろとでも言わんばかりに
[00:10:15] シンデレラはどうしてこんなことに
[00:10:18] フェアリーテールモデルの第2世代として
[00:10:22] 人類の味方になって戦うはずだったのに前
[00:10:25] にエリシオンの研究所で見たでしょ
[00:10:29] ラプチャーとが融合してた
[00:10:33] あれが成功してたってことありえないほど
[00:10:38] 体を改造して新色で人類と敵対させるの
[00:10:43] このまま放っておくのかい当然のよアキ
[00:10:46] オールは象徴になってるものラプチャーに
[00:10:48] とっては勝利の
[00:10:59] 象徴私たちのアンチ勢って感じね本当なら
[00:11:03] 今すぐにでも倒しに行きたいけど私たちは
[00:11:07] 忙しいでしょうそれにそのうち家でも戦う
[00:11:11] ことになるオールがアークの入り口を襲撃
[00:11:17] するのはもう時間の問題だもの対抗作
[00:11:22] はリリスとアオールが1対1の状況を作る
[00:11:27] 今のところそれが一番確実な方だ
[00:11:30] やっぱりちゃんしか相手できないってこと
[00:11:33] ですねそう落ち込む
[00:11:38] な奴は1体多数の戦いに特化しているんだ
[00:11:41] 落ち込んでいるのではなくてただ単純に
[00:11:43] リリスお姉ちゃんがすごいって思っただけ
[00:11:45] です
[00:11:47] です
[00:11:49] ありがとうそれは
[00:11:52] ありがとうそれは
[00:11:56] つまり以前に合見えた時は私たちがいた
[00:12:00] から奴を倒せなかったということかい
[00:12:04] うんみんなを守らなきゃいけなかったから
[00:12:08] 正直だねあなたたちにはもっと大事な仕事
[00:12:11] があるものここで死なせるわけにはいか
[00:12:16] ないでしょもっと大事な仕事
[00:12:19] んずっと大事な
[00:12:21] こと
[00:12:29] くれ
[00:12:35] あごめん
[00:12:36] なさい1分だけこうさせて
[00:12:39] なさい1分だけこうさせて
[00:12:44] くださいすごく重いでしょ羽のようだ
[00:12:58] なそろそろ限界みたいですいや大丈夫だ私
[00:12:59] もそういます
[00:13:01] が
[00:13:11] でそんな顔しないでください私はあの子
[00:13:13] たちがきちんと戦えるようになるまで
[00:13:17] 見届けます大切な仲間たちを置いてはいけ
[00:13:19] ません
[00:13:29] ば
[00:13:35] なあ親切なおっさんオスワルドですそうか
[00:13:40] なあ親切なおっさんオスワルドですそうか
[00:13:41] オス
[00:13:44] ワルドこんな状況でヒッチハイクをしてる
[00:13:47] やつをあっさり乗せちまうなんて警戒心が
[00:13:51] なさすぎじゃないかそれはこちらのセリフ
[00:13:52] です
[00:13:56] よこんな状況でヒッチハイクなんて怖いも
[00:14:10] たらこういう目に会うかもしれない心に
[00:14:17] ましょうもし私の様子がおかしいと思っ
[00:14:22] たらすぐに打て声が変わったとか目が
[00:14:23] 真っ赤になったと
[00:14:27] か2の自決用拳銃だからお前でも打てる
[00:14:31] はずだ恐ろしいことを言いますねもっと
[00:14:35] 恐ろしいものを見るはめになる前に打つっ
[00:14:44] たそれでどの辺りで下ろしましょうか
[00:14:46] レッドフド
[00:14:53] お知ってたんだなはいお前は誰だなぜ私を
[00:14:57] 知ってる1人で軍者を運転しアークに
[00:14:59] 向かっている人
[00:15:05] 人類連合軍の偉いさんか今は中央政府です
[00:15:10] ね新色の治療薬はまだできてないのか中央
[00:15:13] 政府のお偉いさんなら知ってるだろう
[00:15:16] vtcとラプンツル様が研究を続けてい
[00:15:19] ますがこれといった方法はまだ見つかって
[00:15:22] いません新色初期の場合ならコールド
[00:15:23] スリープで止められるという程度です初期
[00:15:26] スリープで止められるという程度です初期
[00:15:30] ってどれくらいだ3時間程度と推定されて
[00:15:32] い
[00:15:36] ます夢のまた夢だ
[00:15:41] な生きていたんですね2ヶ月前に侵食の
[00:15:44] 影響で処分されたと報告を受けましたが
[00:15:48] 得意退出なんだろうなまだ行かれてないっ
[00:15:53] てことはそのようですね報告する機か考え
[00:15:55] 中です
[00:15:59] あいくつか質問に答えてもらえるなら報告
[00:16:03] しないでおきますいいぜその代わり急に寝
[00:16:07] ちまうかもしれねえからそこは勘弁なはい
[00:16:08] なぜゴッテス部隊に戻らなかったのですか
[00:16:10] なぜゴッテス部隊に戻らなかったのですか
[00:16:15] 2ヶ月間も歩いてる途中でぶっ倒れたんだ
[00:16:19] 目覚めたのは3日前だったかなでは今から
[00:16:21] 帰るつもりで
[00:16:26] いや今の私は引き金もまともに引けねえ
[00:16:30] 引こうとすると新がなまうんだひどくなる
[00:16:34] というのは体が痛むのですか
[00:16:38] いや人を打ちたくなるん
[00:16:43] だだから戻れね喜んで迎えてくれると思い
[00:16:47] ますが私はあいつらを捨ててきたんだ今更
[00:16:58] なぜ怖いんだよあいつらが
[00:16:59] 幸福を恐れているのです
[00:17:01] 幸福を恐れているのです
[00:17:04] かよほどひどいことを言ったのでしょう
[00:17:07] ねそういうことじゃなく
[00:17:12] てあいつらが悲しむ姿を見たくないんだ
[00:17:17] 戻って隣にいたところで私は殺される
[00:17:18] あいつら
[00:17:23] にそれが怖いんだだから1人で死ぬ道を
[00:17:28] 選んだと苦しむのは私だけでいいそうでし
[00:17:35] か疲れ
[00:17:47] 素晴らしいデビュー戦は未だに忘れられ
[00:17:51] ません全メンバーが揃って初めて向かった
[00:17:56] 作戦は素晴らしかったです急に何の話だゴ
[00:17:58] 部隊と実際に会うのは簡単なことではあり
[00:18:02] ませんので熱狂的ファンの独り言だとお
[00:18:04] 考え
[00:18:09] くださいま好きにしなではデビュー戦の話
[00:18:13] に戻りましょう舞台は奇襲攻撃を仕掛け
[00:18:16] 大型ラプチャー4期を1息で撃破しました
[00:18:20] 何をしても勝てなかったラプチャーを何
[00:18:23] 食わぬ顔で全滅させたのですラプチャーに
[00:18:27] 勝てるという希望を抱かせてくれました
[00:18:32] それから民家防衛戦もうここで誰も死なせ
[00:18:45] た体調が言ってたよな単身で要塞1つを消
[00:18:47] 化させた
[00:18:50] リリス森林戦でラプチャーたちを翻弄し
[00:18:53] 一掃した
[00:19:00] ドシすごかったな民を守りながらたった
[00:19:04] 1人の支者も出さずに脱出した
[00:19:06] そうグレン
[00:19:13] も最高だったよそれからあれ地平線の白い
[00:19:17] 死神あれが成功するとは思いませんでした
[00:19:22] スノーはやればできるんだよ8kmでし
[00:19:27] たっけ狙撃戦を続けた距離
[00:19:32] 多分なその時の気分はどうでした大した
[00:19:36] ことはなかったぞあれを倒さない
[00:19:39] とみんなが死にそうだったん
[00:19:44] だやはりゴッデスは素晴らしいですそれ
[00:19:47] からスターライトブリッジで
[00:20:07] なんだどこかで戦闘が起きたようですね
[00:20:11] 行ってみよう行ってどうするんですか助け
[00:20:13] ないとどうやっ
[00:20:16] てさあ
[00:20:19] なそれじゃ困ります
[00:20:25] よ行ってくれ
[00:20:30] 早くこの車には最低限の自衛用並走しか
[00:20:33] ありません行ったところで無駄にするだけ
[00:20:36] ですよいい
[00:20:45] から
[00:20:47] から
[00:20:51] そんな移動中の避難民の集団だったの
[00:20:54] でしょう20人程度のよう
[00:20:56] です全員死亡ていますねまだ生きてる奴が
[00:21:00] です全員死亡ていますねまだ生きてる奴が
[00:21:05] いるかもしれねわかりませんいるかどうか
[00:21:09] この場を離れます我々だけであれほどの数
[00:21:11] のラプチャーを相手にはできませ
[00:21:16] んあれぐらい私1人で十分だ今は行けませ
[00:21:18] ん行け
[00:21:21] るって銃も撃てないのでしょうどうする
[00:21:22] つもりです
[00:21:24] かねそれでは困り
[00:21:27] かねそれでは困り
[00:21:31] レッド
[00:21:40] フード
[00:21:43] フード
[00:21:51] はうまくいく
[00:21:55] ととっととやっとけばよかっ
[00:22:18] あにニケだニケがラプチャーをすて倒した
[00:22:25] んだででも具合が悪そうよ霊の新色って
[00:22:28] やつじゃないか人を襲うっていう
[00:22:36] あのどどうしよう待てよあの2見たこと
[00:22:49] よお姉ちゃん大丈夫
[00:22:50] 近づく
[00:22:52] な
[00:22:56] 危ないお姉ちゃんゴッテス
[00:23:02] でしょ私テレビで見たことあるよ赤い
[00:23:03] お姉ちゃんだよ
[00:23:11] ねそうだけどよちょっと離れてくれない
[00:23:12] か
[00:23:18] ゴッデスそうだゴッデスだ思い出した
[00:23:24] 女神お姉ちゃん
[00:23:29] 苦しいの変なのゴッテスは無敵なの
[00:23:41] に
[00:23:43] に
[00:23:47] じー演技うまいだろう
[00:23:50] あお姉ちゃん本当に苦しいのかと思っ
[00:23:52] ちゃっ
[00:23:56] たゴッデスは演技も上手なの
[00:23:59] さ新
[00:24:08] たデッドフードレッドフードですよね
[00:24:11] まさかここでゴッデスに会える
[00:24:14] なんてありがとうございますおかげで
[00:24:18] 助かりましたこの五音をどう返せばいいの
[00:24:19] か
[00:24:22] ごめんもっと早く来ればよかった
[00:24:23] ないいえこれだけでも生き残れたんです
[00:24:26] ないいえこれだけでも生き残れたんです
[00:24:32] から実はみんなもう諦めてたんですよでも
[00:24:35] 急にゴッテスが来てくれるなんてやっぱり
[00:24:37] 勝利の女神
[00:24:43] です他の皆さんはどちらで私ドロシー様の
[00:24:44] ファンなんです
[00:24:49] が僕はラプンツェル様のファンです
[00:24:53] あっと用事があってな今は私1人で動いて
[00:24:56] んだそうでした
[00:25:02] かずえくさい大ファンだって僕も
[00:25:04] です分かった
[00:25:09] よ中央政府所属のオスカルと申します皆
[00:25:13] さんどちらに向かわれていたのですかあ
[00:25:17] はいアークに向かっていました抽選権はお
[00:25:21] 持ちですかはいもちろんですみんな持って
[00:25:23] ますよ
[00:25:26] あ少々お待ち
[00:25:30] ください何してるんだこの方たちには
[00:25:35] 申し訳ないですが抽選券を回収してます
[00:25:43] からアークに行くなら私の車で行き
[00:25:47] ましょう私の目的地もアークですから少し
[00:25:50] 狭いでしょうが歩いていくよりは楽なはず
[00:25:51] です
[00:25:55] おおありがとうございます本当に
[00:25:56] ありがとうござい
[00:26:01] おちび
[00:26:04] ちゃん名前は
[00:26:07] フリージア
[00:26:12] フリージアパパとママうん2人とも死ん
[00:26:16] じゃった病気になっちゃってこの間会い
[00:26:22] たいだろうな会いたいよでも大丈夫お別れ
[00:26:23] の
[00:26:28] 挨拶ちゃんとしたからパパもママもね
[00:26:33] ずっと苦しんでたのだからたくさんお話し
[00:26:38] したよ良かったこと悪かったこと全部お
[00:26:42] 話ししたよだから大丈夫
[00:26:46] いっぱいおしりしたからパパとママも
[00:26:53] 大丈夫だよそか私ね将来ゴッテスみたいな
[00:26:55] に
[00:26:59] なるゴッテスを見てると元気が出るのパパ
[00:27:04] とママもそうだって言ってただから私も
[00:27:08] たいそっ
[00:27:13] かでも入になるのはよく考えな1度なっ
[00:27:14] たら戻れないから嫌だ2になる
[00:27:18] たら戻れないから嫌だ2になる
[00:27:26] もんやれやれねサインしてサインうんここ
[00:27:27] に
[00:27:29] サインなんてしたことない
[00:27:31] サインなんてしたことない
[00:27:35] ぞでもし
[00:27:36] て
[00:27:42] ほらお姉ちゃんの字すごく下手
[00:27:45] へえじゃあなんか書いてくれよどんだけ
[00:27:48] うまいのか見せてもらおうじゃないかそれ
[00:27:54] にな川の上に字を描くのって難しいんだ
[00:28:04] あたく行きましょういえ
[00:28:09] よ私はここで降りる目的地はここではない
[00:28:20] よ荷物を捨てればまだ十分動きます
[00:28:22] ああ鋭い
[00:28:24] なでも
[00:28:28] いい荷物アークに運んでんだろ
[00:28:35] か私が乗ったらみんな乗れ
[00:28:40] ねえ言ってくれこれ
[00:28:45] をうん私のじゃんなんでお前が持ってんだ
[00:28:48] 大事層に抱えながら眠っていらしたので
[00:28:50] 修理しておきまし
[00:29:04] もご自身に使うことがないよう祈ってい
[00:29:05] ます
[00:29:08] あああちらの電波灯が見えます
[00:29:13] かその下に何台かバイクがあるはずです2
[00:29:17] でも乗ることができますいいよあと
[00:29:21] ちょっとだから歩ける帰りに必要になる
[00:29:26] でしょでは失礼し
[00:29:28] ます
[00:29:32] 人類のために戦うゴッテス部隊に感謝
[00:29:34] を
[00:29:51] なスノー
[00:30:04] ちょっとスノーホワイトあリリス
[00:30:10] お姉ちゃんいつ来たんですか10分前にえ
[00:30:16] 本当ですかすみません集中してて冗談今来
[00:30:21] たばっかりよまた武器を作ってるのはい
[00:30:26] 今度は傑作ができそうです誰が使うの
[00:30:33] うまだ決めてませんどれどれ超大光形
[00:30:37] ライフルレッドフードの武器
[00:30:43] ね少し改良したんです軽量化して射程距離
[00:30:47] を伸ばしました反動は少し大きいですが
[00:30:50] 大尻に逆噴射装置を応用してみようかと
[00:30:53] シミュレーションではまだ射撃時の反動が
[00:30:58] ひどいですがもう少し整えればそうです
[00:31:05] すごいそれからセブンスドワーフの機能を
[00:31:10] 1つに合体スノーホワイト
[00:31:15] 最近ずっと武器を作っているそうねはい
[00:31:20] どうして私リリスお姉ちゃんみたいに強く
[00:31:24] なりたいんですお姉ちゃんくらい強ければ
[00:31:28] 心も強くなるはずですからで強くなりたい
[00:31:32] のそれは強い方がいいから
[00:31:38] ですそうねそれはそうでも理由がある方が
[00:31:39] もっと強くなれるのそうじゃないと限界が
[00:31:42] もっと強くなれるのそうじゃないと限界が
[00:31:43] はっきり見えちゃうスノーホワイトにその
[00:31:46] はっきり見えちゃうスノーホワイトにその
[00:31:56] あるあります教えて強くなれば誰も失わ
[00:32:00] ないからです私が強ければアキオールにも
[00:32:04] 負けませんでしたそうすればレッドフード
[00:32:07] があんな風に出ていくこともなかった
[00:32:10] そもそもレッドフードが侵食されることも
[00:32:14] なかったはずですレッドフードが私を
[00:32:18] 捨てることもなかったレッドフードのこと
[00:32:23] 恨んでる恨んでますよ友達じゃなかったの
[00:32:24] 友達でした今は違います
[00:32:27] 友達でした今は違います
[00:32:31] レッドフードは私を捨てたから捨てられ
[00:32:34] たって思う
[00:32:39] のリリスお姉ちゃんはどう思っていますか
[00:32:41] かわいそう
[00:32:44] かわいそうレッドフードか
[00:32:49] うんうんあなたたち2人ともレッドフード
[00:32:52] の決めたことが理解できないわけじゃない
[00:32:56] の体がどんどん動かなくなっているのは
[00:32:59] 自分が誰よりも分かっていたはずだし最後
[00:33:03] にどうなるかも分かってたはず最悪なのは
[00:33:06] 最後を誰かの手に委ねなければいけないっ
[00:33:11] てこと他の誰でもないあなたたちの手に
[00:33:15] そんな状況でできる選択って何があったか
[00:33:19] な逃げるみたいに別れるのが最善の方法で
[00:33:23] はなかったはずとは思うけど誰も傷つか
[00:33:27] ない方の1つではあるものそしてをただ
[00:33:30] 見送ったあなたたちのことも理解できない
[00:33:34] わけじゃないできることはなかったし
[00:33:37] 終わりも近づいてたからだからっ
[00:33:41] て恨み言をぶつけるのはひどかったんじゃ
[00:33:43] ない
[00:33:45] かしらそれが
[00:33:47] かわいそうもう
[00:33:51] 少しいい別れ方があったんじゃないかって
[00:33:54] こと別れは決まって
[00:33:58] た避けようがないで
[00:34:02] ももう少しいい方法があったはずどうすれ
[00:34:08] ばよかったんでしょうかさあね私にも
[00:34:12] さっぱり今からでも遅くないからよく考え
[00:34:17] てみてレッドフードはもう死んだでしょ次
[00:34:19] があるでしょ
[00:34:24] おどうであれ別れの時は来るのレッド
[00:34:36] ねリリスお姉ちゃん死ぬんですか急に何を
[00:34:42] 言い出すのどうして私が違いますよね違う
[00:34:44] よわかりまし
[00:34:47] たスノー
[00:34:49] たスノー
[00:34:54] ホワイトレッドフードに会いたいです
[00:34:57] あんなあんなことを言うべじゃなかったの
[00:35:03] にすごく後悔してます大丈夫
[00:35:07] レッドフードも全部分かってるはず
[00:35:12] よ上層部から緊急の呼び出しですか
[00:35:17] よ上層部から緊急の呼び出しですか
[00:35:23] ああリリスと指揮官だけうん四元のある人
[00:35:27] だけタイミングが悪すぎますね防衛線で
[00:35:31] 忙しい時に今が唯一のチャンスなの
[00:35:34] スキャンの結果からして3日程度は
[00:35:37] ラプチャーの襲撃がなくなるはず距離が
[00:35:42] 結構離れてるの途中に障害物も多いし長く
[00:35:46] はかからないはずだ何か状況が変わったの
[00:35:50] ですかよくわからないがその可能性が高い
[00:35:55] すぐ戻ってくるからあんまり心配しないで
[00:36:01] えっとドシはい私と指揮官がいない間は
[00:36:13] うんできるでしょ私はできますが他の皆
[00:36:15] さんが私の言うことを聞くかどうかは
[00:36:20] 分かりません例えば剣使いのどなたかとか
[00:36:24] 私より弱いものの言うことは聞けないね
[00:36:29] でしょ体をがだと考えているようなもの
[00:36:36] ならなおさだだそうですよグレン本気さて
[00:36:40] ねドロシーの言うことを聞いてそしたら
[00:36:44] 今度1回戦ってあげるからうむ悪くない
[00:36:45] 取引だ
[00:36:46] 取引だ
[00:36:53] ああ心配だな信じてるからねみんなま
[00:36:57] 大したことは起きないと思うけどすぐに
[00:37:01] 帰ってくるんですよねうん長くかかりそう
[00:37:06] だったら逃げちゃうからそれはやめて
[00:37:12] ね
[00:37:17] 少し怖いですね大きな問題はないはずだ
[00:37:20] あとどれくらいでしょう
[00:37:27] か私の体おそらく200年程度かあら
[00:37:31] 随分長生きできますね短期決戦を目標とし
[00:37:33] て作られたボディだ
[00:37:36] から寿命が長いとは思っていませんでした
[00:37:38] が
[00:37:45] とレッドフードの気持ち
[00:37:50] が分かる気がします
[00:37:55] リリス弱を吐かないでくれそうですね
[00:37:58] ました愚痴だと思って
[00:38:01] [拍手]
[00:38:13] くださいおおお前らがあのゴッですか私は
[00:38:18] くださいおおお前らがあのゴッですか私は
[00:38:21] レッドフードよろしくな昔の歌が好きな
[00:38:25] やつはいないか好きじゃないってじゃあ
[00:38:29] こっち来なよ聞せてやるから聞いたらすぐ
[00:38:30] はまる
[00:38:31] ぞよお嬢様雨も降ってねえのになんで傘
[00:38:36] ぞよお嬢様雨も降ってねえのになんで傘
[00:38:37] なんてさしてんだお嬢様と呼ぶなと言い
[00:38:40] なんてさしてんだお嬢様と呼ぶなと言い
[00:38:44] ましたよねそれにこれは尼ではなく日傘
[00:38:50] です日傘なんだそれ日差しを遮るための傘
[00:38:51] です
[00:38:52] ねじゃね
[00:38:55] か
[00:38:58] か
[00:39:02] え日傘ですからじゃあそいつちょっと貸し
[00:39:06] てくれよ寝たいのに眩しくて眠れないんだ
[00:39:09] 寝る時に使うものではありませんから
[00:39:17] ます
[00:39:20] 結局貸してくれなかった
[00:39:23] な
[00:39:32] お前さなんでいつもツンツンしてんの
[00:39:35] そんなんじゃ周りに誰もいなくなるぞ構わ
[00:39:41] ぬさ神経は常にとませることでさらに鋭く
[00:39:45] なるのだ私は常に鋭くなけれ
[00:39:49] ばそうしてこそ負けであろうさに収めれば
[00:39:50] 歯は錆びないって言うだろ知らないのかだ
[00:39:53] 歯は錆びないって言うだろ知らないのかだ
[00:39:54] からさお前もちょっとは収まれよそんなん
[00:39:58] からさお前もちょっとは収まれよそんなん
[00:40:04] じゃ来たやつ全部切っちまうだろ剣をさや
[00:40:09] になるほど抜刀術かいやそういうことじゃ
[00:40:19] かそれでグレンの抜刀術の相手をしてたら
[00:40:23] レッドフードが首を怪我したっていやあれ
[00:40:25] は早かっ
[00:40:30] たたのだへえ
[00:40:34] すごいほらすごいってさそう褒められると
[00:40:38] 照れてしまうなちょっと頭を冷やし
[00:40:54] なさいやったよ
[00:40:57] なさいやったよ
[00:41:00] お分かりですかレッドフード本は糧なの
[00:41:02] です心の
[00:41:07] 糧もちろん音楽も素敵な心の糧ですが変色
[00:41:14] はけません本本なら私もよく読むよえそう
[00:41:15] だったのです
[00:41:20] か聖女様も見るえ見せて
[00:41:25] くださいあらとても鮮やかな
[00:41:27] 表紙
[00:41:30] ビタなんてなんだいきなり
[00:41:32] 申し訳ありません
[00:41:34] ついとにかく
[00:41:39] こんなみだなものを本とは呼べませんいや
[00:41:43] 本には違いないだろう心の糧にはならない
[00:41:47] でしょう何言ってんだ食うって意味じゃ話
[00:41:53] 同じすみません
[00:42:02] なああの時
[00:42:06] から分かってたんだ聖女様の
[00:42:26] 本性
[00:42:37] スノごめんなお前がスノー
[00:42:41] スノごめんなお前がスノー
[00:42:45] ホワイトはいそそうです
[00:42:48] けど私はレッドフードよろしく
[00:42:49] なよろしくお願いし
[00:42:51] なよろしくお願いし
[00:42:53] ますなんでそんなどしてんだ
[00:42:57] ますなんでそんなどしてんだ
[00:43:03] はい私ですかそれはゴッデスはみんな
[00:43:08] 素晴らしい方たちで私は特に得意なことも
[00:43:14] ないので何言ってんだよみんな同じだって
[00:43:18] なんでそんなことでビビってんだよほら私
[00:43:22] がすごそうに見えるか
[00:43:26] えっと別に正直だな
[00:43:27] とにかく私みたいなやつもいいんだから
[00:43:30] とにかく私みたいなやつもいいんだから
[00:43:34] お前もおどおどすんなよお前あれが得意な
[00:43:39] んだろプラモデルの組み立て武器の制作
[00:43:44] ですまあ大体同じようなものじゃん
[00:43:49] かでさ私の武器を作ってくれよ最高なやつ
[00:43:51] で頼むぞ
[00:43:57] えっとはい希望のモデルはありますか
[00:44:03] ドリルドリルですかうんドリルなぜ
