# NIKKE 第24章 转录
视频ID: xliJaykqwkA
[00:16:20] 正面から挑めば逃げねえと思ったんだ変
[00:16:24] ですねドバはそんなタイプじゃないの
[00:16:27] にんで買うんじゃないですか急にどうし
[00:16:30] ちゃったんでしょうさあな頭おかしいん
[00:16:34] じゃ
[00:16:36] [笑い]
[00:16:38] ねでも一気に攻め込まれたら勝てねえよ
[00:16:43] あっちはリミットが完全に外れてるが俺は
[00:16:46] 違うんだマスタングの兄貴に解除を頼ん
[00:16:50] だらどうですかマスタングも忙しいだろう
[00:16:54] からなそんなことで連絡するのは悪くてよ
[00:16:59] それに真の驚愕は仲間を信じるもんだお
[00:17:04] 互いの場所で頑張る仲間をな最善の結果を
[00:17:10] 信じて待ってんだ俺が今マスタングに連絡
[00:17:14] してリミット解除してくださいなんて言っ
[00:17:18] たらめちゃくちゃダサいだろ姉貴知って
[00:17:22] ますかアークで最初に死ぬのはいつだって
[00:17:26] かっこつけた奴らだってこと
[00:17:29] 演技でもないこと言う
[00:17:32] なでも俺の予想ですけどそろそろドバも
[00:17:37] 爆発しそうじゃないですか逃げた方がいい
[00:17:40] と思いますよいやまだ大丈夫なはずだ今
[00:17:45] 一斉に飛びかかるなんてドバのプライドが
[00:17:49] この愚か者何してるんだ中央政府の2が
[00:17:55] 裏通りのチンピラに勝てないはずないだろ
[00:17:58] その裏通りのちんぴらの機嫌を損ねちまう
[00:18:01] から暴言はやめた方がいい
[00:18:06] ぜ援軍はまだか何連絡がえ
[00:18:12] たふざけたことち仕方がない全員突撃銃の
[00:18:21] 使用を許可するなあちょっと危ないんじゃ
[00:18:25] ないすかおいお前もこっちに来
[00:18:29] 手伝え俺は昨日腰のヘルニアの手術をして
[00:18:35] ふざけんな早く手伝えよ言ったじゃないす
[00:18:40] か俺はインテリだから喧嘩は合わないっ
[00:18:43] てだから頼もしい援軍を送りましたよお
[00:18:49] 援軍俺からの応援です頑張ってください
[00:18:55] 姉貴安全な場所で待ってますよぶっ殺すぞ
[00:19:07] お前いや久しぶりの実践って大変だね
[00:19:14] ロザンナ
[00:19:16] ロザンナはいはいロザンナよ同時に呼ば
[00:19:20] れると照れちゃうねまさかお前が援軍を
[00:19:26] 援軍何のこととぼけるなそうじゃなきゃ
[00:19:31] 援軍が今まで来ないはずが
[00:19:34] ああ援軍ってあの頭数だけ多かった奴らの
[00:19:39] ことめちゃくちゃ弱かったけど援軍ってお
[00:19:44] でこに書いて貼っておけばよかったのに
[00:19:47] そうすればもう少し優しくしてあげたのに
[00:19:51] ね無意な挑発はお
[00:19:54] ください
[00:19:56] 無意ななんて
[00:20:00] でも怒りに震える姿を見るとワクワクする
[00:20:09] でしょうまそれは否定しませんがアウター
[00:20:13] リムの人たちは武装解除は終わったのか
[00:20:17] 終わりました言うことを聞いてくださら
[00:20:20] なかったので会話をして協力していただき
[00:20:25] ました
[00:20:26] よそうかアンダーワールド
[00:20:31] クイーン謹慎中のはずのお前らがなぜなぜ
[00:20:35] ここで私の邪魔をするこの剣はマスタング
[00:20:39] に自談するいくらマスタングが中央政府
[00:20:43] からシズムを受けず自由にできる立場だ
[00:20:47] からと言っても今回のことは絶対に黙っ
[00:20:50] ちゃおけないお前たちが今していることは
[00:20:55] 立派な反逆行為だからなクにラプチャーが
[00:20:59] やってきたタイミングで理主翼を満たす
[00:21:03] ために兵力を動かしたあなたが反逆行為を
[00:21:07] 語るおつもりですかあなたが今しようとし
[00:21:11] ていることは一方的な虐殺
[00:21:15] ですそれ以上でもそれ以下でもありません
[00:21:19] そして虐殺は一方的な暴力の中でも最悪の
[00:21:25] 行為前に警告しませんでしたか
[00:21:29] 私たちがいる場所で私たちが見ている場所
[00:21:33] で暴力を振り返すなら許可が必要だという
[00:21:38] ことをその警告が心に響いていなかった
[00:21:43] ようなので今回はその身に刻んであげよう
[00:21:48] と思いまして
[00:21:50] コンシリエーレはいスあいつらやっちゃっ
[00:21:55] てはいス一掃
[00:22:00] しろかかってこいてめえ
[00:22:09] らジャッカルのノースキャンの結果が出た
[00:22:12] アークテロの疑いなしだふむ意外ですね
[00:22:18] 地上へ向かうエレベーターのロック
[00:22:20] 破壊聴覚センサーを恋に壊した後
[00:22:24] エクスターナルと戦闘ミシリのメインハブ
[00:22:27] の破壊
[00:22:29] 全てジャッカルが自らの意思で行っている
[00:22:33] だ
[00:22:34] が分かったのは単純にその行為を行ったと
[00:22:39] いうことだけだそれらの行動がアークテロ
[00:22:42] に関係しているとは思えない花火という
[00:22:45] 単語が出たがこれも単純に花火ということ
[00:22:50] らしいコドのマインドコントロールとも
[00:22:52] 考えられるが今までジャッカルはクローと
[00:22:55] バイパーの命令に無でしてきたことが判明
[00:22:59] した事情を問わずただ単純に命令だけに
[00:23:04] 従っていたようだおまさに白死なのですね
[00:23:10] そうだだからアークテロに関する責任は
[00:23:14] 問えないただし指揮官に対する擬似射撃に
[00:23:18] 加担したのは事実
[00:23:21] だ擬似射撃とおっしゃいましたか先日地上
[00:23:27] での作戦が行われた時ミシリの妖精で
[00:23:32] スカウティングをつけたがなぜか先に帰っ
[00:23:35] てきたことがあったスカウティングの
[00:23:38] 代わりにエキゾチックが勝手に合流した
[00:23:41] ようでその時にやられたようだなこの件に
[00:23:45] ついてあえて報告しなかったのはあいつ
[00:23:48] なりの事情があるんだろうそのためこの件
[00:23:52] に関する処分はあいつに任せる予定だ
[00:23:57] 結局解決したことはまだワンもないという
[00:24:02] ことですねバまもなくエンドですミシリ
[00:24:07] 医療センターへクローとバイパーが移動し
[00:24:10] たという情報があります捕まるのはタイム
[00:24:15] の問題でしょうそうかまずとしよう
[00:24:20] ねえ体調とバイパーは
[00:24:24] どこ私と一緒に捕まったんじゃないよね
[00:24:32] よかった2人の役に立ててよかった2人は
[00:24:38] お前を捨て
[00:24:40] た大丈夫
[00:24:43] 私頭悪くて全然役に立てないん
[00:24:48] だでも体調と
[00:24:50] バイパー私と遊んでくれ
[00:24:54] た私と一緒にいてくれた
[00:24:58] から大丈夫
[00:25:00] [音楽]
[00:25:07] 主演とはまだ連絡がつかないのか
[00:25:10] いや嫌な予感がするんラピから連絡だ私
[00:25:19] だなんだ
[00:25:24] と
[00:25:26] よしジャッカルはバカだから助かっ
[00:25:32] た大変なことになるところ
[00:25:35] だは
[00:25:53] [音楽]
[00:26:02] 指揮官共感と情報共有を完了しました指揮
[00:26:07] 官様主演とは連絡つい
[00:26:10] [音楽]
[00:26:11] た指揮官様からの連絡を避けてるのねどう
[00:26:16] してですかさあストレスがたまりすぎて誰
[00:26:21] かに何か言われるだけで嫌なのかもまずは
[00:26:24] 中を捜索しましょうワードとエゾチックは
[00:26:28] すでにここにいる可能性が高いです主演も
[00:26:32] すぐに来る
[00:26:34] [音楽]
[00:26:52] でしょうちょっとふざけてんのいないじゃ
[00:26:57] ないあいつらはどこなの主演早かったね
[00:27:04] そりゃねアクセル全回よそれであいつらは
[00:27:08] どこにいるのまだ来てないよこの近くに
[00:27:13] いるのは確かなの
[00:27:16] うんそならいい
[00:27:20] わ
[00:27:22] はハブが壊れたから急いでアプリを直した
[00:27:26] のよ
[00:27:28] 1km以内にいれば作動するよう
[00:27:33] にミシリ専用回線を使ってないから情報は
[00:27:38] 隠蔽できないけどそれはま後で何とでも
[00:27:42] なるから問題ないわこの近くにいるのよ
[00:27:47] ねじゃあ押し続ければ途中で頭が爆発する
[00:27:52] でしょおいお前たちは見張りねはあ
[00:28:06] 何をこれ手が手の感覚を遮断した
[00:28:12] よそれをしたらクやバイパーが死ぬん
[00:28:17] でしょそうだ
[00:28:27] けど目が目が見え
[00:28:31] ないお前一体何
[00:28:38] を
[00:28:41] ユニお前何をして
[00:28:46] 主演主演はどうしてユニたちにこんなこと
[00:28:50] するのどうしてユニたちを叩いて壊して雑
[00:28:56] に扱うのどうして鉄くずて呼ぶのどうして
[00:29:00] ひどいこと言うの
[00:29:03] ねユニたちのことどうしてくそこの鉄くず
[00:29:10] がお前絶対に廃気処分
[00:29:17] にユニやめて
[00:29:21] 見原やめてそれ以上はだめよ分かるわユニ
[00:29:26] の気持ち
[00:29:28] すごくよく
[00:29:29] わかるここまでにして主演と話をし
[00:29:33] ましょう私たちの気持ちは伝わったはずよ
[00:29:38] ね
[00:29:39] やっぱりあなたは見原じゃない
[00:29:43] ユニ本物の見原はいつもユニの味方でユニ
[00:29:49] のことを分かってくれた
[00:29:53] もん
[00:29:55] ユ今の私はとの思い出を全部覚えている
[00:29:59] わけじゃない
[00:30:01] けどユニがどんな人なのかはよく分かっ
[00:30:04] てるわユニは優しい子でしょこんな風に人
[00:30:09] を傷つけたりしない優しい子よだからやめ
[00:30:14] てもうやめ
[00:30:16] ましょう覚えてないくせにユニの何がわか
[00:30:21] るっていうのこの偽物偽物偽物のくせに
[00:30:27] わし
[00:30:28] だだからあなたは本物の見原じゃない違う
[00:30:33] の見原は死ん
[00:30:37] だ主演のせいで死んだ
[00:30:46] のユニやめて主演よ
[00:31:03] [音楽]
[00:31:05] だめだ殺したいと思え
[00:31:08] ないこれじゃ殺せそうにない
[00:31:14] や
[00:31:16] じゃあこれ
[00:31:22] を式感
[00:31:26] [音楽]
[00:31:31] 何よ
[00:31:34] これユニ一体何を
[00:31:40] あなた指揮官がどうしてここに
[00:31:46] あ一緒に主演を殺しに来たんだ
[00:31:50] ね揮官も主演に色々やられたもんねはい主
[00:31:56] はここだよが目も見えなくしておいたし
[00:31:59] 動けなくしておいたよ一緒にやろう志官
[00:32:04] 打ち
[00:32:07] ます待ってられないあの子おかしいわ
[00:32:13] よ
[00:32:17] んどうしてみんなユニのこと止めるのシエ
[00:32:22] には何も言えなかったくせにユニには言う
[00:32:25] のユニは言うこと聞かなきゃだめどうして
[00:32:31] どうしてユニばっかりユニばっかり止める
[00:32:36] [音楽]
[00:32:37] のし
[00:32:42] 官何
[00:32:48] を主演にバツをどうやって
[00:32:56] [音楽]
[00:32:58] だからどうやっ
[00:33:06] て式官またそんなこと言ってる前もそう
[00:33:11] 言ったよユニにでも式官ユニたちに何にも
[00:33:17] してくれなかったじゃない
[00:33:27] [音楽]
[00:33:32] 頭がすっきりした何でもできそうだ
[00:33:38] よこれがアンチェインドなんだ
[00:33:42] ね主演も死官も殺せそう
[00:33:50] [音楽]
[00:33:59] ありがとう式官ユニのために用意してくれ
[00:34:02] [音楽]
[00:34:05] てだめだ
[00:34:18] よアンチェインドってすごいんだ
[00:34:22] ね何でもできそうイメージ下通りにできる
[00:34:26] よ
[00:34:29] すごい
[00:34:33] すごいみんなの脊髄神経を遮断したよ1度
[00:34:38] にこんなにたくさん遮断するのは初めてだ
[00:34:41] けどうまくいった
[00:34:43] ね心配しないで官少し立てば元通りになる
[00:34:49] からでもユニ四官がユニのことを考えて
[00:34:54] くれてるってよくわかるんだ
[00:35:00] じゃあ
[00:35:05] 主演そろそろ
[00:35:08] し
[00:35:10] おかしいどうしてたがらない
[00:35:19] の
[00:35:21] 見原主演と感覚交換したでしょう
[00:35:28] やめ
[00:35:31] て偽物のくせに感覚交換は10分くらい
[00:35:36] でしょ少し我慢し
[00:35:41] て
[00:35:43] 主演バイバイ
[00:35:46] [拍手]
[00:35:51] ユあ
[00:35:54] 頭頭が頭パカい痛い痛い痛い痛い
[00:36:03] 痛いだ誰か
[00:36:08] う
[00:36:11] 美原
[00:36:15] 美原どうして主演をかったの
[00:36:20] ねえ
[00:36:22] 見原答え
[00:36:24] て答えてよ見原
[00:36:27] [音楽]
[00:36:36] ねえみ見原頭から違う
[00:36:42] 違う誰か誰か私の頭からこれ取り出し
[00:36:48] [音楽]
[00:36:52] て
[00:36:55] 原起きて見原
[00:37:01] 見原
[00:37:09] 黙れ殺したの
[00:37:12] ああ手伝うんじゃなかったの手伝っただろ
[00:37:17] 主演を殺せるように実現できなかったのは
[00:37:21] 残念だがな
[00:37:31] ここまでよく来たなそれは褒めてやろうだ
[00:37:36] がお前には何もできなかっ
[00:37:40] たどうしてお前がこんな目にあったのか気
[00:37:44] になるだろう私には見たいものが2つあっ
[00:37:49] たんだ1つ目はアークの
[00:37:52] 選択2つ目はお前の破滅
[00:37:57] はただのおまけさまああれくらいで十分
[00:38:01] だろう気になるかどうして私がお前を破滅
[00:38:06] させたいのかお前はあまりにもヒーロー
[00:38:11] すぎる何でも解決してしまうんだどうって
[00:38:16] ことないようにそれが不満だってわけじゃ
[00:38:19] ない私はお前のことが好きだ尊敬している
[00:38:24] と言ってもいいくらいになでもアークの
[00:38:28] ためにもお前を破滅させる必要があった
[00:38:32] ニケとお前は同じだアークのためにバカ
[00:38:38] みたいに犠牲になるだけ今回のラプチャー
[00:38:41] 襲撃によってニケと人間の互いを見つめる
[00:38:45] 視線は変わっていくだろう面白い絵ができ
[00:38:49] そうだがお前が邪魔なんだお前はまた人間
[00:38:55] とのために
[00:38:57] に入るだろそうすると
[00:39:01] じゃーんお前が解決してまた今まで通りの
[00:39:06] アークに元通りだお前は後期で唯一の存在
[00:39:10] だおそらく今後2度と現れないヒーロー
[00:39:15] だろうだからこそお前がアークに及ぼす
[00:39:19] 影響はお前が想像する以上に大きいだけで
[00:39:23] なく絶対的なんだそそれならどうすれば
[00:39:28] いいお前はアークのクズどもと同じように
[00:39:31] しなければだからお前を破滅させるんだ
[00:39:37] どうすればお前を破滅させられる腹に穴を
[00:39:42] 開けるか信じていた2に裏切られるよう
[00:39:45] しけるか私が今まで見てきたお前はそんな
[00:39:50] ことじゃ破滅しないように見えただから私
[00:39:55] が下した結論はこれ
[00:40:01] だ
[00:40:03] あお前の手でニケを殺させる
[00:40:11] ことお前がゾにまみれてお前がお前の判断
[00:40:17] でお前の感情にあってニケを殺すことに
[00:40:22] なったお前は真の意味で破滅するんじゃ
[00:40:26] ないか
[00:40:29] 私を
[00:40:31] 憎む私を殺せお前の仲間たちの復讐のため
[00:40:37] に
[00:40:39] そして破滅
[00:40:41] [音楽]
[00:40:46] しろなんだ話せるのかやはりおかしいな
[00:40:52] お前の回復力は普通じゃない
[00:41:00] そうだなそうしてくれると嬉しいよまた
[00:41:05] 会おう私のヒーロー
[00:41:10] [音楽]
[00:41:43] [音楽]
[00:41:51] どに行くの地上へ地上私たちのヒーロー
[00:41:58] 私を追いかけてくるはずだからどうして
[00:42:01] 地上なの対象が遠くにいればいるほど怒り
[00:42:06] が強くなる
[00:42:10] だろうどうしたジャッカルは生きてるん
[00:42:14] でしょ探しに行かないの今ジャッカルを
[00:42:19] 探しに行くのは自滅行為だ私たちのことを
[00:42:23] 待ってるはずだよいや
[00:42:27] と伝えてあるだから待つことはないだろう
[00:42:31] じゃあどうなるのそうなユニと
[00:42:35] カウンターズの子たちここまでする必要
[00:42:39] あったなんだ急に変なことを言うんだな
[00:42:45] どうした振りだけでも十分だったと
[00:42:50] 思うあいつのことが気になるみたいだな
[00:42:55] まあ違うといえ嘘になるかなお前があいつ
[00:43:00] をサポートしていたのは知っているいじり
[00:43:03] があるからだと思っていたが違ったようだ
[00:43:07] なダーリンはねあなたが最後にああやって
[00:43:12] 暴れるまでずっと私たちの手助けをしよう
[00:43:16] としてたの分かっ
[00:43:21] てる私たちの味方にな
[00:43:24] るってを聞いてくれるって言ってたの
[00:43:29] ずっとあんなに苦しめられてたのにね
[00:43:33] あんなことをされたユニのことも最後まで
[00:43:38] 諦めなかったあの言葉と行動に嘘はなかっ
[00:43:44] たと
[00:43:45] 思うそれで結論はなんでやりすぎたって
[00:43:51] 言いたいの何か結論を出したいんじゃない
[00:43:58] 真剣に答えろ惚れたの
[00:44:03] か何言ってんの私がダーリンにダーリンは
[00:44:10] あくまで遊ぶのにぴったりなおもちゃだよ
[00:44:15] おもちゃは大切にしないと
[00:44:18] ね壊れたらおしまいだからそう
[00:44:22] かお前にはそれが似合う
[00:44:30] 何してるん
[00:44:35] だおい
[00:44:37] バイパー待ってちょっと考えてる
[00:44:43] から
[00:44:45] あそうだね惚れてたんだ私
[00:44:52] もうずっと前から好きだったんだ
[00:44:57] だからずっと気になって助けてあげたかっ
[00:45:01] たん
[00:45:03] だそうだ好きだったん
[00:45:08] だどうして気づかなかったん
[00:45:14] だろうそっ
[00:45:16] か
[00:45:17] 私今まで本気で好きになったことがない
[00:45:23] から分からなかったんだ
[00:45:29] 私リタイアするね全てを自白して原型して
[00:45:36] もらうまあ実際メールをなん通か送った
[00:45:41] だけだし記憶消去だけは避けてもらうよう
[00:45:46] にしなくっちゃきっとダーリンが手伝って
[00:45:50] くれるから大丈夫だよね
[00:45:55] 結局がにされたかまあいつかお前がこう
[00:46:00] なるだろうという確信はあったでも1度
[00:46:05] くらいは強く噛んでくれるかと思ったのに
[00:46:08] それは少し残念だな今誰にメール送ったと
[00:46:16] 思うあなたを一番殺したがってる2人だよ
[00:46:22] そのうちの1人
[00:46:24] は私たちの常にいるなんだ
[00:46:34] と
[00:46:43] クロアークに穴を開けるなんて何を考え
[00:46:47] てる
[00:46:48] のあの爆発でよく生き残ったのそういう
[00:46:53] わけでもないか全身やけ
[00:46:58] すぐに死んでもおかしくない姿だなお前が
[00:47:01] 何をたんでどう動こうが関係
[00:47:06] ないでも今回はやり
[00:47:09] すぎどうしてこんなことを確認したいこと
[00:47:14] があっ
[00:47:16] てノーコメントだお前のせいでアウター
[00:47:21] リムの人々が大勢死ぬところだっ
[00:47:24] たアクは半分くらいそうなっ
[00:47:28] てるそう
[00:47:32] か最初から私を裏切るつもりだった
[00:47:36] の
[00:47:38] いやそのずっと前から仲間だと思ってたの
[00:47:43] に残念だな私には仲間なんて嫌しない1人
[00:47:50] くらいはいた気がするがそれももういなく
[00:47:53] なった
[00:47:57] EH合流するよお前とも話したいことが
[00:48:01] たくさんあるんだ
[00:48:04] パイパ許してずっと私たちの後を追わせて
[00:48:10] あげたでしょ治療もしてあげたし最後には
[00:48:15] 苦労とも合わせてあげた十分頑張ったと
[00:48:20] 思うんだけど割に合わないで
[00:48:25] もってくれるなら遠慮はしない多分
[00:48:31] 私そろそろ限界だ
[00:48:35] から
[00:48:37] よし1対1になる前に終わら
[00:48:44] [音楽]
[00:48:48] せよ捕まえたク
[00:48:57] どうかなもう少し待っていればお前は死に
[00:49:02] 私は逃げることになる
[00:49:04] [音楽]
[00:49:06] だろうその前
[00:49:09] にお前を殺すくらい
[00:49:12] のおい無理して喋るなよアークのせたちが
[00:49:19] もさが来るはず中に入ってきたラプチャー
[00:49:23] はほとんど片付いたみたいね
[00:49:27] じゃあ私は投稿する準備
[00:49:33] をあらダーリ来た
[00:49:42] のクロを殺しに来たのやめてナーリンの手
[00:49:49] を汚す必要はないでしょ中央政府に
[00:49:53] 任せようよそうすればうまく解決して
[00:49:58] くれる
[00:50:03] はず
[00:50:04] ダーリそんなこと言わずに私の話を聞いて
[00:50:09] くれない私自主するつもりなの事実を全部
[00:50:16] 話すよアークのテロが誰の主導でどんな
[00:50:21] 家庭で行われたのか苦労が見えるでしょう
[00:50:27] 私が捕まえたようなものよだからダーリン
[00:50:32] がうまく話
[00:50:36] を
[00:50:40] えむうん何にもたんでない
[00:50:44] よ私は自主するって
[00:50:51] ば
[00:50:53] [音楽]
[00:50:54] ダリ私を信じられないのは分かるけどでも
[00:50:59] 話
[00:51:04] をクロを殺すのやめ
[00:51:09] てダーリンはそんなことしちゃ
[00:51:15] だめちょっと頭を冷やして
[00:51:33] シエ
[00:51:36] あだ誰よ私だイングリッド
[00:51:42] だここは
[00:51:45] どこミシリ医療センター
[00:51:48] だあいつらあいつらはどこには頭ああ
[00:51:57] 頭に衝撃を受けた感覚が残っているはずだ
[00:52:01] それから激しい打木と骨折を追って
[00:52:05] いる
[00:52:08] 落ち着けて手がどうし
[00:52:12] て勝手にふ震えるのよ恋しが
