# NIKKE 第28章 转录
视频ID: GO6Tai5YPag
[00:04:54] ことでしょう
[00:04:55] かクリスタルとは長時間接触しなけれは
[00:04:59] いいだけでは分かってるはずよクリスタル
[00:05:03] がラプチャーに帰省できたということは
[00:05:06] 私たちも例外ではないということですから
[00:05:11] それは長時間接触さえしなけれ
[00:05:14] ばそうできるという保証はクリスタルで
[00:05:18] 埋められた穴に落ちる可能性だってあるわ
[00:05:22] 仲間の手が届かない深さのそうならない
[00:05:26] ように気をつければいいのでは
[00:05:29] だから今その話をしているのそうならない
[00:05:33] ように気をつつける方法を誰か知ってる
[00:05:37] クリスタルについて本当に何もかも分かっ
[00:05:40] ているの
[00:05:42] おそれと何より決定的なことはあのロード
[00:05:47] 級ラプチャーの高度と出力は通常のものと
[00:05:50] 違った大幅に強化されていたわクリスタル
[00:05:54] の規制したタイラント級が出現しないと
[00:05:57] いう保証は誰か通常のタイラント級と交戦
[00:06:01] したことは
[00:06:05] ある指揮官一時撤退を提案します整備と
[00:06:11] 戦力の補充を行ってから探索を再開した方
[00:06:14] が安全です
[00:06:17] そんな大丈夫ですよクリスタルは地面や壁
[00:06:22] から生えていますよね空からいきなり降っ
[00:06:26] てきたのでもなければ問題なく避けられる
[00:06:28] はずです
[00:06:30] タイラント級のラプチャーもそれほどの
[00:06:34] 大型が派手に動き回っていたら気づけない
[00:06:37] ということはありえません注意深く確認し
[00:06:41] ていけば安全に移動できますですよねエグ
[00:06:45] 様ハンマリング
[00:06:47] 様注意すべきことは十分理解していると
[00:06:51] 思いますが
[00:06:52] なそれに先ほども言ったようにあんなもの
[00:06:57] を見ただけで帰るなんて無理話ですぞ今の
[00:07:02] ところそこまでの危険は感じられないっす
[00:07:05] 危険そうになったら撤収するのは文句な
[00:07:07] いっすけど今はまだ早いと思うっすあなた
[00:07:12] たちここには指揮官様もいるってこと忘れ
[00:07:15] ないでよね私たちは頭だけ持って帰れば
[00:07:19] なんとかなるかもしれないけど揮官様は
[00:07:22] 何かあったら終わりよ当然私たちが守る
[00:07:26] けどクリスタルっていう不安要素がある
[00:07:29] 以上そう簡単な話じゃないわもちろん私も
[00:07:33] 気になりますでも師匠の安全が最優先です
[00:07:38] ねでは指揮官様にこのまま進むかどうか
[00:07:43] 判断を仰げということですかそういう話
[00:07:47] じゃないでしょいいえまさにそういう話で
[00:07:51] は私たちもこの先がどれだけ危険かは十分
[00:07:56] 承知しているつもりです
[00:07:59] を失うことがあるかもしれませんそれでも
[00:08:04] 進もうとしているのは命より大事な何かが
[00:08:08] この仕事にかかっているからです指揮官様
[00:08:12] は違いますか地上を探索する理由は上から
[00:08:16] 命令されたからというだけではありません
[00:08:19] よね危険を犯すほどの切実な何かがある
[00:08:24] から来たのではありませんか
[00:08:30] 指揮
[00:08:30] [音楽]
[00:08:36] 官
[00:08:38] むむ了解しました行き
[00:08:42] ましょう
[00:08:44] やはり官様が話の通じる方で嬉しいです
[00:08:49] リスクを取らないと多くのものは手に入ら
[00:08:53] ないということを分かっていらっしゃい
[00:08:56] ます
[00:08:58] [音楽]
[00:09:02] 指揮官様ちょっと話し
[00:09:07] ましょうどう考えても今の状況は危険
[00:09:11] すぎるわよ戻った方がいいんじゃない
[00:09:18] の無理しすぎてる気がするのよ
[00:09:22] ねま師匠の言葉も一ありますね今まで
[00:09:29] 作戦にばかり入されてきましたから考えて
[00:09:33] みたら今更という気もしてきましたとは
[00:09:37] いえ師匠私の火力センサーがここは今まで
[00:09:41] 以上に危険だと訴えていますそうよこの
[00:09:46] 場所も状況も危険なの初めて見るもの
[00:09:50] ばっかりでしょ今までの任務はアーク近辺
[00:09:55] とラプチャーというある程度理解できて
[00:09:57] いるものが相手でしたがここは全く異なる
[00:10:00] 環境で敵もラプチャーと定義しがいもの
[00:10:04] ですリスクが高すぎるかと何より
[00:10:08] クリスタルの人体に対する影響が全く判明
[00:10:12] していません最低限戦力を少しても補強し
[00:10:16] てから探索を再開した方が良いでしょう
[00:10:19] もちろん進みたいという皆さんの気持ちも
[00:10:22] 分かるのです
[00:10:24] が危ないものは危ないですからね
[00:10:32] 官無理をする理由が何かあるのですかそう
[00:10:37] ねここまで頑固っていうか意地を
[00:10:41] 張るこんな指揮官様初めて見るわコイン
[00:10:46] ラッシュで遊びすぎて借金でも抱えてるん
[00:10:49] です
[00:10:53] かえまさか本当に師匠いくらストレスが
[00:10:59] 溜まっていてもギャンブルはいい解消法で
[00:11:02] はありません仕方ないですね私の蔵の
[00:11:07] コレクションでも売っ
[00:11:12] て
[00:11:13] 立場つまり権力が欲しいということ
[00:11:17] でしょう
[00:11:17] [音楽]
[00:11:21] か指揮官何のための力です
[00:11:25] [音楽]
[00:11:28] か
[00:11:32] [音楽]
[00:11:38] あマリアンのことばっかり
[00:11:42] [音楽]
[00:11:50] ね
[00:11:52] おおそうなるにはかなり偉い人にならない
[00:11:55] といけませんよねそうなったら私も偉い人
[00:12:00] にしてもらえます
[00:12:03] か
[00:12:08] [音楽]
[00:12:13] 冷たいお話は理解しました指揮官様どこ
[00:12:18] まで行くつもりなの私は正直そこ
[00:12:25] までうんうんなんでもないわよしじゃあ
[00:12:31] 指揮官様の輝かしい未来のために頑張ると
[00:12:35] しますかでもせめて秘書くらいは任せて
[00:12:39] 欲しいところです
[00:12:43] ね
[00:12:45] はそんな目先の欲に目がくらんでしまった
[00:12:50] この不敵な弟子をお許しくださいシフティ
[00:12:55] 今のお話は記録からマをしておきます
[00:12:59] で力を手にしたいといえば先々告をする
[00:13:02] ようなものです何の準備も整っていない
[00:13:06] 状態では悲惨な結果になるだけですよ指揮
[00:13:10] 官にそうなって欲しくはありませんのでえ
[00:13:15] ありがとうですが揮官最低限の政治識は頭
[00:13:20] に入れておいた方がいいと思います同じ
[00:13:23] ことでも受け取られ方が変わる場合は多い
[00:13:26] ですからこの任務から感されたら
[00:13:30] プライベート回線で連絡し
[00:13:33] [音楽]
[00:13:35] ましょうアニスえうん何今は深く考えなく
[00:13:42] ても大丈夫まだ時間はあるから23日で
[00:13:46] どうにかなることでもないわ
[00:13:49] うんそれにもしかしたらそのうちあなたの
[00:13:55] 方が変化するかも気持ちは変わるものだ
[00:13:58] から
[00:14:00] ラピーそんなことも言えたのね私も変わっ
[00:14:04] た
[00:14:07] [音楽]
[00:14:10] からまたクリスタルに前を塞がれて
[00:14:14] るっす高さ5mはありそうっ
[00:14:17] すどうするっすか破壊して
[00:14:21] ください向こう側に道路があるはずです
[00:14:25] 了解す
[00:14:28] [音楽]
[00:14:31] さすが手なれた感じねそうですねそれに
[00:14:37] スピードも上がっている気がしませんか
[00:14:41] ああそれはクリスタルの弱い部分が分かっ
[00:14:44] てきたからすちょっと危ないわよよそ見し
[00:14:48] ないで慣れてきたからこれくらい目を
[00:14:51] つぶっててもできるっす見てくださ
[00:14:57] いっすちょっと目目開けてどうしたっすか
[00:15:02] ちゃんとできてるはずっすよそうだけど見
[00:15:06] てるこっちがハラハラするの
[00:15:09] よ肝っ玉が豆つぶサイズっすねあなたは肝
[00:15:14] が座りすぎ
[00:15:16] うん手応えが少し変わったっす
[00:15:20] コンクリートでできた壁でもあるみたいっ
[00:15:22] すね
[00:15:24] はいおかしいですねそんなはずありません
[00:15:30] がクリスタルに塞がれているだけでこの先
[00:15:34] は道路のはず
[00:15:36] ですとりあえず続け
[00:15:42] るっす今の音まさか自分の指でも叩きまし
[00:15:47] たか見てくださいすいえ見せなくて結構
[00:15:52] ですよそういうのは苦手なので
[00:15:56] コンクリートの
[00:15:57] 壁その
[00:15:59] です
[00:16:03] なあれおかしいですね確か
[00:16:09] に何か勘違いしたのかもしれないすねどう
[00:16:13] するすかコンクリートの壁も壊すっすか
[00:16:18] 私たちが通るスペースくらいは確保できる
[00:16:20] と思うっす
[00:16:22] えっとあはい壁の向こうに道路があること
[00:16:27] は変わらないはずですですわかったっ
[00:16:33] [音楽]
[00:16:37] すあれあれ申し訳ございません緊張して
[00:16:43] 勘違いしたいようです
[00:16:45] ね方向を変え
[00:16:51] ましょうハンマリング様この先をお願い
[00:16:55] できますか道が繋がっているはずです
[00:17:00] もちろん
[00:17:02] す
[00:17:04] あれ行き止まりです
[00:17:07] ねハンマリング様天井のクリスタルを壊し
[00:17:11] て
[00:17:12] くださいおそらく上に道があるはずです
[00:17:16] 了解
[00:17:20] っすふがって言いますね
[00:17:24] えっと思ったよりも道が
[00:17:28] リバリン氏もしや道が分からないのではえ
[00:17:34] あいいえ違います
[00:17:37] おーそうですかな最初にご自身で言ってい
[00:17:42] た通りになった気がします
[00:17:44] ぞ暗記は得意でも新しく道を見つけること
[00:17:49] は
[00:17:52] 苦手いやはやリバン氏これでは困ります
[00:17:57] な柄を急ぐ気持ちは分かりますがそれで大
[00:18:02] 惨時になったらどうする気ですか
[00:18:04] なハンマリングしばかり無駄働きですぞ私
[00:18:09] は大丈夫すこういう仕事をするために来
[00:18:13] たっすからしかし体力を浪費してますから
[00:18:18] なやを得ませんなリバン氏にも分からない
[00:18:22] ようなのでみんなで道
[00:18:25] を違います
[00:18:28] 私分かります
[00:18:31] 道はいはい気にしないことですな今回は運
[00:18:37] がなかったということですなどこか高い
[00:18:41] ところに登っていやあのそ
[00:18:46] えと
[00:18:49] その申し訳ございません申し訳ございませ
[00:18:53] ん本当に申し訳ございませんお
[00:19:01] 私が間違っておりました申し訳ございませ
[00:19:04] ん
[00:19:08] 申し訳
[00:19:10] あの大丈夫ですかなハ機能が低下呼吸困難
[00:19:15] になっていますリバリー深呼吸
[00:19:22] をどうした
[00:19:24] のひとまず寝かせましょううう私が言い
[00:19:30] すぎたのですか
[00:19:33] な
[00:19:42] ふんな何のつもりですかな機械は叩けば治
[00:19:47] るっす
[00:19:49] ええこの時代にそんな時代遅れのことを
[00:19:52] 言うものがいるとは衝撃ですぞそれに我々
[00:19:57] は機械ですかな
[00:20:00] ん機械すよねそそうではあります
[00:20:10] が落ち着いたみたいね廃機能の安定を確認
[00:20:15] 経過観察のためしばらく安静にする必要が
[00:20:19] あります先ほど壊されたクリスタルの
[00:20:22] 向こう側に広い空間を確認しています
[00:20:26] 大きな建物の内部につっていますので
[00:20:30] そちらへ移動してください
[00:20:32] ラジャりリバリンし大丈夫でしたかな面木
[00:20:38] ない私がひどいことを
[00:20:42] い
[00:20:44] いえただちょっと治病がありまし
[00:20:50] て気にしないで
[00:20:52] ください大丈夫ですの
[00:20:55] でとりあえず移動しましょう私が背負って
[00:20:59] いくっ
[00:21:02] [音楽]
[00:21:07] すもう大丈夫
[00:21:10] ですご迷惑をおかけしまし
[00:21:14] た
[00:21:16] うえ申し訳ないちょっとからかっただけの
[00:21:21] つもりだったのですが
[00:21:23] な分かっています私がになってまっただけ
[00:21:30] です気になさらないでくださいエグ
[00:21:35] 様そうです
[00:21:38] なあなた前に何かあったの急にあんな発作
[00:21:43] を起こすなんてよっぽどのことだと思い
[00:21:46] ますが過去吸ねトラウマを刺激され
[00:21:52] た
[00:21:53] リバリー私は死にたくな
[00:21:56] いっすはい
[00:21:59] ええはい私もです私はまともな暮らしを
[00:22:06] するために探索任務に志願したっすで
[00:22:10] も正直言うと命をかけるほどじゃないっす
[00:22:15] いい暮らしができたって命があっての
[00:22:17] ことっす死んだら何の意味もないっすだ
[00:22:22] からリバリンが問題を隠すつもり
[00:22:25] なら私はここで降りるっす
[00:22:29] ただでさえ危険な環境で仲間も爆弾を抱え
[00:22:33] てるなら私は続けられないっす同じ意見よ
[00:22:38] 本当に言えないことなら言わなくてもいい
[00:22:42] ただし探索はここで
[00:22:46] 終わるずっとこうだったわけではないの
[00:22:49] です
[00:22:51] 昔大きなミスをしてしまって私が欲張り
[00:22:56] すぎたせいで事故が起こり
[00:22:59] 一緒に働いていた人たちに大怪我をさせて
[00:23:03] しまいましたその時も暮らし向きをよく
[00:23:07] しようとしていてうまくいきませんでした
[00:23:13] その
[00:23:14] 時一緒にいた人たちにひどく責められたん
[00:23:20] です当然のことでしたけどね私のせいで何
[00:23:25] もかも台無しになってしまいましたから
[00:23:29] 地合自得
[00:23:32] ですでもその時から自分がミスをした時に
[00:23:38] 誰かに何か言われる
[00:23:40] とああいう状態になってしまって
[00:23:46] うそれじゃ怖くて何も言えないっすいつも
[00:23:51] 必ずというわけではありませ
[00:23:53] ん私がミスを隠してそれが追求
[00:24:00] 呼吸困難になるのはそういう条件なんだと
[00:24:04] 思います
[00:24:06] ううともあれリバン氏は本当に道が分から
[00:24:11] ないってことです
[00:24:13] な
[00:24:15] はい申し訳ありません
[00:24:19] 正直どうにかできると思っていました
[00:24:23] こんな生え方に規則性もないクリスタルが
[00:24:26] あるとは思っていなかの
[00:24:29] で
[00:24:31] もうわかりません
[00:24:34] [音楽]
[00:24:37] うんどこに行けばいいの
[00:24:40] かどうやって行けばいいの
[00:24:43] か正しく進めているの
[00:24:47] か何も分かりません揮官進路を見失った
[00:24:53] ようですどうされますか
[00:24:57] [音楽]
[00:25:04] えはい慎重になるのは当然ではありません
[00:25:14] か結果無理をすることになるという意味
[00:25:18] でしょう
[00:25:23] かどうしろというのですかなえ
[00:25:28] が危ないのは変わらな
[00:25:30] [音楽]
[00:25:39] いっす
[00:25:42] うそうねそれでいいのかも正直皆さん
[00:25:49] ピリピリしすぎで面白くなかったですから
[00:25:52] ねでは私は揮に密着して警戒を続けます私
[00:25:58] は頭部さえ残ればいいですが指揮官はそう
[00:26:01] はいきませんので私たちだって頭だけあれ
[00:26:04] ば何でも解決ってわけじゃないけどねでは
[00:26:09] 私は何をすれ
[00:26:11] ば道案内として来たのに道が分からないの
[00:26:15] で
[00:26:18] ははいそれは絶対に自信があります
[00:26:30] 分かりましたありがとうございます指揮官
[00:26:39] 様お怒りにならないんですねそのような
[00:26:43] 指揮感には初めてお会いしまし
[00:26:46] た
[00:26:48] いや男性として
[00:26:53] もそういうことでし
[00:26:56] たら1つ実験してみたかったことがあり
[00:26:59] ますなやってみても構いませんかな
[00:27:04] 実験この建物すごく大きな電光掲示板が
[00:27:09] 取り付けられていましたなあれにブームを
[00:27:13] インストールしてみたいですぞ
[00:27:18] う
[00:27:20] ええなんですかなその顔はやりたいことを
[00:27:24] やれって式関しの言葉ですぞそうね
[00:27:33] では屋上に向かいます
[00:27:37] ぞあのラピ
[00:27:40] 様き気になったことがありまし
[00:27:45] て何
[00:27:49] えっと指揮官様のことなのですがおお
[00:27:54] 付き合いされてる方とかいらっしゃったり
[00:27:58] はその私がどうというわけではなくてえ
[00:28:03] ただ気になっただけなんです
[00:28:06] けど結婚してるわええ本当ですか
[00:28:12] ええ子供も2人
[00:28:15] [音楽]
[00:28:21] そんな屋上
[00:28:24] 到着うわ結構高いっす
[00:28:29] そうです
[00:28:31] なここからなら全体とは言えずとも都市の
[00:28:35] 地形をある程度確認できそうですぞそちら
[00:28:39] はよろしくお願いしますなリバンC
[00:28:43] あは
[00:28:45] はいしっかり覚えておきますねエグ様そこ
[00:28:51] まで考えておられたのです
[00:28:54] ねそんなことはありませんぞ
[00:28:59] じゃあ私は電光掲示板で遊ぶとしますか
[00:29:03] なでもどう動かすつもりなの電気なんて
[00:29:09] 全部クリスタルに吸い取られてるんじゃ
[00:29:11] ない電光掲示板どころか携帯の充電もでき
[00:29:15] なさそうだけどそれはそうですが
[00:29:19] クリスタルの中に電気があるのも間違い
[00:29:21] ないですからなそれをどうにかこうにかし
[00:29:25] て
[00:29:27] [音楽]
[00:29:28] の方へ流してみようかとそれが何の実験に
[00:29:32] なるの私の思いつきの息を出ませんが
[00:29:37] クリスタルはここ以外にもあるはずですな
[00:29:41] きっと色々なところに広がっているはず
[00:29:44] です
[00:29:44] ぞそれはつまりただで使えるエネルギーが
[00:29:49] そこらに転がってるということですな
[00:29:52] そんな貴重なもの掘っておくのはもったい
[00:29:55] ないですな
[00:30:02] [音楽]
[00:30:05] かしこまりハンマリング
[00:30:07] 様なんすか私が指さしているあれ見えます
[00:30:12] かどこすかあちらの緑のコンテナがある
[00:30:17] 場所です
[00:30:20] うんあれっすね見つけたっすでもあそこが
[00:30:26] どうかしたっすか
[00:30:28] 何か違和感があるんですよ
[00:30:31] ねクリスタルの色が少し違うような
[00:30:37] クリスタルの色す
[00:30:40] か
[00:30:42] あ本当すねほんの少しですが他より明度が
[00:30:47] 高い気がするっすやっぱりそうですよね
[00:30:51] ちょっと待っててください
[00:30:54] す何をしてらっしゃるんですか分析し
[00:30:59] やすいように目のモードを切り替えたっす
[00:31:03] 大丈夫なんですか思考転換のリスクとか
[00:31:08] 大丈夫すたまに使うだけなら問題ないっす
[00:31:13] うんやっぱりそっすねあっちのクリスタル
[00:31:17] は他より明るいっすそれに場所で明るさが
[00:31:23] 変わってるっすもしかして2車線道路の方
[00:31:26] が明るくなってますかあそうすどうして
[00:31:32] 分かったっすか大体分かりました
[00:31:36] クリスタルの塊と近いものほど明るくなっ
[00:31:39] ているみたいですあの道路は大きな
[00:31:44] クリスタルの塊に続いているんだと思い
[00:31:47] ますじゃあ光が強いクリスタルをたどれば
[00:31:52] もっと大きなものにたどり着けるっすか
[00:31:55] おそらくはじゃあ早く動くっ
[00:31:59] [音楽]
[00:32:01] すあありがとうござい
[00:32:04] [音楽]
[00:32:14] ます
[00:32:15] へへへできたできました
[00:32:22] ぞこのクリスタル崩壊してもただ粉々に
[00:32:26] なるだけじゃなくて中に電気が残っており
[00:32:29] ますなこなごなにならないギリギリの養分
[00:32:34] すなわちエネルギーを注入し続けると成長
[00:32:37] もせず安定するようですな現状維持を
[00:32:42] しようとするわけですな自分も生き残り
[00:32:45] たいというわけでしょうか
[00:32:47] なその場合は積極的な吸収が止まりますな
[00:32:52] 中の電気はそのまま利用できますぞ条件
[00:32:55] さえ揃えてやればこのクリスタルを
[00:32:58] エネルギー源として使えるということです
[00:33:01] な出力はどの
[00:33:05] 程度びっくりしますぞあの電光掲示板を
[00:33:10] 動かすのに必要なクリスタル
[00:33:13] [音楽]
[00:33:15] はそれだけその
[00:33:19] 通りこれは本当に素晴らしいですぞ
[00:33:23] クリスタルは電気の貯蔵媒体として最高と
[00:33:28] いうことですなつまりあれあの大きな
[00:33:32] クリスタルの塊り都市の端にあるあれは
[00:33:38] どれほどのエネルギーを持っているか想像
[00:33:41] ができますかなもしかしたらアークの次
[00:33:46] 世代の動力源にできるかもしれません
[00:33:52] [音楽]
[00:33:55] ぞじゃあ私の目的
[00:33:59] はあのクリスタルの塊に続くルートを開拓
[00:34:03] するってこそうですね次に来た時にまた
[00:34:08] 地形が変わっているかもしれませんがそこ
[00:34:11] まで大きい変化にはならないでしょう
[00:34:14] クリスタルが急に成長するほどの
[00:34:17] エネルギーらしいものはこの都市には残っ
[00:34:20] ていなさそうですからクリスタルの塊りを
[00:34:23] 簡単に調査してささっと戻りましょうぞえ
[00:34:28] なぜですかクリスタルの塊をすぐに活用
[00:34:32] できるほどの装備は持ってきていませんぞ
[00:34:35] 査ももう少し本格的にやらないといけませ
[00:34:39] んしなでもクリスタルの塊がエグの言った
[00:34:43] 通りのものならそれだけで大発見すうまく
[00:34:47] いけばこれからもクリスタルの探索が定期
[00:34:50] 的に続くようになって私たちもその探索体
[00:34:53] で働けるかもしれないっす仕事の心配が
[00:34:57] なくなる
[00:34:58] それで指揮官様は地上探索を成功させた式
[00:35:02] 官として評判が上がるってわけねふ権力と
[00:35:07] 明星をひけらかす日々を想像して今から胸
[00:35:11] が高なりますね道を見つけたというのは
[00:35:15] 間違いないのはいクリスタルの塊りに近い
[00:35:19] ほど地面のクリスタルの光が強くなってい
[00:35:22] ますほんのわずかな差ではありますが違い
[00:35:26] があることは確かです肉眼ではほとんど
[00:35:29] 判別できないわね私の目にある高原感知
[00:35:33] 機能を使えば楽勝っすやめといた方がいい
[00:35:37] わそんなものずっと使ってたら思考転換
[00:35:40] まで一直線
[00:35:44] よはいオペレーションデバイスに高原分析
[00:35:48] 機能をアップロードします少々お待ち
[00:35:52] くださいオペレーションデバイス越しでは
[00:35:55] シフティ氏のサポートも大変ですぞ
[00:35:59] 精度が落ちますからなその程度なら対処は
[00:36:03] 可能です無理は金物ですぞネオン氏に
[00:36:07] 任せればいいだけですからなはい私ですか
[00:36:13] ですぞ
[00:36:15] はいですぞ何してんのあなたたち私にある
[00:36:21] のは火力感知センサーだけですよえ眼鏡の
[00:36:26] フレームの上側を軽く3回ほど叩いて
[00:36:29] いただけますかな
[00:36:35] んは目が高額増幅機能がオンになりました
[00:36:40] な光を放つ何かがあればかなりはっきり
[00:36:44] 見えるはずですぞ道に沿って生えている
[00:36:48] クリスタルの明るさが区別できますかな
[00:36:52] なるほど確かに明るくなっている
[00:36:55] クリスタルがありますね
[00:36:58] いいですなその方向に進みますぞネオン氏
[00:37:03] が光を確認しリバニ氏がルート構築
[00:37:07] ハンマリング士に道を作ってもらいますな
[00:37:10] わかりました問題な
[00:37:13] いっすお聞きになりましたか私はもうただ
[00:37:18] のネオンではありませんビジョンアイ
[00:37:22] ネオンですエグ結局あのメガ何なの
[00:37:28] 私にもよくわかりませんぞいろんな機能が
[00:37:31] 搭載されている超高機能なメガネという
[00:37:35] こと
[00:37:36] しかアークに戻ったらじっくり確認させて
[00:37:40] いただきたいところですなどうも3大企業
[00:37:44] の技術が入っているわけではない
[00:37:48] 様子と言って個人のカスタマイズにしては
[00:37:52] 性能が良すぎますな怪しいわね心当たりが
[00:37:58] あります私も調査してみますね心当たり
[00:38:03] まだそうと決まったわけではないので調べ
[00:38:07] てからお伝えしますね
[00:38:10] おお急に本物のスパイらしくなったわね
[00:38:14] 最初からそう言っていましたよアニスは
[00:38:18] 黙って私の後についてくるだけでいいん
[00:38:21] ですそうこのビジョンアイネオンの後に
[00:38:27] あのメガ自爆機能とかないありますぞある
[00:38:32] んですか起動方法教えてフレームの橋を
[00:38:39] ちょちょっと秘密事項ですよというより
[00:38:43] なぜそんな機能がそれは私にも分かりませ
[00:38:48] ん
[00:38:51] な出発しましょう
[00:38:57] [音楽]
[00:38:59] エレガはい前に言っていたわねこの
[00:39:03] クリスタルは誰かが意図的に作ったものの
[00:39:07] はずだ
[00:39:08] とそうですな何者だと思うわかりませんな
[00:39:15] その人物が近くにいる可能性はどう
[00:39:18] でしょうなないので
[00:39:21] はの話をしますとこ
[00:39:28] ぞそして私が作ったものに誰かが今許可
[00:39:33] なく手出ししているわけですね私の大切な
[00:39:37] 作品を知らない人たちが勝手に触ってい
[00:39:41] たらもし私ならとっくに文句を言いに出て
[00:39:46] くる
[00:39:47] か武力行使しているでしょうなでしょうね
[00:39:52] ですなだから安心してもいいと思いますぞ
[00:39:57] 今のところは今のところ
[00:40:02] [音楽]
[00:40:06] ね別れ道
[00:40:10] ですネオン様お願いしますお任せください
[00:40:16] ビジョン
[00:40:20] あいはい右のクリスタルの方が明るいです
[00:40:24] ね
[00:40:26] はややっぱり便利です
[00:40:29] ね眼鏡の機能なら思考転換のリスクもない
[00:40:33] でしょうし今回の探索で一番活躍してるの
[00:40:37] はネオン様で間違いありません
[00:40:41] ね能力のあるものがみんなを助けるのは
[00:40:45] 当然のことですノーマルアニとは違って私
[00:40:50] はビジョンアイネオンですからそのメガ
[00:40:54] 貸しなさい分解しておくわトインクル
[00:41:00] あいや
[00:41:04] メガどうですアニス眼鏡の違いがわかり
[00:41:08] ますか早く外して目が痛いじゃないでは先
[00:41:14] に進み
[00:41:20] ましょういいえ私も詳しくは
[00:41:27] それが確実か
[00:41:34] と編入された時は緊急時でしたしその後
[00:41:38] 問題もありませんでしたから経歴や個人
[00:41:42] 情報を確認する時間がありませんでした
[00:41:45] 正確に言えばその必要がないと判断してい
[00:41:49] ましたうんそうね来てすぐに馴染んでたし
[00:41:55] でもン
[00:41:57] もよく分かってないんじゃないメガのこと
[00:42:00] もそうでしょ何も知らなさそう
[00:42:04] [音楽]
[00:42:07] よそれがいいわね
[00:42:16] ラジネオン様お願いしますえ
[00:42:21] じん
[00:42:25] あいああ
[00:42:28] さすがにもう聞きたくないわ
[00:42:31] んおかしいですね
[00:42:35] じ
[00:42:40] うい大変です眼鏡が壊れてしまったよう
[00:42:45] です明るさの判別ができませんクリスタル
[00:42:49] の明るさが変わらないっすかはいじゃあ
[00:42:54] 壊してみるっす
[00:43:01] こうやって光が残っている方がクリスタル
[00:43:04] に近いってことっすよね
[00:43:07] うんそうではありますが今のところどっち
[00:43:12] も差はなさそうです
[00:43:14] ぞ美し
[00:43:17] あいもう今更弱気にならないで
