# NIKKE 第29章 转录
视频ID: 4Us6rnpY4OE
[00:16:59] わかりまし
[00:17:01] たありがとうござい
[00:17:06] ますリバリンってさフラジャイルに何も
[00:17:10] 言わずに来たっぽい多分そうね同じ舞台の
[00:17:15] メンバーにも相談せずに探索任務に志願し
[00:17:19] たってことやっぱり怪しい
[00:17:23] わ何かあるとは思ってたけどえどうして
[00:17:28] ですか
[00:17:29] アニスだって私のプリンを黙って食べます
[00:17:33] よねあなたこそ私のチョコバー勝手に食べ
[00:17:37] ないでよ勝手じゃありませんよきちんと
[00:17:41] 宣言してから食べています私が聞いて
[00:17:44] なきゃ意味ないでしょでもちゃんと言って
[00:17:47] ますからそんなの単なる泥棒の独り言じゃ
[00:17:52] ない何も言わない泥棒よりマではどちらで
[00:17:56] も同じ盗みは盗
[00:18:08] 個人的な事情があるのでしょう幸いまだ
[00:18:12] 作戦に大きな影響は出ていませんが実情が
[00:18:16] 分かるまでは不安要素を抱え続けた状態と
[00:18:19] なりますうんそうね背中から刺されるまで
[00:18:24] わかんないか
[00:18:26] もそうそう指揮官様の魅力で何もかも
[00:18:31] 聞き出しちゃってあでも手をついだりする
[00:18:35] のはなしねはい私からもお願いいたし
[00:18:43] [音楽]
[00:18:46] ますトンネルを抜けたようです
[00:18:49] ねこの周辺もかつては市街地だったよう
[00:18:53] ですクリスタルのせいで後方もありません
[00:18:57] が指定の深い場所ですので座標による追跡
[00:19:02] が行えませんクリスタルの密度も高いよう
[00:19:05] です長時間の接触は避けてくださいあとは
[00:19:09] 急いでハンマリングの信号を追いかけ
[00:19:12] ましょうと言いたいところです
[00:19:14] がその前に正面にあるものを確認して
[00:19:18] いただけます
[00:19:23] かああれが話に聞いた巨大クリスタルな
[00:19:28] です
[00:19:30] ね聞いていたより輝いているようには見え
[00:19:34] ませんが1から考えて探索体ごと落ちた
[00:19:39] クリスタルの塊りである確率が高いわ
[00:19:42] 近づいてみ
[00:19:49] [音楽]
[00:19:54] ましょうはい光も消えつつあります
[00:19:59] これ中に空間があるわねあと何かレバーの
[00:20:05] ようなものもありますねあそれあれだあれ
[00:20:12] そのブレーキ
[00:20:14] レバー
[00:20:16] ブレーキギガドリリング
[00:20:19] [音楽]
[00:20:29] うん推理完了ちょっと考えただけじゃない
[00:20:33] のあのレバーを引っ張るとかかっていた
[00:20:37] ブレーキが解除されてクリスタルの塊が
[00:20:41] 降りる仕組みかも降りる落ちる
[00:20:46] あ落ちたのかなトンネルを通って降りてき
[00:20:50] てここに来る仕掛けみたいでも字型の
[00:20:55] トンネルが滑り台みたいになってここまで
[00:20:59] 落ちてきたんだトンネルを抜けてここに
[00:21:02] 着陸いや
[00:21:05] 墜落その衝撃で崩れた
[00:21:09] みたい衝撃で崩れたちじゃあ巻き添えに
[00:21:15] なった方たちは
[00:21:18] おまさかその時の衝撃
[00:21:25] でどうして分かるんですか
[00:21:35] どういうことですか特に何かの役に立ち
[00:21:39] そうというわけでもブームとブームが
[00:21:44] インストールされてる
[00:21:47] ああ確かに無事みたいねかなり余裕があり
[00:21:52] そう
[00:21:54] ですいや思ったより危険かも
[00:21:59] エグにとっては息をするよりブームの
[00:22:02] インストールの方が簡単な
[00:22:05] ことなんて
[00:22:07] 嘘それくらい慣れてるって言いたかった
[00:22:11] だけなんなのよそれから残りの人たちも
[00:22:16] みんな無事だねブルーベリー
[00:22:19] ジュースHP回復アイテムがいっぱい置い
[00:22:23] てあるから余裕ありすぎじゃないエグの
[00:22:28] ダイイングメッセージですねダイイング
[00:22:31] メッセージの意味分かって言ってる
[00:22:34] えっとではとにかく
[00:22:37] 皆さん無事ということですねそうなんじゃ
[00:22:43] ないそれならどうしてここにいないん
[00:22:47] でしょう
[00:22:49] か多分あれのせいだろうな
[00:23:02] ほとどこにでも湧くわ
[00:23:09] [音楽]
[00:23:12] ね状況終了ただし戦時の騒音で付近の
[00:23:17] ラプチャーが反応してい
[00:23:20] ますできるだけ速やかに移動してください
[00:23:24] 状況を整理するとエレリバ
[00:23:28] はクリスタルの塊に巻き込まれた後この
[00:23:32] 時点まで到達したそれからあのテレビに
[00:23:36] ブームをインストールして回復アイテムの
[00:23:39] ある場所までプレイし
[00:23:41] [音楽]
[00:23:42] たそんな方法を使う必要があったかは置い
[00:23:45] ておきましょうその後ラクチャの襲撃を
[00:23:49] 避けるためどこかへ移動した今のところ
[00:23:54] 死亡やの痕跡は未発見で生存している可能
[00:23:58] 性が高となれば今後はハンマリングに持た
[00:24:02] せた発信機の信号を追跡するそれしかない
[00:24:06] わね発信機の反応は予想より遠くありませ
[00:24:10] んでしたただ位置が動いていないようなの
[00:24:13] で心配
[00:24:15] [音楽]
[00:24:16] ですハンマリング
[00:24:19] あ私が戦闘に立ちます皆さんついてきて
[00:24:25] ください
[00:24:31] [音楽]
[00:24:34] ブレーキ
[00:24:37] ブレーキ摩擦で速度を下げたり固定したり
[00:24:41] する
[00:24:42] ものどうした
[00:24:46] ブレーキ
[00:24:48] ブレーキ正動
[00:24:51] 装置
[00:24:53] あ
[00:24:56] ブレーキえっと
[00:24:59] あのチョロに
[00:25:01] 様独り言でしたら通信を切っていただけ
[00:25:06] ます
[00:25:06] かうるさいと気が散るのであごめん考を
[00:25:13] 整理したく
[00:25:17] てどうして巨大なクリスタルにそんなもの
[00:25:20] がついていたのか
[00:25:23] えっとそれでしたら運搬のためだと思い
[00:25:29] ますウンパえっとクリスタルの塊を
[00:25:34] ブレーキで固定してエネルギーを収集させ
[00:25:38] たらブレーキを解除してエレベーターを
[00:25:42] 通じて下に送るという感じかな
[00:25:46] と物流センターで働いている時に似たよう
[00:25:50] なものを見かけまし
[00:25:52] たはしご車のような仕組みだと思い
[00:25:56] ますさすがにに落とすような運び方はして
[00:26:00] いなかったですがなんで運ぶ必要があるの
[00:26:04] か
[00:26:05] な私も分かりませんがそんな使い方をする
[00:26:10] としたらうとし
[00:26:13] たらあのクリスタルってエネルギーの塊
[00:26:18] ですよねクリスタルの塊がある場所まで
[00:26:21] 動かせない何かがこちら側にあっ
[00:26:24] てその何かに
[00:26:27] [音楽]
[00:26:29] 大量のエネルギーが必要だったとかじゃ
[00:26:33] ないでしょう
[00:26:36] かその確証はないです
[00:26:40] がでも運搬ってそういうことなんです
[00:26:45] 動かせないもののある場所に必要なものを
[00:26:48] 届けるってことですからあれだけの
[00:26:52] エネルギーを使う何かがここ
[00:26:56] にフラジャイルの専門って荷物運びよね
[00:27:00] えそそうです
[00:27:03] が随分鋭いじゃないあバカにしてるわけ
[00:27:08] じゃなくて
[00:27:11] え私みたいなのは一生懸命お仕事するしか
[00:27:16] ないのでううまく仕事するために理論や
[00:27:22] 仕組みなども勉強してい
[00:27:24] てまあ最近はそのお仕事がなくなっちゃっ
[00:27:30] たんです
[00:27:31] けどごめんでもクリスタルの塊の内側に
[00:27:38] どうしてブレーキがあるんでしょうか知性
[00:27:41] を持った何かが何らかの目的を持ってそう
[00:27:45] していることは確かねヘレティック
[00:27:48] でしょうかおそらく
[00:27:50] そう誰だか知りませんが随分貴重面ですね
[00:27:56] 話のついでにもう1つ気になることがあり
[00:27:59] ますリバンとエレクリスタルに半分ほど
[00:28:04] 埋まってましたよねお尻丸出しで
[00:28:09] あれ丸出しだったんです
[00:28:11] かそれはもう丸見えでした丸見え
[00:28:18] まさか落ち着いて服は着ていた
[00:28:22] わ官様もご覧になったんですか
[00:28:32] 付き合ってもいない人のお尻を見るなんて
[00:28:35] 最低
[00:28:37] ですとはいえ重要なのはお尻が見えたこと
[00:28:42] ではありませ
[00:28:43] ん結構大事なことだと思いますがどうして
[00:28:49] 2人が丸出しになってしまったのかという
[00:28:52] ことです言い方に問題があるけど無関係な
[00:28:56] 話とも言えないわ
[00:29:01] はい一番ありそうな可能性
[00:29:07] [音楽]
[00:29:10] です調べた後には隣のリバンにはリバシ見
[00:29:16] て
[00:29:17] くだされとか声をかけるでしょうねグレグ
[00:29:22] の声に釣られてリバンも覗くはずね
[00:29:27] [音楽]
[00:29:29] クリスタルの運搬が始まり同時に成長した
[00:29:33] クリスタルに挟まれたということでしょう
[00:29:35] か最悪の場合挟まれた部位からクリスタル
[00:29:39] に侵食された可能性がありますそれよりも
[00:29:43] 悪い状況としてはクリスタルが実際は誰か
[00:29:47] にコントロールされていて何らかの仕組み
[00:29:50] で思い通りに動かせるという可能性もあり
[00:29:53] ます
[00:29:55] [音楽]
[00:29:59] 大いにあり得るかと敵対的な態度の他に
[00:30:04] クリスタルを制御しているようなそりも見
[00:30:07] られましたここで再遭遇する確率も高いと
[00:30:10] 思われ
[00:30:17] ます近ですまもなく到着します先に行く
[00:30:24] ぞ急いでる割にはまりないようですね
[00:30:30] ああドリルにブースターさえあれ
[00:30:33] ばその話まだ引っ張る
[00:30:37] [音楽]
[00:30:41] の発信地点に到達しまし
[00:30:44] た肉眼で確認できるはずです無事のはずよ
[00:30:50] ね
[00:30:51] ええ3人とも一緒のはず
[00:30:55] ですハンマリング
[00:31:00] ハンマリングどこだどこにいるんだよ
[00:31:14] ドリリング
[00:31:22] ラプチャーを確認動力を停止し潜伏してい
[00:31:26] たようです
[00:31:29] あ発信機の座標に変化
[00:31:32] ありラプチャーの現在地と一致え
[00:31:36] ハンマリングはラプチャーだったという
[00:31:39] ことですかそんなわけない
[00:31:45] でしょお前ハンマリングをどこにやった
[00:31:50] ドリリング
[00:31:55] [音楽]
[00:32:07] ね
[00:32:12] えそんなの分かってる発信機をこいつが
[00:32:16] 持ってるんだろうそいつを見つけねえと
[00:32:20] なんでこいつが持ってるのかわからねえが
[00:32:23] ハンマリングが元気な状態だったなら何か
[00:32:27] 残してあるはずだメッセージでもサインで
[00:32:34] も見つかれば手がかりに
[00:32:46] あ死
[00:32:50] だそうだな正確には液体触媒だ私たちに
[00:32:57] とっては
[00:32:58] しだろ死んじまったの
[00:33:03] かどこ
[00:33:06] でどうやっ
[00:33:14] てやってらんねえよ一体どこにいるんだ
[00:33:19] あの
[00:33:26] ドリリング先ばられると皆さんも巻き付い
[00:33:31] になりかねないので
[00:33:36] まくどこ行っちまったんだ
[00:33:41] よあのバカ
[00:33:45] さどこにいるんだ
[00:33:47] よだから危ないって言った
[00:33:52] [音楽]
[00:33:54] だろうったら
[00:33:57] マジ
[00:34:01] で高いところへ行き
[00:34:04] ましょうそこから探せますこの先に高い
[00:34:08] 建物がありました私が先導します
[00:34:13] ラジャねえドリリング
[00:34:17] [音楽]
[00:34:27] [音楽]
[00:34:30] ここなら行ける場所の中では1番見通しが
[00:34:34] 効くはず
[00:34:36] ですま見えるとは言いました
[00:34:39] けど実際にはクリスタルに道を塞がれて
[00:34:43] いるので目印になりそうなものの確認
[00:34:47] ぐらいしかできそうにないですね
[00:34:51] ランドマークに使えそうなものはある
[00:34:54] ああどうでしょうね
[00:34:59] ランドマークにできるものはいくつかあり
[00:35:02] そうです
[00:35:04] が問題はランドマークの周りがどうなって
[00:35:09] いるかわからないのでじゃあどうするのう
[00:35:15] すみませ
[00:35:16] んやっぱりそもそもどこを目指せばいいか
[00:35:21] わからない
[00:35:22] と発信機があんなことになってしまったの
[00:35:26] で
[00:35:28] う申し訳ありませんガイドなのに役に立た
[00:35:33] なく
[00:35:38] て
[00:35:40] ああある程度の判断基準を決めてルートを
[00:35:45] 組むことはできそうです
[00:35:47] が成果は期待できないと思います
[00:35:52] クリスタルが多すぎて危険ですし
[00:35:58] 先発隊の資料のおかげで注意するべきもの
[00:36:02] は一応分かる
[00:36:04] けどそれが全部っていう保証もないから
[00:36:10] ねじゃあ諦めるの
[00:36:21] かどうやって手段なら色々ある
[00:36:26] わかく立たせたいなら煙を起こしてもいい
[00:36:30] でしょうねラプチャーが熱感知して
[00:36:33] うじゃうじゃ集まってきそう集まってきた
[00:36:36] ラプチャーとできるだけ派手に戦えば
[00:36:39] 私たちの存在をアピールできそうですね
[00:36:43] っこ良さ
[00:36:45] そうそれはリスクが高すぎる気が
[00:36:59] 何をすれば
[00:37:02] いいだ
[00:37:05] じゃ大丈夫でしょう
[00:37:07] かどれだけ押し寄せるかもわからないです
[00:37:11] しクリスタルチャンバみたいなものが出て
[00:37:14] き
[00:37:15] たらさっきから思ってたんだがお前見つけ
[00:37:21] たくないって思ってるわけじゃねえよ
[00:37:25] な始めよう
[00:37:28] [音楽]
[00:37:32] 状況
[00:37:33] 終了ですがラプチャー続々と接近中すごい
[00:37:39] 数ブームのタイトル画面みたい第2波が
[00:37:44] 来る迎撃
[00:37:48] 準備はいずっと見てい
[00:37:54] ますこんなのいつまで続けるんです
[00:37:59] か反応があるまでだそその前にこっちが
[00:38:07] はあそこです何か光ってます
[00:38:12] どこあそこですあそこてどこよあちらの
[00:38:19] えっとあの看板
[00:38:23] です分析中
[00:38:25] ですブームのゲーム画面を確認
[00:38:34] [音楽]
[00:38:38] あ
[00:38:41] おお
[00:38:45] うおみのシ私たちを助けに来てくださった
[00:38:49] んですなあどちらもマゴみたいなパターン
[00:38:54] は勘弁してくだされはあ
[00:38:58] 人安心ね全くですね体に異常は問題なし
[00:39:05] ですぞレグおやドロにバックアップ担当
[00:39:12] だったのです
[00:39:15] なよかった無事
[00:39:18] で無事に決まっておりますなドロに石と外
[00:39:22] で遊ぶ約束がありますゆえ
[00:39:30] はいお腹ですか
[00:39:34] な
[00:39:36] ああの時のことですかな心配ご無用ですぞ
[00:39:42] お腹の肉が弾いてくれましたから
[00:39:45] な冗談ですぞ少しは侵食されましたが幸い
[00:39:51] 大事には至りませんでしたな
[00:39:57] どっってことないですぞハンマリングは
[00:40:01] リバリンはどこにおやどちら様ですかな
[00:40:06] ハンマリングの仲間だリバリーの友人です
[00:40:11] ああなるほど
[00:40:14] うんしかし困りましたなお2人が今どこに
[00:40:19] いるのかは私にもなんだってまさか2人を
[00:40:25] 見捨てて逃げてきたっていう気か
[00:40:28] いくら仕事上の付き合いたってどうして
[00:40:31] [音楽]
[00:40:33] そんな対面なのにきついですな
[00:40:37] うんまずは今まで何があったのかを説明さ
[00:40:42] せてもらえますかな納得の行く説明をして
[00:40:46] もらうぞいやはやあまり怖がらせないで
[00:40:50] いただきたいです
[00:40:51] なとはいえ状況的にお気持ちは分かります
[00:40:56] ゆえひとまず不問としておきます
[00:41:00] ぞ
[00:41:02] うんとりあえずクリスタルごと落下した時
[00:41:06] のことから話すのが良さそうです
[00:41:10] な
[00:41:11] うお落ちてます
[00:41:15] ぞ
[00:41:17] へえ2人ともしっかり捕まってる
[00:41:22] ぞ捕まる場所がありません
[00:41:26] おリバリーし痛いですぞそこは掴まないで
[00:41:31] くだされごめんなさい目立っていたので
[00:41:35] ついハンマリングしそちらは大丈夫ですか
[00:41:40] なハンマーを引っかけてあるので大丈夫
[00:41:44] っす全然大丈夫じゃなさそうな気がします
[00:41:48] ぞら落下速度が早くなってませんかいや
[00:41:53] 向きが変わったみたいですがえっとあ
[00:41:58] そそうっすね今はどこかにまっすぐ動い
[00:42:00] てるみたいっす気をつけて
[00:42:07] くだされ
[00:42:09] うえ痛いです
[00:42:12] なお2人とも無事ですかな
[00:42:16] おおそらく
[00:42:19] 私も大丈夫
[00:42:22] っすう腕の状態が悪化しておりますな
[00:42:27] 大丈夫
[00:42:28] すこれ以上ひどくなったら切り捨て
[00:42:32] るっすそう簡単にはいきませんぞところ
[00:42:37] でここはどこっすか分かりませんな今から
[00:42:43] 調べます
[00:42:44] ぞ携帯端末は無事ですかなあ確認してみ
[00:42:50] ますね
[00:42:52] あれ動かないっすあれ
[00:42:57] の濃度は低かったはずで
[00:43:01] は県外ですなつまりアークからの通信が
[00:43:06] 届かない場所ということですなじゃじゃあ
[00:43:11] 連絡手段
[00:43:13] が今のところはないということですな
[00:43:19] そんな
[00:43:21] うんおテレビがありますなちょっとブーム
[00:43:26] をインストールします
[00:43:28] ぞこんな時でも趣味をお忘れにならないの
[00:43:32] はさすがと言いたいところですが今やる
[00:43:37] べきことで
[00:43:40] は少々待ってくだされメッセージを残して
[00:43:43] おきますゆえメッセージです
[00:43:47] かその通りですな揮刊が私たちの救出に来
[00:43:52] てくださるはずですから
[00:43:55] なに見捨てられてと思います
[00:43:58] がなんとなぜですかなだって私たちなんて
[00:44:05] いくらでも代わりが効くじゃないですか
[00:44:09] ひひそれはありませんな関しはそういう方
[00:44:14] ではありませんからな私もそう思うす
[00:44:18] マイティツールズの先輩たちがすごく褒め
[00:44:21] てたっ
[00:44:22] す先輩たちが信じてるから私も信じるっす
[00:44:27] だといいのです
[00:44:31] がメッセージは残せましたぞさて私たちは
[00:44:36] 探索を続けますかなはいここで待機した方
[00:44:41] がいいと思い
[00:44:42] ます行方不明者が歩き回ったら余計に
[00:44:46] 見つかりにくくなっ
[00:44:48] てでは訂正しますぞここから逃げましょう
[00:44:54] かなお
[00:45:01] え
[00:45:06] ラプチャー困ったっすねあれだけ派手に
[00:45:10] 物音を立てましたからな気づかれない方が
[00:45:13] おかしいですぞそれじゃあスらささです
[00:45:21] [音楽]
