# NIKKE 第26章 转录
视频ID: y32W12rS9s8
[00:03:31] そもそもそんなことができるんです
[00:03:34] かありえませんね人格が変わるケースは稀
[00:03:38] に見ますが体と人格が丸ごと入れ替わる
[00:03:42] などという話はまして服装と武装まであり
[00:03:48] えないことですでも私はここにいるぞもう
[00:03:53] 1回真面目に答えてラピはどこここにい
[00:03:58] るって言ったろ
[00:04:00] だからそれをどうやって信じろて言うの
[00:04:05] よ証明の仕様がないんだよ
[00:04:09] そもそもあなたが本当にレッドフードか
[00:04:12] どうかというところから怪しいですねム私
[00:04:17] は偽物だろうと思っていますに何を企んで
[00:04:21] いるのですレッドフードの姿で何をする
[00:04:25] つもりです
[00:04:26] [音楽]
[00:04:28] かの嬢様は相変わらずだ
[00:04:32] なその服も変わってないよなちびちゃんに
[00:04:37] 改良してもらってそのまんまかどうして
[00:04:41] それをそりゃ私は私だから古いものほど
[00:04:47] いいもんなん
[00:04:49] だそんなはずはあれお2人はお知り合い
[00:04:56] だったんですか
[00:04:58] なあよ知っ
[00:05:01] てる
[00:05:03] ひとまずひとまず理解はしまし
[00:05:07] たあなたがレッドフード本人だと
[00:05:12] しかしラピがあなたとボディを共有して
[00:05:15] いるという話はとりあえずちょっと場所を
[00:05:19] 変えない
[00:05:20] かラピがうるさくてたまんねえんだ歩けば
[00:05:25] 少しマになるからさ
[00:05:30] 同じことばっかり繰り返してるよ故郷を得
[00:05:34] て
[00:05:35] [音楽]
[00:05:39] なさとりあえず歩こう
[00:05:43] ぜ歩きながら話すからさうるさくてたまん
[00:05:53] [音楽]
[00:05:56] ねえ私だ進捗は
[00:06:02] かなんだ
[00:06:09] [音楽]
[00:06:27] [音楽]
[00:06:50] [音楽]
[00:07:00] あ
[00:07:03] [音楽]
[00:07:23] [音楽]
[00:07:37] [音楽]
[00:07:53] た
[00:07:58] [音楽]
[00:08:14] [音楽]
[00:08:28] DET
[00:08:33] [音楽]
[00:08:56] [音楽]
[00:08:58] ああ
[00:09:09] [音楽]
[00:09:28] [音楽]
[00:09:42] [音楽]
[00:10:04] [音楽]
[00:10:23] た
[00:10:24] [音楽]
[00:10:38] [音楽]
[00:11:01] [音楽]
[00:11:14] [音楽]
[00:11:23] た
[00:11:24] [音楽]
[00:11:41] ラピは本当に私の友達に似ていますね
[00:11:47] 雰囲気や性格は違うのに戦い方はうり2つ
[00:11:52] ですその人ってレッドフードですかあら
[00:11:58] どうして分かったんですかレッドフードを
[00:12:03] 知っているんですかやっぱり聞き間違い
[00:12:07] じゃなかったの
[00:12:10] ねレッド
[00:12:12] フード一時進行の2件そして伝説の指揮官
[00:12:19] あなたたちの分隊名は最初からパイオニア
[00:12:23] だったのかしらいいえこれは地上で2人に
[00:12:28] 再開した時にもらった名前です元の名前は
[00:12:33] ゴッです
[00:12:35] [音楽]
[00:12:44] [音楽]
[00:12:54] [音楽]
[00:13:04] そんな話を信じろというのですか空科学を
[00:13:08] 信じ込むような方とは知りませんでした私
[00:13:12] とラピが同じボディを共有してる何を真剣
[00:13:17] に考えているのですよに決まっている
[00:13:21] でしょうでも今分かってることはそれだけ
[00:13:24] だろうラピを作った人の言葉なら信じない
[00:13:28] とそれならなんつうかさ実際そんな感じが
[00:13:32] する
[00:13:34] し
[00:13:36] チャイムはお嬢様この方がおっしゃった
[00:13:40] 内容を要約してもらえます
[00:13:45] ことおえあ
[00:13:48] そのお嬢様はそのようなこと考えずとも
[00:13:52] よろしいなです私に全てお任せください
[00:13:57] ませそ
[00:13:59] そうですわよね私はただ決定さえ下せば
[00:14:04] 良いのです
[00:14:05] からもちろんでございますお嬢様ほどの
[00:14:10] 好奇なお方が粗末なことを知る必要は
[00:14:13] ございませんあなたたち理解できなかった
[00:14:17] んでしょうな何をおっしゃいますの理解
[00:14:22] する必要がないというだけのことですそそ
[00:14:25] その通りでございますお嬢様は私だけを
[00:14:30] 信じてくださればよいの
[00:14:34] ですそういうことなら今お前が持ってる
[00:14:38] その注射それを私に打てばラピに戻るん
[00:14:44] だろ私は死ぬんだよ
[00:14:47] なじゃあ早くやろうぜはい
[00:14:53] え驚きましたね怖くはないんですかほら
[00:14:59] 打ってくれよレッドフード待ってください
[00:15:04] なんでだよちっとと済ませないと私は死ん
[00:15:08] だんだそれは確かに覚えてるもちろん単に
[00:15:13] 蘇ったぜみたいな話だったら素直に喜んだ
[00:15:17] けどさラピの体を借りてるんだろなら私が
[00:15:21] こうしてる間にもラピがどうにかなっ
[00:15:24] ちまうかもしれないし
[00:15:29] ほらなそうだろ言いたいことは分かります
[00:15:33] がことを急がないでくださいこの話が事実
[00:15:37] か確認してからでも決して遅く
[00:15:41] は私は今ここにいちゃいけねえそれはダメ
[00:15:46] なんだ私はもう死んでるんだから過去の
[00:15:50] 存在ってこった今を生きてるやのものを
[00:15:54] 奪うわけにはいかねっ
[00:15:57] てほら
[00:16:00] [音楽]
[00:16:08] 早く待って
[00:16:14] くださいあれ
[00:16:17] え
[00:16:19] あれどうなってんだ
[00:16:22] これ待ってくれすぐ話す
[00:16:27] から痛いよな悪いえすぐにあれれれどうし
[00:16:34] たんだ言うこと聞かないぞレッドフードこ
[00:16:39] これ私じゃねえラピが掴んでるん
[00:16:44] だいや本当だっ
[00:16:47] てほら見てくれ
[00:16:52] [音楽]
[00:16:55] よおい
[00:16:57] ラビな何してんだ
[00:17:06] よラピの
[00:17:09] やつ注射が大嫌いみたいだなあなたどう
[00:17:15] いうつもりラピを返して早く返しなさいよ
[00:17:20] ラピが嫌がっているという話でしょさっき
[00:17:23] まで信じてなかったくせに急に信じること
[00:17:26] にしたわけレフの言葉を信じているだけ
[00:17:30] ですじゃあ何をロピが死にたがってるって
[00:17:34] 言いたいのふざけない
[00:17:39] で
[00:17:42] んああそう
[00:17:47] だ
[00:17:49] えっと知らないわ私も聞いたことないです
[00:17:54] ね
[00:17:59] うお
[00:18:09] [音楽]
[00:18:19] [音楽]
[00:18:26] [音楽]
[00:18:30] じゃあこのままの状態でレッドフードの
[00:18:33] 故郷に行くのがラピの望みって
[00:18:40] こと正直に言うとこんなSFとイチ宗教が
[00:18:45] 混ざったみたいな話を聞いてるよりあいつ
[00:18:49] を取りえて無理やりにでも注射するべきだ
[00:18:52] と思うんだけどナピがどんどん消えちゃう
[00:18:55] ん
[00:18:57] でしょ官
[00:19:04] [音楽]
[00:19:12] 様信じてるのねあいつの中にラピがい
[00:19:19] るってレッドフードが死にたくないから
[00:19:23] でたらめ言ってるのかもよ
[00:19:26] [音楽]
[00:19:36] 師匠嘘じゃないっ
[00:19:41] てデッドフードをラピに戻す方法はその
[00:19:45] 駐車以外にないのです
[00:19:48] かそうですかでは行きましょうそれで
[00:19:54] レッドフードの故郷はどこなんですかさあ
[00:19:58] [音楽]
[00:20:00] ここだって初めて見る場所だしあなたね
[00:20:04] いやだからさ私はめちゃくちゃ昔の人間な
[00:20:08] んだぞ死んでる間に相当色々あった
[00:20:12] だろう知らなくて当然だっって指揮官様
[00:20:17] どう
[00:20:21] [音楽]
[00:20:25] するうとにかくど田舎だったからなああ
[00:20:30] そんな立派なもんはなかったな
[00:20:32] トウモロコシ畑がずっと続いてたぞ家畜を
[00:20:36] 飼ってるとことかも結構あったな
[00:20:40] あ街を挟んで流れてる川がちょっと変わっ
[00:20:45] てた
[00:20:47] な銃の扱いは散々怒られたでしょう平気
[00:20:52] だっって汚れは落とせばいいだろとにかく
[00:20:56] こんな感じの川だったんだ
[00:20:59] 全然わかんないわよただのくねくねした線
[00:21:02] じゃない私はミを描いてるのかと思いまし
[00:21:06] た
[00:21:07] うーんわかんないか全然これれっぽっちも
[00:21:13] そもそも私たって地図が読めません
[00:21:18] しあ
[00:21:21] 失礼くねくねがは3号なのだ細かい部分は
[00:21:26] 少し違うが
[00:21:29] 多分間違いないのだそこなら私たちが知っ
[00:21:34] ているのだこれで分かったの
[00:21:39] うんまっすぐ伸びたトウモロコシ畑があっ
[00:21:42] て木造ベースの上が大体20件うんなぜか
[00:21:48] わからないがガソリンスタンドもあったの
[00:21:52] だあとはタブらしき建物が1軒あってるの
[00:21:58] だ
[00:21:59] もしかしてパブの名前って塗装が剥れてて
[00:22:04] よくわからなかったが
[00:22:08] エンジェルスなんとかだったのだ
[00:22:12] エンジェルス
[00:22:14] ヒそれだひどい名前ね案内してくれないか
[00:22:20] お嬢様いかがなさいますか同しましょう
[00:22:27] 困っているておくことなどできませんわは
[00:22:32] ではすぐに出発いたしましょうどの程度
[00:22:36] かかりますか
[00:22:38] うー人間がいるとなると大体1週間は
[00:22:42] かかるのだ遠いの
[00:22:48] ね貴様が血抜きで食らいつく覚悟がある
[00:22:52] なら不可能ではないの
[00:22:55] [音楽]
[00:22:56] だよし
[00:22:59] では早く動くのだこちらの法学ですね私と
[00:23:04] レッドフードは先に行きますツモる話が
[00:23:07] ありますのでそうだ
[00:23:11] なさあ私たちも話されすぎないようにする
[00:23:15] のだあのところでバタバタしていて今まで
[00:23:21] 聞けなかったのですがお2人は誰ですか
[00:23:32] [音楽]
[00:23:36] 私たちはバイス
[00:23:38] リッター好なる白とお呼びくださいませ
[00:23:43] この地上に王国を打ち立てるため財宝と民
[00:23:47] を集めているのだ所属はどこ所属など
[00:23:51] ございません私たちが王国でありそれがわ
[00:23:58] 場ですピルグリムね世間様ではそう呼ばれ
[00:24:03] ているようですわね王国ってどこにあるん
[00:24:07] ですかここから遠いところですわね国民は
[00:24:12] どれくらいいるんですか私を含めて3人
[00:24:16] ですわ
[00:24:18] 王国なんでしょう大さいれば王国ですわ王
[00:24:24] 様は誰なのよ私
[00:24:28] ですわじゃあ王妃様は王妃
[00:24:34] あ王の秘書のことですねそれなら隣にいる
[00:24:40] チャイムです
[00:24:41] わ光栄でございますお嬢様
[00:24:46] ああ
[00:24:48] [音楽]
[00:24:50] うんとを探していたらあいつを見つけたの
[00:24:56] だ王国の民になりたいと言われたので民の
[00:25:01] 頼みを聞いていたところだったのだ大たる
[00:25:05] もの民の願いは聞くべきです
[00:25:10] からどうかしら知らない場所で目が覚めて
[00:25:14] 何も分からないって時に誰かが来て民に
[00:25:19] なったら助けてあげるって言われたら指揮
[00:25:22] 官様ならどう
[00:25:25] する
[00:25:26] でしょとにかく
[00:25:28] こうなった以上お前たちも民として
[00:25:32] 受け入れてやるのだ公に思うのだえ私たち
[00:25:37] も
[00:25:39] えありがたいお言葉だけどやめとくわ拒否
[00:25:44] 見はないのだ我々の恩恵を受けたものはみ
[00:25:49] 民となるのだ
[00:25:51] うじゃあ私は30スパイになるんですか何
[00:25:57] 貴様
[00:25:58] スパイだったのだはバレてしまいましたか
[00:26:03] 放様こやつスパイだそうです
[00:26:08] ああええ
[00:26:10] はい私もパイはよくいただきますわね聞い
[00:26:15] たか今すぐパイを用意するのだやってらん
[00:26:20] ないわそういえばチに詳しいようですが
[00:26:26] 地図の読み方のとかていたけませんか勉強
[00:26:30] したいんです地図そのものは見ないのだ
[00:26:35] 全て覚えているのだ地図丸こと正しくは
[00:26:41] 地形と建物を覚えているのだそうすれば
[00:26:45] 宝探しがスムーズになるのだすごいですね
[00:26:52] はははわからないことがあればいくらでも
[00:26:56] 聞くのだお告ってどこにあるんです
[00:27:02] [音楽]
[00:27:07] か信頼できるところに預けてきた心配する
[00:27:11] なちょっとがめつい上に自分の民になれと
[00:27:15] うるさいが白の名にふさわしく信頼を
[00:27:19] 裏切る奴らではない
[00:27:22] あ誰に預けたかと思えばやはり士のちゃん
[00:27:27] ただ
[00:27:29] その方もピルグリムなんですかはい
[00:27:34] クラウンとチャイムと言って王国のアジに
[00:27:38] なろうとする可愛い姉妹たちがいます
[00:27:41] あなたたちが言うならまあ信頼できる人
[00:27:44] たちなんでしょう
[00:27:46] [音楽]
[00:27:50] ねお
[00:27:52] [音楽]
[00:27:59] 貴様がなぜその名を
[00:28:02] は思い出したあなたたちがそうでしたか
[00:28:08] あなたたちが
[00:28:12] カウンターズ
[00:28:13] ええ元気に過ごしておりますわもう夜通し
[00:28:17] 泣き続けることもなく1人でオルス番を
[00:28:21] 任せられるほど
[00:28:24] に毎日と話と拾い食いをすることは問題
[00:28:31] ですがその他は平和に過ごしております
[00:28:38] わ悪いとこばっかり学習してるじゃない別
[00:28:42] の意味で完全体になりましたねですが
[00:28:47] 健やかに過ごしておりますわそこはご安心
[00:28:50] ください
[00:28:51] [音楽]
[00:28:53] ませご心配
[00:28:55] なくはて民を見捨てませんわ何があっても
[00:29:02] もちろんでございますでもスノホワイト
[00:29:06] たちは何をしてるのよマリアンを他人に
[00:29:09] 預けるなんて自分たちが責任を取るって
[00:29:13] 言ってたのにお嬢様よろしいですか
[00:29:18] ええこの方たちは知るべき
[00:29:22] でしょうずっと探し求めていた反撃の糸口
[00:29:26] を見つけただから少しの間頼んだ今話せる
[00:29:32] のはここまでなの
[00:29:36] だその通りなのだだからこれ以上は聞か
[00:29:42] ないで欲しいのだマリアの話もなのだこれ
[00:29:46] 以上話すと合わせてやりたくなってしまう
[00:29:50] のだ何を見かけによらずいいやつだったの
[00:29:56] ね見かけによらずとは失礼なの
[00:30:00] [音楽]
[00:30:05] だ変わっていません
[00:30:08] ねだろ私もちょっと驚いたよあれからどう
[00:30:13] なったのですか
[00:30:15] [音楽]
[00:30:17] うん話してもきっと信じられないぞそう
[00:30:22] ですかそういうお前
[00:30:25] はよくまだ生きてたなすごいぞ100年は
[00:30:30] 経ってるだろうするべきことがあるので
[00:30:34] 生きています正しくはないに近いです
[00:30:39] がするべきことなんだよ秘密ですなんだよ
[00:30:46] 何があったん
[00:30:48] だ多くのことがありました話してもきっと
[00:30:53] 信じられないでしょうね
[00:30:56] [音楽]
[00:30:59] そっ
[00:31:01] か侵食は治ったようですねこれは私の体
[00:31:05] じゃないから治ったってよりそもそも
[00:31:09] かかってないんだろなるほど
[00:31:15] なんと言えばいい
[00:31:17] でしょう話したいことがたくさんあるかと
[00:31:20] 思ったのですが思ったよりありませんね
[00:31:26] すぶりのやに会うってのはそういうもん
[00:31:30] だっ
[00:31:31] て生きてきた方向が違うからそうですか
[00:31:36] それ
[00:31:37] に私とあんまり話さない方がいいんじゃ
[00:31:41] ないかなぜですかそりゃ
[00:31:46] まあなたは本当に変わりませんねどうして
[00:31:52] それほどまでに人生に未練がないの
[00:31:55] でしょう私は
[00:31:58] 未練に囚われて生きているのにドシお前は
[00:32:02] 随分変わったな私がですか雰囲気っていう
[00:32:07] か目つきていうかなんか全然違う
[00:32:14] ぞ教えてくれよ何があったのか私
[00:32:23] はやめておきましょう楽しくお話できる
[00:32:27] ことでもあり
[00:32:29] おい愚痴として消化できるほど軽い話では
[00:32:34] ないのですまあなたがこのまま生きると
[00:32:38] 決めたなら愚痴ではなくなるかもしれませ
[00:32:41] んそうなれば話せるようになりますね
[00:32:46] 分かってるだろこの体は私のもんじゃな
[00:32:49] いっ
[00:32:52] てそうですね
[00:32:57] [音楽]
[00:33:04] おどうした男前私にこっそり伝えたい話で
[00:33:08] もあんのかそれともこっそりなんかした
[00:33:11] いって
[00:33:14] かそりゃ残念じゃわざわざ先を歩いてる私
[00:33:18] のとこまで来た理由はラピを早く返せとか
[00:33:23] 気持ちは分かるけどそうしたくてもでき
[00:33:25] ないんだよな
[00:33:29] スリーサイズでも知りたいのかそれなら先
[00:33:33] にお前のサイズ
[00:33:34] [音楽]
[00:33:37] は言っただろう友達師匠仲間その辺のどれ
[00:33:44] かだろうそれ
[00:33:46] か全部だ
[00:33:50] なまそういうこった何も持ってなかった
[00:33:54] やつといっぱい持ってたけど全やだった
[00:33:59] から聞いただけだと相性悪そうだろそれが
[00:34:03] 案外良かったんだあの時はもう新色の末期
[00:34:07] だったからまともに思い出せないけどさ
[00:34:10] 短い間だったけどかなり良かった覚えが
[00:34:13] あるんだ詳しくは教えてやらないぞ告発か
[00:34:18] しし私だけの思い出にしておきたいからな
[00:34:22] それはあいつも同じはず
[00:34:24] [音楽]
[00:34:26] ださっぱりしてん
[00:34:30] ねえくを破壊しろって言っ
[00:34:34] たって私
[00:34:36] が
[00:34:38] おくまだ無事なの
[00:34:41] か
[00:34:43] へえすげえなやったのかあいつ
[00:34:47] [音楽]
[00:34:50] らマジですげえ
[00:34:54] や
[00:34:56] うんでも
[00:34:58] なんで私がアークを破壊しろなんて言った
[00:35:01] ん
[00:35:05] だなんかすっげえ大事なことを忘れてる
[00:35:10] よう
[00:35:20] な大丈夫
[00:35:22] 急に頭がちょっと痛くなっただけさ
[00:35:30] いや一方的に質問攻めされたんだから今度
[00:35:35] は私が聞く番
[00:35:37] だお前はラピとどういう関係
[00:35:43] だ後ろのうるさいやつとメガ
[00:35:47] もまああの2人はラピの仲間でいいん
[00:35:51] だろうけどお前はちょっと違う気がするん
[00:35:54] だよ
[00:35:56] な私
[00:35:58] 今ラピの体を借りてるだろうお前が隣に
[00:36:01] 来るたびになんつうか妙に落ち着くような
[00:36:07] でもそわそわするっていうかなんかそう
[00:36:10] いう感じがするんだ
[00:36:15] よ
[00:36:17] うんそれだけ
[00:36:19] かほら男と女のとかさそういうのはなかっ
[00:36:25] たのかよ
[00:36:28] どってるってことはなんかある
[00:36:35] な
[00:36:38] [音楽]
[00:36:39] お何言ってんだ
[00:36:42] よ愛だよ
[00:36:46] 愛かけてみるか夜中にこっそりラピの
[00:36:51] ところに行ってみろよそうすりゃすぐ
[00:36:56] に
[00:36:58] [音楽]
[00:37:05] ういや気にしないで
[00:37:09] くれとにかく約束するよラピの願い通り
[00:37:15] 故郷にたどり着け
[00:37:17] たらその後に必ず返すからお前の大切な
[00:37:21] [音楽]
[00:37:26] ラピオはいはいよくわかりました早く
[00:37:31] 行こうぜ故郷
[00:37:37] にいやこれは私じゃ
[00:37:42] ない久しぶりにいい男の手でも握って歩き
[00:37:47] たくてさいい
[00:37:50] だろう
[00:37:51] よしいいねいいね
[00:37:55] [音楽]
[00:38:02] は退屈だ
[00:38:04] わこの上なく平和ねお散歩してるみたい
[00:38:10] 何か食べますいや別にお腹は減ってないの
[00:38:15] よそのなんて言うかこんなに緊張感ゼロで
[00:38:21] 地上を歩き回っててもいいのかなってそう
[00:38:24] ですねが
[00:38:27] 何しようとしてもあの方たが全部片付け
[00:38:31] ちゃいますから数日前から一発も打って
[00:38:36] ませんこれではきっと火力の神に呪われて
[00:38:40] しまい
[00:38:41] ますドロシーは元から化け物みたいだった
[00:38:45] からいいとしてレッドフードもとんでも
[00:38:49] ないわねはいとても過激な戦い方ですが
[00:38:54] 強い
[00:38:55] ですときがすごく似てるわですよね私も
[00:39:01] そう思いました正直ちょっと馬鹿にしてた
[00:39:05] クラウンとチャイムもよく戦ってるしそう
[00:39:08] ですね地上で長く過ごしている以上然と
[00:39:13] そうなるの
[00:39:16] でしょう私たちここまで来る必要あった
[00:39:23] かしらあんまり役に立ってないわよね
[00:39:27] いいえ食料担当であれなんであれ役には
[00:39:31] 立ってますよ雑用がりってこと
[00:39:43] ね腹が立ちます
[00:39:46] ね腹が立つ
[00:39:49] わ私戻ったら訓します社長に会いに行って
[00:39:55] いいパーツと銃ももらって
[00:39:58] ロストテクノロジー的なものでガチガチに
[00:40:00] 固めて最強になって見せますよ私も
[00:40:05] マスタング社長のところに行くわ子供
[00:40:08] みたいにわがまま言わ
[00:40:11] なきゃ大丈夫です自分たちで解決します
[00:40:16] そうしないと意味がありませんから官様は
[00:40:22] これからもっと大事なことをやるんでしょ
[00:40:25] そうしたらもで強い子たちが揮官様の隣に
[00:40:29] ずらっと並ぶはずよそんなの黙ってみて
[00:40:34] らんないわそうですよ早くラピを探して
[00:40:38] 帰りましょう決心が鈍る前に動かないと
[00:40:42] はいそこのお2人
[00:40:46] え私たちですかはいこちらに来ていただけ
[00:40:51] ますか何どうしたの丘の向こうに何がある
[00:40:56] のか肉眼で確認してきてください下の方で
[00:41:01] 敵が待機していたら困りますので敵が待機
[00:41:05] していたらどうなるんですか丘から顔を
[00:41:08] 出した瞬間攻撃されるでしょう
[00:41:14] ねやはり結構です私が行きますネオ行き
[00:41:19] ましょう
[00:41:23] はい揮官様はここにいて危ないから
[00:41:27] すぐ戻ってくるね見てなさい
[00:41:31] よ罠
[00:41:36] [音楽]
[00:41:38] わレッド
[00:41:41] フード
[00:41:43] ん今更聞くのもちょっとあれだけどあなた
[00:41:48] 怖くないの何が
[00:41:52] ああ死ぬこと怖いよもちろん
[00:41:57] でも私は今生きてるわけじゃないラピの体
[00:42:01] をちょっと借りてそのなんつうの表意して
[00:42:05] るってやつだきちんと元の持ち主に返さ
[00:42:09] ないと
[00:42:11] な
[00:42:13] ありがとう疑って悪かったわね気にすん
[00:42:17] なっ
[00:42:18] てどうしたさっきから黙ってくけどレッド
[00:42:23] フード昔できなかったことに対して未練は
[00:42:27] 残っていませんかそりゃあるけど過去とは
[00:42:32] 違う選択ができるならどうします
[00:42:35] か他の選択をするだろうなレッドフード今
[00:42:41] この時代で生きていきたいと思いませんか
[00:42:46] はあ
[00:42:47] お
[00:42:49] おおラピに体を返さずレッドフードとして
[00:42:54] 行き続けるつもりはないかと聞いたのだ
[00:42:58] ちょっといきなり何を言い出すのよ効率の
[00:43:02] 話ですレッドフードは強いですし戦闘経験
[00:43:07] も豊富にあります率直に行ってラピよりも
[00:43:11] 数倍は上でしょうボディのスペックからし
[00:43:14] て圧倒的ですそれから武装もスノ
[00:43:21] いえ最高の名称が作ったものです
[00:43:25] ラプチャーたからしたいならラピより
[00:43:29] レッドフードを残した方が役に立つ
[00:43:32] でしょう本気で言ってるのもちろんです私
[00:43:37] は簡単な話をしています2つのうち1つを
[00:43:42] 選ばなければならないそれならより良い方
[00:43:47] を選ぶそれが全てにおいて基本中の基本で
[00:43:52] はありません
[00:43:53] かベッドフード
[00:43:57] あなたは選べるのです今その体はあなたの
[00:44:02] ものなのですからこの時代に残って
[00:44:05] ください
[00:44:07] そして私と一緒に行きましょうあなたと
[00:44:11] いう人は行けば何をしてくれるってんだ
[00:44:17] あなたが一番輝いていた頃に戻してあげ
[00:44:20] ます1番輝いていた頃
[00:44:24] えあの頃にうん
[00:44:29] 生きてるの
[00:44:30] かあいつらもそうですちびちゃんも
[00:44:37] え性格は随分変わってしまいましたが
[00:44:42] みんな何してんだクイーンを倒すため地上
[00:44:47] を彷徨い続けていますあれから
[00:44:50] ずっとそりゃすげえなお前もあいつらも
[00:44:58] 連絡はつくのか
[00:45:00] いいえ私とは考えが合わなくなったの
[00:45:04] で今は合っていませんですがあなたがいる
[00:45:09] なら昔と変わらないあなたがいてくれる
[00:45:12] なら
[00:45:14] みんな昔に戻ることができます
[00:45:19] 1番1番輝いていたあの頃に栄光に満ちて
[00:45:25] いた
[00:45:27] あの頃に戻ってどうするんだそれは戻って
[00:45:34] から考えても遅くありませんしたいことが
[00:45:37] あるならすればいいのです私
[00:45:41] もあの頃に戻れるなら戻ることができるの
[00:45:45] なら全てを忘れ
[00:45:48] てもう
[00:45:50] 一度始められますです
[00:45:53] から私と一緒におい
[00:45:58] 事情はよくわかんねえけどさ私を利用して
[00:46:02] またあいつらと繋がりたいってんならやめ
[00:46:06] ときな私は過去の存在なんだ今に居ろし
[00:46:10] てるだけだそれはあなたが決めることです
[00:46:15] 過去に残るか今を生きていくかじゃあ私の
[00:46:20] 選択は過去に残ることだそう簡単に決め
[00:46:24] ないでくださいお前
[00:46:28] マジで随分変わったな私が知ってる
[00:46:31] ドロシーは人を馬鹿にするところはあった
[00:46:35] けど踏みにったり利用したりは絶対し
[00:46:39] なかったとっつきにくいけど見上げたお嬢
[00:46:42] 様だったよでも今のお前はどういうことだ
[00:46:47] ふざけてんのか恥ずかしい真似はすんなよ
[00:46:51] お前が私たちがどういう名前を背負ってん
[00:46:55] のか忘れんな
[00:47:00] いえ失礼しました懐かしい顔を見て少し
[00:47:06] 取り乱してしまいまし
[00:47:09] たそうですね戻ることはできません過去
[00:47:14] は過去ですからあなた
[00:47:18] [音楽]
[00:47:19] もあの頃も
[00:47:23] [音楽]
[00:47:29] あと少し進めばお前の故郷につくの
[00:47:33] だ気をつけていくのだ
[00:47:37] ん一緒に来ねえの私たちの役割はここまで
[00:47:42] なのだそれともまだ何か助けが必要なのだ
[00:47:48] いやそうじゃない
[00:47:50] けどうむでは私たちは行くのだえっと
[00:47:57] その2人ともありがとな初めてあったのに
[00:48:02] ここまでしてくれるとは思ってなかった
[00:48:05] よつまらんこというのだ神の面倒を見る
[00:48:10] ことは我々の使命なのだ私死ぬけど死ん
[00:48:15] だら民ではなくなるのですかそれ
[00:48:19] は違うよなあなたはすでに我がクラウン
[00:48:25] 王国の大切な民
[00:48:27] ですから最後までどうかお幸せに
[00:48:33] あチャイムトロンベをはいお嬢
[00:48:45] 様何あれ馬がこっちに来ますよ
[00:48:57] それではまたお会いし
[00:49:02] ましょう心配ご無用ですわそれでは行き
[00:49:07] なさいトロン
[00:49:11] で帰ったらああいうの作ってって言わ
[00:49:17] なきゃ私も
[00:49:21] です
[00:49:22] ああ行くか
[00:49:29] ああそのまんま
[00:49:32] だそのまんまだ
[00:49:35] よ人類の建築技術ってすげえだ
[00:49:42] なあんなに着たがってただろやっと着いた
[00:49:47] ぞ気分は
[00:49:49] どうさあな涙が出そうになるとかそういう
[00:49:54] のはないなそうちょっとがっかりね
[00:49:58] がっかりするほど
[00:50:00] かだってラピは命がけであなたをここまで
[00:50:04] 連れてきてるのよ何も起きないし何の感情
[00:50:09] も湧かないって言われたらそりゃね
[00:50:12] うん故郷に何か隠しておいたものでもある
[00:50:16] んですか
