# NIKKE 第19章 转录
视频ID: 3yZlh66tRHM
[00:03:16] うまく形成してくれれば
[00:03:19] 逆に
[00:03:20] とある福祉霊感様の
[00:03:23] 機密情報を入手できるかもしれないって
[00:03:25] こと
[00:03:27] 例えば
[00:03:30] 何がいいかしら
[00:03:33] そうだ
[00:03:35] 非常に生存者が一人もいないって話あれ嘘
[00:03:40] よ
[00:03:42] 真っ赤な嘘
[00:03:44] 実は人間たちが集まって暮らす
[00:03:48] 失楽園ってところが存在するのよね
[00:03:51] 上層部の間ではかなり昔から知られてる話
[00:03:55] だけどあなたたちは知らなかったでしょう
[00:04:03] 遊園地じゃなくて
[00:04:04] 本当に居住地なんですかこの
[00:04:08] 子だったら何言ってるの
[00:04:12] [音楽]
[00:04:15] 確信を得たいのね
[00:04:18] 私にもっと蜂蜜をちょうだい
[00:04:25] 確かに気になる情報だけど
[00:04:27] だからって私たちの情報が漏れるのは
[00:04:31] ちょっとねお
[00:04:34] 互いに秘密を守ればいいのでは
[00:04:37] 例えば
[00:04:38] リンゴを使うとかあそれならいいかもこれ
[00:04:42] から私たちの目的地について話すときは
[00:04:45] 下水口っていうこと
[00:04:47] じゃあ私たちが探してるものについて話す
[00:04:51] ときはいや共通呼びましょう
[00:04:55] 悪いけど
[00:04:56] 全部聞こえてるわよ
[00:05:03] ロピー
[00:05:05] 元気
[00:05:05] [音楽]
[00:05:08] 下水口まであとどれくらい
[00:05:10] 1.2kgくらいあと
[00:05:13] 少しですね
[00:05:16] 本当浅はかよね
[00:05:18] そこまでしなきゃダメ
[00:05:21] うん
[00:05:22] セキュリティは大事だからね
[00:05:25] 回りくどいことはやめてお互い質問し合い
[00:05:28] ましょうよね今ハニーが持っているものが
[00:05:32] 何なのかいえその下水溝が何をする場所な
[00:05:37] のかさえ教えてくれれば
[00:05:40] 下水が流れる場所ですよ
[00:05:43] ふざけないでくれる
[00:05:46] ヘルティックを人工的に生み出す機関なん
[00:05:48] だって
[00:05:50] え本当に
[00:05:52] ううん
[00:05:53] 実は高額研究所なの
[00:05:56] ラプチャーの新色コードを完璧に再現した
[00:05:58] んだって
[00:06:02] 今回は本当よね
[00:06:04] 違うけど
[00:06:07] [音楽]
[00:06:12] 一つだけ聞かせて
[00:06:15] 犯人は私が持ってる情報に興味がないの
[00:06:20] 地上の生存者に関する情報なのよ
[00:06:23] 悪の歴史上一度も奪還したことがない
[00:06:27] 地上の土地を
[00:06:29] 10年間独占して
[00:06:31] 生き残ってきた人たちの情報なの
[00:06:34] [音楽]
[00:06:35] じゃあどうして
[00:06:37] 私だって
[00:06:40] 疑いが利益を得られるようこんなに頑張っ
[00:06:43] てるのに
[00:06:44] こんな小さな情報のかけらくらい
[00:06:48] 倒してくれてもいいじゃない
[00:06:49] [音楽]
[00:06:52] どうして
[00:06:55] [音楽]
[00:06:58] もしそうだとしてもそれは全て人類のため
[00:07:02] に
[00:07:02] そういうのが嫌なんですよ
[00:07:05] [音楽]
[00:07:06] 師匠は私たちも
[00:07:08] マリアンが人類のために解体されるべき
[00:07:11] だったとは思わないんです
[00:07:15] もうどうせ座標に到着したら確信用もない
[00:07:19] けどね
[00:07:22] [音楽]
[00:07:28] 良かったですね
[00:07:29] 下水溝のセキュリティが作動しなくてそう
[00:07:33] ね今回はちょっと楽できるかな
[00:07:37] 安心するのは早いわ
[00:07:39] セキュリティが解除されてるってことは
[00:07:42] 誰かはすでに訪れたってことかもしれない
[00:07:44] から
[00:07:45] [音楽]
[00:07:49] でしょうか
[00:07:51] あなたたちもう
[00:07:56] 研究所だってことはわかったか
[00:07:59] リンゴを使っても意味ないでしょ
[00:08:00] [音楽]
[00:08:02] すっかり癖になっちゃって
[00:08:04] [音楽]
[00:08:05] 一般的な研究所の構造を考えるともう少し
[00:08:10] 上の階に移動すべきかとよしそれじゃあ
[00:08:14] 下水溝に薬莢を取りに行こう
[00:08:16] はいあなたたちはしゃぎすぎよ
[00:08:21] [音楽]
[00:08:29] ミツバチたち
[00:08:31] ブーン
[00:08:33] あなたたちが探してる薬局
[00:08:36] もしかして
[00:08:39] ワンチェインドだったの
[00:08:44] もしかして私
[00:08:46] 無意識に心の声を叫んでました
[00:08:49] いやそんなことないけど
[00:08:53] 本当にアンチェインドに関する記録を
[00:08:54] 見つけたみたいね
[00:09:01] あんたちみたいに
[00:09:09] ここ
[00:09:13] この段落を読んでみて何
[00:09:17] [音楽]
[00:09:26] 今回は正解だったみたいね
[00:09:31] [音楽]
[00:09:34] 世界にはモダニア以外にも
[00:09:36] ヘルシックがいるみたいですね
[00:09:39] いるでしょそりゃ
[00:09:41] えどれくらいいるんですか
[00:09:43] [音楽]
[00:09:45] こんな大事な情報をただでくるっていうの
[00:09:50] [音楽]
[00:09:52] 急に気にならなくなりました
[00:09:55] ああそうそうよね
[00:10:03] 9頭なら
[00:10:03] [音楽]
[00:10:05] 近くの建物です
[00:10:06] 指揮官
[00:10:08] [音楽]
[00:10:15] ここです
[00:10:17] 野球がある場所
[00:10:19] あの妙に大きな冷蔵庫にありそうな気がし
[00:10:22] ない
[00:10:23] [音楽]
[00:10:30] クラシックを刺しておくケースがあります
[00:10:32] よ12
[00:10:34] 本させるようになってますが11か所には
[00:10:37] 空のフラスコが刺さっていて
[00:10:39] [音楽]
[00:10:40] 残りの一箇所は
[00:10:41] [音楽]
[00:10:43] 空いてますねまさか
[00:10:45] [音楽]
[00:10:50] 先を越されたんじゃないわよね
[00:10:52] 私そういうの大嫌いなんだけど
[00:11:03] 嫌な予感がするわね
[00:11:06] 入り口のセキュリティが解除されていたの
[00:11:08] もそうだし
[00:11:10] ラプチャーの熱源は感知できないわ
[00:11:13] ラプチャーじゃなかったとしたら
[00:11:16] 実はパピヨンはおおとりでパピヨンマーク
[00:11:19] 2が私たちを追ってきてたのよ何
[00:11:22] 言ってるのそれなら頼もしい
[00:11:30] 敵だ
[00:11:32] やっぱりこうなるのね
[00:11:37] いつ出る
[00:11:38] 指揮官の方を確保しろ
[00:11:44] しばらくおとなしくしてくださいますか
[00:11:47] 愛しいあなた
[00:11:49] ファランは肉の足を
[00:11:52] ガラスよ
[00:11:53] 遅い
[00:12:01] 通せんぼが一番面白いよね
[00:12:06] 何の真似
[00:12:08] ピルグリム
[00:12:10] ちょっと
[00:12:12] 馴れ馴れしく話しかけないでよ
[00:12:14] 私たちが必死に探してたものを
[00:12:17] 盗もうとしたのがバレたんだから
[00:12:19] おとなしく
[00:12:21] 反省しないとね
[00:12:23] 何口答えしてんの
[00:12:26] 必死に探してたって何をまさか私たちが
[00:12:32] 見ることさえできなかったアンチエンドの
[00:12:34] こと
[00:12:38] 全く鈍感ってわけじゃないのね
[00:12:41] それでどうするの
[00:12:45] ヨハン好きか
[00:12:52] 今からお前に3つ質問をする
[00:12:56] 死にたくなければきちんと答える一つ
[00:13:00] お前は誰だ
[00:13:03] 沈黙がお前の答えだから
[00:13:09] そうか
[00:13:12] では次の質問だ
[00:13:17] これはヘルテックを殺すためのものに
[00:13:20] 戦いを避けて地下に隠れればいいだけの
[00:13:22] アークの指揮官がこれを欲しがる理由は何
[00:13:29] どういうことだ
[00:13:31] アンチェインドは
[00:13:33] ヘレティック体内のナノマシンを破壊し
[00:13:35] ます
[00:13:36] そして
[00:13:38] 彼らの無限なる自己修復機能を麻痺させる
[00:13:40] のですですから
[00:13:43] 同じ原理で
[00:13:44] アンチェインドワークの2件に使えば
[00:13:48] 妊婦を取り除けるの
[00:13:50] その復活装置が消えた状態を
[00:13:53] 解放と呼んでいるのか
[00:13:55] 理解したそれなら最後の質問だ
[00:13:59] ニケの解放と地上だったん
[00:14:02] どちらが重要だと考えている
[00:14:08] そうか
[00:14:10] それならこれ以上は聞いても無駄だな
[00:14:13] [ __ ]
[00:14:25] 手が届か
[00:14:29] ないよ
[00:14:33] こう見えて私の盾は地上最強なんだから
[00:14:37] あなたたちの小さくて可愛い火力じゃ
[00:14:41] 傷もつけられないのよ
[00:14:45] いつこいつら
[00:14:51] にキスすらつけられないみたいね
[00:14:54] する
[00:14:55] どうするも何も何とかして突破しないと
[00:15:07] 仕上げはラプチャーに任せよ私たちは
[00:15:10] エデンに戻るぞはい
[00:15:15] [音楽]
[00:15:23] したこと
[00:15:25] 気づいたかしら
[00:15:31] さっきは手荒に扱って
[00:15:34] ごめんなさいね
[00:15:36] 顔なじみだけど私のテリトリーで会うのは
[00:15:39] 初めてだからもう一度自己紹介するわ私は
[00:15:46] 地上の楽園エデンに所属している巡礼者よ
[00:15:50] [音楽]
[00:15:53] 大した理由なんてないわ
[00:15:56] ただ一瞬の気まぐれただの要求を
[00:16:03] うーんそうねでも私はお前を助けたかった
[00:16:09] どころ助けたの
[00:16:11] 結果に責任さえ取れるなら
[00:16:13] 互いの行動に関与しない
[00:16:16] それが私たちのルールだったら
[00:16:18] [音楽]
[00:16:20] そうね
[00:16:21] アークと規律が同じならこっちを楽園
[00:16:25] なんて呼べないでしょ
[00:16:27] [音楽]
[00:16:29] 楽園
[00:16:31] ニケと人間が共に暮らす
[00:16:33] 祝福されし地上の地もしお前がそこに到達
[00:16:38] したら
[00:16:39] ただの気まぐれで指揮官に逆らう2ケア
[00:16:42] それ以上のものも見られるでしょうにどう
[00:16:48] 連れて行ってあげようか
[00:16:52] そう
[00:16:56] それなら私はお前をここに捨てていくわ
[00:17:00] 助けてあげただけでも通りは尽くして
[00:17:04] お前が仲間と再会しようがしまいの私にも
[00:17:08] 困窮ないもの
[00:17:13] [音楽]
[00:17:17] ついに
[00:17:21] 決心して
[00:17:22] じゃあ遅れす私についてきなさいお前を
[00:17:28] 失われた地上の楽園に導いてあげる
[00:17:33] [音楽]
[00:17:39] 片付けが終わったのにもう出てきてもいい
[00:17:42] わ
[00:17:43] 哀れな腐食店
[00:17:47] 当然
[00:17:49] もともと強者だけが
[00:17:52] 生殺与奪の件を握るこれだけ強ければ
[00:17:56] 弱肉強食のこの世界でも
[00:17:58] ラプチャーの上に立てるでしょ
[00:18:02] これくらい強いのかってそれは
[00:18:06] 実際に殴られたんだからわかるでしょ
[00:18:12] 最初は彼もお前みたいに弱い人間だった
[00:18:15] けど
[00:18:17] 折れた骨と肉を
[00:18:18] 機械に置き換えてそれでも埋められない溝
[00:18:22] には
[00:18:23] 巧妙なトリックを使って私も彼を見るまで
[00:18:27] は人間は腐食者のままだと思ってたけど
[00:18:32] おかげで今は
[00:18:34] ほんの少し考えが変わったわ
[00:18:38] 地上だったん
[00:18:40] あんなに強く奪還を望む人間なんて見た
[00:18:44] ことないわここで彼が夢見る地上だったん
[00:18:48] は
[00:18:48] アークで言われているような
[00:18:51] 机上の空論ではない
[00:18:55] この日差し
[00:18:59] さのみを
[00:19:01] 水が流れ
[00:19:03] 風が揺れるこのすべての風景を
[00:19:06] 再び手に入れたいという
[00:19:10] 強い意志なの
[00:19:12] 叶えることができるなら
[00:19:14] 他のすべてを捨てたとしても叶えるべき
[00:19:18] 生まれてきた理由みたいなものを
[00:19:22] [音楽]
[00:19:26] ここまで教えてあげたんだから私にも聞か
[00:19:30] せてお前もアークから地上奪還のために
[00:19:34] 派遣された指揮官でしょそれなのに
[00:19:38] 安全度が手に入ったら
[00:19:40] 迷わずニケの解放のために使うと言ったの
[00:19:43] ね
[00:19:44] ということは
[00:19:45] 万が一その
[00:19:48] 代償として
[00:19:49] フェレティックが生き残る
[00:19:51] お前の故郷や大切な人々が危険にさらされ
[00:19:55] たりどう責任を取るつもり
[00:19:59] [音楽]
[00:20:02] へぇ
[00:20:04] 興味深いわねぇ
[00:20:05] お前が持つ最善のもの
[00:20:08] それは何
[00:20:16] 期待以下の返事ね人間の命ほど
[00:20:21] 無駄でつまらないものはないわ
[00:20:23] [音楽]
[00:20:29] ついたわ
[00:20:39] 楽園なはずないでしょここはお前のための
[00:20:44] 試験場よ
[00:20:46] そう
[00:20:48] ここに来るまでお前と色々な話をしながら
[00:20:52] お前の資質を図ろうとしたけれど
[00:20:56] やっぱり言葉だけじゃ足りないと思ってね
[00:21:00] 例えば
[00:21:02] 命をかける覚悟
[00:21:04] そういうのは
[00:21:06] 言葉だけじゃ証明できないわだから私
[00:21:11] 波乱は
[00:21:12] 楽園の番人として今からお前に
[00:21:17] 適切な試練を与える
[00:21:19] [音楽]
[00:21:21] 」って
[00:21:23] 死に直面した時
[00:21:25] 本当の価値を見せてくれるでしょだから私
[00:21:29] がその舞台を準備してあげるってこと
[00:21:34] でもその前にまずは
[00:21:37] 治験場の怪物をおとなしくさせないとね
[00:21:41] 行くわよ人間
[00:21:44] 第一試験
[00:21:46] 危機感としてのお前を試す
[00:21:49] [音楽]
[00:21:56] お疲れ様
[00:21:58] 勇気ある人間よ
[00:22:01] 第一試験は合格と見ていいわね
[00:22:05] せかさないで
[00:22:07] 今から見せてあげるから
[00:22:18] うん
[00:22:19] やっぱりこのままだと
[00:22:22] 相手するのは大変よね
[00:22:30] はいお前のレベルに合わせておいたわよ
[00:22:36] 何
[00:22:38] 無謀だと思うそれなら
[00:22:42] 一つ聞かせてお前が想像した
[00:22:46] ミケと人間が共に暮らす楽園っていうのは
[00:22:50] 死にかけのラプチャー相手でも生き残れ
[00:22:52] ないような
[00:22:54] 弱い人間のために
[00:22:57] ミケが一方的に奉仕する場所なの
[00:23:01] それなら
[00:23:03] 証明してみせなさいお前が他人の助けなし
[00:23:07] でも
[00:23:08] 生き残れるってことそれがお前を楽園に
[00:23:12] 入れるための最後の条件
[00:23:21] 心配いらないわこうなると思ってお前が
[00:23:25] 使えそうなガラクタを準備しておいてね
[00:23:28] 月に使いなさい
[00:23:50] ねぇ
[00:23:52] ガラス
[00:23:54] もう4時間は経つのに
[00:23:58] 北の状況が変わらないのはなぜかしら
[00:24:03] ラプチャーを殺すなり自分が死ぬなり
[00:24:07] そろそろ決着をつけてほしいのだけどこれ
[00:24:11] 以上は
[00:24:12] 退屈で見ていられないわ
[00:24:15] 私はもう少しエッセンスを作ってくるから
[00:24:18] その頃には終わってるはずよ
[00:24:20] [音楽]
[00:24:32] [音楽]
[00:24:35] へー
[00:24:37] エッセンスは何本も作ってきたのにまだ
[00:24:41] 生きてるのにね
[00:24:42] 頭が回らないってわけではなさそうだけど
[00:24:45] でも
[00:24:47] いつまで運が味方してくれるかしら
[00:24:53] 黙って見ているのはやっぱり退屈ね
[00:24:57] ガラス私たちは魔女のスープでも作りに
[00:25:01] 行きましょう
[00:25:16] まだ
[00:25:23] [音楽]
[00:25:24] 同じ状態で退治してるなんて
[00:25:29] 念のため
[00:25:30] スープを2人分作ってきたけど
[00:25:33] 食べる
[00:25:37] [音楽]
[00:25:44] ついに退屈な試練が終わったのね
[00:25:50] お前たちも役目は果たしたんだから
[00:25:54] 楽にしてあげないとね
[00:25:59] 人間の方は
[00:26:03] 全く動かないわね
[00:26:06] まあいくら意志が強くたって
[00:26:09] 自分の体重と同じくらいの牡蠣を持って
[00:26:12] 耐えるには
[00:26:13] 限界があったはずよ
[00:26:16] じゃあお前も
[00:26:20] 最後は
[00:26:22] 礼儀を尽くして送ってあげるわ
[00:26:26] 待って
[00:26:28] これは
[00:26:35] こんなの初めてだから
[00:26:39] 新鮮ね
[00:26:41] 立ったまま気絶してる人間だなんて
[00:26:44] どうであれ
[00:26:47] 生き残ったことには違いないから
[00:26:49] これも
[00:26:50] 合格とすべきかしら
[00:27:02] そう私よ
[00:27:06] 気がついた
[00:27:09] あいつらは私が片付けておいたわ
[00:27:13] お前が無事に試練を突破した記念にこの道
[00:27:17] をまっすぐ進めば
[00:27:19] 楽園よただし
[00:27:22] ここからはお前一人で行かなければなら
[00:27:25] ないわできる
[00:27:31] じゃあ
[00:27:32] 早く行きなさい
[00:27:34] ちょうどお前が来るのを心待ちにしている
[00:27:36] ものがいるから
[00:27:38] きっと
[00:27:40] お前が楽園に足を踏み入れたら
[00:27:43] 歓迎してくれるはず
[00:28:05] [音楽]
[00:28:09] ようこそいらっしゃいました
[00:28:12] 生き残った者たちの楽園へ
[00:28:21] [音楽]
[00:28:30] 聞こえてますよどうしました
[00:28:32] アンチェインドを確保した
[00:28:34] [音楽]
[00:28:37] ついにあなたにしては時間がかかったよう
[00:28:41] ですがこの程度ならまあいいでしょう
[00:28:46] ヨハンこちらへ持ってきてください
[00:28:49] [音楽]
[00:28:52] 分析
[00:28:56] 完了
[00:28:58] 紛れもなくアンチェインドですねこの
[00:29:01] 要領なら
[00:29:03] ニヒリスターを終わらせられるかそれは
[00:29:05] 全てあなたにかかっていますあなたが
[00:29:09] たった一発の弾丸で
[00:29:12] 彼女を殺せるなら
[00:29:14] はい
[00:29:16] 十分な要領でしょう
[00:29:21] そんな貴重なものを
[00:29:23] 意味もなく無駄にするところだったな
[00:29:25] [音楽]
[00:29:27] どういう意味ですか
[00:29:29] 研究所でアークの指揮官にあった2K4気
[00:29:33] を連れた青鬼祭だったが
[00:29:35] アンチェインドを二家の解放のために使い
[00:29:38] たいそうだそれでどうしたんですか
[00:29:42] 頭を冷やせと
[00:29:44] ラプチャーの海に投げてやったぜ
[00:29:45] [音楽]
[00:29:48] あなたらしいですね
[00:29:49] その指さん何を思っているのかは分かり
[00:29:53] ませんがここのニケと一度でも関わること
[00:29:57] があれば
[00:29:59] 妊婦がどれほど便利な発明品か
[00:30:02] 気づくでしょうね
[00:30:04] 特にドロシーは
[00:30:08] 本当に面倒だわ
[00:30:10] 他のニケを動かして
[00:30:12] 余計なことをするんですから今回も
[00:30:16] 知ってます私の同意もなくエデンにお客
[00:30:20] さんを入れちゃったんですよ
[00:30:23] 客だとはい
[00:30:25] それも一人二人ではなく5人もそしてその
[00:30:31] うちの一人はあなたがラプチャーの餌にし
[00:30:34] たという
[00:30:35] 指揮官だと思います
[00:30:36] [音楽]
[00:30:40] 今あなたが何を考えているか
[00:30:45] わかりますよ
[00:30:46] 偶然の一致にしては
[00:30:50] あまりにも妙なところがありますよね今回
[00:30:54] もドロシーのいたずらに付き合ってあげる
[00:30:56] かどうかはもう
[00:30:58] 少し見守ってから決めましょう
[00:31:01] [音楽]
[00:31:03] ようこそここは楽園
[00:31:07] 公の名称は
[00:31:09] 地上基地エデンそして私はこの基地の
[00:31:14] ガイドです
[00:31:15] 気楽に
[00:31:16] ドロシーと呼んでくださいね
[00:31:19] [音楽]
[00:31:21] 楽園の試練に合格した方は
[00:31:24] 地上に新しい時代を呼び起こすための
[00:31:27] 精鋭たちですから当然
[00:31:31] 知っていますよ
[00:31:32] あまり
[00:31:35] プレッシャーに感じないでくださいね
[00:31:38] 誰もあなたの意思に反して
[00:31:41] 重大な使命を負わせたりはしませんからさ
[00:31:45] こちらへ
[00:31:49] 天気もいいのでまずは
[00:31:52] 楽園の庭園に行きませんか
[00:31:54] [音楽]
[00:31:58] 日差しが温かいでしょう
[00:32:00] [音楽]
[00:32:02] ここの庭園には
[00:32:04] 樹木93種
[00:32:07] 家畜13章始めとする
[00:32:10] 様々な食用生物が生育しています
[00:32:13] エデンは
[00:32:15] 荒地の真ん中に作られた基地ですが
[00:32:18] 発展したい遺伝子技術と
[00:32:21] 栽培方法で
[00:32:23] ラプチャー進行前の自然を再現したのです
[00:32:28] [音楽]
[00:32:29] 召し上がってみます
[00:32:31] [音楽]
[00:32:36] どうですか
[00:32:40] そうでしょう
[00:32:41] アークには存在しない味でしょうから
[00:32:44] お気に召したならこちらにいらっしゃる間
[00:32:48] にいくらでも召し上がってくださいね
[00:32:51] [音楽]
[00:32:54] ここはエデンの中央研究室です
[00:32:58] エデンに来る途中でここに所属している3
[00:33:03] 機の2家とあったでしょう
[00:33:06] ヨハンと一緒にいた子たちです
[00:33:08] お
[00:33:10] 気づきかもしれませんが
[00:33:13] みんな
[00:33:14] 先端技術で制作された
[00:33:16] ピルグリムなのです
[00:33:18] みんなこの場所で
[00:33:20] セシルの手によって誕生しました
[00:33:23] [音楽]
[00:33:26] 私も
[00:33:27] 彼女の才能にはいつも驚かされていますよ
[00:33:31] アークと比べても
[00:33:34] 半世紀は進んでいる技術だそうです
[00:33:37] 同様に
[00:33:38] 基地全体を透明化する高額明細技術もここ
[00:33:43] で
[00:33:44] [音楽]
[00:33:46] 最後にご覧いただくのは
[00:33:49] ロビーです
[00:33:50] 基地全体を見渡すエデンの中枢になります
[00:33:59] ちょうど
[00:34:00] ノアとイザベルが
[00:34:01] インキュベーターで
[00:34:02] 訓練中ですね
[00:34:04] [音楽]
[00:34:05] はい
[00:34:06] アークのシミュレーションルームと
[00:34:09] 似た概念の場所ですがさらに
[00:34:12] 細かな調整とより強力な仮想的の作成が
[00:34:17] 可能だそうですより
[00:34:19] 強力といっても
[00:34:21] 一般のラプチャーとタイラント級くらいの
[00:34:25] 差があるんですけどね
[00:34:27] [音楽]
[00:34:28] そうですねそう
[00:34:31] せざるを得ないというのもありますが
[00:34:34] エデンの住民は
[00:34:37] みんな
[00:34:38] 自力で生きていける力を持たなければなり
[00:34:40] ませんそれは人間である
[00:34:44] セシルやヨハンも同じそう
[00:34:47] すればあなたが暮らしている場所のように
[00:34:52] 多数の弱者が
[00:34:54] 少数の強者を搾取することは
[00:34:56] 起きませんから
[00:34:58] やはり
[00:35:01] 理解が早いですね私が考える人間とニケが
[00:35:06] 共に暮らす楽園というのは
[00:35:09] 力のバランスが取れた世界のことです
[00:35:12] もちろん
[00:35:14] みんなそれぞれ
[00:35:15] 定義は違うと思いますが
[00:35:20] 今日1日いかがでしたか私がお見せしたら
[00:35:25] クエンは
[00:35:27] 想像されていた楽園とどれくらい
[00:35:30] 近かったのかそれが一番
[00:35:33] 気になります
[00:35:36] ということはあなたの理想郷と一致したと
[00:35:42] 理解してもいいでしょうか
[00:35:46] それでしたら
[00:35:48] もう少し大切な話に移れますね
[00:35:52] うん
[00:35:55] 波乱から
[00:35:56] 聞いているかもしれませんが私はずっと
[00:36:00] あなたがここに来るのを待っていたのです
[00:36:05] あなただけが
[00:36:07] 現在エデンが瀕している危機を打開できる
[00:36:11] 唯一の鍵だと思っているからです
[00:36:13] [音楽]
[00:36:15] ヘリテックそのうちの一人と交戦し
[00:36:20] 勝利した経験がありますよね
[00:36:22] [音楽]
[00:36:24] いいえ
[00:36:26] 勝利ですどうであれ
[00:36:29] モダニアという名前のヘレティックはもう
[00:36:32] 存在しませんからですから
[00:36:36] 単刀直入に申し上げます人類に対する悪意
[00:36:40] で塗り固められた
[00:36:42] クイーンの精鋭の一人が今
[00:36:46] 虎視眈々とエデンを狙い
[00:36:48] うろついていますコード
[00:36:51] ネーム
[00:36:52] ニヒビスタエデンは今まで計5回
[00:36:56] 彼女と交戦し
[00:36:58] 誤解とも
[00:36:59] 膠着状態で終わりました
[00:37:01] もちろん
[00:37:02] アンチェインドを確保した今
[00:37:06] 少しは
[00:37:07] 有利になりましたがたった一発の弾丸に
[00:37:11] エデンの命運をかけるわけにはいきません
[00:37:14] から私の昔の友人たちから聞いた話だと
[00:37:18] あなたは
[00:37:20] 絶望的な状況でも何度も奇跡を起こしてき
[00:37:24] たそうですね
[00:37:25] どうか私たちにあなたのその奇跡を分けて
[00:37:31] いただきたいのです
[00:37:34] その代わりに
[00:37:35] エデンはどんなたいかもお支払いいたし
[00:37:39] ます
[00:37:40] 波乱から聞きましたがあなたも
[00:37:43] アンチェインドを求めているそうですね
[00:37:47] 差し上げることはできますただし
[00:37:50] [音楽]
[00:37:51] ご存知の通り
[00:37:53] 私たちが持っているアンチェインドは一つ
[00:37:56] しかないのでそれを保存してアークに
[00:38:00] 持ち帰るのかそれとも
[00:38:03] ヘレティックを倒す家庭で消費してしまう
[00:38:06] のかはあなたの行動次第ということです
[00:38:10] いいえ
[00:38:15] 彼はまだこの取引のことを知りませんです
[00:38:18] がその点はさほど心配いりませんよ
[00:38:23] 彼は私が説得しますからそれで
[00:38:28] どうしますか
[00:38:30] 何ですか
[00:38:32] [音楽]
[00:38:35] あなたの仲間というともしかして
[00:38:40] 先日
[00:38:41] 吉にやってきた4名のお客様のこと
[00:38:44] でしょうか
[00:38:48] [音楽]
[00:38:53] 指揮官様
[00:38:56] 無事だったのね
[00:38:57] 私たち今度こそ指揮官様はもうダメだと
[00:39:03] [音楽]
[00:39:06] [拍手]
[00:39:07] 本当に心配したんだから
[00:39:08] [音楽]
[00:39:10] 怪我はない私が
[00:39:12] ふーってしてあげる
[00:39:15] [音楽]
[00:39:21] あなた今私の耳に息を吹きかけたのはい
[00:39:26] どこかからメギツネの鳴き声が聞こえたの
[00:39:29] で私の息で倒してあげようかなーって思っ
[00:39:33] たんです
[00:39:35] [音楽]
[00:39:36] ほんと呆れた
[00:39:38] [音楽]
[00:39:40] 楽園の試練というものを受けました
[00:39:43] うんそれも一人ずつねあの
[00:39:46] 盾を持ったおチビちゃんが
[00:39:49] 突然自分を倒してから行けっていうのよ
[00:39:52] 試練もだけどからかってくるのがほんと
[00:39:55] 腹立った
[00:39:56] わたしの試練は
[00:39:58] 空を飛ぶ爆撃機だったの
[00:40:02] すっごく辛かった
[00:40:06] え一体どうやって生き残ったの
[00:40:10] 父の中で
[00:40:11] 火力の奥義を極めたんですか
[00:40:14] [音楽]
[00:40:16] 私たちだって敵じゃないんだから
[00:40:19] 同じ人間同士で試練だなんて
[00:40:22] こんなことまでして人をふるいにかける
[00:40:25] 必要があるの
[00:40:26] もう100歩譲って
[00:40:30] 自分たちの基地に
