# NIKKE 第27章 转录
视频ID: AJgeaw4EyNI
[00:03:14] [音楽]
[00:03:19] たいやあみんな久しぶりだね元気だったあ
[00:03:26] こんにちはお久しぶりですいや
[00:03:30] 状況が理解できないんだけど官ひとまず
[00:03:35] 警戒は緩めず
[00:03:37] [音楽]
[00:03:40] に自称動物愛家でありラプチャー専門家の
[00:03:44] ラプリです自作したラプチャースーツを
[00:03:47] 装着してラプチャーとの意思疎通を試みて
[00:03:50] いましたあまりにも言動が過激だったので
[00:03:54] 中央政府に問題されていましたがそれが
[00:03:58] 成功したのかホエールに乗って飛んでいっ
[00:04:01] たのが最後でしたね死んだかと思ってたの
[00:04:05] に私は信じていましたよ極めて得意な事例
[00:04:10] です正直なところ信じられませ
[00:04:15] んみんなが驚くのも無理はないね全部説明
[00:04:20] してあげるから俺のことちょっと助けて
[00:04:24] くれ
[00:04:27] ないもう5日間も食べてないんだよかっ
[00:04:32] たら食べ物を分けてくれないかないや先に
[00:04:37] 飲み物をくれたら本当に感謝する
[00:04:43] よおお
[00:04:53] うん気絶してるうわあ水水
[00:05:00] 水筒なんて持ってません
[00:05:04] よ早く
[00:05:08] 早く当然口からと言いたいところですが口
[00:05:14] が見当たりませんね
[00:05:16] [音楽]
[00:05:31] [音楽]
[00:05:33] な本当に死にかけちゃった
[00:05:37] よありがとうみんな悪いんだけど食べ物も
[00:05:42] お願いしていいかなとりあえず建物の中へ
[00:05:47] 詳しい話はそこでうんそう
[00:05:56] しよう俺はあの時から今までで
[00:06:00] ホエリアン
[00:06:03] だ
[00:06:05] ホエリアン
[00:06:07] ホエルのことじゃないでしょうねああその
[00:06:11] 通りさとっても可愛い名前
[00:06:15] だろう先が思いやられるわフエリから
[00:06:20] 眺める地上は素晴らしかったよ知ってたか
[00:06:24] い地上はもう俺たちが知っている地上じゃ
[00:06:28] なかったんだ
[00:06:30] キラキラ輝くクリスタルでいっぱいの都市
[00:06:34] にまるで生きているみたいに南が揺れる
[00:06:38] 銀色の
[00:06:40] 湖鋼鉄の山がそびえるすごく巨大な山脈も
[00:06:47] 他にも色々不思議で美しい世界が広がって
[00:06:51] いるんだ食べるのを忘れちゃうぐらい驚く
[00:06:56] べき未知の世界それが今の地上だアーク
[00:07:02] から遠く離れた地上がってことそうさ人類
[00:07:08] はアークという安全な場所に閉じこもっ
[00:07:11] てるから外の世界がどうなってるのか
[00:07:14] 分かってないんだしかし俺は見た外の世界
[00:07:19] が変化しているところを
[00:07:22] [音楽]
[00:07:24] ああまだ俺も全てを見たわけじゃないけど
[00:07:28] 外のさらにに外側がどんな光景なのか
[00:07:31] すごく気になってるんだとりあえず元気
[00:07:36] そうでよかったわそうね正直私はもうダメ
[00:07:41] だと思ってたわよ私もです何しろマザー
[00:07:46] ホエールに乗って飛んでいっちゃいました
[00:07:49] [音楽]
[00:07:53] からありがとうみんなところでどうして
[00:07:58] ここにああたまたまこの辺りを飛んでい
[00:08:02] たら急に大きな音が聞こえたから様子を見
[00:08:05] に来たんだそれでよく見たらたくさんの
[00:08:09] ラプチャーと君たちが戦ってるじゃないか
[00:08:13] みんなが危ないと思って助けに来たんだよ
[00:08:17] 助けてくれたのはありがたい
[00:08:19] けどあなたラプチャーのことが好きなん
[00:08:23] でしょ潰しちゃって良かったの心は痛む
[00:08:27] けど仕方ないよ
[00:08:30] まだラプチャーのほとんどは俺たちと交流
[00:08:33] する準備ができてないんだ確かに俺は
[00:08:36] ラプチャーを愛している
[00:08:38] けど君たちはそれよりもっと大切な俺の
[00:08:43] 親友だから
[00:08:49] ありがとういい質問だねコエリーを説得し
[00:08:54] たん
[00:08:56] だホリーはたまに地上に降りて動物を食べ
[00:09:00] てたんだよ本当にたくさんの動物を1度に
[00:09:05] ねそれで食を進めてみたらその次から果物
[00:09:09] や草を食べるようになったんだしばらく
[00:09:13] 最初中心の生活をしていたら見た目も
[00:09:16] 変わったんだよどうやって進めたのいや
[00:09:21] それよりも草を食べるようになったら
[00:09:25] ラプチャーの見た目が変わった
[00:09:29] でありラプチャー専門家でもある俺に言わ
[00:09:32] せれば多分食生活に合わせて体を変形させ
[00:09:37] たんじゃないかと思ってるんだいやいや
[00:09:40] そんなことできるのできるともすごいだろ
[00:09:45] うわ
[00:09:47] すごいて流せるわけないでしょ自然の神秘
[00:09:53] ってやつさもう何がなんだか
[00:09:59] [音楽]
[00:10:01] あホリーがそろそろ出発したがってる君
[00:10:06] たちも乗せてあげたいところだけどホリー
[00:10:09] はまだ恥ずかしがり屋さんでね今度会う時
[00:10:13] までには説得しておくから楽しみにしてて
[00:10:15] くれああ本当です
[00:10:19] かもちろん
[00:10:21] すごいです私今日からワクワクしすぎて
[00:10:25] 眠れないかもしれませんそれから俺の大切
[00:10:30] な
[00:10:33] 友達今まで見てきた地上を地図に書き込ん
[00:10:36] だものがあるからそれをあげる
[00:10:42] よそうチーズだフエリの目を借りて俺が1
[00:10:47] つ1つ描いた地図だよこれを見て君たちも
[00:10:52] 未の世界に思いをはせてくれ自然の偉大さ
[00:10:57] を世界の脅威を俺の一番大切な親友の君
[00:11:02] たちにプレゼントしたい実際に行ってみる
[00:11:06] のもおすめだよ危険はあるけどそうする
[00:11:10] だけの魅力は
[00:11:11] [音楽]
[00:11:18] ある地図の書き方を知っているのかなり
[00:11:22] 精密ねもちろん動物愛光家として地図作り
[00:11:27] は基本スキルさ
[00:11:29] これ本当なの信じられないんだ
[00:11:34] けど大丈夫俺を信じて
[00:11:39] くれあ大切に使ってくれ
[00:11:42] [音楽]
[00:11:46] よおっと俺はもう行くよ次に会う時には
[00:11:51] また新しい地図を用意しておくから楽しみ
[00:11:54] にしててくれじゃあみんな元気でバタ
[00:12:02] [音楽]
[00:12:05] をそれで君の報告をまとめる
[00:12:11] と工学明細は問題なく設置が完了し事情を
[00:12:17] わかながら取り戻すことに成功したその
[00:12:21] 過庭でマザーホエールの変異と呼ぶべき
[00:12:24] ものに乗った民間人が乱入し戦闘で助け
[00:12:28] られただけでなく悪く近隣にとまらない外
[00:12:33] の一部が書かれた地図を受け取った間違い
[00:12:36] ない
[00:12:39] か極めて考えがい話ではあるがひとまず
[00:12:44] それは後にしようその地図が信用できる
[00:12:47] ものかどうか判断がつかなかったので
[00:12:50] バーニンガムに頼んで地図の信頼性を確認
[00:12:54] してもらった結果は1時間前に受け取って
[00:12:58] いる
[00:13:03] 信用できるだそうだ中央政府でも外部の
[00:13:08] 地形程度は把握できていたとはいえ詳細が
[00:13:13] 確認できず探索を進めることはできない
[00:13:16] 状態だった中央政府が確認している外部の
[00:13:20] 地形と君が持ってきた地図の地形を比較し
[00:13:23] た結果90%以上が合致すると確認された
[00:13:29] 加えて環境学者や地形関連の専門家たちに
[00:13:34] 過去のデータとの比較も依頼したそうだ
[00:13:37] その結果でもこの地図は十分信用に値する
[00:13:41] ものだと結論が出たそうだつまり我々は指
[00:13:46] 1本動かさず信頼できる地図を手に入れた
[00:13:50] ことになる地上奪還のみならず周辺情報の
[00:13:54] 確保
[00:13:55] までとてつもない鉱石だ
[00:14:00] 早速だが次の任務について話そう本日より
[00:14:06] 特殊別動隊は地上探索中心の作戦を展開し
[00:14:10] てくれひとまず君が取り戻した地域は今後
[00:14:14] 奪還地01と故障し物資及び人員の支援を
[00:14:19] 行うアークと奪還地01を結ぶ
[00:14:22] エレベーター工事も既に着している君は
[00:14:26] この地を点としての情報を元に地上探索を
[00:14:31] 進めてくれ探索対象は何でも構わない資源
[00:14:36] 食料源植物や生物などアークに役立ちそう
[00:14:41] なものであれば
[00:14:44] いいそういうことならまずは手近な場所を
[00:14:48] 中心に始めるといいうん奪還地01と1番
[00:14:53] 近い地域
[00:14:55] は水晶が広がるという一体か
[00:14:59] 単純に考えれば鉱物資源の確保が期待
[00:15:03] できるなこの場所の探索に適したメンバー
[00:15:06] を送ろそれから君のサポートとして専属の
[00:15:11] オペレーターも必要だなだが君も知って
[00:15:14] いる通り現在のアークの状態は良行とは
[00:15:18] 言いがいあまり多くの人員は避けないが
[00:15:22] 少数精鋭で頑張って
[00:15:25] くれそれからもう1点君が提供してくれた
[00:15:30] 地図は中央政府のデータベースに登録させ
[00:15:33] てもらうが問題ない
[00:15:37] [音楽]
[00:15:45] な分かっ
[00:15:47] たそれは心配いらないでは早速奪還地01
[00:15:53] に向かうの
[00:15:55] か分かった探索を無にえてアークに戻って
[00:16:00] きた時は艦隊を受けてもらうことになる
[00:16:03] だろう私が計って
[00:16:07] おく実感が湧かないかもしれないが今回君
[00:16:11] が成し遂げたことはこの100年間誰にも
[00:16:16] できなかったことだ賛を受けてしるべき
[00:16:19] 業績と言える素直に祝福を受けておきた
[00:16:24] ま他になければそろそろ解散としよう
[00:16:31] 静かだなアークのマイナーな通信
[00:16:34] チャンネルを1つ譲り渡しその大下として
[00:16:38] 追加の技術支援を受けることになっている
[00:16:41] その後は特に動きがない静かすぎて心配に
[00:16:46] なるほど
[00:16:50] だその前に1つ聞きたいことが
[00:16:56] ある君は権力が欲しいの
[00:17:01] か無論君の功績はよく分かっている今まで
[00:17:06] も大役を務めてきたし今回は特に大きな
[00:17:09] 収穫だだがどうにも気になったの
[00:17:14] で君はそんなことにこだわるタイプだった
[00:17:21] かただ権力を振りかざしたいというわけで
[00:17:25] はなさそうだな何か他の目的があるという
[00:17:29] ことか言ってみた
[00:17:32] [音楽]
[00:17:36] まやはりそうか簡単なことではないだろう
[00:17:41] なあらゆる妨害や脅迫を受けるだろう
[00:17:45] アークで登り詰めるというのはそういう
[00:17:48] ことだだが君の決意したことなら私も全力
[00:17:54] で手伝おうだからくれぐれも早まったこと
[00:17:57] はしないでくれ
[00:18:02] どうし
[00:18:07] た才能ある後輩を助けることは先輩として
[00:18:11] の本能のようなものだそれから私は
[00:18:16] ハッピーエンドが好きでねそれだけ
[00:18:19] [音楽]
[00:18:24] だえっと
[00:18:26] [音楽]
[00:18:28] 運ばれてきた物資は片付けましたし宿所と
[00:18:32] 基本的な生活環境も整いましたひこれで
[00:18:38] 大丈夫です
[00:18:39] [音楽]
[00:18:41] ねいえいえ実際に荷物を運んでいた方たち
[00:18:46] の方が苦労されてますよそうよそうよこう
[00:18:51] いう単純作業って結構大変なんだから
[00:18:54] ところで今更ですがシフティはこれから
[00:18:59] ずっと私たちのサポート担当になったの
[00:19:02] ですかはい正式に特殊別動隊の専属
[00:19:07] オペレーターとして配属になりました特殊
[00:19:10] 別動隊の皆さんと最も付き合いの長い
[00:19:13] オペレーターでもありますし先日受けた
[00:19:17] オペレーター定期試験の成績も良好でした
[00:19:20] ので直接ここには来ないのよねそうですね
[00:19:26] まだ危険が多いですから事情は
[00:19:29] アークにいないと支援できることも限られ
[00:19:32] てしまいますしもちろん特殊別動体はこれ
[00:19:37] までオペレーターなしでも素晴らしい成果
[00:19:40] を上げてはいますが専属オペレーターが
[00:19:43] いるかどうかの差は大きいと思います死感
[00:19:47] が手に入れたという地図は把握しています
[00:19:50] し想定されるリスクのシュミレーションも
[00:19:53] 完了していますとはいえ文字通りのの探索
[00:19:59] になるので想定外の事態が発生する可能性
[00:20:03] は高いですがそんな時にもアドバイスなど
[00:20:07] でお役に立てるかと思いますあとは何より
[00:20:11] も指揮官の事務作業の大部分を私が処理
[00:20:15] できるようになります
[00:20:17] [音楽]
[00:20:19] から今までそっけない感じだったのに急に
[00:20:23] 食いついたわねでも結局師匠の書類仕事
[00:20:27] ってが全部やってませんでしたか全部では
[00:20:32] なかったわ大部分ではあった
[00:20:37] けど申し訳ありませんやするつもりでは
[00:20:41] ありませんでしたとにかく足を引っ張る
[00:20:44] ことはないのでご安心
[00:20:48] くださいそれじゃある程度片付けは終わっ
[00:20:51] たし探索支援のメンバーが来るまで待っ
[00:20:55] てればいいのはいもうすぐ到着する
[00:20:59] です人員に関する情報は3名ですね
[00:21:04] パスファインダーハンマーアドリル
[00:21:07] エレクトリックショックの各部隊から1名
[00:21:10] ずつとなっていますえ輸送と鉱山の掘と
[00:21:15] ハードウェアの開発が専門の部隊よね
[00:21:18] スカウティングとかメティスとか
[00:21:20] アブソルートとかその辺りが来るべきじゃ
[00:21:23] ないのそれに関しては説明を
[00:21:31] 式が10時の方向
[00:21:35] ですおそらく合流予定のメンバーが
[00:21:39] ラプチャーに遭遇したものと思われ
[00:21:43] ます
[00:21:47] [音楽]
[00:21:49] ダジうわラプチャーが多すぎるっすこの
[00:21:54] 近くにいるのが全部寄ってきたみたいっす
[00:21:57] ね
[00:21:59] 申し訳ございませ
[00:22:01] ん最新の注意を払いましたが力を及ばず
[00:22:08] あと私たちどこか適当な場所で降りて歩い
[00:22:12] ていくはずだったっすよねう本当に申し訳
[00:22:16] ございませんうっかりしておりまし
[00:22:21] たハンマリングしいびきを書きながら寝て
[00:22:25] いたことは覚えておられますかな
[00:22:29] え私がっすか匹なんて滅多に書かないのに
[00:22:35] 随分リラックスしちゃってたみた
[00:22:39] いっすスクーターの音より大きかったです
[00:22:42] ぞきを聞いてラプチャーたちが集まってき
[00:22:47] たのかもしれませんな
[00:22:50] えそんなにひかったっす
[00:22:53] かいえいえ全然そんなことははい
[00:22:59] なんで起こしてくれなかったっすか何回も
[00:23:03] 起こそうと言ったのですがリバンしにやめ
[00:23:06] ておきましょうよっって引き止められまし
[00:23:10] てそれでこのざというわけですな
[00:23:15] その申し訳ないっすいえいえ謝らないで
[00:23:21] くださいそれだけ私のブルーハリケーンの
[00:23:24] 乗り心地が良かったのでしょう
[00:23:28] であんなにぐっすり寝られるなんてよほど
[00:23:31] お疲れだったんですねお気持ちは分かり
[00:23:36] ますそれならありがたいっすけどあれ幼児
[00:23:41] の方向の方位が少し緩んだようですね
[00:23:45] ハンマリング様あそこを突破するのに力を
[00:23:49] お借りできますか鉱石をこなごなにする
[00:23:53] 気持ちで一気にお願いしますはい任せて
[00:23:57] ください
[00:24:01] 信号団を打ち上げましたからもうすぐ救援
[00:24:04] が来るはずですぞこちらから仕掛ける必要
[00:24:08] がありますかなまあラプチャー1体でも
[00:24:12] 減らしておけば楽でしょう
[00:24:16] しうんどうですかなうはいそうだと思い
[00:24:23] ました
[00:24:25] があ何かにるようなを言ってしまいました
[00:24:29] か申し訳ございませ
[00:24:32] んいいや気にする必要はありません
[00:24:39] ぞカウンターズの皆さんはいつ来るん
[00:24:42] でしょうかな神号団を発射してから結構
[00:24:46] 経ちましたぞダカ地01とここまでの距離
[00:24:50] そしてカウンターズの皆さんの戦闘能力を
[00:24:53] 計算する
[00:24:55] とそろそろあの辺りに見えるはずです
[00:24:59] ラプチャー発見3機肉眼で確認完全に囲ま
[00:25:04] れてるわねどうしたらあんな状態になるの
[00:25:09] 早く助けましょう
[00:25:14] ふ距離を測るのは得意というわけですかな
[00:25:19] ああこれで生き延びてきましたから当然の
[00:25:24] ことです
[00:25:26] [音楽]
[00:25:31] ああ救援に感謝するっすカウンターズの皆
[00:25:35] さんすかお会いできて嬉しいっす
[00:25:39] おう
[00:25:41] [音楽]
[00:25:44] う
[00:25:46] あ戦地先輩をご存じっすか私の憧れすうん
[00:25:52] そうみたいねありがとうございますおかげ
[00:25:57] で助かりました
[00:25:59] え皆さんお強いようですなさすが特殊別動
[00:26:05] 隊シフティIDの確認をお願いはい少々お
[00:26:11] 待ちくださいそちらの皆さん画面の方を見
[00:26:15] ていただけますかあオペレーター様ですか
[00:26:20] お疲れ様です画面を見ていればいいの
[00:26:23] でしょうかはい3秒ほどで終わりますま目
[00:26:29] が痛いっすもう少し電子機器と仲良くなる
[00:26:34] べきで
[00:26:35] はそれがいくらやっても無理なんすはい
[00:26:40] 完了しました合流予定の3名に間違いあり
[00:26:44] ませんそうありがとうカウンターズ所属の
[00:26:49] ラピアニスネオンよ存じておりますお噂は
[00:26:55] 金々伺っており
[00:26:57] ますいやカウンターズの皆さんに実際にお
[00:27:01] 目に書かれるなんて光栄です話が早くて
[00:27:06] 助かるわねではそちらの所属と名前を教え
[00:27:10] てパスファインダー部隊所属のリバリーと
[00:27:14] 申しますアークでは宅配の仕事をしてい
[00:27:17] ますが今回の探索任務ではルート探索の
[00:27:21] 担当ですルート探索地図があるのに地図は
[00:27:27] あくまでも参考よ
[00:27:29] それを元にして進む道を考える役という
[00:27:32] こと緊急事態の時にどこを通って脱出する
[00:27:36] かも考えることになるわね
[00:27:40] いや素晴らしい
[00:27:43] ですなぜ配達員の私が探索任務に派遣され
[00:27:47] たのかどう説明しようか悩んでいたのです
[00:27:51] が分かりやすくまとめていただけましたね
[00:27:55] ありがとうございます
[00:27:58] さすがは特殊別動体の方
[00:28:02] ですええありがとうハンマーアンドリル
[00:28:06] 部隊のハンマリングすクリスタルの鉱脈の
[00:28:10] 調査と聞いて採掘のプロの私が参加しない
[00:28:13] わけにはいかないっす葉っぱでも調査でも
[00:28:17] 何でもお任せくださいっすだからって名前
[00:28:21] が単純すぎないハンマーアンドドリルの
[00:28:25] ハンマリングですからもう1人のメンバー
[00:28:27] ははドリー
[00:28:31] なんて
[00:28:32] あれご存知だったす
[00:28:35] [音楽]
[00:28:36] か本当に何のひねりもないわね
[00:28:40] エレクトリックショック部隊の
[00:28:54] [音楽]
[00:28:58] いう話ですな地上のアジは人間だったと
[00:29:02] いうことを忘れてはいけませんぞ我々は
[00:29:06] 地上を探索するわけですから
[00:29:09] ななるほど
[00:29:11] 老朽化した施設などが残っているかもしれ
[00:29:14] ません
[00:29:16] ねそういうことですぞそういう時にジじん
[00:29:21] と施設を復活させられれば最高の出番と
[00:29:25] いうわけですなああ
[00:29:29] 想像しただけでもかっこいい
[00:29:32] ですそそうですぞ
[00:29:36] あそれでは自己紹介が終わったようでし
[00:29:40] たら奪還地01に帰還してください今後の
[00:29:44] 作戦について説明し
[00:29:48] [音楽]
[00:29:51] ますでは説明を始め
[00:29:54] ますリバンハンマリング
[00:29:58] グの3名は探索作戦の期間中一時的に特殊
[00:30:03] 別動体所属となりますですので命令権は
[00:30:07] 指揮間に委ねられます本作戦における特殊
[00:30:11] 別動体の目的はクリスタル地帯と過小され
[00:30:15] ているエリアの探索です名前の通り未の
[00:30:19] クリスタルで覆われています探索面積が
[00:30:23] 広いので長期探索が必要となる可能性が
[00:30:26] 高いですが
[00:30:28] 無計画に探索するわけにもいきませんので
[00:30:32] まずは大まかな探索だけを行う予定
[00:30:37] です指揮官が受け取った地図以外には
[00:30:40] 詳しい情報がないので明確な指定はあり
[00:30:44] ませんクリスタルのサンプルを採取できれ
[00:30:47] ば有意義な調査になるかもしれません
[00:30:50] ただし無闇に採取する必要はありません
[00:30:54] リスクがないと判断できた場合のみを回収
[00:30:58] して
[00:31:01] ください私がやるっせ鉱石とは仲良しっす
[00:31:05] からパッと見れば危険かどうかはわか
[00:31:08] るっすまそういうの得意そうに見えるわね
[00:31:13] つまり探索作戦の内容はできるだけ後範囲
[00:31:18] を探索しクリスタルに危険がないと判断
[00:31:21] できた場合は採取して持ち帰る以上になり
[00:31:25] ます目標自体は単純ね
[00:31:29] もっと無茶ぶりされると思ってたわ未知の
[00:31:32] エリアなので中央政府も慎重になっている
[00:31:35] ようです主要な戦力である特殊別動隊の皆
[00:31:40] さんを失うわけにはいかないという理由も
[00:31:43] あり
[00:31:44] ますそんなことを言われると鼻が高くなっ
[00:31:48] ちゃいます
[00:31:51] よはいただ出発前にもう1つんどうしたの
[00:32:00] 奪還地01に最低2名を待機させて
[00:32:03] くださいどういう
[00:32:08] ことはい様々な側面から検討された結果
[00:32:13] です工学明細は理論上万全のはずですが
[00:32:18] 実践に投入されたのは今回が初めてです
[00:32:22] 高額明細をくぐり抜ける新型の襲撃なども
[00:32:26] 考慮する必要があります
[00:32:28] 探索メンバーの孤立や脱落に備えて救援に
[00:32:32] 迎える人員も必要です本拠地を空にして
[00:32:36] しまうと緊急事態に対処できなくなって
[00:32:39] しまい
[00:32:41] [音楽]
[00:32:43] ます私とアニスが残り
[00:32:50] ますもちろん一緒に行きたいのは山々です
[00:32:54] が他にどうしようもありません
[00:32:58] あちらの3人は探索のために派遣された
[00:33:01] 専門家
[00:33:02] ですですが私たちは探索に役立つ能力を
[00:33:07] 持っていませ
[00:33:09] んラピほど万能でもありませんし
[00:33:15] ネオンですから残るべきは私たちです
[00:33:21] えっと雰囲気が
[00:33:25] ううん
[00:33:30] そうね私とネオンが得意なのって戦うこと
[00:33:34] だけだしだからここで留守ボしてるわ行っ
[00:33:38] てらっしゃい何かあったらすぐ連絡するか
[00:33:41] 信号団を打ち上げていいわ
[00:33:46] ね揮官様何も言わずに言ってお
[00:33:54] 願いもう
[00:33:59] 行って早く皆さんお気をつけて式
[00:34:07] [音楽]
[00:34:10] 官
[00:34:17] [音楽]
[00:34:20] うここに何かあったらどうするのよ大事な
[00:34:25] 拠点のはずですよねここ
[00:34:31] は
[00:34:33] うこうなるだろうと思っていましたわかり
[00:34:37] ましたただし指揮官へのサポートは少し
[00:34:41] 手薄になりますそれは問題ありません
[00:34:46] ねわかりましたお任せ
[00:34:49] ください大丈夫なんですかな100年間で
[00:34:54] 初めて奪還された場所ですぞ
[00:34:58] しまったらクが水の泡になるので
[00:35:05] は
[00:35:07] おお素敵です
[00:35:10] お何か言いましたかなアニスネオン
[00:35:16] なるべく急いで準備して一緒に
[00:35:21] [音楽]
[00:35:23] 行こうまくもう仕方ないわねまで言われ
[00:35:28] たら断れないじゃないそうですね久しぶり
[00:35:32] にゆっくり休めるかと思ってたのにすぐに
[00:35:36] 準備するわおやつもたくさん持っていき
[00:35:41] [音楽]
[00:35:45] ます地図上ではクリスタルエリアまでの
[00:35:48] 距離は相当ありませ
[00:35:51] んもちろん近いとも言えませんが進行
[00:35:56] ルートについてはりに聞いてください
[00:36:00] うーん今はルートというほどのものもあり
[00:36:03] ませんねただ歩くだけ
[00:36:07] です気になったことがあるのですが地上に
[00:36:12] 来る時って普通は舞台単位で行動しません
[00:36:15] か
[00:36:17] あー普通はそうねでも皆さんはお1人ずつ
[00:36:23] ですよねそうね確かに珍しいかも
[00:36:28] 何か理由でもあるのあうちの舞台の
[00:36:41] ドリリングは
[00:36:57] て1人でエレクトリックショック部隊は
[00:37:01] 元々大して仲良くもないですから
[00:37:04] な専門もみんな違いますし社交性がある
[00:37:08] タイプの集まりとはお世辞にも言えません
[00:37:11] しだから別々に動いてるんですとそもそも
[00:37:17] ぞろぞろ集団行動なんて逆に気が散りませ
[00:37:20] んかなまそれはあるわね以前メティスと
[00:37:25] アブソルートのんと一緒にに作戦に出た時
[00:37:28] はバタバタしてましたねみんなうるさすぎ
[00:37:32] て怒られてましたあなたの言えたセリフ
[00:37:36] じゃないわよねじゃあリバリンはあ私です
[00:37:42] か
[00:37:44] えっと疑問にお答えできず申し訳ありませ
[00:37:48] んが個人的な事情ですので本当に申し訳
[00:37:54] ございませんう
[00:37:58] そっかそれなら仕方ないわ
[00:38:03] ねはい3人とも志願す来る途中で色々話を
[00:38:09] したっす細かい話はもう覚えてないっす
[00:38:12] けどみんな生活が苦しい感じっすね一歩
[00:38:17] 間違えれば廃気処分な身の上っ
[00:38:21] す
[00:38:24] えっと仕事がないからすかねハンマーアン
[00:38:28] ドリルは確か鉱山の採掘が専門の部隊だっ
[00:38:32] たわねその通りすでもアーク均衡の鉱脈や
[00:38:38] 天然資源なんて特の塔に掘りれてるっす
[00:38:42] マイティツールズの先輩方は建築技術が
[00:38:45] あるから問題ないんすよね古くなった建物
[00:38:49] を取り壊してまた建てないといけない
[00:38:51] いっすからで
[00:38:53] も私たちはそうじゃないっす
[00:38:58] はれで終わりす実際うちの隊は1か月間
[00:39:03] 仕事がなかったこともあるすいなくなって
[00:39:06] も誰も困らな
[00:39:07] いっすだからバイトの方が優先ってそう
[00:39:12] いうことっすじゃあ仕事を増やすために
[00:39:17] 志願したということですかその通りす
[00:39:21] 新しい土に行ければ新しい仕事が生まれる
[00:39:24] はずすしかも
[00:39:28] なら最高が専門の私が活躍できるっすそう
[00:39:32] すればおいしいものも食べられるし最新式
[00:39:35] の装備も変えるっすだから志願したっす
[00:39:39] わかります仕事がなくなるというのは辛い
[00:39:43] ことですよねリバンも仕事がなくなった
[00:39:47] ことがあるっすか私ですかもちろんあり
[00:39:52] ますよ私たちは輸送部隊ですから
[00:39:57] ば聞こえはいいですが今はただの配達員
[00:40:01] ですでも最近は宅配ロボットやドローンが
[00:40:05] 配達をしています失敗もしないし安全で
[00:40:10] 早くて正確ですそうなるとミスや事故で
[00:40:15] 配達が遅れたりする私たちを使う理由が
[00:40:18] なくなってしまうんですよ
[00:40:20] ね機械に仕事を奪われるって言葉は一言だ
[00:40:25] と思っていましたが
[00:40:28] 同時者になってしまいましたああ私たちも
[00:40:33] 機会ですから機械が機械に仕事を奪われた
[00:40:37] だけですか
[00:40:41] ねそれにしてはお金には困ってなさそう
[00:40:46] ですがえ私がですか
[00:40:52] はあ私ほど貧乏な2もそういませんよ
[00:40:57] その割にはスクーターがちゃんと整備され
[00:41:00] てますな服も全身新作では機能性の高い
[00:41:06] ものばかりですぞ本当だ全部オクトパスの
[00:41:11] 新作じゃない仕事のための必要経費だと
[00:41:15] 思って
[00:41:16] くださいボロボロの格好では荷物を
[00:41:20] 預けようという人もいなくなるの
[00:41:23] でではそのお金はどこから出てくるのです
[00:41:27] かなロボットに宅配を任せたがらない
[00:41:31] 方たちがいるの
[00:41:33] ですそれが私のお客様ですおかしな話です
[00:41:40] なロボットの方がいいはずなのになぜ
[00:41:43] あえてリバリンしよ
[00:41:46] えっとそれ
[00:41:49] はリバリー氏に依頼する理由は何でしょう
