# NIKKE 第20章 转录
视频ID: xNyagXpq6a4
[00:04:31] か違います
[00:04:33] けど今まで見てきて分かったと思うけど
[00:04:38] このチームではあなたたちの出番はないっ
[00:04:41] てこと窓際に追いやられて首になるのと
[00:04:46] 実践で指を加えてみてたら退場させられる
[00:04:50] のはセムイコールどういう意味か
[00:04:55] 分かるはいはいよくわかったわ
[00:05:00] でもそれなら何のためにわざわざ私たちを
[00:05:03] 仲間にしたの
[00:05:06] よ指揮官彼女たちの言う通りです結局ニヒ
[00:05:12] スター戦ではあの方たちの力が必要となる
[00:05:16] のに今からでも協力した方がいいのでは
[00:05:23] いやお前やセが何を考えているのかは知ら
[00:05:27] ない
[00:05:30] の役はアンチェインドを打つことだけ
[00:05:35] だアンチェインドの使用は作戦の最も重要
[00:05:38] なパートだにも関わらずその銃を握って
[00:05:42] おきながら撃たないということはわざと
[00:05:45] 味方の足を
[00:05:47] 引っ張るということか
[00:05:50] ヨハンニスタが再び移動を開始しました
[00:05:54] これ以上離れるとスキャンでも追跡でき
[00:05:58] ません
[00:06:00] している場合ではありません出そうよどう
[00:06:04] するどうしましょうかお家に帰り
[00:06:11] ます作戦は続行ということでよろしいです
[00:06:19] [音楽]
[00:06:22] ね
[00:06:24] 止まれリスターの痕跡
[00:06:28] だああ派手な必殺技ね何に向かって打った
[00:06:34] のでしょうか警告の意味が込められている
[00:06:37] のかも私たちに対する一理ありますねこれ
[00:06:43] ほど派手に追跡を行っていますから
[00:06:46] ねあちらも私たちに気がついている
[00:06:50] でしょう
[00:06:51] さて連合作戦を行うつもりならそろそろ
[00:06:56] 具体的な作戦を立てましょうか
[00:07:01] セシルはい聞いてますよちょっと
[00:07:10] 失礼突然何をお前はここで
[00:07:17] 帰る理由ならお前が一番よく分かっている
[00:07:21] だろう貴様からは作戦をまともに遂行する
[00:07:25] 意志が感じられないそんなゴミをチームに
[00:07:28] 抱えていくわけにはい
[00:07:34] からタごとつまり1度で仕留められるはず
[00:07:38] の敵を仕留めず敵が自己修復するのをただ
[00:07:42] 黙って見ているつもりかその間に味方が
[00:07:45] 興る損失は考えたが作戦が失敗する可能性
[00:07:49] はそれともお前にはこの全ての状況を覆す
[00:07:54] 力でもあるのか
[00:07:59] ラプチャー一期肉眼で確認もうだから
[00:08:04] オペレーター通信は切っちゃダメなんだっ
[00:08:06] て
[00:08:17] ば何
[00:08:20] あれあの人本当に人間なのよ
[00:08:24] ねその私が言いたいのは男性にそういうん
[00:08:30] じゃなくて人間よ疑う余地は
[00:08:36] ないつまらん邪魔が入ったもう一度言おう
[00:08:41] お前にはこの作戦に参加する資格は
[00:08:48] ないそれ
[00:08:58] で時間がありませんいつニヒリスターと
[00:09:02] 遭遇するか分かりませんオペレーター通信
[00:09:05] は速やかな復旧をお進めし
[00:09:09] ますそうかお前が通したいということは
[00:09:13] 分かったしかしそのためにお前は何が
[00:09:18] できる教を変えられるほどひいてた能力を
[00:09:21] 持っているのかニのサポートなしで
[00:09:24] 生き残れるのかさえ疑問だな
[00:09:30] 式かうまく答えたものだないいだろうこう
[00:09:36] なったら私がお前を直々に試すとしよう
[00:09:40] もしお前が特別な実力もなくがを通すと
[00:09:44] いうのならその時はお前をニヒスターの炎
[00:09:47] の中に投げ入れて
[00:09:51] [音楽]
[00:09:53] やる
[00:09:56] ラピそれで
[00:09:59] はさっきから何をしてるんですか高頭で
[00:10:03] 行う色力試験らしいわヨハが指揮官に仮想
[00:10:07] の戦闘状況を提示して指揮官が私たちを
[00:10:12] どう指揮するのか答えるの
[00:10:15] よだからつまり結局は言葉でやり取りして
[00:10:20] るってことよ
[00:10:22] ねあんなに長くかかるようなことな
[00:10:26] のほらもう半日はあの状態よニリスターは
[00:10:32] ウィングミサイルを打った後120m上空
[00:10:35] から低空飛行中であるどう対応
[00:10:40] する違うフェザーで隙を作ることはできる
[00:10:45] が激はできないコドを50m避けたニヒ
[00:10:49] スターが火炎放射機を発射しながら戦闘を
[00:10:52] 守っていたラピトノアを戦闘不能にした
[00:10:55] 残りの2機は6期だどを対応する
[00:11:01] また
[00:11:03] 違うお前が向かう方向はエブラ粒の濃度が
[00:11:06] 急激に上昇する地域だなぜオペレーターと
[00:11:10] の接続を気にしなかった前方に隠れていた
[00:11:13] ラプチャーの群れによりお前とニケロキは
[00:11:16] 全滅し
[00:11:18] た殺伐としてます
[00:11:21] ね今の加戦だとラピが私たちの中で1番
[00:11:26] 初めに戦闘不能になりましたね
[00:11:30] あでも不思議じゃないはい何がですか今
[00:11:36] まで指揮官様が同じ式感と話す時あんなに
[00:11:40] 盛り上がることってなかったじゃないいつ
[00:11:43] も相手のレベルが低かったり話が通じ
[00:11:47] なかったりしてすぐ終わっちゃうのにでも
[00:11:50] ああやって何かを学ぶ姿を見てると
[00:11:54] ファーストキルされた会がありましたね
[00:11:57] ラッピえ
[00:12:00] そう
[00:12:03] [音楽]
[00:12:05] ね10091杯6引分3勝ひどい
[00:12:14] なお待ちください指揮官これなら悪くない
[00:12:19] 結果なのではもし全てを揮基準で判断し
[00:12:25] たらその試験に合格できる人はいないはず
[00:12:29] です100戦中たった参照だそれも仮想戦
[00:12:34] でこれが悪くない結果だと
[00:12:39] はい勝率は3%ですが最後の3回は連勝
[00:12:44] でした
[00:12:46] よ
[00:12:48] あのどうしてそこまでハニーを作戦から
[00:12:51] 外したいのかは分からないけどハニーも
[00:12:54] アクではすごい感なの
[00:12:57] よ企業の
[00:12:59] も中央政府のえい人たちもみんなハニーに
[00:13:04] 注目してるんだから
[00:13:06] ねそんな人をここまで軍するなんてひどく
[00:13:12] ないそうですよ師匠はこう見えて副司令官
[00:13:17] 直属なんですからねそうそうアークの
[00:13:21] ライジングスターなんだからあなたた今の
[00:13:25] は現ね揮はから来たもてをて
[00:13:32] のノアイサベル原私が戻るまでにあいつの
[00:13:37] 姿が見えないようにして
[00:13:42] くれこっちも説得しようとしてるのに逆
[00:13:47] 効果だったわね
[00:13:51] ごめんそうですよ皆さんのせいではあり
[00:13:55] ませんまだ遠くまでは行ってないはずです
[00:14:00] 私が説得してみ
[00:14:06] [音楽]
[00:14:13] ます指揮官本当にあの方を作戦から排除
[00:14:18] するおつもりですかそうだな未だ新人臭さ
[00:14:23] が抜けない青だ少し強い意思を持っている
[00:14:27] からといって作戦の役に立つだろうと考え
[00:14:31] たのが間違いだあの方がどうして作戦の役
[00:14:35] に立たないと自らたけ役を買って出て
[00:14:40] くださったのになんだこうすればいいの
[00:14:44] ですニヒリスターが認識できる信号を発し
[00:14:48] て彼女の方から私たちを出迎えさせ
[00:14:53] ましょう的なリスターの性格から考えて
[00:14:59] ではありませんそれから偵察なりなんなり
[00:15:04] 実を作って私たちより先にカウンターズを
[00:15:10] ニヒリスターと戦させるのですまあそれで
[00:15:14] もニヒリスターは無限に自己修復を続け
[00:15:19] あの方もアンチェインドを使わなければ隊
[00:15:23] が全滅すると思うでしょうそうすれば
[00:15:29] カウンターズを助けるために
[00:15:32] アンチェインドを使わざるを得ないのでは
[00:15:35] 私たちはそこで乱入すればいいのです
[00:15:39] アンチェインドに当たって暴れる
[00:15:42] ニヒリストを制圧した後運よく
[00:15:46] カウンターズとあの方が生きていれば彼ら
[00:15:50] の救世手になれるかもしれません
[00:15:55] お前最初からそのつもりで彼らを連れてき
[00:15:58] たのか
[00:15:59] もちろんですアンチェインドを貸し出す
[00:16:02] 対価として便利に使える戦力が手に入る
[00:16:07] ならそれも悪くない取引だと思ったんです
[00:16:13] よ吐き気がするなぜですか私のやり方が
[00:16:21] 指揮官がアークで経験したことと似ている
[00:16:25] から
[00:16:26] あそういえば
[00:16:29] 不本言いながら指揮官のトラウマを刺激し
[00:16:34] てしまいましたね
[00:16:36] あら本当にごめんなさいねあいつはお前の
[00:16:40] ような怪物を見てもニケの解放だのなんだ
[00:16:44] の言うのだろうか言いますよ
[00:16:48] きっとそんな人だと思います
[00:16:53] [音楽]
[00:17:02] あお話は終わった
[00:17:05] はいもう心配いりません
[00:17:18] よちょっと失礼と言っていきなり通信を
[00:17:22] 切るなんてあなたのちょっとの長さには本
[00:17:27] にせ
[00:17:29] ませんね
[00:17:31] ヨハちょっとの時間の概念が変わったん
[00:17:35] でしょうか知らないうちにこの基地が高速
[00:17:39] に近づきでもしまし
[00:17:41] たまあそうでもなきゃ作戦中に
[00:17:45] オペレーターの通信を半日以上切るなんて
[00:17:49] ありえませんよ
[00:17:52] ねどうしてヨハは黙ってるんですか
[00:17:56] ドロシーはいセシル
[00:17:59] ちょっとの間にヨハが言語機能を喪失した
[00:18:03] のか確認してください指揮官の言語機能は
[00:18:07] 至って正常
[00:18:09] [音楽]
[00:18:12] です全力で怒られてますねあの人間身の
[00:18:17] ない男も誰かに怒られることがあるの
[00:18:21] [音楽]
[00:18:27] ねは師匠ちょっとこれ見て
[00:18:31] ください地熱が湧き上がってますよもう
[00:18:36] 少し行けば温泉でも出てくるんじゃない
[00:18:39] その前にもっと熱いものが出てくるはず
[00:18:45] よ狩ニヒリスターのことよこの一体は彼女
[00:18:51] の領域だから近くに知された熱はありませ
[00:18:55] んスキャンを避けるために物の隙間に隠れ
[00:18:59] ている可能性も捨てきれませんわ私が空
[00:19:03] から調べてきましょうかそうしてください
[00:19:08] ああそれ
[00:19:13] から信号分かりまし
[00:19:25] たまさかこれイサベルがが帰ってくる音
[00:19:29] じゃないですよ
[00:19:30] ねお願いだから土砂崩れじゃありません
[00:19:34] よう
[00:19:36] にどちらも違い
[00:19:38] ますコードネームニヒリスター上空から超
[00:19:42] 高速で接近中え雲の上から来る
[00:19:52] の揺れがどんどん大きくなってます
[00:19:59] [拍手]
[00:20:12] ミリスタクイーンの戦法塔の昔に口はてる
[00:20:16] べきだった古代の異物
[00:20:29] この楽園の虫ケラどもが挑発しただ
[00:20:35] とこの俺は肺になりたくて仕方ねえみたい
[00:20:40] だなその願い叶えてやるぜ
[00:21:04] あなんだよ
[00:21:08] これ室力が再び加工しますミリスタはなぜ
[00:21:15] たくじれてえ
[00:21:17] [音楽]
[00:21:21] なこんないい土産持ってきてんなら先に
[00:21:25] 言えてな
[00:21:32] お前喋るラプチャーを覚えてんだろお前が
[00:21:36] とかなんとかって呼んでたやのこと
[00:21:41] だどうし
[00:21:44] たってあいつはな俺がかなり大事にしてた
[00:21:49] 手下なんだよお前とあのボロボロな純礼者
[00:21:53] に殺されちまったけどな
[00:21:56] [拍手]
[00:21:58] 普通退屈な復讐劇を期待してたなら悪い
[00:22:02] けど俺そんなに常に熱いタイプじゃねえん
[00:22:07] だよ
[00:22:08] なお前にとってはラッキーだろうけどよだ
[00:22:12] からよお互いにとって利益のある話を
[00:22:16] しよう
[00:22:17] ぜ実はよトーカティブが死ぬ前すっげえ
[00:22:23] 興味深け話をしてくれてな
[00:22:30] お前を捕まえて体の中をひいたらそこに俺
[00:22:36] の望むものがあるはずだって言ってて
[00:22:42] よ秘密つうのはよ抱えてる本人も知らねえ
[00:22:47] 時ほどおもしれえんだよなあいつにその話
[00:22:51] を聞いた時からお前に会える日を待ってた
[00:22:55] んだなあ
[00:22:58] 一体その体に何が入ってんだトーカティブ
[00:23:03] のやつ俺の望むものがなんだと思って
[00:23:08] あんなリスクまで背負いながらこいつを俺
[00:23:12] に差し出そとしたん
[00:23:13] だ
[00:23:15] そうそう思ってたら
[00:23:19] よこの楽園の青どもが自らブラック
[00:23:24] ボックスを持ってきやがった
[00:23:33] えヘレティックが偽物を拉致しちゃったよ
[00:23:37] あれ大丈夫
[00:23:40] イサベルすぐに追撃をお待ちください今は
[00:23:45] だめですタイミングを測りましょう揮官
[00:23:49] 様今すぐあいつを撃ち落とさないとこの
[00:23:54] ままコドを上げられたら手が出せないよ
[00:23:57] 撃ち落せ
[00:23:59] いいえ視界が悪すぎ
[00:24:02] ます一歩間違えば師匠まで巻き込ま
[00:24:06] れあなたたち何してんのほらここに捕まっ
[00:24:13] てちょっと正気竜の尻尾に火がついてたら
[00:24:17] どうすんのよ分かりませんがひとまず
[00:24:21] ぶら下がってみましょう
[00:24:29] [音楽]
[00:24:47] うわ四官様は
[00:24:51] どこおいここで仲良く団欒するために
[00:24:56] あいつらを連れてきたんじゃねえぞ
[00:24:59] どうだ人間俺の提案を聞いてみねえ
[00:25:05] か簡単なこと
[00:25:07] さあそこに閉じ込められてるお前のニたち
[00:25:11] の命とお前の命2つを天秤にかけてみ
[00:25:17] ようっていうめちゃくちゃ簡単な話
[00:25:21] だ全員殺すのは簡単だが火ってそういう
[00:25:26] もん
[00:25:27] だろう誰をやるか誰をやらねえかそういう
[00:25:32] 調節がうまくできねえんだ
[00:25:35] よだからお前の決断次第で全員を生かして
[00:25:40] みようってわけ
[00:25:42] まあもちろん体の中を見ちまったらお前は
[00:25:46] 死ぬかもしれねえがいわゆる偉大なる犠牲
[00:25:51] っってやつだなそれ以上聞く必要はあり
[00:25:55] ません令
[00:25:59] に戦に入ります命令がなくても戦う
[00:26:04] し
[00:26:07] いやどうすっか
[00:26:09] な戦友愛か涙が出ちまいそうだ俺も調子を
[00:26:17] 合わせてあげたいとこだ
[00:26:19] がお前たち雑魚どもを相手して俺の大切な
[00:26:24] ブラックボックスまで燃やすわけにはいか
[00:26:26] ねえだろう
[00:26:28] だからおいお前らちょっと手伝ってくれ
[00:26:34] 殺さねえ程度にいじめてやってくれ
[00:26:40] よラプチャー30機いや50機以上肉眼で
[00:26:47] 確認また
[00:26:50] 戦闘誰か言ってくれるこれさえ乗り越えれ
[00:26:54] ば昇進できるはずだってオ私たちが命を
[00:26:59] かけてバーミンガム様に伝えてあげる
[00:27:06] [音楽]
[00:27:08] エンカウンターフリアいいよね
[00:27:13] ああんなにたくさんいるのに死ぬ気でやっ
[00:27:18] たら倒せちゃっ
[00:27:20] たまだ終わってない指揮官をこっちに連れ
[00:27:24] てこないと今向かってます
[00:27:28] あやっぱダメだな座って待ってんのはしに
[00:27:33] 合わ
[00:27:34] ねえブラックボックスがどうなろうともう
[00:27:39] 知ったこっじゃねえ
[00:27:40] から全部ボロボロになるまで燃やしてから
[00:27:44] 考えた方がいい
[00:27:46] なお前たちもその方が楽しそうだと思わ
[00:27:50] ねえかお互いハになるまで戦おうぜ
[00:28:05] 師匠ニヒリスト攻撃準備中まさかあの
[00:28:11] ドラゴンブレスみたいなのを打つつもり
[00:28:13] じゃないよね兵物兵物の後ろに隠れ
[00:28:18] ましょう
[00:28:34] 嘘でしょ兵物が解けてるこのままじゃ身を
[00:28:39] 隠す場所がなくなり
[00:28:45] [音楽]
[00:28:53] ます官ニスタの道が全員聞いてくれ
[00:28:59] ただいまより最優先目標カウンターズとの
[00:29:02] 合流に変更フォーメーションF最短距離で
[00:29:07] 移動するお待ちください指揮官そこまで
[00:29:11] 急ぐ必要がありますかあのままもう少し
[00:29:15] 放っておきましょうよニヒリスターだって
[00:29:19] 無限の動力を持っているわけではありませ
[00:29:21] んああやって見境なく暴れていればいつか
[00:29:26] 火力が落ちる時が来るはずです
[00:29:29] そこに私たちが乱入すればいいのでは
[00:29:33] ハランお前はどう
[00:29:37] 思ううんさあねせっかく面倒な試練を貸し
[00:29:43] てまで楽園に入れたんだから死ぬとしても
[00:29:48] 活躍している姿は見たいかもね
[00:29:51] なえ私の意見も聞くの私はまあドロシーの
[00:29:58] 考えも尊重はするけど私たちは
[00:30:02] カウンターズだかなんだかって子たち
[00:30:05] みたいに弱虫でもないし正直ずっと待機し
[00:30:10] てるのはもどかしいってのもあるよね
[00:30:14] イサベルお前はわざわざ尋ねる必要があり
[00:30:18] ますかこれまで通り指揮官のせのままに
[00:30:22] 聞いた
[00:30:23] かそういうことだ
[00:30:29] 皆さん急にどうしちゃったんですかいつの
[00:30:34] 間にかアークに行って妊婦でも埋めてき
[00:30:37] ましたせっかく私が皆さんの代わりとなる
[00:30:41] 玉よけを手に入れて簡単で楽な道を作って
[00:30:46] あげようとしたのに何がそんなに不満なの
[00:30:50] か分かりませんねしかも皆さんお忘れの
[00:30:55] ようですがリスターを処理したからと言っ
[00:30:58] て終わりではありませんクイーンの精鋭は
[00:31:02] 他にもいますしかももっと強力な精鋭たち
[00:31:07] がそして彼ら全員がこの楽園を目の敵にし
[00:31:13] ていますだから味方の被害を最小限に
[00:31:17] 抑える方法を提示したのに
[00:31:21] ドシ私たちが普段お前に従うのはお前が
[00:31:26] 私たちのを裏切らない範囲内で動いていた
[00:31:30] からよそうそう悪口も罠も全部オッケーだ
[00:31:35] けど私たちにとって許せないことがあるん
[00:31:39] だからねしかもあの
[00:31:42] 人ニケを解放するために戦いたいって言っ
[00:31:46] てたわ
[00:31:47] もしもう少し早くそんな人と会えていたら
[00:31:52] ここに来る代わりにアークを選んでいたか
[00:31:55] もしれないわあ
[00:31:59] アークですかよくもそんなことが言えます
[00:32:03] ねイサベルあなたたちはアークにあるもの
[00:32:08] を軽蔑していたのでは特に指揮官あなたが
[00:32:13] 一番ひどかったですよねアーク
[00:32:16] はあなたがアークのためにしてきた全てを
[00:32:20] 否定したからだからあなたがアークの揮感
[00:32:24] を利用したとしてもエデンのは少しも
[00:32:29] 傷ついたりしないの
[00:32:32] にかつては私もそう思っていた
[00:32:37] しかしお前という存在が気づかせてくれた
[00:32:40] んだ私が軽蔑していたの
[00:32:43] はアークでもアークの人間でもなく今日
[00:32:47] お前が言い捨てたような虫が走る思想だと
[00:32:51] いうことなんですっ
[00:32:54] て行くぞ
[00:32:58] はい揮官
[00:33:03] エやっと戦闘らしい戦闘ができるの
[00:33:09] [音楽]
[00:33:17] ね犬みてに走りもんのもそろそろ飽きてき
[00:33:21] ただろう逃げてばっかりいねえでに出てき
[00:33:26] て戦おう
[00:33:28] ぜもっとあったかく気持ちよく焼いてやる
[00:33:33] からよ
[00:33:38] なあみんな大丈夫
[00:33:41] 破損率44.
[00:33:45] 33%損傷は外に集中してい
[00:33:48] ます破損率
[00:33:50] 39.928542,141.003144
[00:33:59] 4843こっちもほとんど火傷よ数
[00:34:04] センサーをできるだけ下げてはいる
[00:34:07] けどそれを差し引いても機能が麻痺してる
[00:34:11] 感じがするわ正直もう限界
[00:34:19] ね嫌です今までやってきたことが水の泡に
[00:34:24] なるじゃないです
[00:34:26] かそうよ様私たちのせいで揮官様が諦める
[00:34:31] ところは見たくないなそれにもしかした
[00:34:35] らってこともあるでしょ必死に耐えていれ
[00:34:39] ばヨハンとインヘルトが交流しに来るかも
[00:34:43] その可能性は低いと思う分かってるただ
[00:34:48] 信じてみようってこと
[00:34:52] よそれで何か作戦はあるのにの戦の訓練で
[00:34:58] どこ言ってた
[00:35:00] でしょヨハとかなり白熱したやり取りをし
[00:35:03] てたみたいだ
[00:35:06] けどよしどうなろうとプランAからFまで
[00:35:12] 全部やってみ
[00:35:16] [音楽]
[00:35:19] ましょうくそって
[00:35:22] な痛みを感じるのは久しぶりだよ
[00:35:27] でも参ったぜこの愉快な感覚もたった数秒
[00:35:34] しか感じられねえなんて
[00:35:39] なあまた自己修復怪物みたいなやつ師匠次
[00:35:46] の作戦はありません
[00:35:50] [音楽]
[00:35:51] か兄こなったらもう使っちゃってよあの
[00:35:57] アンチェとかっていう武器正直私たちも
[00:36:01] 結構頑張ったと思うわ
[00:36:07] よお何その中にアンチインド
[00:36:14] がじゃあ何迷ってんだ今すぐ撃ってみろよ
[00:36:21] どうせ自己修復さえしちまえばお前ら
[00:36:24] なんか虫ケラ同然だからなそれでも食らっ
[00:36:28] とけば少しは楽しませてくれん
[00:36:38] だろうお前が想像したミケと人間が共に
[00:36:42] 暮らす楽縁っていうのは死にかけの
[00:36:46] ラプチャー相手でも生き残れないような
[00:36:49] 弱い人間のためにミケが一方的に奉仕する
[00:36:53] 場所なの
[00:37:00] へえ最後の生きる希望さえ自分で捨てちま
[00:37:05] うって
[00:37:10] わけ
[00:37:12] ああもうおかしくなっちまったの
[00:37:15] かまどっちでもええや体の中さへ見れん
[00:37:23] [音楽]
[00:37:25] なら滅すか愚か者
[00:37:37] め今からその献身的な頭に
[00:37:41] 刻み込む自分自身も救えないやつに他人を
[00:37:46] 救う資格などないという
[00:37:55] ことこれは
[00:37:59] アンチェインドマジでこれを俺に打つ
[00:38:04] [音楽]
[00:38:07] なんて
[00:38:09] 全く本当情けねえ奴らだ
[00:38:12] なさっきから何回もその中に入ってるのが
[00:38:16] アンチエンドだってほざいておきながら俺
[00:38:19] が大人しく当たってやるとで
[00:38:25] もったはが帰るぞちょうど俺にも使い道が
[00:38:30] あってなそうかそれは残念
[00:38:37] だなん
[00:38:42] だどうしちまったんだ大事なものを奪われ
[00:38:46] ておかしくなっちまったのかだからこんな
[00:38:50] 普通の弾丸で俺をくすぐってんのがまあ
[00:38:55] 気持ちは分かるがな
[00:38:58] 何度もやられた俺にも我慢の限界って
[00:39:04] もの
[00:39:06] あなん
[00:39:08] でなんで自己修復
[00:39:14] が今だ全員一斉射撃フェザー前最大火力で
[00:39:22] 展開
[00:39:27] 盾にもレーザービームがついてるの知ら
[00:39:29] なかったでしょう今度から覚えといて
[00:39:37] [音楽]
[00:39:40] ね簡単な話だお前が持っていた銃の最初の
[00:39:44] 弾丸はアンチェインドではないそうして
[00:39:48] お前を騙すことでニヒリストをも騙して
[00:39:52] このことについては
[00:39:54] 謝るしかし必要なことだ
[00:40:00] た自己修復機能はもうなくなっ
[00:40:03] たヘレティックを倒すのはここから
[00:40:10] だあっちも1段落したみたいね私たちも
[00:40:15] 行きましょう体はボロボロでも自由で攻撃
[00:40:19] くらいはできるでしょうはい私が撃たれた
[00:40:23] 部分を集中して攻撃しちゃいます
[00:40:32] ちくし俺の足元にも及ばぬ虫ケラど
[00:40:36] がそろそろ終わらせる時が来たよう
[00:40:41] [拍手]
[00:40:43] な
[00:40:45] やめろやめろ
[00:40:47] てそしたら俺がお前たちの代わりに殺して
[00:40:52] やるからこの手で殺してやるからさ
[00:40:57] クイを射撃をやめて
[00:41:01] ください今更割り込んですみませんでも今
[00:41:05] はそんなことを言っている場合ではなさ
[00:41:08] そうなので
[00:41:10] いや耳を傾ける必要もないただ生き残る
[00:41:14] ための悪あがきに過ぎないだろ
[00:41:17] ニヒリスト死にかけのあなたがどうやって
[00:41:21] クイーンを殺すというのです
[00:41:25] か俺に計画が
[00:41:30] あるずっと前から考えてたん
[00:41:36] だイリスのボディについ
[00:41:40] て知ってる
[00:41:44] かクイーンの全身であり地上に残った唯一
[00:41:49] の未練
[00:41:50] さそれさえ見つかればこの手でクインを
[00:41:55] 殺してやるだ
[00:41:58] から早く俺の体からこのクソ
[00:42:02] アンチェインドを
[00:42:06] 取り出せ
[00:42:08] うるさいどうし
[00:42:10] てどうしてみんなそんなにおしりが好きな
[00:42:23] の官攻撃しましょうか
[00:42:28] いや目の前に見えているのは山の一角だ今
[00:42:32] の戦力でどうにかできる相手じゃない察し
[00:42:36] がいい
[00:42:37] ねその察しのいい頭をこれからはもっと
[00:42:42] 低く静かに動かすようにし
[00:42:46] てもし今度また私を起こしたらその時は
[00:42:54] その楽園って場所ご
[00:42:57] に葬る
[00:43:01] [音楽]
[00:43:14] から
[00:43:17] は
[00:43:18] 師匠あまり自分を責めないでくださいね
[00:43:23] 私たちにやれることは全部やったじゃない
[00:43:26] ですか
[00:43:30] か
[00:43:31] ネオンしばらくはそっとしておこう
[00:43:35] はあ本当どうにかなり
[00:43:46] そう
[00:43:48] やっぱりそんな様子だと思いました私と
[00:43:52] 会話する気分ではなさそうですからただ
[00:43:55] 聞いていてくださいね
[00:43:57] 今回オペレーター通信を通して私も皆さん
[00:44:01] の会話を聞いていました特にニヒリスター
[00:44:06] が言っていたことあなたの体の中に彼女の
[00:44:10] 望むものがあるって言ってましたよね実は
[00:44:14] 心当たりがありますわざわざあなたの体を
[00:44:18] 開いて手に入れる必要もありませんし今
[00:44:22] 悩んでいる問題も100%解決できますが
[00:44:27] です私の言う通りやってみ
[00:44:33] ます大したことではありません今から約1
[00:44:38] 時間私にその体を貸してください一種の
[00:44:43] 健康診断だと思ってもらって構いません
[00:44:46] 注射をして採決して写真を撮っ
[00:44:50] てそれだけ
[00:44:54] です何をためらっているのですか
[00:44:57] どうせこれ以上失うものもないのに私が
[00:45:01] 断言し
[00:45:02] ます絶対に後悔はしませ
[00:45:06] [音楽]
[00:45:15] ん
[00:45:17] うん
[00:45:19] やっぱり全て私の予想通りですね自分の
[00:45:24] 血液型はご存知でしたか
[00:45:28] 血液型がデータベースに登録されたこと
[00:45:33] [音楽]
[00:45:35] はペッパー何してるんですか
[00:45:40] 早く先輩揮官の血液型情報がありませ
[00:45:47] ん君と私が持つ血は貴重なものだだから
[00:45:53] その地を求める奴らに狙われないように
[00:45:57] なるデータベースにも登録され
[00:46:03] ないそうですか個人の身体検査情報を隠蔽
[00:46:09] するのは難しいはずですけどあなたを大切
[00:46:13] に思う誰かが適切な措置を取ってくれた
[00:46:17] ようです
[00:46:19] ねどうしてこんなことを聞くの
[00:46:23] か気になる
