# NIKKE 第21章 转录
视频ID: pltXmzzqBtM
[00:10:59] 短いものです材料の確保が行われた期間は
[00:11:04] たったの10年ほどですからその後の生産
[00:11:08] モデルでは同じ現象は確認されていません
[00:11:12] もちろん一次進行時のラプチャーはまだ
[00:11:14] 残っていますがまもなく動力の限界を
[00:11:18] 迎えるでしょうこれがマザーホエールを
[00:11:22] 捕獲しなければならない理由ですマザー
[00:11:25] ホエルは非常に燃費がいいのですしかし
[00:11:30] マザーホエールも一次進行時のラプチャー
[00:11:33] ですその動力は無限ではありません今まで
[00:11:37] 何度も素材を確保してコアを補強している
[00:11:41] はずです
[00:11:44] つまりマザーホエールのコアは人間の細胞
[00:11:48] を含んでいるでしょうそのコアと
[00:11:51] アンチェインドを合成しアンチェインドダ
[00:11:54] を作るのです
[00:12:01] 指揮官大丈夫です
[00:12:05] [音楽]
[00:12:07] か念のためお伝えしておきたいのですが
[00:12:11] 私たちに秘密ができたからと言って気に
[00:12:13] する必要はありませんそうよ私たちを欺く
[00:12:18] ような秘密じゃないならね私にも秘密が
[00:12:22] ありますから例えば私がスパイってことと
[00:12:26] か
[00:12:30] 全くあんまり明すなのも問題よねだから
[00:12:34] 最初師匠のこと見逃すところでした透明
[00:12:39] すぎてはいはい指揮官まもなくヨハとの
[00:12:45] 合流ポイントに到着します行き
[00:12:51] [音楽]
[00:12:54] ましょう早かった
[00:12:57] な移動しよう
[00:13:07] その呼び方はやめてくれ敬語も使うな
[00:13:11] 恥ずかしくて聞いてられ
[00:13:13] ん
[00:13:15] 先輩師匠この方とお知り合いだったんです
[00:13:19] か
[00:13:30] ゲリラ線中心の戦術を
[00:13:34] 提示
[00:13:38] 神聖神聖ってあの神聖本当に
[00:13:45] 神聖ですってそそうよあの
[00:13:50] 神聖なんと私には何のことだかさっぱり
[00:13:54] わかりませんそのとにかく
[00:13:59] すごい人なのよああなるほど
[00:14:03] きゃー神聖様伝説の指揮官様サイして
[00:14:10] ください師匠の先輩ですから大師匠って
[00:14:14] 呼んでもいいです
[00:14:20] か
[00:14:22] 神聖
[00:14:24] 生
[00:14:25] キラキラ生
[00:14:29] 大師匠を大師匠を大師匠
[00:14:34] を静かに
[00:14:39] しろ今から先輩神聖という呼び方は禁止だ
[00:14:45] 分かりました大師匠大師匠も禁止だでは超
[00:14:52] 大師匠とお呼びしますお前はもう喋るな
[00:14:57] そんなひど
[00:14:59] [音楽]
[00:15:03] 照れないで
[00:15:06] みんなお前を心から尊敬しているのよ
[00:15:10] そうそうもうちょっと得意気になっても
[00:15:13] いいんじゃない私も同感です揮官は十分
[00:15:18] 尊敬に値するお方ですから尊敬か私が残し
[00:15:24] てきたものはすでにせ崩れ去っているで何
[00:15:29] も受け継がれていないということは尊敬さ
[00:15:32] れる資格もないということ
[00:15:35] だあなたが本当にあの神聖なら今のその姿
[00:15:40] はおかしいわ神聖が第2次地上奪還戦に
[00:15:44] 参戦したのは60年近くも前のことよよく
[00:15:48] 知ってるなそれに神聖は反逆容疑で生にさ
[00:15:54] れ脱を
[00:15:56] みにより死亡したいうのが公的な記録よ
[00:16:01] 公的な記録か中央政府の記録のことだな
[00:16:06] そうよお前の疑問に答える気はないしかし
[00:16:11] これだけは
[00:16:13] 言える私が神聖であることは確かだこの
[00:16:17] 消耗は誰が何と言おうと私のもの
[00:16:22] [音楽]
[00:16:23] だ神聖って呼ぶの禁止とか言って自分で
[00:16:28] 言ってるじゃない
[00:16:29] そうです
[00:16:31] [音楽]
[00:16:35] ねついてくれば分かるわまたあのおかしな
[00:16:39] 試練とかなんとかするわけじゃないわよね
[00:16:43] お前たちはもう楽園のお客様なのよ同じ敵
[00:16:48] を巡って一緒に戦った戦友でもあるわけ
[00:16:54] こいつらが戦友ただのサポート役じゃ
[00:16:57] なかったっけしつけがなってないわねお
[00:17:01] ちびちゃんあなたたちより強いからしつけ
[00:17:05] なんていらないも悔しかったらもっと強く
[00:17:09] なれ
[00:17:11] ばごめんずしだった何か反論
[00:17:16] できるそんなに言う
[00:17:19] なら装備なしで私と勝負してみる
[00:17:24] え公平にすてどう
[00:17:31] な何言ってんのよなんで私が弱虫と戦わ
[00:17:35] なきゃなんない
[00:17:38] わけ可愛いですねまだまだガキ
[00:17:44] ねさっきから表情が暗いわね
[00:17:48] イサベル私もう我慢できません
[00:17:53] え今まではエデンの立場があり我慢してい
[00:17:58] ましたが
[00:17:59] もうこの方たちとは協力関係にあります
[00:18:03] ですから愛するお方のそばにいたいのです
[00:18:07] 息遣いや大衆を
[00:18:10] 感じ視線や身振りなどの全てを見守るため
[00:18:13] [音楽]
[00:18:16] に
[00:18:17] [音楽]
[00:18:18] そうじゃあ好きになさい指揮官の許可はり
[00:18:23] ませんよね余なら気にも止めないはずよ
[00:18:29] [音楽]
[00:18:32] 愛しいあなた歩くのがお辛いなら私がお
[00:18:37] 手伝いしましょうか軽く持ち上げてお運び
[00:18:41] いたし
[00:18:43] ますあそうですかでは私が後ろを守ります
[00:18:51] [音楽]
[00:18:53] ね行きましょうか愛しいあなた
[00:18:59] [音楽]
[00:19:05] 目標地点はあそこ
[00:19:09] だ第2次地上奪還戦で使われていた対空砲
[00:19:13] だアークで制作分解して地上へ運搬
[00:19:18] 組み立てに2ヶ月かかった怪物さ理由は
[00:19:21] 分からないがマザーホエールを引きずり
[00:19:24] 下ろすといったらあれが必要になるだろう
[00:19:27] えっと
[00:19:29] でもあれてすごく古いんじゃない神聖様
[00:19:34] あの怪物ってやつちゃんと動く
[00:19:38] [音楽]
[00:19:41] のヨハあれはちゃんと動くの
[00:19:47] いや修理が必要だ
[00:19:50] お私たちにそんな技術はありませんよ
[00:19:55] マイティツールズでも呼びましょうか
[00:19:58] 私たちが
[00:20:02] 直すまずは砲台に続く道を片付ける
[00:20:08] [音楽]
[00:20:11] ぞでは直してみる
[00:20:16] か
[00:20:18] ああしかし直すのは私ではないお前
[00:20:24] だやり方は説明してやるしかし手を動かす
[00:20:29] のはお前
[00:20:31] だ指揮官私たちがやりますいやニたちは
[00:20:37] 見守っていてくれ見守り人間の体ではでき
[00:20:41] ない部分だけを手伝うんだなんでそんな
[00:20:44] 効率の悪いこと
[00:20:48] を何よ指揮官様
[00:20:55] まで始めよう
[00:20:59] [音楽]
[00:21:01] 両端にネジがある時は手で軽く回して位置
[00:21:05] を合わせてから閉めろ老朽化した部品だ
[00:21:08] からぴったりはまることの方が珍しい少し
[00:21:12] くらい曲がってもいいから力で
[00:21:17] 押し入れ油を塗りすぎだな分解して油を
[00:21:21] 吹いてからやり直せ純活用にもなるが塗り
[00:21:25] すぎると部品が空回りするんだ
[00:21:29] 使った工具は元の位置に戻せ基本中の基本
[00:21:33] だその部品はカチっと音が鳴るまで力を
[00:21:36] 入れておせだからと言って無理に力を入れ
[00:21:40] すぎる
[00:21:42] とそんな風に壊れるから次からは気を
[00:21:47] [音楽]
[00:21:54] つけろ飲み込みが早いなのは理解でき
[00:22:03] た
[00:22:05] うん正解だでは残りは自分でやってみろ
[00:22:11] ここで見ててやる
[00:22:15] から
[00:22:17] うん本当に飲み込みが早いな応用力もある
[00:22:22] 次は電気だ
[00:22:26] [音楽]
[00:22:29] 見張りで立ってるだけって退屈
[00:22:34] ね何よなんで何も言わない
[00:22:39] のちょっとネオ大丈夫
[00:22:46] [音楽]
[00:22:47] よくやるわ本当あれいつ終わりそうさあね
[00:22:55] もう暇すぎ
[00:22:58] のない暇なんだからしょうがないでしょ
[00:23:03] あの2人を見て何か思わないさあ気難しい
[00:23:09] 姑といびられる嫁と
[00:23:13] かそう
[00:23:16] 見える私の目にはようやく仲間と出会えて
[00:23:22] 楽しくて仕方ない2人に見える
[00:23:29] 基本的な修理はこれで終わりだ次の準備に
[00:23:32] 取り掛かろう
[00:23:34] [音楽]
[00:23:35] 砲台は全部で3台これを全部直すん
[00:23:41] [音楽]
[00:23:47] だなん
[00:23:51] だアンチェインドを使ったのに殺せなかっ
[00:23:55] たダメージを与えたにすぎないがその
[00:23:59] おかげでしばらくは回復に専念して動け
[00:24:01] ないはずだあのスピードで空を自由に
[00:24:04] 飛び回るやつなんだ逃げ回ると決めたやを
[00:24:07] 追うなんてでやしないから
[00:24:11] な私に空いた時間などないマザーホエール
[00:24:16] を捕獲すれば役に立つからだマザー
[00:24:19] ホエールは探索機能を持たないあるのは
[00:24:23] 簡単な内臓武装と輸送機能だけだ
[00:24:28] 要素だとは言えない地面に引きずりおろし
[00:24:31] さえすれば倒すのはそう難しくないそれに
[00:24:35] マザーホエールはいい資源になるから
[00:24:39] [音楽]
[00:24:42] なそうエデンはラプチャーの死体で作られ
[00:24:46] ている反永久的に入手可能かつ使える部品
[00:24:50] も
[00:24:53] 多いセシだセシが設計し作った
[00:25:01] あそこは認めざるを得ないなありがとう
[00:25:05] ございますヨハ認めてくださっ
[00:25:11] て少し遅くなりましたねこれから合流し
[00:25:15] ますそれで私が具体的にどうすごいのか
[00:25:20] 説明できます
[00:25:23] か言葉に詰まるほどすごい
[00:25:28] そう解釈しました頼んだものは全て用意
[00:25:32] できたかもう少しかかります砲台の修理が
[00:25:36] 終わるまでには完成させておきますねそう
[00:25:40] か待つと
[00:25:44] しようマザーホエールを打ち落とす弾丸
[00:25:47] [音楽]
[00:25:53] だ分かりきってるからなアンチェインド
[00:25:56] 関連だろう詳しいことは分からない
[00:26:01] な先輩として1つ忠告だそうやってすぐ
[00:26:06] 感情を顔に出すなお前がこれからもアーク
[00:26:09] で生きていくつもりならなおさら
[00:26:15] なお前は発言にも気をつけた方がいいな
[00:26:19] 簡単に喋りすぎだアンチェインド一発では
[00:26:23] ヘレティックを無力化できないということ
[00:26:25] を確認したにはつが打にはならなかった
[00:26:30] もう少し研究と調査が必要だそうだ
[00:26:34] な話のついでに聞こうお前が打った
[00:26:38] アンチェインドでヘレティックが元に戻っ
[00:26:41] たと聞いたその時の状況はどうだっ
[00:26:47] た外れたなんですっ
[00:26:52] て忘れたかそもそも無駄だったということ
[00:26:57] かいや
[00:26:58] ならアンチェインドでヘレティックを倒し
[00:27:01] たという報告は何
[00:27:04] だアンチェインドも物によって種類や性能
[00:27:08] が異なるのかもしれません過去の
[00:27:11] ヘレティックと今のヘレティックの
[00:27:13] スペックスは構成物質は当時も今も同じ
[00:27:16] ですナノマシンはいアンチェインドがナノ
[00:27:21] マシンを消滅させる限りヘレティックに
[00:27:24] とって致命的であることは変わりません
[00:27:27] そう
[00:27:28] かなるほどなじゃあ研究所で手に入れた
[00:27:33] 弾丸は性能がを取っていたということです
[00:27:39] ね研究所で手に入れた弾丸に関する情報は
[00:27:42] 残っているかはい保存しています
[00:27:47] よしではお前の質問に対する答えをやろう
[00:27:52] お前が手に入れるアンチェインドは前の
[00:27:55] ものより性能が良ければ奪うわ
[00:27:58] そうでなければ奪わ
[00:28:02] ないそう願っている
[00:28:07] [音楽]
[00:28:10] よすみませ
[00:28:15] んあなたにだけ回線をつなぎました小声で
[00:28:20] 話しても聞こえるので少し話しません
[00:28:25] かいいえ
[00:28:29] これまでの彼の態度は見た
[00:28:32] でしょうもし知られたらあなたの体は無事
[00:28:36] じゃ済みませんよ絶対に言いませんあなた
[00:28:40] が非協力的になれば私にとってもいいこと
[00:28:44] はありませんそれに予と取引をすることも
[00:28:49] できるはず
[00:28:51] です最大決量基準として2
[00:28:56] 発の産です金属との合成割合と血液内の
[00:29:02] アンチェイン度の割合で計算したので
[00:29:05] 間違いありませ
[00:29:07] ん少し疲れる程度の採決量です死ぬ直前
[00:29:13] まで抜いた量という意味ではないので
[00:29:16] つまりマザーホエールのコアを確保すると
[00:29:20] アンチェインドダが2発できるということ
[00:29:23] です2ヶ月後にはまた2発できますつまり
[00:29:28] 選択の余地が生まれるん
[00:29:32] ですあなたの血で作られた弾丸が持つ
[00:29:35] アンチェインドの性能は未知数ですが取引
[00:29:39] はできるはず
[00:29:42] です騙すだなんてまだ話をしていないだけ
[00:29:49] ですそれに私は正直言ってあなたとヨハ
[00:29:54] どちらも指示していますヘレティックを
[00:29:57] 倒すこと
[00:29:58] そしてに選択権を与えることそのどちら
[00:30:05] もヘレティックは危険でニフも危険です
[00:30:11] からこの話はまた今度にしましょうもう
[00:30:15] すぐ砲台に到着し
[00:30:17] [音楽]
[00:30:25] ますここが2つ目の放題です
[00:30:29] それほど破損していないようなので早く
[00:30:32] 修理して次に行きましょうまた修理私たち
[00:30:36] はただ見てるだけ今回は私たちも手伝い
[00:30:40] ますへ見てるだけでもいいですよいや今回
[00:30:46] もニたちは待機だ
[00:30:49] その文句が言いたいわけじゃないけど何の
[00:30:53] 意味がある
[00:30:54] の必要なことだと思うどうして修理であれ
[00:31:00] 戦闘であれ私たちに任せた方が楽じゃない
[00:31:05] もちろんその方が効率的よでも指揮官に
[00:31:10] できることが増えればそれだけ選択の幅が
[00:31:13] 広がるわそうは言ったってほんの少し
[00:31:17] 広がるだけだと思うけどそのほんの少しの
[00:31:20] 変化で状況が一転するかもしれ
[00:31:26] ないそれは違う
[00:31:30] 少しではない選択の幅が大きく広がるんだ
[00:31:34] 第2次地上奪線には一時に比べて100倍
[00:31:38] 近い物資が投入された単に2家の数が増え
[00:31:42] ただけではない兵器の数もそれだけ増えた
[00:31:45] んだそしてその兵器の多くはまだ地上に
[00:31:49] 残っている使えないほど壊れているのは
[00:31:52] 仕方ない通常は簡単に手直しするだけで
[00:31:55] 使うことができるこれを活用
[00:31:59] までとはが能となでもそれてラプチャーに
[00:32:04] 通する
[00:32:05] の時代の兵器でしょそれでラプチャーを
[00:32:09] 倒せるの何を言っている揮は前線でうもの
[00:32:14] ではない使える段を全て同してたが
[00:32:18] ラプチャーを倒せるようサポートするのが
[00:32:20] 揮ラプチャーの的判断エラーの誘導
[00:32:29] それ
[00:32:30] はそうかもねよく
[00:32:35] 聞けひたすら動け考え続けろ判断を止める
[00:32:40] なそしてその判断を実行できる能力を養え
[00:32:46] 能力を養えば自然と判断力も上がるこの2
[00:32:50] つは相互保管的な関係に
[00:32:52] あるはその名の通りをするもの
[00:32:56] だ戦闘を任せ指を加えて見ているために
[00:33:00] その制服とが与えられているわけでは
[00:33:07] ないそうかお前はちゃんと理解している
[00:33:11] ようだな大大の修理が終わったら移動する
[00:33:17] [音楽]
[00:33:24] ぞ腹が減ったな
[00:33:28] いやちょうどいい機会だついてこい食料を
[00:33:32] 確保するコツを教えて
[00:33:35] [音楽]
[00:33:38] やろういい感じね指揮官のあんな姿は始め
[00:33:43] てみました護衛に行かなくてもいいの
[00:33:47] 大丈夫です指揮感は強いので
[00:33:52] じゃあ待ちながらおしりでもしましょう
[00:33:55] ずっと聞きたいことがあったのよねどうぞ
[00:34:00] あなたたちはどうしてアークに帰らない
[00:34:03] [音楽]
[00:34:10] のどうしよう沈黙の呪文を唱えちゃった
[00:34:16] みたい私も唱えなくてはあなたたちはどう
[00:34:20] して悪に帰らないのあなたたちはどうして
[00:34:23] アークに帰らないのあなたたちはどうして
[00:34:25] アークに帰らない私たちはみんなアークを
[00:34:29] 剣をしていますですから何卒アークの話は
[00:34:34] お控えくださいますようにみんなヨハンと
[00:34:39] セシもそうなのはい例外なく全員どうして
[00:34:46] アークの話はお控えくださいと言ったはず
[00:34:48] ですが冷たいこと言わずに教えてよお断り
[00:34:54] します
[00:34:56] [音楽]
[00:34:58] お互い譲る気はなさそうね昔の話は好き
[00:35:01] じゃない
[00:35:02] のだから1つだけ教えてあげるわ私たちは
[00:35:09] みんな裏切られたのアークにね
[00:35:15] ああなんだありきたりな理由すぎて気が
[00:35:19] 抜けちゃったなんですってだってそう
[00:35:23] でしょアークで裏切られたことがない人を
[00:35:26] 探す方が難しいわよそれでアークの話を
[00:35:31] するなって言われても誰かにとっては当然
[00:35:35] のことでも誰かにとっては特別なことかも
[00:35:38] しれないのよお前にとってはありきたりな
[00:35:42] ことでも私たちにとっては拭いきれない傷
[00:35:46] かもしれないということ誰が一番ひどく
[00:35:50] 裏切られたのか競っても意味がないわ大事
[00:35:55] なことは者のちがどうだったのかという
[00:35:59] ことオー分かったわよごめんちょっと警察
[00:36:05] だった
[00:36:07] ねこちらこそ過剰に反応してしまい申し訳
[00:36:12] ありませんじゃあ他の質問をしてもいい
[00:36:16] ですか何でしょう他のピルグリムの皆さん
[00:36:20] は何をしてるんですか
[00:36:29] は私も沈黙の呪文を唱えてしまったよう
[00:36:33] です私も唱えなきゃ他のピルグリムの皆
[00:36:38] さんは何をしてるんですか他のピルグリム
[00:36:40] の皆さんは何をしてるんですか他の他の
[00:36:43] 方たちはエデンで私たちと一緒にいました
[00:36:49] やっぱりでも私たちとは意見が合わず各々
[00:36:54] の道を歩むことになったのです
[00:36:57] が全てです意見が合わなかったというのは
[00:37:02] つまり目標が違ったという
[00:37:08] ことじゃーんラピは沈黙の呪文を覚えた
[00:37:14] 目標は同じでしたしかしその目標を達成
[00:37:19] するための方法があまりにも違いすぎたん
[00:37:22] ですそうヨハと指揮官がこっちに向かっ
[00:37:27] てるわ
[00:37:28] 移動し
[00:37:34] ましょう最後の放題です
[00:37:37] ね弾丸の準備も終わりましたな1番放題に
[00:37:42] 先に行って待してくれえ私1人で何か問題
[00:37:48] でもいやそういうわけじゃない
[00:37:54] けど官私が行きますお前は弾丸を運ぶ役割
[00:37:59] だ弾丸を運んでから1番放題を最後の
[00:38:02] ルートにして待機しますそれなら問題あり
[00:38:06] ませんよねああ問題
[00:38:12] ないノーは大丈夫ですよ急ぐ必要はあり
[00:38:17] ませんゆっくりやり
[00:38:21] ましょう移動しろイベルはい指揮官愛しい
[00:38:26] あなた
[00:38:28] しばのお別れです
[00:38:31] ねフント楽そうよねあれパラン2番題に
[00:38:37] 移動して待機してくれ同様に天号合津と
[00:38:41] 同時に発射しろ
[00:38:43] ね待ってるわ従者よ後で会い
[00:38:49] ましょうじゃあお前は最後の題を直せ私は
[00:38:54] マザーホイールのルートを確認するえ
[00:38:57] ちょっと
[00:38:59] ちょっとどういう作戦なのか教えて
[00:39:03] よお前の式官が教えてくれるはずだえ指揮
[00:39:09] 官様何か聞いてる
[00:39:13] のて言ってるけど答えてみろ大台の位置と
[00:39:18] 形をよく見ていればどういう作戦か分かる
[00:39:21] はずだ答えろ
[00:39:37] [音楽]
[00:39:43] 神聖様が表情で全部教えてくれてるじゃ
[00:39:46] ない
[00:40:06] 見事だなマザーホエールには決まった同線
[00:40:09] がある計算通りなら2時間後に3つの放題
[00:40:13] の中心を通り三角形の中心に来るはずその
[00:40:18] 時がチャンスだだからお前がすべきこと
[00:40:23] はその通りだ急げ
[00:40:27] [音楽]
[00:40:35] 指揮官弾丸を持ってきましたご苦労だっ
[00:40:46] たそうですよ愛しいあなたあなたのためだ
[00:40:51] と思えばこれくらいなんてことありません
[00:40:58] ああなんてお優しい方なんでしょうヨハン
[00:41:03] も同じこと言った
[00:41:05] のあなたのおかげで力が湧いてきました後
[00:41:11] でお会いしましょういしい
[00:41:15] あなたではアンカーを砲台に設置する今回
[00:41:20] はニケの出番
[00:41:22] だ
[00:41:24] オー久しぶりに頑張りますか
[00:41:28] 私もうずうずしていたところでしたヨハ
[00:41:32] 設置の仕方を教えてくれる
[00:41:37] あお前は休む設置の仕方と言っても大した
[00:41:42] ことではない力さえあればできることだ
[00:41:45] 戦闘の前にコンディションを整えてく行っ
[00:41:49] てきますお休みください官
[00:41:59] 1人になりました
[00:42:02] ね先ほどできなかった話をしましょうか
[00:42:06] 妊婦につい
[00:42:09] てそれは何も知らないからです人類は妊婦
[00:42:16] について何も知りませ
[00:42:19] ん妊婦を利用して記憶と情報を制御するの
[00:42:24] はあまりにも不安定です
[00:42:28] 妊婦はまだ人間である時に注入され脳の
[00:42:32] 情報をコピーしますその後妊婦にコピーさ
[00:42:36] れた情報を処理し2を作りますほとんどの
[00:42:40] 2は人間だった時の記憶を全て失います
[00:42:45] 妊婦に事前入力された情報と置き換え
[00:42:48] られるからですしかしになった後も人間
[00:42:53] だった頃の習慣みなが場合もあ消えるはず
[00:42:59] だった過去の記憶が残っている場合もあり
[00:43:02] ますわずかな記憶の変が残っていることも
[00:43:06] あれば数年分の記憶がそのまま残っている
[00:43:11] こともあります稀に全ての記憶が残って
[00:43:15] いることもありますあなたも知っています
[00:43:18] よね2件によって記憶の範囲に違いがある
[00:43:22] という
[00:43:26] ことすでにその時点で妊婦の不安定性が
[00:43:30] 証明されたも同然です妊婦を通じて入力さ
[00:43:34] れる行動ルールも勝手なものです代表的な
