# NIKKE 第39章 转录
视频ID: n1YLOO7pJJU
[00:03:13] くれるんじゃない?私もベヒモスに会い
[00:03:16] たいし。
[00:03:20] 考えてはいるけどそれはやめといて。
[00:03:24] えん、なんで
[00:03:27] ベヒモスが目を覚ましたら大なしくしてると思う?どう考えても大騒ぎどころじゃ済まないでしょう。
[00:03:37] え、何があったかは秘密にしておけばあの状態でも全部聞こえてたり意識がはっきりしてたりするかも。
[00:03:50] え、言われてみればじゃあ何に使うの?せっかく見つけたのに。
[00:04:00] 別の何か使い道なんていくらでもあるでしょう。あんたが拾ってきたものの中でもとっておきだし。役に立つのは間違いないよ。
[00:04:15] そ、そうだよね。
[00:04:18] 自慢じゃないけど回収するのにすっごく
[00:04:21] 苦労したんだ。空を飛んでたらラプチャー
[00:04:25] が集まっててね。何かなって確かめたらし
[00:04:30] 静かに。え、でもここからがいいところな
[00:04:34] のに。黙って。うん。
[00:04:42] ラプチャーが来てる。
[00:04:44] どこに?見えないけど。前からそこまで大きくなさそう。え?ただのプちゃんにビビってるの?
[00:04:57] テビーでば?
[00:04:59] 違う。何かおかしい。
[00:05:04] やあ、君たちいきなりですないけど何があったのか聞いてもいいかな。
[00:05:11] 何こいつ?ラプチャーが喋っている。
[00:05:19] 驚かせちゃったみたいだね。心配しないで。俺はラプチャーじゃないよ。ただのラプチャー愛かさ。普通の人間だから安心してくれ。
[00:05:31] へはラプチャー愛か。
[00:05:38] 人間。
[00:05:40] その通り。近くで大きな爆発があったから急いで駆けつけたら君たちが空を飛んでいたんだ。危なそうに見えたからホエリーに保護をしてもらったのさ。ああ、食べられてはいないから安心してくれ。エリーのお腹の中は安全だよ。ところで君たちは迷子の
[00:06:02] 2家かな。
[00:06:03] 私たちはヘレティックだよ。
[00:06:07] バカ教えてどうすんの?ごめん。でも聞かれたから。
[00:06:16] あれ?なんか変な雰囲気になっちゃった。
[00:06:22] あんたが余計なこと言うから。
[00:06:25] ヘレティック。
[00:06:28] ヘレティック。
[00:06:29] え、
[00:06:31] あのヘレティックなのかい。
[00:06:34] へえ。
[00:06:36] なんて運がいいんだ。実際に会えるなんて
[00:06:40] ねえ。君たち
[00:06:43] よかったらだけど俺に話を聞かせてくれ
[00:06:48] ないか?
[00:06:55] し、あんたは人間だけど好きだから
[00:07:00] ラプチャーと友達になれないか考えてた。
[00:07:05] それがうまくいってこのマザーホエールと
[00:07:10] ホエリーって言うんだ。
[00:07:12] ホエリーと友達になって世界中を旅してるってこと?
[00:07:18] その通りさ。聞き上手だね。
[00:07:22] で、ホエリーに乗ってる他のラプチャーもみんなあんたの友達?
[00:07:29] その通りだよ。いきなり襲ったりしない。とても優しい子たちさ。
[00:07:35] マジで言ってる。
[00:07:39] 信じられないのも無理はないね。でも君たちは今実際にホエイリーのお腹の中にいるだろう。普通のマザーホエールなら異物が入ってきたら放ってはおかないはずさ。中にいる大量のラプチャーに襲われてるだろうね。
[00:07:58] それはそうだって私も知ってるけどどうしてあなたが知ってるの?ホエリー以外のマザーホエールとも仲良くなるために頑張ったからね。そっちはうまくいかなかったんだ。な
[00:08:16] んで生きてんのよ。
[00:08:19] 新しい挑戦には危険がつき物さ。君たちはエレティックなんだね。
[00:08:26] そうだけど文句。
[00:08:29] 俺の言葉は通じてるのかな?
[00:08:32] 今話してるでしょ。
[00:08:34] これのことをな何て呼ぶか教えてくれるかい?この間地上で見つけたんだ。美しいだろう。君たちはこれを何と呼ぶんだい?りんごでしょ。
[00:08:52] バカにしてんの?
[00:08:54] どうやって使う
[00:08:56] と?食べるかな?
[00:09:01] うん。物に対する考え方は同じだ。君たちは人間やを見たらやっつけたいと思うかい?
[00:09:11] 別に。
[00:09:13] じゃあ人間やを見てどう思う?
[00:09:17] どう思うも何もないでしょう。そこにいるなってだけ。
[00:09:22] そうか。それなら友達になれそうだね。
[00:09:28] は、
[00:09:29] ラプチャーと人の間には石伝達の壁があるんだ。でもヘレティックとニ家と人の間にはそれがない。本能的に憎み合うようにできてるってこともないようだね。それなら話をするには何の問題もない。つまり友達になれるってことさ。
[00:09:54] 話ができるなら友達になれるんだ。俺と友達になってくれないかな?
[00:10:05] ああ、ごめん。喜びすぎてつい先走ってしまったね。ゆっくり考えてくれればいいんだ。俺たちは考える存在だからね。
[00:10:17] まずは素敵な出会いを記念してホエリーの
[00:10:20] 中を案内してあげるよ。ついてきて面白い
[00:10:24] ものがたくさんあるんだ。ああ、りんごは
[00:10:28] プレゼントするよ。受け取って。
[00:10:34] うーん。
[00:10:39] 何がどうなってんの?頭が働かないんだ
[00:10:43] けど。
[00:10:45] デビーがそれじゃ困るよ。私だってわけわかんないのに。どうする?ついてく?
[00:10:55] とりあえずはね。何を企らんでるのか探ないと。カウントダウン開始。
[00:11:11] 32
[00:11:16] ベイビー。あと何回心の準備がいるの?マザーホエールに逃げられちゃうよ。
[00:11:24] 心配は無です。うまくいかなくても何キメルか落下するだけですから。衝撃剤を詰めてあります。問題ありません。
[00:11:37] 速度の方も一瞬で加速するわけではありませんから。指揮感は頑丈です。耐えられます。
[00:11:47] もう心配ないでしょ。じゃ、行くよ。
[00:11:51] 321
[00:11:59] 発射。
[00:12:07] え、確かに結構来るね。指揮官ご無事ですか?ちょ、我慢してください。発射後に何をしても手遅れです。
[00:12:44] 逆噴射装置があるよ。着地寸前で使えばなんとかなるはず。
[00:12:52] 狭い空間で美女2
[00:12:53] 人に挟まれていられるのですから、それぐらい耐えてください。そうだ、そうだ。
[00:13:00] そういえばラプラスとドレイクの方は
[00:13:03] まあ、あっちこそ本当にどうとでもなるでしょう。できれば監視についてきたかったけど重量オーバーじゃ仕方ないし。チームを分けたことは正解だったと思うわ。
[00:13:16] あの2
[00:13:17] 人もここにいたらどれだけうるさかったか。うん。そう変わらないんじゃないかな。
[00:13:27] 指揮感は声がいいから気にならないわ。
[00:13:30] あ、そろそろつきそう。近くで見るとやっぱり大きいね。マザーホエル
[00:13:38] 指揮官窓の外です。ホエリーが目視できます。
[00:13:46] しっかりして。もうすぐつくよ。よし、着陸は無事に完了。マザーホエールの尻尾かな?ここは死にかけたことなんて山ほどあると思うけど、今更こんなので怖がるなんて意外だね。
[00:14:16] 妙ね、ここは空を飛ぶクジの背のはず。風が全くないわ。まともに立っていられないか吹き飛ばされそうになるぐらいは想定していたけど、気圧による温度さや呼吸障害もないというのは
[00:14:32] 確かに随分人間に優しい感じだね。畑まであるみたいだし。うん。
[00:14:42] あそこ畑のようです。
[00:14:52] グラトニーみたい奇心で鶴罠かな。
[00:14:56] ここにいる人のことを考えるとそうとは考えづらいわ。
[00:15:01] ああ、あのラプチリオンっていう変人有名人だからね。
[00:15:09] 紙の上では死んだことにされてるけど知っ
[00:15:12] てるニ家なら知ってるよ。そいつが鳴っ
[00:15:14] てるなら何がどうなっててもおかしくない
[00:15:17] ね。とにかくまずは探索から。
[00:15:23] ほら行くよ。そろそろ出てきて。
[00:15:29] ちょっと寝てるの?ののんびりしてる場合
[00:15:35] 何かあったんじゃ。
[00:15:41] あなたたち何してるの?
[00:15:46] 一体何を?
[00:15:49] 窓が小さくて出られないマンホールはどこ
[00:15:53] だ?
[00:15:54] 一生そこで暮らしてなさい。行くよ。出発
[00:15:59] 。
[00:16:05] 本当に畑だね。
[00:16:08] それほど大きくはないけれど、必要なものは全てあるわね。ホエリーの背中にある理由は分からないけど。う、
[00:16:21] 2
[00:16:21] 人ともさっきからどうしたの?随分静かだけど大丈夫?
[00:16:32] 具合でも悪いの?ちょっと見せて。
[00:16:35] パワーアップパパーツの不具合かも。
[00:16:37] 喉がガラガラだ。
[00:16:40] 声がせ。
[00:16:42] おお。さっき叫びすぎたようだ。
[00:16:48] イーローの生体がそんなに弱くてどうする?
[00:16:52] 悔しい。これからはもっと叫めるように承人しなければ。
[00:16:58] 私は今の状態が気に入っている。
[00:17:03] この声の方がビランっぽいからな。
[00:17:13] もう突っ込む気にもならないわ。
[00:17:17] ちょうどいいわ。少しは静かになりそうね。
[00:17:21] 指揮官ラプチリオンとの連絡はここにいないという可能性はもうレビアたんとずにやられちゃってるのかもね。
[00:17:35] まさか簡単に死ぬような人じゃないわ。この背中か内部に全員はず。
[00:17:45] ラプチリオンもレビアタンとジも
[00:17:49] じゃあ穴でも開けてみる。中を調べるにはそれしかなさそう。
[00:17:55] ヒーローとしてそんな暴な方法を使うわけにはいか。
[00:18:03] ビランでもしないようなこと。平然となんか言った。
[00:18:10] もっと大きな声で言ってくれる?ああ、いい気分。
[00:18:20] 穴を開ければホエリーを傷つけることになるわ。ラプチリオンも悲しむはず。
[00:18:26] うん。とりあえず背中を歩き続けるしかないか。
[00:18:32] この畑はラプチリオンの食料確保のために作られたものと見て間違いないわね。
[00:18:39] 土はどこか運び込んだとして水はどうしているのかしら。
[00:18:44] 気合い気合いで天然の雨に頼っていると考えるには畑の状態が良すぎる。え、雨雲なんかないのに。もしかして雨じゃない。
[00:19:07] まさか毒十字
[00:19:11] の方向
[00:19:18] スプリンクロ
[00:19:20] クジの雰囲気
[00:19:26] 1000
[00:19:55] いやはや、これはこれはこんな場所で
[00:19:59] 会えるとは夢にも思っていませんでしたね
[00:20:02] 。肺岸のAによくし公栄です。
[00:20:09] 戦者の皆から飽きるほど話を伺っています
[00:20:13] 。ああ、白雪に神長にグレンのことですね
[00:20:19] 。平雪長誰のこと?まさかイオニア?
[00:20:31] ええ、その通りです。
[00:20:36] 知っている?こう見えても
[00:20:40] 4番目の触覚と言うべきでしょうか?
[00:20:43] え?ゆたとお呼びください。
[00:20:47] 改めましてお会いできて公栄です。旦那。
[00:21:03] 私は4人目の遺相ろ老ろというべき感。
[00:21:08] 彼女たちと心志しを同じくするものです。
[00:21:11] とばいえ、いつも行動を共にしてはいませ
[00:21:15] ん。
[00:21:17] 彼女たちの定期的な集まりにも参加して
[00:21:20] いるわけではありません。友に限り顔を
[00:21:24] 出し相談をするような関係ですね。まあ
[00:21:30] 3人は自分たちの話をしようとしません
[00:21:33] から
[00:21:35] 知らないのも当然ですね。信じられないわ
[00:21:38] 。ピルグリムと名乗るだけならあまりにも
[00:21:42] 簡単だもの。それもそうです。
[00:21:46] は語ることは難しくない。まあ、信じるか
[00:21:51] どうかは旦那とご友人の判断にお任せし
[00:21:55] ましょう。人の心ばかりは思い通りに
[00:22:00] できるものではありませんからね。
[00:22:09] 神長の城が旦那の写真を持っていますから
[00:22:13] ね。
[00:22:14] それを見ながら危なを仕立てているところを何度か見かけたことがありますね。危な絵のこと?わゆる式場的な絵と申しまして。
[00:22:33] すぐに回収しないと。
[00:22:35] 人があんな姿勢を取れるとは私も初めて。
[00:22:44] それでしたらこれが答えになるでしょう。
[00:22:56] ムと雲を混ぜて乾燥させた団子です。どう
[00:23:01] しても硬い部分以外は食べられます。
[00:23:06] 話のついでに付け加えるとグレンは大した
[00:23:10] のんだくれです。そういえば旦那とな話も
[00:23:15] 聞いたことがありますね。旦那がうっかり
[00:23:18] 1人で地上へ出てきてグレンと畑を耕し
[00:23:22] ながらえっと
[00:23:26] 肥料を食べたとかあ
[00:23:32] そうでした。私の覚え間違いですね。
[00:23:36] とにかく
[00:23:38] これで少しは信用していただけましたか?
[00:23:44] むしろ無関係だと言われた方が見逃せなく
[00:23:47] なってきたわ。人安心ですね。さておき。
[00:23:53] 出会いの喜びで思わず忘れていましたが、
[00:23:58] 旦那たちはどうしてここに?ラプチリオン
[00:24:01] に会いに来たの。ああ。
[00:24:04] そういえば那和教のご親友でもありました。顔の広い方でいらっしゃる。
[00:24:13] 指揮感は寄り好みしないの?
[00:24:19] 調和教はお客人を迎えに行きました。私が道を案内しましょう。
[00:24:27] お客人黒い油をまとった娘たちでした。
[00:24:33] 私に言わせれば招かれざるものだと思いますが、調和教は客人だと思っているようですね。まあ、それも常和教だし。
[00:24:55] 実は私も同じ意見です。
[00:25:00] それが調和教の器ということでしょう。令で参りましょうか。
[00:25:12] ああ、申し訳ない。そちらの皆さんとは挨拶を済ませていませんでしたね。
[00:25:21] 名前を聞いても
[00:25:23] ピルピル全く私は南弱そうなやには興味がない。
[00:25:35] あれ喋れるようになったの?
[00:25:40] 叫ぼうとしなければな。声に悪闘らしいすごみがありますね。
[00:25:50] 見た目もいかにも悪物という感じでお前はいいやつだな。
[00:26:01] よろしくね、ピルグリム。私たちはミシリス所属のメティス部隊。私はマックスウェル。あの青いのはラプラス。こっちの赤いのはドレイク。その
[00:26:13] 2人は叫びすぎて声が出なくなってるの。
[00:26:17] 聞き取りづらかったらごめんね。
[00:26:19] そうだったのですか?元々の声かと思っていましたよ。うむ。少々失礼。
[00:26:30] どうかした?ちょっと何を?あ、
[00:26:47] ヒーロー生態回復
[00:26:50] なんてことだ。あの声の方が美らしくて気に入っていたのに。
[00:26:57] はい。
[00:26:58] うまくいったようです。
[00:27:00] ピルグリムだ。信じられない。おお、目は閉じているのか。真っ白だ。髪が長いな。それに家だ。
[00:27:14] 思いつき次第喋ってるね。平穏が破られたわ。
[00:27:19] 興味を持っていただけるのはありがたいですが、今は常和鏡に会うのが先では歩きながら話をしましょう。
[00:27:29] お前なぜ片腕だけ見た目が違うんだ?何か仕込んでいるな。爪が飛び出すならビラン連合に入れてやろう。
[00:27:43] それはありがたいですね。先を急ぎましょう。
[00:27:52] 2
[00:27:52] 人とも少しは地上でどれくらい過ごしているんだ?
[00:28:00] それは褒めすぎです。
[00:28:04] お前動エレベーターを見たことはあるか?どういたしまして?
[00:28:12] ん?地上で何回戦った?何戦症だ?武器は何だ?
[00:28:20] その通りですね。
[00:28:23] ビランに興味はないか?お前が望むなら推薦くらいはしてやろう。
[00:28:32] 胸に刻んでおきましょう。
[00:28:35] うん。へえ。ああいうかわし方もあるのね。
[00:28:41] マクスエル。
[00:28:42] うん。あの金色に光ったやつの話でしょ。あれって何?
[00:28:48] あなたも知らないようね。私も初めて。初めて本当に?うん。
[00:28:57] いやあ。
[00:28:58] フォービーストに元ヘレティックマザーホエールの背中でピルグリム地って楽しすぎるね。ベビーつもこんなことを経験してるの?私メティスをやめてカウンターズに入ろうかな。退屈する暇もなさそう。本当。
[00:29:38] 私も最近来たばかりですよ。山の上で瞑想
[00:29:42] していたら白い大クジに助けを求められた
[00:29:47] のです。
[00:29:49] 計画にはそれに乗った調和教でしたが、
[00:29:53] ラプチリオンは何か問題があったの?まあ結構なでしたね。ひまずは解決しているので心配には及びません。その時からの縁でここで過ごすようになったのです。この白ゲは実に素晴らしい。
[00:30:16] 根源そのものが変化した唯一無の事例です
[00:30:20] からそれを成し遂げた調和教の力は
[00:30:26] 未だかつて誰もたどり着けなかった
[00:30:31] 技術の領域をはるかに超えた何かと言え
[00:30:35] ますねっ
[00:30:38] とドレイクの喉を直した時何をしたの
[00:30:42] 大したことではありませ
[00:30:45] 直したり作ったりということには他人より
[00:30:49] 少し詳しいのです。あの光金色
[00:30:53] の光どこかで見た気がするの。いえ、どこ
[00:30:58] かで見たことがある。
[00:31:02] まさか
[00:31:03] 勘違いでしょう。いえ、間違いない。
[00:31:08] いやいや、それは考えられない。
[00:31:15] 冗談というわけではないようですね。少々
[00:31:19] 失礼しても
[00:31:22] 体に触ってみたいのです。指揮官よろしい
[00:31:26] でしょうか?
[00:31:30] 指揮感の許しなく誰かが私の体に触れる
[00:31:33] ことなどあってはなりません。
[00:31:38] では失礼して。
[00:31:46] お名前は何でしたか?ラピオ。ラッピ。何があったのか聞かせていただいても
[00:31:55] 何がというのは
[00:31:57] 融合のことです。
[00:32:01] 私にもよくわからないの。私たちの嫌らの記術だ。
[00:32:11] しかしこれは共存だけではない。融合して
[00:32:17] いる。
[00:32:21] あなた何者?旦那と皆様方は深きものに
[00:32:27] ついて聞いたことが
[00:32:32] ディープと言えばわかりますか?
[00:32:36] 聞いたことはないわね。古気存在です。
[00:32:41] 古くからの技術と古くからの秘密を持つ者
[00:32:45] たち詳しいことは言えませんが簡単に
[00:32:50] まとめるならそれがちりじりになる前にし
[00:32:54] ていた悲願とも言える研究の成果がその体
[00:32:59] の中にあるということです。祈願とも
[00:33:03] 言える研究
[00:33:05] すること滅びの運命を回避し全てのものが
[00:33:10] 生き残れる唯一の方法どういうこと?
[00:33:15] ディープ何?強制?滅び私の体のこと何か
[00:33:22] 知っているの?
[00:33:25] 申し訳ないですが、まだあなた方の力を
[00:33:29] 信じるわけにはいきません。真実や秘密と
[00:33:33] いったものは
[00:33:35] 騒応の力を持つものが背負ってこそ光を
[00:33:39] 放つ。あなた方の力が測れるまでは答えて
[00:33:44] 差し上げることはできません。
[00:33:53] もちろん
[00:33:55] 旦那と反抗部隊の活躍についてはよく見て
[00:34:00] いや、聞いています。目覚ましいご活躍を
[00:34:04] されているようですね。しかし
[00:34:08] それだけでは足りません。結局のところ
[00:34:13] 真実と秘密を背負うためには運命を持って
[00:34:18] 生まれる必要があるのです。
[00:34:25] どうか忘れてください。今はこの白迎ゲの
[00:34:29] 上で出会えたことを感謝するにとめ
[00:34:32] ましょう。さあ、案内を続けましょう。
[00:34:44] こ、これは何?畑?その通り。
[00:34:51] を育てているんだ。
[00:34:54] すごい。マザーホエルの上でこんなことが
[00:35:00] おの上でこんなことが
[00:35:07] 褒めすぎだよ。色々な場所へ行くのが好きな友達がいてね、その友達が手伝ってくれたんだ。
[00:35:16] あの穴から湧いてる水を畑にやってるの?
[00:35:21] そう。ホエリーが飲んだ海水をフィルターで浄化して使っているんだ。野菜もちゃんと食べられるんだ。おら。
[00:35:30] わ、うわあ。
[00:35:33] いい。野菜はちょっと
[00:35:36] どうして野菜も食べなきゃが伸びないのに。
[00:35:42] あ、えっと、レビーが小さいって意味じゃなくて、それよりなんでこんなことしてんの?
[00:35:52] 楽しいからさ。
[00:35:54] は、
[00:35:55] 空を飛ぶクジの背中で畑を耕すなんてすごくワクワクするだろう。
[00:36:02] うん。ワクワクする。
[00:36:04] 次はここにカ樹園と牧場を作りたいと思ってるところなんだ。
[00:36:10] ほ、本当に。
[00:36:13] そしていつかホエリーの背中を丸ごと森にしたい。
[00:36:19] わあ、かっこよさそう。
[00:36:24] もうあんたもこで暮らせば
[00:36:28] そういうつもりじゃねえ。あんた
[00:36:35] ラプチリオンだよ。
[00:36:37] はい。はい。
[00:36:39] あんたさ、
[00:36:40] ラプチリオンだよ。
[00:36:45] ねえ、ラプチリオン。あいつらのこと説明してくれない?
[00:36:52] 何のことだい?
[00:36:54] マザーホエリーの上に乗ってるラプチャー。
[00:36:59] ああ、俺の友達のことだね。
[00:37:02] 何が聞きたいのかな?
[00:37:04] あいつらなんで攻撃してこないの?
[00:37:08] それは友達だからさ。
[00:37:11] 冗談はいいから。ラプチャーと人間がどうやって友達になるっていうのよ。
[00:37:19] コミュニケーションができればいいのさ。
[00:37:23] それができるなら伝えたいことをそのまま伝えればいい。俺はこれが嫌だ。これは大丈夫。
[00:37:31] これは好き。ありがとう。ごめんなさい。
[00:37:35] 楽しい。悲しい。自分の気持ちを相手に
[00:37:40] 思う存分伝えるだけさ。そうすれば俺たち
[00:37:45] はお互いのことをもっと分かり合ってお
[00:37:49] 互いに助け合えるようになれる。それが
[00:37:53] コミュニケーションの力さ。対話は進化の
[00:37:57] 石。
[00:37:59] おお、いい言葉だね。その通り。対話は進化の石なんだ。
[00:38:09] だから君も積極的にコミュニケーション、つまり対話をしてみたらどうだい?新しい可能性が俺たちを待っているかもしれないよ。
[00:38:23] デビー
[00:38:25] ラプチャーたちを触ってみるかい。
[00:38:28] 日光欲が好きなとっても大なしくて優しい子たちだよ。
[00:38:33] うん。触ってみたい。私はいい。ただの鉄の塊を触ってるみたいだった。
[00:38:50] ラプチャーはそういうものだからね。
[00:38:52] 動物みたいに言ってたから似たような触り心地かと思ったのに。
[00:38:58] まだわからないよ。モフモフのラプチャーにも会えるかもしれない。
[00:39:04] でも本当大なしいね。こんなの初めて見た。
[00:39:10] 俺たちはみんなを傷つけないよってきちんと伝えてあるからね。さあ、次に行こうか。まだまだ見せたいものがたくさんあるんだ。
[00:39:21] レッツゴー。うお。うん。ああ。今度は何?
[00:39:38] パワーアップしたのに活躍するタイミングがない。
[00:39:42] ひたすらに平和だな。こんなのビランが望む世界ではないぞ。
[00:39:49] ラプチャーとは戦ってるでしょ。
[00:39:52] 弱い雑魚ばかりじゃないか。マサーホエールの上にいるせいか知らないがいつもより手応えがないぞ。
[00:40:00] じゃあヘルティックにでも出てきて欲しいわけ。安全が
[00:40:04] 1番でしょ。
[00:40:06] 何を言ってる?安全ばかりでは詰めるんだろう。
[00:40:11] 私が望む戦いはこうだ。
[00:40:15] 敵と全力でぶつかり合い、限界まで追い詰められ、己の限界を超え。そして最終的に私が勝つ。
[00:40:26] 結局勝ちたいんじゃない?
[00:40:29] 当たり前だ。負ける戦いは嫌に決まっている。
[00:40:34] それになゆたは何を聞いても答えてくれないんだ。正確には答えてくれてはいる。そのはずなのだが。
[00:40:45] ピルグリムはみんなケチだ。地上で
[00:40:48] 1
[00:40:48] 人で生きているから自分勝手に違いない。え、他にそんなピルグリムの知り合いがいるの?
[00:40:56] いや、ただの偏見だ。
[00:40:59] やれやれ。こちらが強いのもあるでしょうが、相手が弱いのも事実ですね。私もそこが気になっていましてね。
[00:41:15] 早く調和鏡とあって事情を聞かねばもうすぐです。ここを左に曲がれば中へ入る通路が。
[00:41:28] おお、なんだか秘密の通路がありそうだ。
[00:41:32] 隠し通路の専門家である私には分かる。どこかの壁か床にスイッチがあるに違いない。
[00:41:41] こちらではありませんでしたね。
[00:41:44] 戻りましょう。お、回転するブレードの隙間を突破する仕掛けか。
[00:41:54] 愚か者目。回転を送らせるか止めるかしてから進むべきだろう。
[00:42:00] この道も違いますね。戻りましょう。
[00:42:08] おお、これはどういうことだ?
[00:42:12] 愚か者目。これはどういうことだ?
[00:42:18] この道でもないですね。戻りましょう。はい。どうやらそのようですね。
[00:42:33] それなら早く言ってよ。なんで歩かせたの?
[00:42:37] まあ、せいてはことをしじると言いますし。
[00:42:43] し損じてるのはあなたのせいでしょ。
[00:42:49] て厳しい。
[00:42:51] 3
[00:42:51] 度限りの冗談でここまで言われるとどう答えていいものやら。わかった。わかりました。
[00:43:01] 今度はきちんとご案内しましょう。また
[00:43:05] 冗談を言ったらお尻でも叩いていただき
[00:43:08] ましょうか。
[00:43:14] この道も違いますね。お尻入り出しなさい
[00:43:19] 。指揮官お願いします。
[00:43:27] こういうご趣味では
[00:43:31] 本当にラプチリオンと合わせがあるんでしょうね。何をそう急ぐのです?歩き続ければはたどり着くもの。そういうのはいいからどこに行けばいいの?何か目印とかあるでしょ?
[00:43:51] あれです。ヒレのように見える場所を目指しています。
[00:43:56] 冗談でしょ。ほとんど一直線じゃない。
[00:44:00] この辺りは陰陽用
[00:44:02] 5
[00:44:02] 業の気が歪んでいるようですね。苦しい言い訳にも程があるでしょう。分かった。あなたは後ろからついてきて。
[00:44:19] ちょっとどこ行くの?後ろについていたはずですが、なぜそちらに?
[00:44:30] いや、ついてくるだけでいいのに。
[00:44:33] なんで道を外れかけてるの?
[00:44:35] この辺りは風水の乱だれで方向感覚が。は
[00:44:45] なゆたなぜ足を止めているの?
[00:44:48] ああ、蝶長のような錆があったのでちょっと観察をしていたのです。ほら、まるで誰かが作ったみたいでしょ。
[00:45:02] 自然とは実に神秘的なものですね。ピルグリム、起きろ。
[00:45:14] 大丈夫か?急に気を失っていたぞ。
[00:45:18] ああ、申し訳ない。容気に釣られてつい眠ってしまったようですね。
[00:45:26] 皆さんも疲れていませんか?この辺りで昼寝というのはどうでしょう?
[00:45:35] お、
[00:45:42] 見てください。気です。健康のために方向を温めておかないと。
[00:45:57] おお、よく正しい道が分かりましたね。私
[00:46:03] だったら3日はかかります。宿地でも
[00:46:07] 使えるのですか?それでここから先はこの
[00:46:12] 辺りの床にエレベーターがあるはずです。
[00:46:16] うむ。そのはずなのですが
[00:46:21] 見つからないですね。
[00:46:24] 不思議なこともあるものだ。
[00:46:27] あなたの足元にあるそれじゃないの?
[00:46:30] おお。戦理をお持ちで
[00:46:34] 全く信じられないわ。ピルグリムってみんなこうなの?地上で長気するとこうなるのかしら?指揮官エレベーターを起動します。
[00:46:52] 少しお待ちよ。
[00:46:54] あのね、これ以上はあなたの個人的な事情で遅れたくないんだけど。あれです。ロードを確認。うん。少し様子を見。今のは攻撃ですね。
[00:47:15] しかしこの白ゲに乗っているものは皆で
[00:47:21] 乱暴など働かないはず。これは調和教化。
[00:47:26] この白ゲに何かがあったに違いない。
[00:47:29] のんびりしている余裕がなくなってしまい
[00:47:32] ましたね。
[00:47:37] 応戦します。ラプラスドレイク。力の使い
[00:47:42] だよ。待っていたぞ。
[00:47:44] エルティメットヒーロー出撃だ。
[00:47:48] 見せてやろう。グレイトビランの力を。申し訳ない旦那戦いはあなた方にお任せして。旦那彼女たちの力を見ておきたいのです。感謝します。では光戦を開始します。
[00:48:20] 状況終了。まさしく完全勝利だ。
[00:48:26] ウォーミングアップにもならんな。
[00:48:29] どう?私たちの力が分かった?
[00:48:32] メティスと言いましたか?あなた方はアークの技術だけで作られているのですか?
[00:48:41] そうだけど、
[00:48:42] その中でも最新型と考えても
[00:48:46] 言うまでもないピカピカの最新型だ。
[00:48:51] あまり見るんじゃない。目がくらむかもしれないからな。
[00:48:58] ここまでたどり着くとは驚いた。
[00:49:03] やはり人類の可能性は私たちなどとは次元
[00:49:08] が異なる。だが、まだかやはり
[00:49:14] 鍵がなければ。どうした?ピルグリム
[00:49:18] 私たちのすさに言葉も出ないか?記憶で
[00:49:22] する必要はないぞ。
[00:49:24] 君も頑張ればヒーローになれる。
[00:49:29] 頼もしい言葉ですね。私も商人しないと。
[00:49:35] あれ?ベビー怪我したの?腕のため確認させてください。やはり傷はありません。
[00:49:53] 痛みの方は
