# NIKKE 第32章 转录
视频ID: K1G6_6Qf6Io
[00:06:25] そしてそれと同時
[00:06:27] にシンデレラがどん状態だったとしても
[00:06:31] それが確保できたならアークの科学技術に
[00:06:35] とって重大な突破校になる地上奪還に
[00:06:39] 大きく近づくということだそれはそう
[00:06:43] ねヘレティックなんていつでも会える存在
[00:06:47] じゃないわでもはっきり言ってリスクが高
[00:06:52] すぎると思うの1番安全で確実な方法は
[00:06:57] あのを壊すことじゃないかしらででも四官
[00:07:03] 様が嫌がってるし
[00:07:06] えそこが大事な問題になるのよねあいつの
[00:07:11] 判断は戦術的に考えると話にならないこと
[00:07:14] が多いだがいつも結果はいい方に転がった
[00:07:21] 今回もそうであることを願うしかない惚れ
[00:07:24] ちゃったバカを言わずにはいられない口の
[00:07:28] ようだな惚れないでよねライバルばっかで
[00:07:32] 大変なんだ
[00:07:36] からそれはそうねそそうだよ
[00:07:43] [音楽]
[00:07:46] おいえ何かご用でした
[00:07:50] [音楽]
[00:07:54] か
[00:07:56] 官いえベヒモスについて考えていました
[00:08:01] 異常な防御力に
[00:08:03] アームしかも相手はヘレティックです巨大
[00:08:07] 化も可能と見るべきでしょうそんな怪物を
[00:08:10] 相手にしてガラスの靴のダシュを狙うの
[00:08:14] ですどうすればいいか考えていまし
[00:08:19] た私は指揮官の判断を信じていますそれ
[00:08:23] からグレイブのこともありがとうどう
[00:08:28] いたしましてでも蹴られたことは忘れてい
[00:08:32] ないそれはごめんなさい
[00:08:36] 許そうそう
[00:08:40] [音楽]
[00:08:47] ありがとう皆
[00:08:50] さん注意して
[00:08:52] [音楽]
[00:08:54] くださいアークの基礎構造物を展開した
[00:08:57] エリアがまたクリスタルで埋まっています
[00:09:01] えもう利き目が切れたのいいえAピラーで
[00:09:06] 建造されたものは反永久的に維持される
[00:09:09] はずです誰かが意図的にクリスタルを成長
[00:09:13] させ再び押し返しているよう
[00:09:17] です本当にジトゲームみたいになりました
[00:09:21] ね喜ぶことじゃないでしょう
[00:09:25] ひも想定外の事態ですここまで爆発な
[00:09:29] クリスタルの成長はAピラーを利用したE
[00:09:33] 2クリスタル破壊作戦は一時中断とします
[00:09:37] ヘレティックベヒモスを無力化するまでは
[00:09:40] 労力の無駄になってしまうでしょうそれ
[00:09:43] は倒せてこと
[00:09:48] ね了解しました
[00:09:52] [音楽]
[00:10:02] アナキーいえシンデレラはもう
[00:10:06] ヘレティックじゃないそうだ最初の
[00:10:10] ヘレティックという記録があるのだけれど
[00:10:12] 治っ
[00:10:15] [音楽]
[00:10:17] たその通りだお前たちたくさん知っている
[00:10:24] な驚いたじゃあこれからどうするの
[00:10:30] シンデレラは棺の中で眠り続けてるん
[00:10:33] でしょうどうやって起こすのガラスの靴を
[00:10:37] 探すガラスの靴シンデレラの専用武装
[00:10:43] シンデレラは今貸状態だガラスの靴に復活
[00:10:48] 光度が仕込まれている
[00:10:50] なぜ昔の戦いで重傷を追った意識を保て
[00:10:55] ないほどだった死んでいるなと変わらない
[00:10:59] ガラスの靴にはシンデレラを蘇生できる
[00:11:03] 仕組みがあるシンデレラとリンクすれば
[00:11:07] 起動できるじゃあなんで今までそうし
[00:11:10] なかったのシンデレラの傷は私には直す
[00:11:16] 技術がなかったそのままではガラスの靴と
[00:11:21] リンクできないまず体を修復する必要が
[00:11:25] あった部品を
[00:11:27] 集めを
[00:11:30] 今はほぼ全て修復し
[00:11:33] [音楽]
[00:11:35] たハーモニーキューブの力を利用した棺の
[00:11:40] 治療能力を大きく上げてくれたそれで
[00:11:44] ヒーブの乗っ取りをそうだシンデレラの体
[00:11:49] はほぼ完全に回復しているあと少しでいい
[00:11:55] だが目を覚まさないガスの靴とリンクし
[00:12:00] ないと目覚めない古い技術だ誰にもわから
[00:12:05] ないガラスの靴がどうしてもいるそれなら
[00:12:10] 誰かに助けを求めることもできたのでは
[00:12:14] 試し
[00:12:16] た人間は
[00:12:19] 裏切るごめん
[00:12:21] なさいどうしてクリスタルに封じ込められ
[00:12:24] ているのそもそもシンデレラは
[00:12:30] でらシンデレラの装は特殊
[00:12:34] 材質ガラスの靴と同じものだクリスタルに
[00:12:38] は吸収されないそれ
[00:12:41] とクリスタルは隠して
[00:12:44] [音楽]
[00:12:46] くれるヘレティックからヘレティックはお
[00:12:50] 互いの居場所が分かる何度も見つかった
[00:12:55] その度に奪われかけた
[00:12:59] 火には奪われたことがある必死に取り戻し
[00:13:03] [音楽]
[00:13:05] た私は強くないヘレティックが相手では
[00:13:11] シンデレラを守れないだ
[00:13:13] からクリスタルに隠したで
[00:13:17] [音楽]
[00:13:18] も騒ぎになって見つかっ
[00:13:21] [音楽]
[00:13:23] た覚えていない長い間だてことはこの
[00:13:29] クリスタル地帯ができたのも相当前って
[00:13:32] ことねそのシンデレラを蘇らせるには
[00:13:37] ガラスの靴が必要ということは分かりまし
[00:13:40] たでそれはどこにあるんですかこのエリア
[00:13:45] の
[00:13:46] 奥深ベヒモスが守っている
[00:13:50] やっぱりそう来ると思った
[00:13:55] わわから
[00:13:57] ないのは知らない確かなことはそれを達成
[00:14:03] するためにシンデレラが必要らしいだが
[00:14:06] そうなればシンデレラはきっと無事ではい
[00:14:10] られ
[00:14:12] ない今は絶好のチャンスだ相手はベヒモス
[00:14:16] 1人だけベヒモスに仲間を呼ばれれば全員
[00:14:22] 死ぬ急がないといけない早く行こう案内
[00:14:27] する
[00:14:29] [音楽]
[00:14:37] その前にここで整備
[00:14:40] だ急がないといけないそんなことは分かっ
[00:14:45] てるベヒモスとかいうやつといつ戦闘に
[00:14:48] なるかわからない対応できるようにする
[00:14:51] 必要がある準備などいらないただ全力で
[00:14:56] 戦うだけ
[00:14:57] だ全力を尽くすというのはその前の準備を
[00:15:01] 万全にしてから言うことだ全力を尽くすと
[00:15:05] いうことは全ての力を出すという意味だ
[00:15:10] からそのために準備が必要だと言っている
[00:15:14] 準備しなくても全力は出せるそれは全力
[00:15:18] じゃない無謀だ無謀じゃない全力を出して
[00:15:23] いる
[00:15:28] [音楽]
[00:15:29] なんで震えてるの寒い
[00:15:33] いや戦術の基本すら知らない三流と
[00:15:37] 話し合おうとした私が馬鹿だったそれは
[00:15:40] そう
[00:15:43] ね
[00:15:45] あ震えがひどくなった戦術などいら
[00:15:50] ない全力を尽くすだけ来い座れお前に戦術
[00:15:56] の基礎を叩き込んでやる急ぐ必要が
[00:16:01] ある撃たれたくなければ来いお前性格悪い
[00:16:08] さっさと
[00:16:09] [拍手]
[00:16:14] 来いだ大丈夫だよウファ新人には優しい
[00:16:21] からウファなり
[00:16:24] に大事にはならないわ安心して
[00:16:32] [音楽]
[00:16:37] ねえラッピー何うウファにはいつ謝るよ
[00:16:46] ああらどうしたのベスティラピにも心の
[00:16:51] 準備が必要よわ私だってそれは分かるよ
[00:16:58] 分かるけど
[00:17:12] うウファはウファはねラピがいなくなって
[00:17:18] から
[00:17:19] い一歩も進めずにいるのんしっかり歩いて
[00:17:25] ましたよちょっと空気読みなさいよいいつ
[00:17:31] も昔の話ばっかりするの昔はこうじゃ
[00:17:36] なかった昔はこうやってた昔
[00:17:41] は昔は良かっ
[00:17:45] たってラピが出ていってから私たちはず
[00:17:51] ずっとそのままなのウファはラピが何も
[00:17:56] 言わずに出ていったことをずっと根にっ
[00:18:00] てる
[00:18:01] しそこで動けずにいるの強くなったし
[00:18:07] いろんな任務をこなせるようになったのに
[00:18:11] 私たちの関係は止まったまま悪くもないし
[00:18:17] 良くもない私
[00:18:20] はこのままはいや立ち止まっていたくない
[00:18:25] の本で読んだんだけど
[00:18:29] 停滞した関係は健全な関係じゃないってで
[00:18:34] も私たちは今停滞してる
[00:18:42] ベスティそうねベスティはずっと努力し
[00:18:46] てるわウファとの口喧嘩で勝てるように
[00:18:50] 頑張っていたのもそれが理由だったのね
[00:18:55] うんファはひどいとも言うしよく怒るけど
[00:19:02] 友達だから1人で大変だったよね
[00:19:08] えう
[00:19:11] うん大変じゃなかったよウファをからかう
[00:19:16] の
[00:19:17] あ面白いもんあらそうだったのそれはそう
[00:19:23] ねいいリアクションするんだものだから
[00:19:29] ウファが
[00:19:32] う私たちが前に進めるように手伝って
[00:19:38] ええ分かったわ
[00:19:41] ベスティ変わったわそうよ偉い
[00:19:46] わこの作戦が決まってからずっと考えてた
[00:19:51] のううまく伝えられてよかった
[00:19:59] 準備が終わってるなら出発するぞ
[00:20:02] あう
[00:20:08] うん
[00:20:12] ああ耳が
[00:20:15] 痛いお前もう1回こっちに来い嫌だ急ぐ
[00:20:21] 必要がある
[00:20:24] [音楽]
[00:20:34] あとどれ
[00:20:36] くらいもうすぐだそう
[00:20:41] グレイブその武器のことだけどセブンス
[00:20:44] ドワフって呼んでたわねそうだセブンス
[00:20:49] ドワーフはスノーホワイトの武器
[00:20:53] でしょなぜ知っている
[00:21:01] お前たちは本当にスノーホワイトの武器を
[00:21:07] どうしてあなたが持っているの預かって
[00:21:10] いるだけだスノーホワイトからあったこと
[00:21:14] があるのあったことは
[00:21:17] ない知り合いでもないそれならどうして
[00:21:22] あっ
[00:21:23] て返さなければいけないだが
[00:21:28] 会えなかった会い
[00:21:31] たい合わせて
[00:21:33] [拍手]
[00:21:36] くれ
[00:21:38] あゴッデスと
[00:21:42] あだめだシンデレラとゴッデスは仲が
[00:21:48] [拍手]
[00:21:50] 悪い殺し合っただ
[00:21:53] から会ってはいけないそれはいつの話
[00:21:59] ずっと昔
[00:22:02] だ皆さん姿勢を低くしてください10時の
[00:22:06] 方向ですベヒモスを確認しまし
[00:22:22] た何よあれビルを登っているみたいですね
[00:22:33] 壁さえあれば書取れるということかの登り
[00:22:39] きった屋上で何をする気だろう周囲を
[00:22:44] 見回しているわ何かを探している様子ね
[00:22:48] 当然私たちが目的でしょう正確に言えば棺
[00:22:54] かしらね
[00:22:59] 3kmほど
[00:23:02] です無意味だ狙撃だけでは有効だを与え
[00:23:06] られない前回のような連携が必要に
[00:23:12] なるその必要はないと思うけど次は本当に
[00:23:19] 仕留められると思うとりあえず弱点は
[00:23:23] 分かってるけど他にも能力があるかもしれ
[00:23:27] ないでしょ巨大化っていう切り札も残して
[00:23:31] いるでしょうしそれに
[00:23:33] 何よりクリスタルへの対抗策がないわだ
[00:23:38] からまだ気を抜かない方がいいわね
[00:23:42] あそそっか
[00:23:59] どうしました
[00:24:02] か
[00:24:07] はい熱心に睨んでるから気づかれるん
[00:24:12] だやえまだ距離がある迂回してヒモ動きが
[00:24:17] あります
[00:24:34] 揮
[00:24:42] 官嘘でしょあの距離を一瞬で戦術もクソも
[00:24:48] ない
[00:24:49] なまさか今のを避けられるとはな単独で
[00:24:55] 飛び込んできたその度胸だけは褒めて
[00:25:00] ああお前はちょっとめんどいからこっちの
[00:25:04] 相手して
[00:25:10] な
[00:25:12] ウファまずいわ全身刺され
[00:25:15] てるしっかり植えつけといたからゆっくり
[00:25:19] 餌にでもなってくれよなくそ体がほらよっ
[00:25:26] と
[00:25:37] 何かおかしいか世界なんておかしなこと
[00:25:41] だらけ
[00:25:47] だろ棺もらってくぜ
[00:25:53] だめだろう
[00:25:55] なあそうはさせない
[00:25:59] あれそんな髪の色だったっけ知る必要は
[00:26:03] ないわ冷たいこと言わずに教えてくれ
[00:26:15] よ今度は同じように行かないわ
[00:26:26] よお前
[00:26:29] 随分強くなってるな言ったはずよ今度は
[00:26:33] そうはいかない何言ってんだが
[00:27:12] そんな呼んだって起きねえよなあ男ずっと
[00:27:18] つきまとってくるつもり
[00:27:22] か何がしたいわけ
[00:27:32] 私のすさはもう分かった
[00:27:35] の何ができ
[00:27:37] るってのなあ答えろ
[00:27:44] よ
[00:27:47] そう声が震えてなかったら騙されてたかも
[00:27:52] しんねえ
[00:27:54] けどなんでまだ殺されてねえか
[00:27:59] わかる超簡単なんだよ
[00:28:02] なあとは倒れてる奴らの頭を軽く踏んで
[00:28:08] やればお
[00:28:10] しまいなんでそうしてないと
[00:28:15] 思うそれも間違ってないか
[00:28:18] なでもそれよりもっと大事な理由があんの
[00:28:23] さ
[00:28:28] おおそうだよなんで分かったそんな
[00:28:33] バレバレだった
[00:28:36] か冗談じゃないさ本当だって私らってさ4
[00:28:43] 人だけだからいっつも同じ話しかできない
[00:28:47] んだ
[00:28:48] よ喧嘩とかもしないしもう退屈で仕方なく
[00:28:53] てさ棺を守ってたやつグレイブだけそいつ
[00:28:59] とは何回かおしりしたけど話せるタイプ
[00:29:03] じゃないのは知ってる
[00:29:05] だろう
[00:29:07] うん対話ってのは進化の石だ私にはそいつ
[00:29:13] が必要なんだだからさ追いすがってきて私
[00:29:19] を楽しませてくれ
[00:29:23] よそういうのってロマンがあるだろう
[00:29:29] んじゃ私は行くぞまた後でな
[00:29:35] ああお前は気をつけてこい
[00:29:38] よまだ欲しいもんがあるし
[00:29:44] さそれはそれで面白そう
[00:29:53] じゃん全員意識不明ですだけ対して
[00:29:58] ください今の状態でラプチャーに襲撃でも
[00:30:02] され
[00:30:03] たらあ安全な場所に運ぶことぐらいですで
[00:30:08] も2の戦闘用ボディなんて人間が持てる重
[00:30:12] さで
[00:30:16] は持ち上がったなん
[00:30:21] で分かりました4の方向50m先にガラス
[00:30:26] の建物がありますそこならひまず身を隠せ
[00:30:32] ますぜ全員運ぶつもりですか無理です
[00:30:38] いくら指揮感でも全員のボディなんて
[00:30:40] 運べるはず
[00:30:41] [音楽]
[00:30:43] が分かりました周辺の状況は確認します
[00:30:48] 指揮官は正面に集中してくださいあ
[00:30:52] グレイブに反応がありました
[00:31:03] ち
[00:31:06] たこちら
[00:31:09] こそ
[00:31:13] [音楽]
[00:31:19] ありがとうみんな目が覚めた
[00:31:22] か私は行くきを探さないと
[00:31:30] 勝ち目あるのかしらいくら奇襲された
[00:31:34] からってあまりにも一方的
[00:31:39] にラピがレッドフードを出しても叶わ
[00:31:42] なかったのよウファはクリスタルの餌に
[00:31:46] なっちゃったしまだなってないよく見て
[00:31:50] から
[00:31:51] 言えもうほとんど動けないん
[00:31:54] でしょを吐いてるお前よりはだ揮官
[00:32:00] 様このまま進む
[00:32:05] つもり
[00:32:14] なにふざけるな私は行くぞウファ壁に持た
[00:32:20] れっぱなしじゃない本当に大丈夫
[00:32:26] あ問題
[00:32:29] 並行期間がやられてるでしょうバランスが
[00:32:32] 取れてない
[00:32:36] もの狙撃どころかまっすぐ立ってるのも
[00:32:40] 厳しいわよねたけぐらいにはなれるはずだ
[00:33:00] 理会分かった
[00:33:02] わ戻るわね
[00:33:06] えっと私
[00:33:10] はお前は残れ
[00:33:13] えどうしてあの化け物に一発食らわせて
[00:33:19] やれどっちが本当の化け物か見せてやるん
[00:33:24] だうん分かったまだやる気ってこと
[00:33:31] ね
[00:33:33] 行こうラピ本当に大丈夫なの大丈夫
[00:33:40] よ
[00:33:41] いいえ大丈夫じゃないわなんとしてでも
[00:33:46] ベヒモスには負けられないえ
[00:33:50] ああラピがそんなこと言うの初めて見まし
[00:33:53] たあそういえばラピが負けたのなんて
[00:33:58] 初めてでわまだ負けて
[00:34:03] ない整備が終わり次第復帰
[00:34:08] する待っ
[00:34:17] [音楽]
[00:34:25] てろなんだ
[00:34:32] シンデレラはまだ完全な状態じゃないそれ
[00:34:37] にずっと眠っているどうなるかは断言でき
[00:34:45] ない他にも不安要素があるシンデレラは
[00:34:49] ずっと眠っているつまり脳の活動が極度に
[00:34:53] 抑制されている今はおそらく
[00:34:58] の
[00:35:00] 状態何も書かれて
[00:35:02] ない何でも書ける何にでもなる生まれたて
[00:35:08] の鳥のひみたいですね生まれて1番最初に
[00:35:12] 目に入ったものが母親だと思い込むらしい
[00:35:15] ですよそんな状態で初めて見たのが
[00:35:18] ベヒモスなんかだっ
[00:35:20] たらヘレティックがもう1体増え
[00:35:23] るってことねそうだだから
[00:35:28] 棺が無理に開けられたらシンデレラは死ぬ
[00:35:33] そういう仕掛け
[00:35:36] だシンデレラは
[00:35:38] 強いその分危険だ2度の誤ちは許されな
[00:35:44] 2度とあんなことを繰り返させなシンデレ
[00:35:48] ラってどれくらい強いのお前たちが束に
[00:35:54] なっても勝てなそり私たちじゃになら
[00:35:58] でしょうベヒモスと戦ったらどうなりそう
[00:36:02] 断言はできないどういうことよ時間が経ち
[00:36:07] すぎたそのままかどうかわからない弱く
[00:36:11] なっているかもしれないそれで
[00:36:15] もお前たちには勝つだから私たちはほっ
[00:36:20] といてだがそのままならシンデレラは誰に
[00:36:25] も負けないああ
[00:36:28] 失礼します重要なご報告があり
[00:36:34] ますハーモニーキューブが太陽限界を迎え
[00:36:38] ましたAピラーの大量使用による負荷が
[00:36:41] 原因のようですピラーはもう使えないと
[00:36:44] いうこと23本であれば運用可能ですです
[00:36:49] がそれ以上は使えませ
[00:36:54] ん暫定的に中止となります配備済みのA
[00:36:58] ピラーはベヒモスの攻略に転用して構い
[00:37:01] ませんハーモニーキューブは補修可能です
[00:37:05] ただそれには時間がかかり
[00:37:11] ますいいえまだ到着していません移動に
[00:37:16] 時間がかかっているよう
[00:37:19] ですあの2人がですかありえません
[00:37:25] ねはいではは失礼し
[00:37:42] [音楽]
[00:37:54] ますやっべ開けられるやつも捕まえて
[00:37:59] くりゃよかっ
[00:38:00] たかこつけすぎた
[00:38:03] ぜ
[00:38:05] うん戻って連れてくるかさすがにダサ
[00:38:10] すぎるよなねえ何してんの
[00:38:17] 悩み事あんたがまどうせお昼のメニューと
[00:38:21] かでしょ私が決めてあげよっかいい食欲も
[00:38:27] ないしあれマジ食欲ないの何何なんかあっ
[00:38:35] たこれ拾ったんだけど開け方がわかんなく
[00:38:39] てさ拾ったって何これ
[00:38:44] アキオール大
[00:38:46] 先輩
[00:38:47] が眠ってる棺
[00:38:51] う見つけたの
[00:38:55] ああどどどこでクリスタルの中に隠して
[00:39:00] あったん
[00:39:01] だこの近くでずっと潜伏してたらしいえ
[00:39:06] マジきあいついい根性してるね東大元
[00:39:12] 暮らしってよく言ったもんだよなそうだね
[00:39:20] 本当あんた今までどこにいたの
[00:39:25] えどこにいたの
[00:39:28] ここにいた
[00:39:30] けどずっと
[00:39:33] ああじゃあなんで今更気づいた
[00:39:39] のあんたまた散歩とか言ってあちこち
[00:39:44] 出歩いてたでしょうどこ行ってたの正直に
[00:39:48] 言いなさいいや
[00:39:52] そのどこに行ってたのちょっとエデンにえ
[00:40:00] エデンマジありえないなんで言って何した
[00:40:06] の別に
[00:40:09] 挨拶
[00:40:10] くらい
[00:40:12] は冗談きつ
[00:40:15] いっしょ本当に挨拶だけだっ
[00:40:19] て追いかけてきたのはいない本当
[00:40:24] に
[00:40:26] そうそれは良かっ
[00:40:28] た良かったけど
[00:40:33] さマジ頭
[00:40:36] くるちゃんと見張っててって言ったよね
[00:40:40] トンネルに1番近いから何か起きるとし
[00:40:43] たらそこからだってわざわざクリスタル
[00:40:46] まで埋めてんのにどんだけ貴重品か分かっ
[00:40:49] てない
[00:40:50] でしょ分かってるよ私だっ
[00:40:54] て分かってるならんでフラフラつけるわけ
[00:40:59] だってよ退屈じゃんかここはなんもないし
[00:41:05] 他の場所なら何かあ
[00:41:08] るっていうのみんなで頑張ろうって決めた
[00:41:10] ばっかじゃんそんなことなら変わったよ
[00:41:14] 退屈だっって言うからトンネルの近くを
[00:41:17] 譲ったのにわ分かったよごめん
[00:41:22] てでもほら棺は見つかっただろう
[00:41:28] ああ
[00:41:31] 全くそれで棺を開けなきゃいけないのそう
[00:41:36] なんだけど無理やり開けたら大先輩が死ん
[00:41:40] じまうらしいんだよあいつ開け方を教えて
[00:41:45] くれそうな感じじゃなかったんだよな開け
[00:41:48] ちゃえ
[00:41:49] ばだから大先輩が死んじゃうんだっ
[00:41:56] て先輩よ知り合いでもないくせに私たちが
[00:42:01] 必要なのは体中身はどうでもいいのだから
[00:42:07] 開けちゃって死んでも使えるからさいや
[00:42:12] ほら正しい生き方とか学べたりしねえかな
[00:42:18] と
[00:42:18] か何言っちゃってんの味方になってくれ
[00:42:23] たら心強いかもとか
[00:42:28] そんな片落ちぶ片落ちを仲間にするつもり
[00:42:32] はあり
[00:42:33] ませんなんでだよ仲間は多い方がいい
[00:42:38] だろう
[00:42:40] が寂しがり屋のあんたはそうだろうね開け
[00:42:45] て
[00:42:46] 早く気のりしねえ
[00:42:51] な分かった私が行くからへ
[00:42:57] 私が言ってあげるから待ってて泳いでここ
[00:43:02] まで来るつもり
[00:43:04] かかなりかかる
[00:43:07] ぞ行くったら行くの開けずに待ってていい
[00:43:14] 干渉なんて浸るもんじゃない
[00:43:17] よそういうの意味ない
[00:43:22] から干渉にでも浸ってないとつまんねえ
[00:43:26] じゃん
[00:43:27] なあ大
[00:43:32] 先輩歓迎の準備でもする
[00:43:39] [音楽]
[00:43:44] かこ
[00:43:49] ここき
[00:43:51] きれそうね他の場所はクリスタルが伸び
[00:43:57] って感じだった
[00:43:58] けどまるでお花畑みたい誰かが手入れして
[00:44:03] いるのでしょうかそうだ好きな形になる
[00:44:08] まで作って壊して作って壊して作られた
[00:44:15] ひたすら運任せ
[00:44:17] ねなんでそんなことをガラスの靴がこの先
[00:44:21] に置かれて
[00:44:22] [音楽]
[00:44:23] いる道を飾ろうとしていた詳しいみたいね
[00:44:29] そう
[00:44:30] だ私はよくここに来るえガラスの靴を
[00:44:35] ベヒモスが守ってるんでしょベヒモスは
[00:44:39] よくどこかに行くだから忍び込んで
[00:44:43] シンデレラを目覚めさせようとし
[00:44:46] た治療が終わっていなくて起こせなかった
[00:44:51] 今はほぼ治療が終わったもう起こせるでも
[00:44:57] 今はベヒモスがいる助けが必要だもし
[00:45:03] シンデレラがアナキーのままだったらどう
[00:45:06] するつもり
[00:45:08] 殺す
[00:45:09] 必ず殺すどうやって弱点を知って
[00:45:15] いる殺せる
[00:45:18] うわ私たちにも教えてそうすれば最悪の
[00:45:25] 場合でもなんとかできるからだめだ私が
[00:45:32] やる分かったわ行くわ
[00:45:38] [音楽]
[00:45:42] よ前方にベヒモスを
[00:45:46] 確認よっ
[00:45:48] す棺を取り返しに来たのかこの先に置いて
[00:45:53] ある
[00:45:54] ぞつまり
[00:45:57] この先に進みたければ私を倒してみろて
[00:46:02] こっ
[00:46:03] た
[00:46:04] くこういうセリフ行ってみたかったんだよ
[00:46:14] なんあこれさっきの
[00:46:20] エテラ行きますおいここは壊すなよ苦労し
[00:46:25] て作ったんだ
[00:46:36] 稼働シーケンスコンディションチェック
[00:46:39] 省略アーク生成シーケンス
[00:46:45] 開始
[00:46:50] あれアームが
[00:46:57] おそうくんのアームが使えなくても私は
[00:47:02] 強い
[00:47:06] ぜり
[00:47:13] 了解また目くらまし
[00:47:22] かは走れ
[00:47:33] あああがっかりだな円張って逃げるだけか
[00:47:38] よちつまんねえ
[00:47:49] のまあいいさお前らにゃ期待できなさそう
[00:47:54] だ
[00:47:55] なやめえ
[00:47:58] た
[00:48:02] ん
[00:48:04] んなん
[00:48:09] だおお前逃げてなかったのか志君伏せて
[00:48:21] ください全て省略シーケンスを開始おお
[00:48:27] なんだ
[00:48:40] こりゃ
[00:48:42] しか行けた本当にす
[00:48:47] すごいすごいよ四官様ふ当然ですね師匠は
[00:48:54] いつもすごいんです
[00:49:03] あ見事ださすがです行きましょうどれほど
[00:49:09] 重いと言っても相手はヘレティックです
[00:49:13] 急いだ方がいいでしょう手を取って
[00:49:22] ください血管の感触
[00:49:29] そうだ
[00:49:32] 行こうらラッピー
[00:49:35] 何らラピも変わったんだねそうずずるが
[00:49:44] しくなっ
[00:49:47] た秘密
[00:49:51] ようん
[00:49:54] [音楽]
[00:50:00] ひがあっ
[00:50:02] たあいつ嘘はついてなかったのねそれだけ
[00:50:07] 自信があったってことだけどそうですね私
[00:50:12] だったら嘘をついていたと思います自分は
[00:50:15] ヘレティック以下だって言いたいの私は
[00:50:19] 本当のことしか言えませんのではいはい
[00:50:23] ガラスの靴はこの先
[00:50:27] つぼみのようになって
[00:50:30] いるその中にあったはず
[00:50:37] だ今
[00:50:39] はないて気になった
[00:50:43] え熱原が急速接見中空から来ます何よあれ
[00:50:50] クリスタルチャンバーみたいなものでも
[00:50:54] 飛んでますよみ未確認の反応とハーモニー
[00:50:59] キューブの反応を検事しましたガラスの靴
[00:51:02] だんあれがですかシンデレラってあんな
[00:51:08] ものを履いてたんですかガラスの
[00:51:11] 靴クリスタルが覆っている冒涜している
[00:51:16] ガラスの靴シンデレラ以外扱えないだ
