# NIKKE 第36章 转录
视频ID: 706pbFRmG-U
[00:06:17] ものベヒモスがずっと巨大化したままでい
[00:06:20] られれば少し話が変わるかもしれないと
[00:06:24] いうくらいメティスも話していると誤解し
[00:06:28] そうになるけれどとても強いわ私たちが
[00:06:33] 負けるイメージも湧かないくらいそうだな
[00:06:37] 最悪の場合力で抑え
[00:06:42] られるしかも情報を手に入れるならもっと
[00:06:47] 簡単で早い方法がいくらでもあるどんな
[00:06:51] 方法中を開けてみれば
[00:06:55] いい
[00:06:57] しかし変人類はそうしないそれがすごい
[00:07:02] レビアタンは
[00:07:05] ヘレティック人類の敵だが可能性は残され
[00:07:11] たそう
[00:07:14] ね
[00:07:16] シンデレラ精霊園の
[00:07:18] 情報聞くか
[00:07:21] えで
[00:07:23] も今はその時ではないわ心が揺らいで
[00:07:28] しまいそうだから分かったまとう
[00:07:32] え
[00:07:39] ありがとうまっている液体は何だ変形
[00:07:42] できるのかそそれなら変身もできるのか私
[00:07:48] にも使えたりしない
[00:07:50] [音楽]
[00:07:52] かよく聞けヘレティックヴランというのは
[00:07:56] 単に悪を働けばいいのではない
[00:08:00] 信念が必要なんだ主人公に近いほどだが
[00:08:05] 方法論が異なるほど人気も高くなるそれで
[00:08:11] お前はどんな信念を持ったビランなん
[00:08:15] だ液体金属って不思議だね遠隔で制御
[00:08:20] できるみたいだけどどういう原理あなたが
[00:08:24] 背負ってる装置は電子系じゃなさそうだし
[00:08:27] やっぱりノハコントロールかな
[00:08:30] ノハつまり心の力か違うなジバ
[00:08:36] コントロールだその方がビラ
[00:08:42] らしあんたたちそんなことが聞きたかった
[00:08:47] のマクスウェルの質問以外は無視していい
[00:08:50] わマクスウェルって誰私だ私がマクルだ
[00:08:57] 答えて
[00:08:58] くれされるなこいつはマクスウィル
[00:09:02] マクスウェルは私だお願いだから静かにし
[00:09:07] て
[00:09:07] てあんたがマクスウェルねそうだよレビア
[00:09:12] たんで何が聞きたいのお素直に答えて
[00:09:18] くれるの私も少しは情報を出しておかない
[00:09:22] と協力しようって気にもならないでしょ
[00:09:27] 言うまでもないけど嘘か本当かわ勝手に
[00:09:32] 考えて
[00:09:35] う私は特にないかなパスで
[00:09:39] えベビーラピー2人に譲るよ私より色々見
[00:09:45] てるだろうし気になってることが多い
[00:09:47] でしょありがとうマクスウェルラピって
[00:09:52] 言ったっ
[00:09:53] けあんた許さないからベヒモスは
[00:09:59] あんたのせいで私はあなたに頭を壊され
[00:10:02] かけたわベヒモスとも命の取り合いだった
[00:10:07] おい様でしょ結果的に私が勝った
[00:10:12] だけで聞きたいことは私と揮官お似合いだ
[00:10:18] と思う
[00:10:20] は冗談よ状況考えなさいよマジでイライラ
[00:10:27] するあののようなもの何を作っていたの
[00:10:33] あんたいきなりキャラ変わるね何を作って
[00:10:38] たか
[00:10:40] ね作ってたていうよりはあんたゲームとか
[00:10:47] 好き遊んだことはあまりないわ興味はある
[00:10:54] けれどガチャってわかる
[00:10:57] [音楽]
[00:11:00] あれはその痕跡
[00:11:03] 痕跡そこの辺あんな感じのがいっぱい生え
[00:11:09] てんの放っておいたら勝手に大きくなって
[00:11:13] 中から光り出すでしょうでそのうち中身が
[00:11:18] 出てくるの何が出るか
[00:11:21] はまんまランダムね予想もつかない感じ
[00:11:27] あんたたちも見たんでしょ
[00:11:30] コーリングシグナルがうるさかったし
[00:11:33] ラプチャーとニケが混ざったようなもの
[00:11:35] だったわういえよによってそんなの見
[00:11:41] ちゃったの大抵は普通のラプチャーが出て
[00:11:45] くる
[00:11:46] の色々と混ざってたりするけど見た目も
[00:11:51] 機能もバラバラ共通点も1つもなしそれを
[00:11:55] あなたが作ったということ半分はそう
[00:12:00] 環境を整えておけば後は勝手にあなるから
[00:12:04] コアをダークマターで包んでおくとあんな
[00:12:08] 風になったりならなかったりするので色々
[00:12:12] と実験してたってわけ過去系ね今はやって
[00:12:17] ないから実験の結論も出てるしあんたたち
[00:12:22] が見たのは前に私がやってたことも
[00:12:28] 残骸見たなら分かるでしょヘレティックが
[00:12:32] できるかどうかの
[00:12:35] [音楽]
[00:12:40] 実験そうダークマターにちょっと手を
[00:12:45] 加えると妖怪液みたいなものになるんだ
[00:12:48] けどその妖怪液で何かを溶かすと溶かした
[00:12:52] ものの情報が残るのじゃあそれを使って空
[00:12:57] を飛ぶラプチャーと地面を掘ラプチャーの
[00:13:00] 情報を混ぜてみたら空を飛べて地面も
[00:13:04] 掘れるラプチャーが出てきたってわけ原理
[00:13:07] はそんな感じ飛べるのは2cmくらいだし
[00:13:11] 地面を掘ったらパーツが壊れちゃうけど
[00:13:14] とにかく情報が混ざるるってことは分かっ
[00:13:17] たからじゃあその次はって考えて人間もと
[00:13:23] ラプチャーの情報を溶かしたダークマター
[00:13:25] でコアを包ん
[00:13:27] でれが卵になったらはい何が出てくる
[00:13:32] でしょうかニケとラプチャーが混ざった
[00:13:36] もの
[00:13:38] ヘレティック私も単純にそう考えて実験し
[00:13:42] てみたのあ念のため言っとくとラプチャー
[00:13:46] は自分で捕まえてきたけど人間もは捕まえ
[00:13:49] たりしてないからもう死んでるやつか
[00:13:53] 転がってたパーツを使っただけシンデレラ
[00:13:56] を狙っていたそれに使うためかまあそう
[00:14:01] いうこと最初のヘレティックっていう最高
[00:14:05] の素材を使えば何か新しい世界が開けない
[00:14:09] かなってベヒモスとは意見が合わなかった
[00:14:12] けどね私のことをずっと先輩と呼んでいた
[00:14:17] わうんベヒモスはあんたと話したがってた
[00:14:22] 寂しがり屋なんだよねあいつ今となっては
[00:14:26] どっちも無理だけど
[00:14:29] に勝てるとも思えないし仲間になって
[00:14:32] くれるとも思えないしあなたたちが人類の
[00:14:36] ために戦うというなら2つ目は考えてあげ
[00:14:40] ないこともないわだからありえないって
[00:14:43] ことこっちは自分たちが生きるのに精一杯
[00:14:47] なのそんな余裕あるわけない
[00:14:50] [音楽]
[00:14:54] でしょさっき結論は出てるって言った
[00:14:57] でしょう実験結果は失敗ヘレティックって
[00:15:04] そんな簡単に作れるものじゃないみたい
[00:15:07] あんたたちが見たようなものしかでき
[00:15:09] なかったのそれで実験はやめたってわけ
[00:15:14] それならあなたたちはどうやって作られて
[00:15:18] 集まったの私たち
[00:15:23] はわかんないんだよねで
[00:15:27] もみん同じ期限を持ってるってことだけは
[00:15:32] 確信を持ってるじゃないとお互いこんな
[00:15:37] 気持ちになるはずない
[00:15:38] [音楽]
[00:15:44] から
[00:15:45] 家族そうかも
[00:15:48] [音楽]
[00:15:54] ねここベヒモスは
[00:16:00] 指1本触れないでよね触ったらみんな
[00:16:04] 道連れにしてやるから状態はそうそんなん
[00:16:10] で大丈夫なの大丈夫じゃないからつるんで
[00:16:14] あげてるんでしょ関係ない質問にだって
[00:16:17] 答えてあげてるし
[00:16:20] うんちょっと見せて触んないでよ頼まれ
[00:16:25] たって触りたいと思えないよ
[00:16:30] 全然動いてないけどそうねさっき見たもの
[00:16:34] は呼吸しているような動きがあったわこれ
[00:16:37] では置き物ね全く動きが見られないわ多分
[00:16:43] 活動停止してるんじゃないかなそっちに
[00:16:46] ある大量のラプチャーの部品は何
[00:16:50] 食事食事バカなこと言うつもりならその口
[00:16:55] 閉じといてマテリアルHに似ているな
[00:16:59] あいつも再生するために2を食べていた
[00:17:03] 私たちも餌になりかけたん
[00:17:06] だそうだな様に食までされてしまった
[00:17:12] がマテリアル
[00:17:15] H本当の名前はインディアだ知っている
[00:17:20] か知ってる
[00:17:23] けどそいつは私たちが倒したんだ
[00:17:30] 私たちが倒したというのは事実
[00:17:34] だインディビリアに勝ったあんたたちが
[00:17:40] うん本当の
[00:17:43] ことさっきの話からしてこの卵の中に
[00:17:48] ベヒモスのコアがあるってことみたいだ
[00:17:50] けど
[00:17:52] うん刺激して
[00:17:54] みる刺激ってあなたが考えている
[00:17:59] いやらしいものではないわそっちこそ何
[00:18:03] 考えてんの言ったでしょ絶対に触らない
[00:18:07] でって触ったら終わりだから独り残らず
[00:18:12] ドレイクやってみる
[00:18:18] 任せろ何する
[00:18:20] つもりやめて何する気か知らないけど
[00:18:26] とにかくふむ
[00:18:29] 出力はこの程度で届きそうだヴラン
[00:18:42] CPRあんたたちやっぱり
[00:18:47] 楽し
[00:18:49] えお行けた
[00:18:55] [音楽]
[00:18:58] 食べた食べてるベヒモス
[00:19:03] 生き返ったの多分ひとまずご飯は食べてる
[00:19:10] ねどうやったの完全に止まってたみたいだ
[00:19:14] から電気で刺激してみただけ心臓
[00:19:17] マッサージみたいなものね
[00:19:20] 心臓
[00:19:22] マッサージそうだヴランは罪なき一般人を
[00:19:26] 傷つけてはならない
[00:19:29] そのために腕を磨き習得したヴランCPR
[00:19:33] だ緊急事態でこれほど使えるものは
[00:19:40] ないここらのビランは助けられたら静かに
[00:19:43] するのが趣味のようだな
[00:19:46] あ
[00:19:53] その
[00:19:55] ありがとうカラ
[00:19:58] と言うなじゃあどうしろって言う
[00:20:06] [音楽]
[00:20:08] のつまり話をまとめるとアニスが地上での
[00:20:14] 任務に集中できるようにするために何と
[00:20:17] いうのかアイドルを引退する必要がある
[00:20:24] そのためにTTスターというグループの
[00:20:27] 引退ライブを催すしないそそうだけどわけ
[00:20:32] のわからない条件だがむしろマスタング
[00:20:36] らしいとも言えるなひとまず状況は理解し
[00:20:41] たしかしなぜ私のとろに来た
[00:20:46] えっとそれ
[00:20:48] は社長聞いてくださいアニスのいグループ
[00:20:52] は3人組だったんですしかも解散して時間
[00:20:56] が経っているのでの2はもう別の活動をし
[00:20:59] ているそうですですがグループのライブを
[00:21:03] するならその2人に会わないといけません
[00:21:06] よねあって話をつけないといけません
[00:21:10] だろうな幸い2人とも今の所属事務所は
[00:21:14] 同じだったので早速会いに行ったんです
[00:21:18] 愛さすれば説得の方法はあるでしょそうだ
[00:21:22] なそれが門前払いされちゃったんです関係
[00:21:27] 者以外立ち禁止だそうで当然だなですから
[00:21:32] そこを社長がなんとかどうしろとうまい
[00:21:37] こと根回しをしていただいてどうにかこう
[00:21:40] にか
[00:21:42] [音楽]
[00:21:44] うんうん分かったやってみようほうさすが
[00:21:49] 社長た助かる
[00:21:52] わこんなことで動くことになるとはなし
[00:22:00] く
[00:22:02] うんだめだそうだえ何がですかマスタング
[00:22:09] から時々に連絡が来たお前たち2人に直接
[00:22:13] の手助けは絶対にしないでくれとのことだ
[00:22:18] ええなんでそこまでちょ社長はマスタング
[00:22:23] 社長の部下ではありません従う必要はない
[00:22:27] のでは直々の頼みだからなCEO同士の
[00:22:32] 神義のようなもの
[00:22:33] だこれが上層部の政治ということですか
[00:22:38] なんと汚い上流
[00:22:40] 社会ま好きに言え
[00:22:44] [音楽]
[00:22:45] う困なったわ
[00:22:48] ね昔の連絡先は当然変わってる
[00:22:52] しこのままじゃブラブラも遅れないのよ
[00:22:56] ねではファンが使うようなチャンネルで
[00:23:00] メッセージを送ってみるのはどうですか
[00:23:03] そういうのはマネージャーとか会社が
[00:23:06] 真っ先にチェックするの私からの
[00:23:08] メッセージなんて確実に消されるに決まっ
[00:23:11] てるでしょうなぜです昔の仲間なら喜んで
[00:23:16] もらえるのではよくて詐欺だと思われるん
[00:23:20] じゃないしつこく送り続けたらもしかして
[00:23:23] とか思われたりしません考えられないわ
[00:23:28] そうでなくても簡単に行かない理由があっ
[00:23:33] てそのグループをやめようとした時に
[00:23:40] ああ大暴れしたんですね大暴れて何そこ
[00:23:45] までじゃないわよそのちょっとした
[00:23:48] トラブルがあったのそう反応ちだけ
[00:23:53] なるほど信用度100%ですじゃあ
[00:23:59] これからどうしましょうかマネージャーな
[00:24:02] んだしネオンがどうにかしてくれるべき
[00:24:04] じゃないなんと図々したアニス球ですね
[00:24:09] 本人なんだからそうに決まってるでしょ
[00:24:13] それで
[00:24:14] は
[00:24:16] う私たち何もできないので
[00:24:21] はまいったわね社長もなんで急に変なこと
[00:24:27] おお
[00:24:29] いや変じゃないか大役を立ててみては無理
[00:24:35] に決まってるでしょネットに投稿してみる
[00:24:39] のはどうせ語りだって思われて終わりよ
[00:24:43] 引退ライブを諦めて地上に戻る道もあると
[00:24:47] 思うがこのまま戻ったって何の役にも立た
[00:24:51] ないって分かりきってるし正直に言うが私
[00:24:56] には引退ライブとくなることのつりが見え
[00:24:59] ていない実は私もそれが気になってまし
[00:25:03] [音楽]
[00:25:05] た強くなれるわ間違い
[00:25:11] なくわかりました信じましょうなんとして
[00:25:16] でもサポートしてみせます
[00:25:19] ネオ
[00:25:21] うんその手の政治で頼れる2を2人つけて
[00:25:26] やろうアクテの査が終わって手が開いて
[00:25:30] いるはずだ
[00:25:31] [音楽]
[00:25:32] おお前たちのやる気は認めるがやる気だけ
[00:25:36] では何も解決しないのも世の中というもの
[00:25:40] だアークではなおさらな前哨基で待機して
[00:25:45] いろすぐに向かわせるきっと役に立つ
[00:25:49] だろう直接の手助けでなければマスタング
[00:25:53] も文句は言うなえっとそれはありがたいん
[00:25:57] だけどなんでそこまでそうしなければ何か
[00:26:02] ある度に押しかけられるのが目に見えて
[00:26:05] いるからな
[00:26:07] ああ
[00:26:10] おおちょうど主演からも連絡が来た降り
[00:26:14] 行って話があるらしいこちらも忙しくなり
[00:26:17] そう
[00:26:18] だそろそろ戻ってくれあの主演
[00:26:22] がそういえば今なら私たちの言いなりでは
[00:26:28] 使えるCEOです頼めば権力でどうにかし
[00:26:32] てもらえるんじゃないですか頼みたい
[00:26:36] いいえ冗談です冗談でも考えさせないで
[00:26:41] はいお前たちいつまで居るつもりだヒモ
[00:26:46] スって大食いなの元気だった時からもっと
[00:26:50] ラプチャーの残骸を集めて食べさせない
[00:26:56] とベヒモスはラプチャーの残骸だけで再生
[00:27:00] できるようねどういう意味マテリアルH
[00:27:05] インディビは2家だけを吸収していたの
[00:27:09] それもごく一部だけ確か2家一体あたり
[00:27:15] 378Gだったはず効率が悪すぎない
[00:27:20] ラプチャーなら食べた分だけ回復デッキ
[00:27:23] 待って378Gええ
[00:27:28] 妊婦の重さじゃないそれ
[00:27:32] えだから妊婦の重さぴったりじゃんつまり
[00:27:38] インディビは2の妊婦だけを吸収していた
[00:27:42] ということそうなんじゃないなぜ妊婦だけ
[00:27:46] はただの好き嫌いとかでしょナノマシン
[00:27:50] 以外食べたくないとか単なる
[00:27:53] 好みそうそう直系のやらなんてみんな頭
[00:27:58] おかしいもんまともなやつなんて1人もい
[00:28:02] ないんだから好き嫌いが激しいくらい
[00:28:05] 可愛いもんでしょま私たちは違うけど何で
[00:28:11] もよく食べるもんねニケ
[00:28:14] も多分ね試したことはないけど気持ち悪い
[00:28:20] じゃん自分たちと似たような見た目のもの
[00:28:23] を食べるって
[00:28:25] うんだから集めるのはラプチャーだけにし
[00:28:29] といて寝ぼけてる時にうっかり変なものを
[00:28:33] 食べさせちゃったら目が冷めた後で怒り
[00:28:37] 出すかもしれないし随分気を使うのね
[00:28:41] ベヒモスが私にしてくれたことに比べたら
[00:28:45] 大したことじゃないよ命までかけてくれた
[00:28:48] んだからそれを裏切るなんてできないそう
[00:28:52] いうのはもううんざり
[00:28:55] [音楽]
[00:28:58] それで他には何が気になるの随分話し
[00:29:02] たがりになったわねな聞くの聞かない
[00:29:10] のあの時の質問ね
[00:29:14] 違う人間にとって変わるつもりはない
[00:29:18] もっと言えば人間と一緒に生きていく
[00:29:22] つもりもない私たちの目標ははっきりし
[00:29:26] てる
[00:29:32] そう儀式みたいなもの私たちからすると
[00:29:38] アークは人間もの腹みたいな場所なの
[00:29:42] まあ人間もはアークができる前からいた
[00:29:46] らしいけどでもアークができた後人間もは
[00:29:53] 言葉通り新種みたいなのがどんどん出てき
[00:29:57] たんですでしょだから私たちはアークを
[00:30:02] 進化の厳選みたいなものだと思ってる
[00:30:10] わけそういうことラプチャーとも人間
[00:30:15] もどきとも違う新種になって直系たちごと
[00:30:21] ラプチャーを踏みつぶし
[00:30:25] てあは知らない
[00:30:32] なんで聞くの壊すつもり教えるのは簡単だ
[00:30:37] けど来たところであんたたちには何もでき
[00:30:40] ないよ何にもないもん真似してんのは見た
[00:30:44] 目だけだ
[00:30:48] から卵は見たでしょその次は考えてるの
[00:30:54] ガチャをもっと本気で回すってことそう
[00:30:58] ここでやってたのが普通のガチャなら次は
[00:31:02] スペシャルガチャって感じもっといいもの
[00:31:06] が出るかもしれないやつもっと低確率
[00:31:10] だろうけどここまで話聞いちゃったら止め
[00:31:14] ないわけにもいかないんだけど言った
[00:31:17] でしょあんたたちには何もできないって来
[00:31:21] たって何もないからまだ準備できてないの
[00:31:25] 始めるまでにあと100はかると思うその
[00:31:30] 時にはあんたもう死んでんじゃない普通の
[00:31:34] 人間って
[00:31:36] かわいそう官は1000年でも1万年でも
[00:31:40] 生きているはずよだといい
[00:31:44] [音楽]
[00:31:46] ね当然でしょ直系たちに一発食らわせ
[00:31:51] るって話だってのつもりじゃないし私たち
[00:31:55] はゆっくり
[00:31:58] にやるそれが一番得意だからそこは認める
[00:32:02] わあなたたちが目撃されたという話は
[00:32:06] アークでは一度も聞かなかった本当気を
[00:32:09] つけてたもんアークなんて特に危ないし
[00:32:13] 私たちは静かに影の中で動くの卑怯とか
[00:32:18] 汚いとかダサいとか言われたって最後に
[00:32:22] 笑うのは私たちだっ
[00:32:25] てこがり
[00:32:28] また影に戻るからあんたたちにも2度と
[00:32:32] 見つけられないよ
[00:32:35] いいえあなたたちは2度と戻れないわ
[00:32:39] えなんで対話が進化の石だということを
[00:32:44] 知ってしまった
[00:32:46] [音楽]
[00:32:49] から知ったこじゃない
[00:32:56] よ密度が高いの要は重いやつを中心に集め
[00:33:02] てその次に大きいやつね重くて大きいのが
[00:33:07] あれば1番いいってことあとはコアがあれ
[00:33:11] ば最高だけどめったに見つかるものじゃ
[00:33:14] ないしとにかくたくさんあればいいって
[00:33:17] ことかなそう簡単でしょレヒは好き嫌いし
[00:33:23] ないのそんなこと言ってられなかったから
[00:33:27] でも
[00:33:28] ベヒモスはフルーツが好きフルーツ
[00:33:33] うん再生には全然関係なくてただ好きな
[00:33:39] だけだけど思考品ってやつだ
[00:33:44] ね
[00:33:46] 私教え
[00:33:52] ないあんた私がいくつか知ってんの見た目
[00:33:57] で判断しないでよねそういうのマジで
[00:34:01] 萎えるんだ
[00:34:05] けどあまりしつこく聞かないであげて
[00:34:07] ください志官子供を追い詰めたら泣かせて
[00:34:11] しまいます
[00:34:15] な私は焼き魚が好き
[00:34:20] うん今まで食べたもの中では一番
[00:34:25] おいしかった魚とは友達というタイプでは
[00:34:28] なかったのなんで泳いだり水を使ったり
[00:34:33] する能力だからダークマターは水じゃなく
[00:34:37] て液体金属シンデレラ
[00:34:41] [音楽]
[00:34:43] シンデレラ
[00:34:45] [音楽]
[00:34:48] シンデレラ何ちょっと見てくれ
[00:34:53] えっと今は忙しいの忙しくても見て
[00:34:59] くれシンデレラ
[00:35:02] シンデレラ
[00:35:06] シンデレラ分かった行くわ行けばいいの
[00:35:10] でしょう大声をあげない
[00:35:14] でどうしたのこれを見てくれだから何をあ
[00:35:22] [音楽]
[00:35:28] それがここにも触ってみてくれ
[00:35:42] お
[00:35:44] シンデレラ
[00:35:47] 行こう
[00:35:49] え反応し
[00:35:53] た四官今はシンデレラに続きましょう
[00:36:01] [音楽]
[00:36:13] こシンデレラだけじゃなかったんだ
[00:36:18] 12全部で5人だね1つはどう見ても
[00:36:22] シンデレラね残りは見覚えがないわ
[00:36:26] シンデレラとバランスボールに座ってる
[00:36:29] 挑発のことはこっちの2人は双子かな似
[00:36:34] てるねそれからあ量産型2家だプロダクト
[00:36:40] シリーズのどれだろう研究員の格好だ
[00:36:48] ねシンデレラあなたの仲間ね
[00:36:52] え
[00:36:54] みんな私の仲間でも久しぶりに見た
[00:37:01] わ私は覚えていないこっちへ来て
[00:37:11] グレイブリトルマーメイドよ精霊って呼ん
[00:37:16] でいたわおしりはあまりできなかったけど
[00:37:20] 誰よりも温かかった人精霊
[00:37:28] ヘンゼルとグレーテルよ双子でお互いを
[00:37:32] とても大切にしていたわ私たちのことも
[00:37:37] 大切にしてくれていたわ
[00:37:40] ヘンゼル
[00:37:42] グレーテルそれ
[00:37:45] から
[00:37:47] エイブ私
[00:37:49] の1番美しい鏡をこれ
[00:37:54] が昔の私か
[00:37:58] え頭が良さそうだ今もそうよ全く変わって
[00:38:03] ない
[00:38:04] [音楽]
[00:38:06] わ
[00:38:08] ああ
[00:38:09] みんな本当
[00:38:12] に久しぶりね会いたい
[00:38:17] わ
[00:38:20] だめ耐えられないわレビアたんあなたと
[00:38:26] 精霊はどういう
[00:38:29] 関係精霊の使っていたものを奪ったのもし
[00:38:33] そうだったら私はあなたをダークマターの
[00:38:38] 使い方は精霊園から引き出したのダーク
[00:38:42] マターと水宝ってすごく似てたからどう
[00:38:46] やって頭の中を無理やり読み取っただけ
[00:38:51] ダークマターの使い方探しで必死だった
[00:38:54] からその後見たら分かるでしょ自由自在に
[00:38:59] 使えるようになったの精霊のことを聞いて
[00:39:03] いるの元気だったけどおかしいぐらい
[00:39:07] ピンピンしてたから不思議に思ってたんだ
[00:39:11] けどあんたの仲間って聞いたら納得大した
[00:39:17] 化け物ね次に化け物と呼べばお前は死ぬ
[00:39:23] あどこであったの知らない
[00:39:28] あそこがどこだったのか確かめる方法が
[00:39:31] ないから生きているの多分ねなぜ別れたの
[00:39:37] 私が捨てたどういう関係だったのあなたと
[00:39:42] 精霊奪う側と奪われる
[00:39:47] [音楽]
[00:39:51] 側狙うならコアを狙えば
[00:39:55] いいえ嘘
[00:39:59] え落ち着きすぎているわ本当に追い込まれ
[00:40:03] ていた時のあなたはそんな態度ではなかっ
[00:40:06] た
[00:40:08] ものどんな
[00:40:12] 関係答えて
[00:40:15] いいえ答えてお
[00:40:21] 願いお
[00:40:23] 願い大切な仲間なの
[00:40:27] している
[00:40:30] の
[00:40:33] とちなわけな
[00:40:36] いっしょまともに話もできないやつなんて
[00:40:39] 仲良くできるわけないしあいつはただバカ
[00:40:43] みたいに私に尽くしてばっかり
[00:40:47] [音楽]
[00:40:50] の
[00:40:52] 友達だったのね
[00:40:58] 分かった
[00:40:59] わこれ以上聞かないであげる
[00:41:04] シンデレラ大丈夫かレビアは何があっても
[00:41:08] 答えないわ生きていることは分かったもの
[00:41:12] それで十分よこの仕掛けの正体だけは教え
[00:41:16] てもらえる
[00:41:18] さあ私もここに戻ってきてから気づいたの
[00:41:23] 触っても反応がないし何しても無駄だった
[00:41:27] から放っておいただけ壊そうとはしなかっ
[00:41:31] たのねあんたに似てるものなんて何が
[00:41:35] 起きるかわからないしセル園が残したもの
[00:41:39] だと分かっていたから
[00:41:48] [音楽]
[00:41:54] でしょ
[00:41:56] はああ私も私も
[00:42:02] よ
[00:42:10] 精霊
[00:42:14] 変人本当にすまないが頼みが
[00:42:18] [音楽]
[00:42:21] あるそうだ
[00:42:25] [音楽]
[00:42:28] いや私たちだけで探すお前たちはお前たち
[00:42:33] の仕事を
[00:42:37] [音楽]
[00:42:39] しろ先が見えないシンデレラが覚めるまで
[00:42:44] 100年かかった精霊に会うまでどれだけ
[00:42:49] かかるかわからないお前の仕事は重要だ
[00:42:54] 手伝いたいだがシンデレラが悲しんで
[00:42:59] いる会いたがっている私はそれを見てい
[00:43:04] られないだから行かなければなら
[00:43:09] [音楽]
[00:43:16] ないわかっ
[00:43:18] たありがとうビアたん何あれを見て
[00:43:30] へな何あれあんなの気づかなかった行って
[00:43:38] み
[00:43:40] ましょう泣い
[00:43:43] [音楽]
[00:43:53] てるそう見える
[00:43:57] 触ってみる
[00:44:01] わ反応が
[00:44:04] [音楽]
[00:44:12] ない
[00:44:14] [音楽]
[00:44:22] [音楽]
[00:44:24] はどこかに向かってる
[00:44:27] 案内されている精霊ネオンあなたの眼鏡
[00:44:33] ならどこまで繋がっているのか
[00:44:36] お黒い海まで伸びているわまだ動き続け
[00:44:42] てる海の向こう側に来てほしいみたいね
[00:44:46] どういうことだきっと精霊のいるところ
[00:44:53] [音楽]
[00:45:06] [音楽]
[00:45:09] 王子様ごめんなさい必ず戻るその時は3人
[00:45:16] だ戻ってお前を
[00:45:22] 手伝う私たちがお前を探す王子様
[00:45:27] ラピそれにメティスのみんなも行ってくる
[00:45:32] わお土産を忘れないでああ待っているぞ
[00:45:37] シンデレラまたヒーロースピリットについ
[00:45:39] て語り合おう1度も語った覚えはないけど
[00:45:45] えグレグ忘れるなヴランの心構えよグレグ
[00:45:51] じゃないヴランの心構えは知らない弱者を
[00:45:56] 助け強者に立ち向かうそれがヴランの
[00:46:00] 心構えだそれをヴランというのかわから
[00:46:03] ない
[00:46:04] が覚えておく早く言ってこの子たちの相手
[00:46:09] をしてたら切りがない
[00:46:11] [音楽]
[00:46:13] よ行こうシンデレラ
[00:46:27] 行かない行くわけないでしょあんな
[00:46:34] 場所それよりあんたたちやばいことになっ
[00:46:37] たんじゃないあいつらが言っちゃったら
[00:46:41] 戦力半分以下でしょこんな状態でベヒモス
