# NIKKE 第17章 转录
视频ID: uSPSjlugsLk
[00:03:40] こと言ってんじゃないわよ
[00:03:43] 私も私だって
[00:03:47] 二人ともやめて
[00:03:49] 指揮官が目を覚ましてから決めても
[00:03:51] 遅くないわ
[00:03:52] ー
[00:03:54] こんなに元気な声を出してるってことは
[00:03:58] みんなすっかり治ったみたいですね
[00:04:00] よかったですね
[00:04:03] ブラジャー
[00:04:12] 体は大丈夫ですか
[00:04:14] [音楽]
[00:04:16] よかったです
[00:04:18] この辺はどうですか
[00:04:20] 臨時キャンプにできそうですかいいえ
[00:04:25] 移動した方がいいと思います
[00:04:27] 思ったより高節が多いので
[00:04:29] 雪崩が起こるかもしれませんから
[00:04:32] デコイを巻き遅れたせいか
[00:04:34] ラプチャーが登っています
[00:04:36] そうですかでは別のキャンプを探して移動
[00:04:40] いや
[00:04:43] 戻った方がいいわアニス
[00:04:45] [音楽]
[00:04:46] 市川様アークが治療を受けてからまた
[00:04:49] 来ようよねそれでもいいんだからそこまで
[00:04:54] 急いでるわけでもないし
[00:04:56] 後でスノーホワイトに連絡してから来ても
[00:04:58] いいし私は嫌です師匠
[00:05:02] こんなに苦労したのに何も得ずに帰る
[00:05:06] なんてもったいないじゃないですか
[00:05:07] とりあえず
[00:05:09] 撃ったら何でもいいから爆発させるそれが
[00:05:12] 火力の精神ですから
[00:05:15] [音楽]
[00:05:17] もうもう
[00:05:19] 落ち着いてください皆さん
[00:05:21] 心身共に疲れている方に
[00:05:24] 決定を迫るのはよくありません
[00:05:30] すみません
[00:05:31] しかもこんなに寒いところでは
[00:05:35] 正しい判断なんてできませんよ
[00:05:39] 心も体も
[00:05:40] 凍りついてしまいますから
[00:05:42] 移動できそうな場所を知ってる
[00:05:45] もちろんです
[00:05:47] 地上はさまようのは私たち巡礼者の特技
[00:05:51] ですから
[00:05:53] 心も体も温まるところに
[00:05:55] 案内しますね
[00:05:57] [音楽]
[00:06:10] どうですか
[00:06:13] さっきのところよりも暖かくて
[00:06:17] 気が休まりませんか
[00:06:19] いや違うんですか
[00:06:21] ここも普通の肋屋じゃないですか
[00:06:24] まぁさっきのところとは違って
[00:06:29] 部屋が一つだけでしょだから
[00:06:32] ずっと温かいはずです
[00:06:34] 狭くなっただけでは
[00:06:37] さあ皆さん
[00:06:39] デコイ巻きも兼ねてもう一度周りを見てき
[00:06:42] てくれますか
[00:06:43] 今から
[00:06:45] また私たちですか
[00:06:48] はいお願いします
[00:06:51] わかりました行ってきます
[00:06:54] 行ってきます
[00:06:58] [音楽]
[00:07:00] こうなるとまた二人だけの密室になって
[00:07:05] しまいますね
[00:07:07] 3人が帰ってくるまであと
[00:07:10] 数分
[00:07:11] その間
[00:07:13] 痛みで正気を失った指揮官に無理やり
[00:07:24] する
[00:07:25] 雰囲気ではないですねどう
[00:07:28] すべきか
[00:07:29] 悩んでいますか
[00:07:37] 正直ですね
[00:07:39] よかったら私に悩みを話してくれませんか
[00:07:45] 人間には時々
[00:07:48] 家に秘めていることを
[00:07:51] 他人に分かってほしいと思う時があります
[00:07:53] から
[00:07:58] オンチェイント
[00:08:01] ワンチェインドですか
[00:08:03] そうだったんですねだから撃たれて
[00:08:07] 雪の中に倒れていたわけですか
[00:08:13] それで
[00:08:14] ブラジャーはどう思いますか
[00:08:16] やられたからもう
[00:08:19] わかりますよね
[00:08:22] すべてのニケが味方ではないということを
[00:08:26] ニンフがなかったら
[00:08:27] 運良く外れることなく心臓の真ん中を打た
[00:08:31] れたかもしれないのに
[00:08:32] それでもまだインフをなくす
[00:08:35] アンチェインドを探したいんですか
[00:08:37] [音楽]
[00:08:40] また裏切られるかもしれないのに
[00:08:42] [音楽]
[00:08:48] 他のことはまだよっているくせに
[00:08:51] ニケを助けることは
[00:08:53] 迷わないんですねじゃあ
[00:08:57] ニケに不信感を抱くようになったわけでは
[00:08:59] なく
[00:09:00] とりあえずアークへ戻るべきかそれとも
[00:09:04] どこにあるのかもわからない
[00:09:06] アンチェインドを探し続けるべきか
[00:09:10] 例も酔っているんですね
[00:09:11] [音楽]
[00:09:15] いいですよ
[00:09:17] ブラザーが隠していた心の内を見せてくれ
[00:09:20] たお礼に
[00:09:22] 私も
[00:09:24] 隠していた秘密を教えてあげます
[00:09:27] 実は私
[00:09:29] アンチェインドのことを知っているんです
[00:09:34] でも
[00:09:35] 教えることはできません
[00:09:38] 本当にこれだけはいくらあんなことや
[00:09:42] そんなことで私を弄んでも
[00:09:45] [音楽]
[00:09:51] 全くないんですか
[00:09:55] もう
[00:09:57] 残念
[00:09:57] [音楽]
[00:10:00] それは
[00:10:02] 私一人だけの秘密ではないからです
[00:10:06] なので
[00:10:07] 一緒に行きませんか
[00:10:11] 毎月1日にだけ開かれる
[00:10:14] 約束の地へ
[00:10:16] [音楽]
[00:10:23] 指揮官様
[00:10:24] 本当にもう動いてもいいのもっと
[00:10:27] 休んだ方がよくない
[00:10:28] [音楽]
[00:10:31] でもこんなに寒いところなのに
[00:10:35] 兄はどうして急に
[00:10:37] 心配しまくりロボットになっちゃったん
[00:10:39] ですか
[00:10:41] 心配しまくりロボットって何よ
[00:10:44] 私はただ
[00:10:46] 指揮官様がお腹を撃たれたから
[00:10:49] もういいわ
[00:10:53] どうして急に神経質になっちゃったん
[00:10:55] でしょう
[00:10:56] [音楽]
[00:10:58] 師匠には申し訳ないですけどこんな
[00:11:01] 風に怪我するのも一度や二度のことじゃ
[00:11:04] ないですよね
[00:11:06] そうですね
[00:11:08] 皆さんの中で最も
[00:11:11] 感受性が豊かだからじゃないでしょうか
[00:11:14] そう
[00:11:16] それよりは
[00:11:18] 不安になってるからだと思う
[00:11:20] 不安にですか
[00:11:22] アニスも
[00:11:24] アニスはいつも他人を疑って警戒してきた
[00:11:27] のに
[00:11:28] ちょっと油断した隙にまた裏切られてその
[00:11:32] せいで指揮官と命を失いかけたから
[00:11:34] いつもより不安になって
[00:11:37] 敏感になるのは無理はないと思うわだから
[00:11:40] どうしても
[00:11:42] 安定したところに行きたいのかと
[00:11:45] [音楽]
[00:11:47] その前にあの方たちを慰めるのが先なので
[00:11:51] はないでしょうか
[00:11:53] [音楽]
[00:11:56] 先方にラプチャー
[00:11:57] [音楽]
[00:11:58] 様
[00:12:21] いくら私の髪に邪魔機能があっても
[00:12:25] [音楽]
[00:12:26] 移動する複数の人をカバーするには
[00:12:29] 限界がありますから
[00:12:32] 指揮官様大丈夫
[00:12:34] [音楽]
[00:12:37] 本当に大丈夫なの
[00:12:39] 少しでも痛かったら言ってねそしたら
[00:12:44] それならよかった
[00:12:49] えっ私が
[00:12:52] 違うよなんともないからただちょっと神経
[00:12:56] 質になってただけです
[00:12:59] [音楽]
[00:13:02] 透き通せも
[00:13:04] 本当に何とも思わないし今回は人類のため
[00:13:09] じゃなく
[00:13:10] 私たちの
[00:13:13] ニケのために上がったのにその2ケたちに
[00:13:16] [音楽]
[00:13:18] 裏切られたわけでしょ
[00:13:20] 他の誰でもなくあんなに守りたがってた
[00:13:24] ニキに殺されかけたの
[00:13:26] 私たちのこと
[00:13:29] 恨んだりしないの
[00:13:30] [音楽]
[00:13:32] でも
[00:13:39] 軽く
[00:13:40] なんで急に叩くのよ
[00:13:43] 心配しまくりロボットよ
[00:13:45] 立
[00:13:47] ち去れこれも全部
[00:13:48] 火力が足りないせいです
[00:13:51] だから余計な心配をする
[00:13:53] 心配しまくりロボットになっちゃうんです
[00:13:55] よはぁ
[00:13:57] 不安になってなんかありがとう
[00:14:00] [音楽]
[00:14:08] 指揮官様だからさっさと
[00:14:11] 元のアリスに戻ってくださいさっさと
[00:14:16] 不審のアリスに戻れ
[00:14:21] 本当にうるさいな
[00:14:23] 戻った
[00:14:25] 全くもうネオンはじゃあ行きましょう1
[00:14:30] 箇所に長くとどまるのは危険です
[00:14:34] ラピは本当にどこに行ってもラピですね
[00:14:38] そうね
[00:14:40] ラピュは本当に変わらないわね
[00:14:42] まぁそれがラピのいいところだけど
[00:14:46] 口ばかり動かしてないで
[00:14:48] 足を動かしてはいはい
[00:14:51] [音楽]
[00:14:55] いいですね
[00:14:56] やっぱりいいですね
[00:14:59] 仲間は
[00:15:00] [音楽]
[00:15:15] ラプンツェル何でさっきからじっと見てる
[00:15:17] の何か言いたいことでもあるの
[00:15:20] [音楽]
[00:15:22] やっぱり
[00:15:24] やり不審なアニスに戻ったとたん何もして
[00:15:28] いない人にまで喧嘩を売りますねー
[00:15:32] 違う
[00:15:32] [音楽]
[00:15:35] すみません
[00:15:36] 失礼しましたただ
[00:15:40] 皆さんの姿が微笑ましくてちょっと
[00:15:44] 昔を思い出したんです
[00:15:47] 昔ですかはい
[00:15:50] 昔私が初めて
[00:15:53] 文体に配属された時
[00:15:55] 私たちも
[00:15:57] すごく賑やかだったんです
[00:16:00] 地上は今よりずっと危なくて
[00:16:03] 戦争は今よりずっと近くにあったのに
[00:16:06] ただ一緒にいるだけで幸せで
[00:16:10] 私たちも
[00:16:12] 皆さんのように
[00:16:13] 笑って泣いて
[00:16:15] 楽しく旅をしてました
[00:16:17] あのその方たちは今
[00:16:21] 何人かが行方が分からなくなってしまって
[00:16:25] 何人かは一緒にいますが時間が経つにつれ
[00:16:30] て変わってしまいました
[00:16:32] ごめん私今ちょっと神経質になってて
[00:16:36] いいえ
[00:16:39] 本当に
[00:16:40] 微笑ましかっただけですから
[00:16:46] 私が
[00:16:48] 雰囲気を壊してしまいましたねさあ
[00:16:52] 気持ちを切り替えて元気出してください
[00:16:55] 皆さんもう
[00:16:57] すぐ着きますよ
[00:17:00] [音楽]
[00:17:07] 遅かったの
[00:17:07] [音楽]
[00:17:09] すみません
[00:17:11] 遅くなりました
[00:17:12] まだ昨日は沈んでいない
[00:17:16] 遅くなったわけではなかない
[00:17:19] 客人まで連れてきたのだこれくらいは多め
[00:17:22] に見るとしよう
[00:17:24] 久しぶりだなぁお嬢ちゃんたち
[00:17:27] 坊ちゃんは腹に穴が開いたと聞いたが
[00:17:29] 大丈夫かい
[00:17:35] あ
[00:17:36] スノーホワイトだあなた
[00:17:38] メッセージ確認しないの
[00:17:40] そうです
[00:17:42] スノーホワイトがちゃんとメッセージを見
[00:17:44] てくれたらここまで工藤しなかったんです
[00:17:46] よ
[00:17:48] 連絡私にメッセージを送ったのか
[00:17:57] [音楽]
[00:17:59] そうだったな
[00:18:02] メッセージに気づいてなかった
[00:18:04] すまない
[00:18:07] 素直に謝られたら
[00:18:08] 文句も言えないじゃない
[00:18:10] そうですね
[00:18:15] そうだ
[00:18:17] 彼女もパイオニア所属だから
[00:18:19] 原則的には連れてくるべきだもん
[00:18:22] お前たちも来ると聞いたから
[00:18:24] 連れてこなかった
[00:18:27] 離れたばかりなのにまた会ってしまったら
[00:18:30] お前たちもマリアも
[00:18:33] 心が揺らぐかもしれないからな
[00:18:34] [音楽]
[00:18:39] 信頼できるところに預けてきた
[00:18:41] 心配するな
[00:18:43] ちょっとがめついゆえに
[00:18:45] 自分の民になれとうるさいも
[00:18:48] 白騎士の名にふさわしく
[00:18:50] 信頼を裏切る奴らではないに
[00:18:54] [音楽]
[00:18:55] 預けたかと思えばやはり騎士のお嬢ちゃん
[00:18:58] たちだったのか
[00:19:00] その方も
[00:19:02] ピルグリムなんですかはい
[00:19:05] クラウンとチャイムといって
[00:19:08] 王国の主になろうとする
[00:19:10] 可愛い姉妹たちがいます
[00:19:12] あなたたちが言うならまあ
[00:19:15] 信頼できる人たちなんでしょうね
[00:19:17] [音楽]
[00:19:18] なぜこんなところまで私たちを訪ねてきと
[00:19:25] この音は
[00:19:27] ラプチャーだお前たちについてきたようだ
[00:19:30] な
[00:19:31] ラプンツェル邪魔機能が故障したのか
[00:19:35] うーんそうですね
[00:19:38] ちゃんと機能していますけど
[00:19:41] ブラザーを治療するために
[00:19:44] 力を使いすぎたせいなのか今日は出力が
[00:19:48] ちょっと弱いですね
[00:19:51] 後で点検しておけはい
[00:19:54] わかりました
[00:19:55] [拍手]
[00:19:58] 私たちも手伝います
[00:20:01] 大丈夫ですお客さんは休んでいてください
[00:20:06] こういうのはもともと
[00:20:09] 招待した人が解決するものですから
[00:20:13] 久しぶりに
[00:20:14] みんなで戦いますね
[00:20:16] 坊ちゃん
[00:20:17] せっかくの機械だ
[00:20:19] 決して見てはどうかね
[00:20:23] そうですよ
[00:20:25] めったにない機械ですから
[00:20:27] 思うままに私たちを指揮して
[00:20:31] プライベートなところまでも強引に
[00:20:38] もうその辺にしていくぞ
[00:20:43] [音楽]
[00:20:48] 本当に
[00:20:50] すごい火力です
[00:20:51] これがピルグリムたちの力なんですね
[00:20:56] 恐ろしいわね
[00:20:57] 周りも片付いたし
[00:20:59] 本題に入ろう
[00:21:00] どうせみんな時間がないからな
[00:21:04] いきなり忙しいから
[00:21:06] 用件を言えって
[00:21:09] 本当にそっけない言葉ですね
[00:21:12] 確かに
[00:21:13] 君は相変わらずロマンがないな
[00:21:18] あい今日たっぷりだったスノーホワイトは
[00:21:21] どこへ行ってしまったんでしょう
[00:21:25] ふざけたことを言うな
[00:21:27] それで
[00:21:28] 今回は何のために訪ねてきたんだ
[00:21:32] [音楽]
[00:21:36] アンチェインだ
[00:21:38] 坊ちゃんなぜアンチェインドを知っている
[00:21:41] の
[00:21:42] [音楽]
[00:21:46] ほーそうか
[00:21:48] スノーホワイトからもらったわけさ
[00:21:51] あそうだったんですね
[00:21:56] 誰にもらったのかと思えば
[00:21:58] スノーホワイトだったんですか
[00:22:01] ふむそうかそうだったのか
[00:22:08] 話が長くなりそうだな
[00:22:10] 奥で話そう
[00:22:13] [音楽]
[00:22:19] 前回
[00:22:20] モダニヤと戦った時の姿から言って
[00:22:23] アンチェインドについてある程度知って
[00:22:25] いるようだったの
[00:22:27] どこまで知っている
[00:22:30] [音楽]
[00:22:32] そうか
[00:22:33] では
[00:22:34] アンチェインドの機能は全て知っている
[00:22:37] わけだ
[00:22:38] 他に何が知りたい
[00:22:47] ことある
[00:22:51] 私がお前にアンチェインドをあげたのは
[00:22:54] お前が私の命を助けてくれたからだ
[00:22:58] 命ひとつの大家としてアンチェインド一発
[00:23:01] それで仮は全て返した
[00:23:05] それ以上は欲張りにもあまり欲を出すの
[00:23:09] まずはこっちの話も聞いてから
[00:23:12] 何を聞けというのだ
[00:23:15] お前たちは私の行為を利用し
[00:23:18] 欲を出した私は
[00:23:20] 好意を裏切るような奴らの交流を続ける
[00:23:23] つもりはない
[00:23:24] まあまあちょっと
[00:23:27] ヒートアップしすぎです
[00:23:29] スノーホワイトとりあえず落ち着いて
[00:23:32] ください
[00:23:33] そうさなぜにそう先走るのだ
[00:23:37] [音楽]
[00:23:39] 落ち着いて話を聞こうじゃないか
[00:23:40] [音楽]
[00:23:42] 君が見た坊ちゃんはそんなに無礼な人だっ
[00:23:45] たか
[00:23:47] [音楽]
[00:23:48] 認めよう
[00:23:49] つい敏感になりすぎた
[00:23:51] [音楽]
[00:23:54] 少々落ち着こうじゃないかそして
[00:23:58] 坊ちゃん
[00:23:59] 坊ちゃんはこれから
[00:24:01] 言葉を慎重に選んで喋った方が良いぞ
[00:24:05] 冷静がもっとのスローホワイトが熱くなる
[00:24:08] ほど
[00:24:10] アンチェインドは私たちにとって
[00:24:13] 非常に大切なものなのだ
[00:24:16] 一歩間違えたらこれまでの交流は全て
[00:24:20] 水の泡になるかもしれない
[00:24:22] 致命的な話題だということだ
[00:24:28] どうかねここで諦めるのであればさっきの
[00:24:33] 話は聞かなかったことにしては
[00:24:35] それでも私たちを説得しようというのか
[00:24:40] [音楽]
[00:24:49] では
[00:24:51] 話を聞かせてごらん
[00:24:55] [音楽]
[00:25:03] 多くの賢い2件が
[00:25:05] ニンフの存在を話してくれたのか
[00:25:08] それで
[00:25:09] [音楽]
[00:25:12] それを知った瞬間がいつなのか
[00:25:15] 私たちがそれを知る必要があるか
[00:25:19] 必死に説得してくるかと思ったが
[00:25:23] 意外だな
[00:25:24] それとも私が思っていたより
[00:25:27] アンチェインドを必要としていないのかね
[00:25:30] 私が話しますいいや
[00:25:35] 坊ちゃんの話を聞きたい
[00:25:37] アンチェインドを探そうと言ったのには
[00:25:41] 坊ちゃんではなかったのかい
[00:25:42] [音楽]
[00:25:44] じゃあ
[00:25:46] もっと切実に
[00:25:48] 証明してもらわなければな
[00:25:51] 坊ちゃんがやろうとしていることが
[00:25:54] 正しいことだと
[00:25:56] それが
[00:25:57] 指揮官であろう
[00:25:58] [音楽]
[00:26:09] 多くの賢いニケが
[00:26:10] ニンフの
[00:26:13] [音楽]
[00:26:15] 仲間が記憶消去をされて悲しかったなそれ
[00:26:19] で
[00:26:20] アークではよくあることではないか
[00:26:25] 人間たちはニケを統制したがり
[00:26:28] ニケの思考転換を恐れる
[00:26:30] 思考転換が起きると
[00:26:33] ラプチャーに抜くべき銃口が
[00:26:35] 自分たちに向けられるかもしれないからな
[00:26:39] 記憶消去をされたニケを見ただけで
[00:26:43] ニンフをなくすべきだと思ったのか
[00:26:47] [音楽]
[00:26:54] まあそのお嬢ちゃんはどうかティブにやら
[00:26:57] れたがそもそも
[00:26:59] ニン夫妻なければ
[00:27:00] ヘレティックになることもなかっただろう
[00:27:02] なるほど
[00:27:05] 妊婦さえなければ新色も起きないし
[00:27:08] 記憶消去も起きない
[00:27:11] そういうことなのかい
[00:27:13] かしながら
[00:27:15] [音楽]
[00:27:16] 果たしてニンフは
[00:27:18] ニケに悪影響を及ぼすものなのか
[00:27:22] 戦場の恐怖から
[00:27:23] 悲しみから逃げ出すために
[00:27:26] 記憶消去を選ぶお嬢ちゃんはいくらでも
[00:27:29] いる何よりも
[00:27:31] ニンフはその存在自体がニケに永遠を
[00:27:35] 与える
[00:27:36] その永遠が戦場の恐怖を薄める時もあり
[00:27:41] 無茶な作戦に飛び出す勇気をくれる時も
[00:27:44] ある
[00:27:44] このような者たちには
[00:27:48] ニンフが必要だとは思わないのか
[00:27:50] [音楽]
[00:27:54] 洗濯か
[00:27:55] [音楽]
[00:28:03] その鍵として
[00:28:06] アンチェインドは使いたいわけか
[00:28:15] ニケが自ら未来を選択できる世界が
[00:28:22] それは誠に危険な発言だな
[00:28:26] 坊ちゃんの前にいるのが私たちのような
[00:28:29] 予想ものじゃなく
[00:28:30] 悪のお嬢ちゃんたちだったら
[00:28:33] とっくの昔に
[00:28:35] 坊ちゃんの首が飛んだかもしれないな
[00:28:38] 本当に
[00:28:40] 自分で選択するニケだなんて
[00:28:43] 統制を通じて安定を求めるアークの
[00:28:46] システムとは
[00:28:48] すごく距離のある理想的な答えです
[00:28:51] [音楽]
[00:28:53] でも不思議なことに私は
[00:28:58] ブラザーのその理想論が好きです
[00:29:01] だから
[00:29:03] 賛同したいと思います
[00:29:05] 過去の思い出をただの痕跡にするのでは
[00:29:08] なく
[00:29:09] 未来の鍵として残したいです
[00:29:12] グレントスノーホワイトはどう思いますか
[00:29:16] 私は賛成だ教えてあげてもいいと思うがね
[00:29:22] 私たちがいくら隠してもいつかは知られる
[00:29:26] ことだろうし
[00:29:27] 時代の変化を私の手で止めたくはない
[00:29:32] スノーホワイトは
[00:29:34] 二人も賛同したのに私の動員が必要か
[00:29:38] もちろんですよ
[00:29:41] スノーホワイトが同意してこそ私たちの
[00:29:45] 過半数が同意することになるでしょう
[00:29:49] ドロシーはもうこんなことには興味ない
[00:29:52] だろうし
[00:29:54] リリスもレッドフードも
[00:29:56] 指揮官も今はもういないから
[00:30:00] [音楽]
[00:30:02] レッドフード
[00:30:03] どうしてだどうしてそこまでするんだ
[00:30:08] ニンフは地上奪還とは何の関係もない
[00:30:12] ニーフを持っていても
[00:30:13] 記憶消去をされても
[00:30:15] 逃げたちはお前を守るだろう
[00:30:18] お前は人間だからな
[00:30:20] [音楽]
[00:30:22] なのにどうして命を懸けてまで
[00:30:26] アンチェインドを手に入れようとする
[00:30:28] [音楽]
[00:30:32] 下に行けば
[00:30:33] 処分するのが規則です
[00:30:36] 軍港により
[00:30:37] ニケの処分は
[00:30:39] 指揮官が行わなければなりません
[00:30:42] 選択肢は2つある
[00:30:44] マリアンを安らかに眠らせるか
[00:30:48] 最初に戻すか
[00:30:49] [音楽]
[00:31:01] 包帯
[00:31:03] 嬉しい
[00:31:05] 買った
[00:31:06] [音楽]
[00:31:07] です
[00:31:12] 指揮官
[00:31:16] わかった私もどうしよう
[00:31:20] アンチェインドに関する全てを話してよ
[00:31:25] [音楽]
[00:31:31] アンチェインドの効果はお前たちの知って
[00:31:35] いる通りだ
[00:31:36] いや
[00:31:38] もしかしたら私たちよりもお前たちの方が
[00:31:41] うまく活用しているのかもしれない
[00:31:44] 私たちはただ
[00:31:46] エレティックを殺す最後のカードくらいに
[00:31:48] しか思ってなかったからな
[00:31:51] 昔はアンチェインドが支給されていたの
[00:31:55] みんなに支給されたものではありません
[00:31:57] でした
[00:31:58] それは
[00:31:59] 本当に偶然見つけて
[00:32:01] 特殊に制作された
[00:32:03] 特別なものでしたから
[00:32:06] 偶然見つけたんですか
[00:32:09] ヘルティックと戦う中で
[00:32:11] 本当に
[00:32:12] 偶然にある方の血が
[00:32:15] 彼らに大きな打撃を与えることがわかった
[00:32:18] んです
[00:32:23] ある方の体の中に流れる血液が
[00:32:28] 永遠の性を手に入れたかに見えるヘル
[00:32:30] ティックを殺す武器になるとも知れない
[00:32:33] ことがわかった瞬間
[00:32:35] アンチェインドが誕生しました
[00:32:38] ということはまさか
[00:32:40] アンチェインドはその
[00:32:43] 誰かの血で作られたのはいその方の
[00:32:48] 私たちの指揮官の
[00:32:50] 特別な地で作られた弾が
[00:32:53] それがアンチェインドです
[00:33:00] 何をそれ人の血で弾丸を作るなんてだから
[00:33:05] 製造方法が知られていなかったのね
[00:33:08] それが知られていたら
[00:33:11] 多分指揮官は戦場にも出られず一生血を
[00:33:15] 抜かれることになっただろう
[00:33:17] しかもその男は素晴らしい指揮官だった
[00:33:22] 同じ時代を生きる者たちからも
[00:33:24] 伝説と呼ばれた人だ
[00:33:29] 当時の状況は
[00:33:31] ヘルティックを一気に殺すよりも
[00:33:34] 多数のラプチャーの構成を防ぎ留める指揮
[00:33:37] 官の方が
[00:33:38] 重要だったからな
[00:33:40] 彼を指揮官として起用し続けることにし
[00:33:44] unchaindの清掃方法は
[00:33:46] ごく少数の人のみが知る秘密にすることに
[00:33:49] 決めた
[00:33:50] [音楽]
[00:33:52] 本格的に研究するほどの余裕がなかったの
[00:33:55] も一番の理由だったのだろうが
[00:33:58] それでその方は今はどこにいるんです
[00:34:03] わからない何
[00:34:06] 私は思考転換が起こって
[00:34:09] 過去の記憶があまり残っていないんだこの
[00:34:12] 話も全て
[00:34:14] ラプンツェルに聞いたものだ
[00:34:16] [拍手]
[00:34:18] アークにいると思いますよ
[00:34:20] [音楽]
[00:34:21] 多分
[00:34:21] アーク私たちが住むあのアークに
[00:34:25] [音楽]
[00:34:28] じゃあ今までの私たちの苦労は
[00:34:33] レモン今はいないかもしれません
[00:34:37] あの方は人間ですからどういう意味今
[00:34:41] アークにいるって言ったよね
[00:34:45] 言ってませんでしたっけ
[00:34:47] 私たちが喋っているこの過去の話は
[00:34:52] 第一次ラプチャー進行の時のだって
[00:34:55] [音楽]
[00:34:57] 一次進行
[00:35:00] 一体何年前なのよ
[00:35:03] 当時生まれたばかりの赤ちゃんでもない
[00:35:05] 限り今生きてるわけないじゃないじゃあ
[00:35:10] 結局
[00:35:11] ワンチェインドを作る方法は
[00:35:13] わからないってことなんですか
[00:35:16] [音楽]
[00:35:22] [音楽]
[00:35:23] もうちょっとからかおうと思いましたけど
[00:35:26] ここまでですね
[00:35:30] 指揮官の血を弾丸に生成した研究所がある
[00:35:32] と聞いている
[00:35:34] まだ残っているかは分からないな
[00:35:37] この前に訪れた時は
[00:35:40] 記録が保存されていたから大丈夫だと思い
[00:35:43] ますよ
[00:35:45] 場所はどこなの
[00:35:47] 悪から西
[00:35:49] 巨大な湖の橋
[00:35:51] そこに隠されている
[00:35:52] [拍手]
[00:35:54] すぐ
[00:35:56] に行くいや今のお前たちでは死ぬだけだ
[00:36:00] あそこのラプチャーたちはここのものとは
[00:36:03] 次元が違う
[00:36:05] 犬死にしたくなかったら
[00:36:07] ちゃんと整備して十分準備してから行った
[00:36:09] 方がいい
[00:36:12] [音楽]
[00:36:14] 詳しい座標はメッセージで送る
[00:36:18] [音楽]
[00:36:20] 感謝する必要はない
[00:36:23] 研究所に行っても
[00:36:24] 製造方法がわかるという確信はないぞ
[00:36:28] そして
[00:36:29] 忘れるな
[00:36:31] その方法を知った瞬間からお前たちの敵は
[00:36:35] ラプチャーだけではなくなる
[00:36:36] [音楽]
[00:36:37] 逃げが選択権を持つ世界
[00:36:40] その夢のような理想論を人類がどう
[00:36:43] 受け止め
[00:36:45] ニケがどう受け止めるかによって
[00:36:48] 世界はお前が考えているのとは違う方向に
[00:36:52] 激しく揺れるかもしれない
[00:36:54] 人類が逃げをもっと厳しく統制しようと
