# NIKKE 第35章 转录
视频ID: hXuGXN0BU6Q
[00:07:46] 。お前が望むかどうかに関わらず、今の
[00:07:50] お前はアークで絶大な注目を浴びている。
[00:07:55] その影響力は小さいものではない。特に
[00:07:59] アークの主戦力あるニ家たちの多くから
[00:08:02] 指示されているという点が大きい。つまり
[00:08:06] お前はもう誰かが軽々しく手を出せる存在
[00:08:09] ではないということだ。お前の手の中に
[00:08:12] あるものもある程度は守られるだろう。
[00:08:16] 無論強引にことを測るものはいるかもしれないが、いつかのように一方的に踏みにじられたりはしないはずだ。従ってラピについては安心していい。そもそも緊密事項だからな。
[00:08:29] [音楽]
[00:08:33] ありがとうございます。指揮官。ルーフを開きます。その方がよく見えるでしょう。
[00:08:36] [音楽]
[00:08:52] もちろんです。せっかくなら総司令官を目指しましょう。
[00:08:58] 新人類連合大統領なんてのはどう?宇宙工程の方が良くないですか?
[00:09:05] あまり欲張りすぎるな。
[00:09:11] [音楽]
[00:09:25] ご苦労だった
[00:09:30] 。君の成果に比べれば小さなものだ。感謝
[00:09:35] されるほどのことではない。もう少し時間
[00:09:38] が経てばさらに効果が見えるようになる
[00:09:40] だろう。期待していてくれ。そのためにも
[00:09:45] 今回の地上探索に関する報告を聞かせて
[00:09:47] もらおうか。まずはシンデレラとグレイブ
[00:09:52] の状況からだ
[00:09:55] 。グレイブに関しては分からないが
[00:09:59] シンデレラだというのは信じがいな
[00:10:03] 。シンデレラはかつて人類
[00:10:09] をいや気にするな。古い話だ。今に至る
[00:10:14] までに何が起きたのかは想像の仕様もない
[00:10:17] 。時間は多くを変えてしまうものだ。君が
[00:10:22] ヘレティックとの戦闘で助けられたという
[00:10:24] ならそれを信じよう。いずれにせよ。その
[00:10:29] 2名の存在は極否事項だ。知っているもの
[00:10:32] はごく少数にとめられているだが永遠に
[00:10:38] 隠し通せる秘密などない。バーニンガムを
[00:10:41] 始め他の副司令官の耳に入るのは時間の
[00:10:45] 問題だ
[00:10:48] 。あ、それも間違いではない。だが向こう
[00:10:53] が犠牲の大きさを計算に入れていればの話
[00:10:56] だ。
[00:10:58] 覚悟の上で来られたらそう変わらない。
[00:11:04] 対策については今後の課題としよう。
[00:11:07] ひとまず彼女たちとは共同で作戦を継続し
[00:11:10] て構わない
[00:11:13] 。次はマターに関する情報だ。
[00:11:17] イングリッド、シャンプルはどうなった?
[00:11:20] アブソルートが確保し、地上の簡易研究所
[00:11:23] に送られた。アークに持ち込むわけにも
[00:11:27] ないからな。今は成分の分析中だ。
[00:11:31] 結果が出るまでは時間がかかるだろう。
[00:11:34] 新手のヘレティフーストの力の厳選だ。なるべく多くの情報を引き出したい。
[00:11:42] あ、当然だ。
[00:11:44] では今後の話をしよう。フビーストの目的を突き止めることがキムだ。彼女たちは長きに渡って地上で暗躍し、着実に何らかの準備を進めている。
[00:11:58] クリスタル自体で得られたエネルギーでハーモニーキューブを稼働させ、どこかにアークの造品を建造し、さらにはダークマターと呼ばれる未知の物質を運用している。
[00:12:09] [音楽]
[00:12:13] フォービーストという名乗りを考慮すれば
[00:12:14] 4
[00:12:20] 体は確実に存在します。さらにクリスタルやダークマターに累するものを残りの
[00:12:21] 2体も所有しているはずです。
[00:12:23] 同じ意見だ。フォービーストが利用して
[00:12:26] いるものが分かれば彼女たちの目的も分析
[00:12:29] できるだろう。詳しいことは不明だが軽く
[00:12:33] 見ていいものではないはずだ
[00:12:37] [音楽]
[00:12:39] 。あ、そうしてくれ。
[00:12:46] だ。どういうことだ?そうだな。未生の血液をヘレティックに浴びせたことが巨大化につがったという例がある以上、現役をそのまま使うことはリスクが高すぎ。
[00:12:47] [音楽]
[00:12:58] [音楽]
[00:13:12] 何がどうなっている?アンチェインドの原材料はお前の血だということか?
[00:13:24] ラピが任婦を失っていると判明した時、ある程度の予想はしていたが、しかし本当にお前の血がアンチェインドだったとは。
[00:13:36] イングリッドがいるこの場であえてこの話を持ち出したということは何か理由があるのだろう。聞かせてもらおうか。君の考えを。
[00:13:42] [音楽]
[00:13:50] ビングリッドできるか?
[00:13:53] 今すぐにでも採決できる。
[00:13:56] 乗り気であることは喜びたいが必ず守ってもらうことがある。
[00:14:03] あ、極費で進める。
[00:14:04] 口の硬さを信頼できる側近だけを使う。
[00:14:07] そうか。そこは任せた。信用している。分かった。では車で待っている。あれ?何か気に入らないのかしら?怖い顔してるわ。
[00:14:18] [音楽]
[00:14:26] [音楽]
[00:14:30] そうですね。
[00:14:31] 元から色々企らんでそうな方ですし、余計に怖いです。偏見よ。ネオ見た目で人を判断しちゃだめ。
[00:14:37] [音楽]
[00:14:41] 君たち影口は影でやってくれた前。しかしよく赤月になったな。いいだろう。その調子で君自身の力をつけていってくれ。
[00:14:54] [音楽]
[00:14:59] おかげで私も忙しくなりそうだ。知っていたか?君の行動のほとんどは鬼密事項だからな。隠し通すだけでも大変だ。
[00:15:10] その割には嬉しそうなご様子ですが。
[00:15:16] そうだな。現役を特の昔に引退して権限ばかり持たされた追い惚れにとってはするべきことがあるというのは楽しいことなのでね。
[00:15:18] [音楽]
[00:15:25] [音楽]
[00:15:28] だが目立つ動きは控えてくれ。君の力も
[00:15:32] 大きくなった。今些細な問題なら防げる
[00:15:35] だろうがまだ何でも自由とはいかない
[00:15:41] 。では次の探索目標のことだ
[00:15:47] 。聞こう
[00:15:54] 。理由は
[00:16:01] ダークマターが充満した海のようなものの
[00:16:04] 可能性があるな。レビアタンの本拠地か
[00:16:09] 。分かった。次の探索目標はこの地点と
[00:16:14] する。この地域のかつての環境を考慮して
[00:16:18] 増援を手配しておこう。口が硬く。
[00:16:21] ノースキャンの心配もないものをな。
[00:16:26] では本日はここまでだ。イングリッドも
[00:16:30] 待っているだろう
[00:16:35] 。あ、あの話か
[00:16:41] 。どういうこと?
[00:16:45] 冗談よね。本当のことよ。
[00:16:49] プチャーの数は無限じゃないわ。
[00:16:51] [音楽]
[00:16:56] な、なんでよ。いつから?100
[00:16:58] 年ぐらい前からかしら。クイーンがいたステーションは私が美しく切り離したの。もう宇宙からプチャーは降りてこないわ。
[00:17:09] ず、ステーション?宇宙ステーションのことですか?
[00:17:14] え、ま、またまた嘘はやめてよ。
[00:17:20] そんなことって
[00:17:22] シンデレラは嘘をつかない。
[00:17:25] そうよ。私がそんな美しくないことをするはずがないでしょ。か、
[00:17:30] [音楽]
[00:17:37] 今まで私とグレイブに会えなかったことが不幸だったわね。
[00:17:42] 昔の私がラプチャーの数を調べる機会を作っていた。
[00:17:48] 今はもう作り方が分からない。しかし長い
[00:17:54] 時間が経っても覚えている無限としか表示
[00:17:58] されなかった画面がシンデレラが宇宙に
[00:18:02] 行ってから数字に変わった。だから
[00:18:06] ラプチャーは無限ではない。え、そういう
[00:18:10] ことよ。
[00:18:13] [音楽]
[00:18:19] 副司令官にもこの情報を報告しておいた方
[00:18:22] がいいかとどう考えればいいか検討がつき
[00:18:25] ませんが調査する価値は十分にあると思い
[00:18:28] ます
[00:18:33] 。100年前から現在までのラプチャーと
[00:18:36] の遭遇率を調査した。かつてのデータは
[00:18:39] 事実上意味のあるものとも思えない状態
[00:18:42] だったが、およそ1時間以内に遭遇率は
[00:18:47] 100%となっていた。だが、直近5年間
[00:18:51] の遭遇率を確認した結果、100%の遭遇
[00:18:55] 率となるのがおよそ1時間15分となって
[00:19:00] いる
[00:19:02] 。
[00:19:03] ほんのわずかだがラプチャーとの遭遇率は低下しているようだ。つまり
[00:19:09] 減ってるってこと本当に
[00:19:12] そう考えられる。さらに詳しい調査が必要だ。アーク近辺に限られた数字の可能性もあるし、移動経路や速度による影響かもしれない。他にもデータに問題がある可能性は考えられる。
[00:19:28] [音楽]
[00:19:29] だがもし本当にもしもの話だ。ラプチャー
[00:19:34] の数には限りがあると証明することができ
[00:19:38] たならアークは今までと別の選択をする
[00:19:42] ことができるようになる
[00:19:45] 。言葉にしようとするだけで胸が詰まり
[00:19:49] そうだ。人類
[00:19:51] は地上へ帰ることができるだろう。
[00:19:57] [音楽]
[00:20:05] 何を考え込んでいる?血を抜かれすぎて
[00:20:09] 目舞いでも起こったか
[00:20:12] ?タクティカルな限界まで採決させて
[00:20:15] もらった。
[00:20:17] 改めて変えが協力に感謝する。
[00:20:21] アンチインド団の製造には人間の細胞を
[00:20:24] 含んだラプチャーのコアが必要だと言って
[00:20:27] いたな。
[00:20:39] そこまで分かれば十分だ。後の問題は私たちで解決する。倉庫を漁されば
[00:20:40] 1
[00:20:40] つぐらいは出るかもしれん。なければアブソルートに任せるまでだ。
[00:20:43] [音楽]
[00:20:46] でしたら心配は無ですね。
[00:20:49] 折り合いがついたのか。
[00:20:51] はい。おかげ様で今はライバルのようなものです。
[00:20:56] 無論勝つのは私たちですが
[00:21:01] [音楽]
[00:21:06] [音楽]
[00:21:08] タクティカルこそ思考だがそういう人間臭さも悪くない。第
[00:21:09] 1
[00:21:09] 世代のラプチャーコアがいつ確保できるかによる。あったとしても今日や明日とはいかんだろう。目度が立ち次第こちらから連絡する。あ、任せてくれ。
[00:21:14] [音楽]
[00:21:26] 今日はゆっくり休んでおけ。それと前哨基地はこちらで清掃しておいた。久しぶりの我が家が荒れていたら悲しいだろうからな。
[00:21:38] へえ。そんな気遣いできる人だったの?
[00:21:42] 我が者の社長ですよ。社長。
[00:21:45] ありがとうございます。共官。
[00:21:47] 感謝したいのは私の方だ。改めて霊を言う。
[00:21:49] [音楽]
[00:21:54] [音楽]
[00:22:02] は、綺麗にお掃除されていますね。アニスがカーペットにこぼしたソースのシも嘘みたいに消えてます。
[00:22:12] そうね。丁寧にやってくれたみたい。あれ?あー。うわ。うわ。
[00:22:16] [音楽]
[00:22:22] お、どうしました?お腹でも痛いんですか?食べ物が全部軍用のレーションに変わってるのな。なんと最高ですね。美味しいですし。
[00:22:39] 美味しくないわよ。カロリーも高すぎ。
[00:22:43] 私が調理するわ。そうすれば食べやすくなるはず。
[00:22:48] 調理レーションを。
[00:22:50] ええ、少し待っていて。試してみたかったレシピがあるの。おお。おうお。
[00:23:01] まずい。
[00:23:03] そうですね。ごめん。やはりだめね。想像通りには行かなかった。何か外で買ってくるわ。
[00:23:12] いやいや、いいわよ。もう時間も遅いし。お。
[00:23:18] えっと
[00:23:19] 、指揮官様、ラピー、ネオ、
[00:23:25] 私次の作戦からしばらく外れるから、その
[00:23:31] 場合によっては次の次の作戦
[00:23:35] もその次の作戦も参加になるかも。脱体し
[00:23:41] たいというならすぎではそうよ。やめる
[00:23:46] つもりはないの。
[00:23:48] 気に入ってるものここ。
[00:23:51] おやおや。
[00:23:53] けじめをつけると言っていたわね。
[00:23:55] うん。そうしないと私はここでも変われない気がするから新デレデラにも言われちゃったし。ああ、アニスが美人じゃないという話でしたっけ?
[00:24:10] 違うわよ。静かに聞いて。
[00:24:13] ほーい。いつ戻るって約束はできないけど
[00:24:17] 、しばらく抜けたいのいいでしょ。
[00:24:27] [音楽]
[00:24:28] え、なん
[00:24:30] [音楽]
[00:24:36] でそれはまあもちろんできるかもしれない
[00:24:41] わ。力を貸してもらえたらすごく助かると
[00:24:45] 思う
[00:24:46] 。でもね、ラピは強くなったし、指揮官様
[00:24:52] の立場もどんどん重要になってる。次の
[00:24:55] 任務だってすごく大事なものでしょ。私が
[00:24:59] 足を引っ張るわけにはいかないじゃない
[00:25:02] [音楽]
[00:25:05] 。指揮官、正直に言ってよ。
[00:25:09] 今の私とネオン役に立ってる。
[00:25:14] え?あ、はい。私もですか?
[00:25:17] [音楽]
[00:25:20] う、私だってバカじゃないの。だから全部けじめをつけてから戻ってくるわ。
[00:25:23] [音楽]
[00:25:29] 許してくれるでしょね。
[00:25:30] [音楽]
[00:25:36] 私が
[00:25:38] あとどれだけ足を引っ張ればいいの?地上に出ても役立たずにいたって言いとこなしでそれがどれだけ惨目な気分か考えたことある?私だってこつけたいのよ。
[00:25:41] [音楽]
[00:25:57] 自分のことは自分で解決して指揮官様が
[00:26:01] 困ってる時にかっこよく登場したいの
[00:26:07] 。仲間だからよ。大当な関係で痛いの。足
[00:26:12] を引っ張っ
[00:26:13] たり助けられてばかりじゃなく
[00:26:17] て分かった
[00:26:21] 。ただし条件があるわ。
[00:26:25] ぐらい強くなって帰ってきて。
[00:26:28] うん。当然でしょ。ちょ。
[00:26:30] [音楽]
[00:26:33] お、じゃあ私も一緒に行きます。
[00:26:37] え?行くってどこに?
[00:26:39] アニスについて行きます。
[00:26:41] いや、あのね、私の話ちゃんと聞いてた?
[00:26:46] 聞いてません。ついていきます。
[00:26:49] 正直に言って不安ですから。
[00:26:51] [音楽]
[00:26:53] 刀剣を散歩紐なしで歩かせる感覚とどういうのでしょうか?
[00:26:58] 誰が刀剣よ?誰が?
[00:27:04] [音楽]
[00:27:14] 構いませんね。師匠ラッピなんです。アニスが師匠とラピは正直放っておいても大丈夫だと思いますし。
[00:27:15] 1人くらいはいいでしょ、アニス。
[00:27:18] おお、そうね。
[00:27:21] アニスを手伝って。それなら安心できるわ。
[00:27:25] 決まりですね。
[00:27:29] 指揮官、料理が覚めてしまいます。早くお召し上がりください。
[00:27:32] [音楽]
[00:27:37] ごめんね、指揮官様。ありがとう。旅ピ。
[00:27:39] [音楽]
[00:27:46] 申し訳ありません。
[00:27:47] [音楽]
[00:27:52] 眠っています。見た限りで
[00:27:56] は無力なまま取り残されることがどのよう
[00:28:00] な気持ちかはよく知っていますから。実際
[00:28:05] 客観的に判断して今のアニスとネオンでは
[00:28:09] 戦力になりません。このまま仲間だからと
[00:28:13] いうだけで戦場へ連れ出してもプライドを
[00:28:17] 余計に傷つけるだけです。見せたいものが
[00:28:19] あるのだと思います。どうすればそれが手
[00:28:22] に入るかもう分かっているはず。それを
[00:28:26] 掴む瞬間に立ち合えないことは残念ですが
[00:28:29] 、それぞれの道がありますから
[00:28:34] 。信じてください。2人を
[00:28:37] [音楽]
[00:28:38] 。はい。では私たちも休みましょう。ご
[00:28:44] 自分のベッドですから久しぶりにゆっくり
[00:28:47] 眠れるはずです。
[00:28:50] はい
[00:28:58] 。いえ、失礼しました。もう少し雰囲気を
[00:29:03] 堪能しようかと失礼いたします
[00:29:08] [音楽]
[00:29:12] 。すまない
[00:29:15] 。製造はうまくいっていない。
[00:29:20] ラプチャーコアは手元にあった。すぐに
[00:29:23] 作業に取りかかったのだが、複数の問題が
[00:29:27] 起こった。我々としても初の試みだ。経験
[00:29:32] も足りていなかった
[00:29:40] 。いや、1発だけはどうにか完成できそう
[00:29:44] だ
[00:29:47] 。エデンでは2発を製造できていたの
[00:29:50] だろう
[00:29:52] 。技術力で差を見せつけられたと感じた
[00:29:55] ことは久しぶりだ。準備ができ次第すぐに
[00:30:00] 送る。早ければ1週間。遅くとも10日
[00:30:04] 以内の予定だ
[00:30:08] 。まだ完成はしていないし大したこととも
[00:30:12] 思えん。むしろ屈辱だ。限られた資源の中
[00:30:17] で成果物が1つか2つかということには
[00:30:21] タクティカルかただの乱闘かほどの差
[00:30:27] [音楽]
[00:30:28] がそう考えれば確かに1発でも
[00:30:33] 大きいその通りだ。やはりエリシオンは
[00:30:36] 素晴らしい。私もそう思います。
[00:30:41] そういえばあの2人はどうした?
[00:30:43] アニスとネオンは所持事場により今回の作戦には不散化となりました。そうか。そうだな。いい兆候だと受け取っておこう。ただお前たちも忘れているようだから言っておくがネオンは私がお前たちの情報を収集するために送り込んでいたはずだ。
[00:30:55] [音楽]
[00:31:05] あ。
[00:31:07] [音楽]
[00:31:10] 使命を忘れて勝手に離脱とは信じ
[00:31:14] がいスパイだな。とにかく後のことは
[00:31:18] こちらに任せて出撃の準備に向かうといい
[00:31:21] 。アンダーソンからの増援がエレベーター
[00:31:25] 前で待機しているそうだ。合流後へ出発し
[00:31:29] てくれ
[00:31:31] 。失礼します。共官。
[00:31:36] [音楽]
[00:31:51] 誰もいません。
[00:32:03] [音楽]
[00:32:05] ヒーローカレーに参生。
[00:32:07] ラプラス窓を割るのはやめるようにと。
[00:32:13] 窓はヒーロー登場に欠かせないこ具。割れて当然だ。
[00:32:18] [音楽]
[00:32:19] [拍手]
[00:32:25] ビラン3条。
[00:32:30] 貴様、せめて驚いたふりぐらいしろ。
[00:32:34] [音楽]
[00:32:36] もっと驚け。もっとだ。いいだろう。社員参生。
[00:32:40] [音楽]
[00:32:45] [拍手]
[00:32:47] [音楽]
[00:32:57] あれ?は2
[00:32:58] 人とも何これ?何のことだ?私の登場の仕方に問題があったか?
[00:33:02] [音楽]
[00:33:06] 窓が吹き飛んでるし、マンホールの蓋もひっくり返ってるんだけど。
[00:33:11] かっこよく登場するためだ。
[00:33:14] かっこよく登場するために決まっている。
[00:33:18] ああ、この間修理したばっかりなのに。
[00:33:23] どれだけ修理台かかったか分かってる?
[00:33:27] 私が払えば住む話だ。
[00:33:30] 何?歩道具を壊したらお金を払わないといけないのか?
[00:33:36] 当たり前だ。愚か者目。みんな持ちつもたれだ。
[00:33:41] 小道具じゃないって。
[00:33:43] 金額を言え。そんな橋たがれ。ビラン活動の稼ぎで解決してやる。
[00:33:50] ドレイクの給料3ヶ月分ぐらい。
[00:33:53] そうか。金を貸してくれ。
[00:33:56] 私が貸すわけないでしょ。
[00:33:59] 頼むから静かにしてもらえる。
[00:34:02] うわ。
[00:34:05] 聞いてくれてありがとう。今回の作戦の増援はメティスということね。
[00:34:11] [音楽]
[00:34:15] もう話していいわ。
[00:34:17] その通りだ。
[00:34:19] 見てわからないか。愚か者目。
[00:34:22] 今回の地上探索はミシリスが誇る最強部隊。
[00:34:28] 絶対無敵エクトロニックパワー。
[00:34:32] その名も
[00:34:34] めす
[00:34:38] [音楽]
[00:34:39] が力をかそう。
[00:34:42] やっぱりもう一度黙っててもらえる。
[00:34:48] 多めに見てあげて。久しぶりの地上作戦だ
[00:34:52] から張り切っちゃってるのよ
[00:34:55] [音楽]
[00:34:58] 。デビー知らなかった。主演の働きかけで
[00:35:03] 私たちが来たのよ。あの主演が他人にお
[00:35:06] 願いまでして
[00:35:09] 。知ってるでしょ?今どういう立場になっ
[00:35:13] てるか。どうしてもベビーに見捨てられ
[00:35:16] たくないのよ
[00:35:19] 。1度はメッセージぐらい送ってあげて。
[00:35:23] 自分の都合があるにしても
[00:35:25] ちょっとかわいそうでしょ。
[00:35:29] [音楽]
[00:35:33] [拍手]
[00:35:41] [音楽]
[00:35:53] なんだってなんて言われたのかすごく気になるけど聞かないで怒った。
[00:36:02] 私まで胸しそう
[00:36:06] 。当然あれだけ好き放題生きてきたんだ
[00:36:10] から1回ぐらいは痛い目見とかないとね。
[00:36:14] ま、自分の心配がなくなったらどうせ
[00:36:17] 手のひ返したみたいに元通りだってベビー
[00:36:20] も私も分かってるけどでもちょっとは
[00:36:24] 大なしくなるでしょう。2度と同じ目には
[00:36:27] 会いたくないだろうし。これまでは思う
[00:36:30] 存分。コキ使ってやってよ、ベビー
[00:36:33] [音楽]
[00:36:35] 。本当皮肉よね。効率だって自分の
[00:36:39] 思い通りになると思ってたあの高飛者な
[00:36:42] おちびちゃんが効率が怖くてビクビクし
[00:36:46] てるなんて。やっぱり誠実に生きないとね
[00:36:49] 。腹を蹴られるよりは聞き目があるみたい
[00:36:53] ね
[00:36:55] 。行きましょう。
[00:36:57] エティスが同行するなら戦力には問題ありません。
[00:37:02] どっちが早くエレベーターに乗るか勝負だ。それ以外。
[00:37:06] ふん。そんな幼稚な勝負には乗らん。
[00:37:10] 何?黄色ダッシュ。
[00:37:14] じゃあよろしくね。指揮官。
[00:37:15] [音楽]
[00:37:32] 2
[00:37:32] 人がいなかった場合かなり恥ずかしい行動になりますが行きましょう。シンデレラとグレイブも待機しています。
[00:37:43] ああ、言ったわね。
[00:37:49] はい。そうですね。よし、それじゃ行きますか。
[00:37:55] それでどこへ行くんですか?
[00:37:58] まずは社長のところ。
[00:38:00] え、まさかアップしたいってダねるとか?
[00:38:06] 違うわよ。
[00:38:10] [音楽]
[00:38:18] ここか。
[00:38:21] メティスの新しいステージは
[00:38:24] 真っ黒だな。おまけにドロドロだ。うん。ここって昔はジャングルとかだったっぽいね。
[00:38:34] その通りよ。自然環境として重要な場所だったようね。残っている自然を保護するためにできるだけ人間の介入は避けていたらしいわ。
[00:38:46] そのせいで私たちが活用できる施設もかなり限られそうね。
[00:38:52] む、電気をほとんど感じないぞ。これでは活躍できん。偉大なるドレイクセンサーが役に立たんではないか。簡単とはブレーな奴め。複雑なことだってできる。
[00:39:02] [音楽]
[00:39:13] いや、そこまでではない。専門家には勝て。
[00:39:18] 話のついでに聞くけど、シフティは今回の作戦に参加してないの?
[00:39:24] こちらにはあなたたちもいるし。クリスタル地帯の相当作戦中に何か問題が起きたらしいわ。今はその後始末で忙しいよね。
[00:39:34] 何が起きたか聞いてないの?
[00:39:37] ええ、ただ小さなトラブルではなさそう。
[00:39:41] どこもガジも問題だらけね。
[00:39:45] 問題があればこのヒーローに言ってくれ。何でも解決する。
[00:39:50] 問題があればこのビランに言ってくれ。何でもことを荒立ててやろう。
[00:39:57] お願いだから大しくしててね。
[00:40:06] 王子様、別行動してもいいかしら?頭が痛いわ。
[00:40:12] 私もヘルメットをかぶっていいか?うるさくて耐えられない。王子様のせいではないわ。まあ、そうね。
[00:40:22] [音楽]
[00:40:26] それぞれの個性を尊重しているのは美しい
[00:40:30] ことだと思うけれど、ここはどこに敵がい
[00:40:33] てもおかしくないし、行きすぎれば個性で
[00:40:37] 済まないことも起こるわ。気が進まない
[00:40:40] けど、今回だけは私が
[00:40:48] [音楽]
[00:40:53] しっかりあえて嬉しいわ。
[00:40:56] シンデレラよ。
[00:40:57] グレイブだ。
[00:41:00] [音楽]
[00:41:08] あ、王子様、もしかして100
[00:41:09] 年の間に挨拶の仕方も
[00:41:11] [音楽]
[00:41:12] 君がシンデレラか。
[00:41:14] ここに来る途中で話を聞いたヘレディックになってまた戻ってきた伝説のヒーローだと。おお。
[00:41:17] [音楽]
[00:41:24] そしてこのキラキラ輝くボーニー。アーク
[00:41:28] レンジャーシルバーにもなれそうだ。おお
[00:41:31] 。その盾は何だ?浮かんでいるぞ。もしか
[00:41:36] して飛べるのか?どう?目が赤いんだな。
[00:41:40] 知っていたか?実は私たちも新食された
[00:41:44] ことがある
[00:41:46] んだが気合いで乗り越えたんだ。そうじゃ
[00:41:50] ないでしょ。
