# NIKKE 第31章 转录
视频ID: yPdi283EIk4
[00:04:34] そうだけどもっと短い名前にした方がいい
[00:04:34] そうだけどもっと短い名前にした方がいい
[00:04:38] んじゃない該当の物質はアークに致命的な
[00:04:38] んじゃない該当の物質はアークに致命的な
[00:04:41] 危機をもたらしうるリスクレベルSSの
[00:04:41] 危機をもたらしうるリスクレベルSSの
[00:04:46] 問題と決定されさらに地上の生態系にも悪
[00:04:46] 問題と決定されさらに地上の生態系にも悪
[00:04:49] 影響を及ぼしかねないことから根絶する
[00:04:49] 影響を及ぼしかねないことから根絶する
[00:04:52] ことが決定されましたこれ以上調査しても
[00:04:52] ことが決定されましたこれ以上調査しても
[00:04:56] 意味がないという判断だと思います参考
[00:04:56] 意味がないという判断だと思います参考
[00:05:00] までにヘレティックはリスクレベルSです
[00:05:00] までにヘレティックはリスクレベルSです
[00:05:03] e2クリスタルのために新しいレベルが
[00:05:03] e2クリスタルのために新しいレベルが
[00:05:06] 設定されました新たに発見された
[00:05:06] 設定されました新たに発見された
[00:05:09] ハーモニーキューブは管理が行き届かず
[00:05:09] ハーモニーキューブは管理が行き届かず
[00:05:13] 老朽化しており理想的な状態とは言えませ
[00:05:13] 老朽化しており理想的な状態とは言えませ
[00:05:17] んがアーク建造のための演算機能は生きて
[00:05:17] んがアーク建造のための演算機能は生きて
[00:05:20] います私たちはハーモニーキューブの専業
[00:05:20] います私たちはハーモニーキューブの専業
[00:05:24] を確保し周辺の一体を侵食するE2
[00:05:24] を確保し周辺の一体を侵食するE2
[00:05:28] クリスタルに対してロストセクターで見
[00:05:28] クリスタルに対してロストセクターで見
[00:05:31] られるようなアークの基礎構造物で上書き
[00:05:31] られるようなアークの基礎構造物で上書き
[00:05:35] を行いますこのアークの基礎構造物にはe
[00:05:36] を行いますこのアークの基礎構造物にはe
[00:05:39] 2クリスタルに対して完全退職性のある
[00:05:39] 2クリスタルに対して完全退職性のある
[00:05:42] ガラスが利用されますそれによって周辺を
[00:05:42] ガラスが利用されますそれによって周辺を
[00:05:46] 埋めしE2クリスタルを排除することが
[00:05:46] 埋めしE2クリスタルを排除することが
[00:05:52] 今回の作戦の金めですえっとつまりここを
[00:05:52] 今回の作戦の金めですえっとつまりここを
[00:05:58] 中心にドカンと一発違いますそうですか
[00:05:58] 中心にドカンと一発違いますそうですか
[00:06:02] ああ
[00:06:02] ああ
[00:06:04] うんもう少し
[00:06:04] うんもう少し
[00:06:10] 詳しく説明してもらえないAピラー通称
[00:06:10] 詳しく説明してもらえないAピラー通称
[00:06:13] 悔いと呼ばれるものを使用しますこのA
[00:06:13] 悔いと呼ばれるものを使用しますこのA
[00:06:16] ピラーをクリスタルの密集地点に打ち込み
[00:06:16] ピラーをクリスタルの密集地点に打ち込み
[00:06:19] そこを起点としてアークの基礎構造物を
[00:06:20] そこを起点としてアークの基礎構造物を
[00:06:24] 展開させますそれを数回繰り返し一体を
[00:06:24] 展開させますそれを数回繰り返し一体を
[00:06:28] アークの基礎構造物で固めます
[00:06:28] アークの基礎構造物で固めます
[00:06:32] うーど感じになるのか全然想像できないん
[00:06:32] うーど感じになるのか全然想像できないん
[00:06:36] だけどアブソルート部隊と合流し作戦を
[00:06:36] だけどアブソルート部隊と合流し作戦を
[00:06:39] 遂行してくださいこの作戦の手順は全て
[00:06:39] 遂行してくださいこの作戦の手順は全て
[00:06:42] 熟地しておりシミュレーションも済ませて
[00:06:42] 熟地しておりシミュレーションも済ませて
[00:06:47] います実際に見た方が早いでしょう
[00:06:47] います実際に見た方が早いでしょう
[00:07:00] かの
[00:07:00] かの
[00:07:12] んし四官
[00:07:12] んし四官
[00:07:15] 様あら来たの
[00:07:15] 様あら来たの
[00:07:21] ねテパ動け薄野これだから3申し訳ござい
[00:07:21] ねテパ動け薄野これだから3申し訳ござい
[00:07:26] ません3流だから歩くのが遅いんです
[00:07:26] ません3流だから歩くのが遅いんです
[00:07:30] みんなが3歩進む間に1歩しか進めないの
[00:07:30] みんなが3歩進む間に1歩しか進めないの
[00:07:49] え面白いね変わらず息がぴったり
[00:07:49] え面白いね変わらず息がぴったり
[00:07:56] は悔を積んだコンテナがもうすぐ空から
[00:07:56] は悔を積んだコンテナがもうすぐ空から
[00:07:59] 来るはずだ迎撃される可能性がある
[00:08:00] 来るはずだ迎撃される可能性がある
[00:08:03] 事前にあたりを片付けておきたいえまだ
[00:08:03] 事前にあたりを片付けておきたいえまだ
[00:08:06] 終わってなかったのアブソルートも落ちた
[00:08:07] 終わってなかったのアブソルートも落ちた
[00:08:09] もの
[00:08:09] もの
[00:08:19] え私たちねカウンターズが活躍したって話
[00:08:19] え私たちねカウンターズが活躍したって話
[00:08:25] をたくさん聞いたのだからこの目で見たく
[00:08:25] をたくさん聞いたのだからこの目で見たく
[00:08:28] なっちゃったんだ実力を疑ってるわけじゃ
[00:08:28] なっちゃったんだ実力を疑ってるわけじゃ
[00:08:36] ただ今どれくらいのものなのか確認してみ
[00:08:36] ただ今どれくらいのものなのか確認してみ
[00:08:45] のそういう言い方はしたくなかったんだ
[00:08:45] のそういう言い方はしたくなかったんだ
[00:08:50] けどそうなっちゃうわよね見せてみろお前
[00:08:51] けどそうなっちゃうわよね見せてみろお前
[00:08:55] たちの実力をそれに何の意味があるのまだ
[00:08:55] たちの実力をそれに何の意味があるのまだ
[00:08:59] 最強という言葉にこだわっているの黙れ
[00:08:59] 最強という言葉にこだわっているの黙れ
[00:09:03] お前にも私たちを捨てて3流部隊に残り
[00:09:03] お前にも私たちを捨てて3流部隊に残り
[00:09:05] 続けている理由があるん
[00:09:05] 続けている理由があるん
[00:09:09] だろうそれを見せろと言ってるんだやれ
[00:09:09] だろうそれを見せろと言ってるんだやれ
[00:09:13] やれジェラシー大爆発ってやつ相変わらず
[00:09:13] やれジェラシー大爆発ってやつ相変わらず
[00:09:17] 口が止まらないなそろそろ止めたいから
[00:09:17] 口が止まらないなそろそろ止めたいから
[00:09:20] あなたの唇で塞いでくれる
[00:09:20] あなたの唇で塞いでくれる
[00:09:22] う付き合うのも
[00:09:22] う付き合うのも
[00:09:26] バカバカしい3分後にコンテナが到着する
[00:09:26] バカバカしい3分後にコンテナが到着する
[00:09:40] は
[00:09:40] は
[00:09:45] およし行きましょうカウンターズ様の大
[00:09:45] およし行きましょうカウンターズ様の大
[00:09:50] 活躍が見たいんでしょこれはけませんね
[00:09:50] 活躍が見たいんでしょこれはけませんね
[00:09:52] ビジョンYのフルパワーをお見せし
[00:09:53] ビジョンYのフルパワーをお見せし
[00:09:57] ましょうそれ旗から見たらただメガが光っ
[00:09:57] ましょうそれ旗から見たらただメガが光っ
[00:10:00] てるだけで意味ないと思うけど
[00:10:00] てるだけで意味ないと思うけど
[00:10:02] アニスネオン
[00:10:02] アニスネオン
[00:10:06] ラピーあなたの選択が正しいってことを
[00:10:06] ラピーあなたの選択が正しいってことを
[00:10:09] 分からせてあげましょう私たちの
[00:10:09] 分からせてあげましょう私たちの
[00:10:21] ましょう状況終了確認し
[00:10:21] ましょう状況終了確認し
[00:10:23] た
[00:10:23] た
[00:10:33] 思う作戦区域に移動するちょっとせめて
[00:10:33] 思う作戦区域に移動するちょっとせめて
[00:10:36] 感想ぐらい聞かせなさいよそれが嫌なら
[00:10:37] 感想ぐらい聞かせなさいよそれが嫌なら
[00:10:45] くださいは本当に払ってくれる気ですか
[00:10:45] くださいは本当に払ってくれる気ですか
[00:10:46] 助かり
[00:10:46] 助かり
[00:10:50] ますようやく三流からは抜け出せたようだ
[00:10:50] ますようやく三流からは抜け出せたようだ
[00:10:55] な成長が早い悪くないちょっとどうし
[00:10:55] な成長が早い悪くないちょっとどうし
[00:10:57] ちゃった
[00:10:57] ちゃった
[00:11:01] のそこまで褒めていとは予想外です
[00:11:01] のそこまで褒めていとは予想外です
[00:11:06] ねしかしそこも見えているバカな後輩と
[00:11:06] ねしかしそこも見えているバカな後輩と
[00:11:11] 舞台のリーダーはいいだがお前たち2人だ
[00:11:11] 舞台のリーダーはいいだがお前たち2人だ
[00:11:14] 今はまだ圧倒的な技術さがついていない
[00:11:14] 今はまだ圧倒的な技術さがついていない
[00:11:17] からいいがそっちの2人がさらに成長し
[00:11:17] からいいがそっちの2人がさらに成長し
[00:11:21] たらお前たちはいずれ明らかなお荷物に
[00:11:21] たらお前たちはいずれ明らかなお荷物に
[00:11:24] なる成長していないわけじゃないが
[00:11:24] なる成長していないわけじゃないが
[00:11:30] まだまだ弱いもっと努力しろ分かってるよ
[00:11:30] まだまだ弱いもっと努力しろ分かってるよ
[00:11:36] それぐらいそうかならいい移動する
[00:11:36] それぐらいそうかならいい移動する
[00:11:38] [拍手]
[00:11:38] [拍手]
[00:11:45] ぞすすごいねみみんな仲良しなんだ
[00:11:45] ぞすすごいねみみんな仲良しなんだ
[00:11:49] え火力不足だっってチームワークのおかげ
[00:11:49] え火力不足だっってチームワークのおかげ
[00:11:53] でほとんど分からないよ
[00:11:53] でほとんど分からないよ
[00:11:56] 火力不足
[00:11:56] 火力不足
[00:11:59] あごごめん
[00:11:59] あごごめん
[00:12:05] みんな適合する企画はそれぞれなのにじ
[00:12:05] みんな適合する企画はそれぞれなのにじ
[00:12:09] 自分の基準で言っちゃったそういえば
[00:12:09] 自分の基準で言っちゃったそういえば
[00:12:13] カウンターズは装備を切り替えないの
[00:12:13] カウンターズは装備を切り替えないの
[00:12:16] むやみに切り替えられるものじゃないわ今
[00:12:16] むやみに切り替えられるものじゃないわ今
[00:12:20] の武装が一番体に合っているものだ
[00:12:20] の武装が一番体に合っているものだ
[00:12:25] からそう失礼しますコンテナの到着を確認
[00:12:25] からそう失礼しますコンテナの到着を確認
[00:12:29] しました基本設定の完了まで20分ほを
[00:12:29] しました基本設定の完了まで20分ほを
[00:12:33] かかる予定ですではその間に最初の作戦
[00:12:33] かかる予定ですではその間に最初の作戦
[00:12:37] 区域に移動しておきましょうはい合図され
[00:12:37] 区域に移動しておきましょうはい合図され
[00:12:40] たら即時発射できるよう準備しますじゃあ
[00:12:40] たら即時発射できるよう準備しますじゃあ
[00:12:46] ましょう作戦区域に
[00:12:46] ましょう作戦区域に
[00:12:50] 到着誘導ビーコンを設置して
[00:12:50] 到着誘導ビーコンを設置して
[00:12:57] やるこれを置いた場所に悔が刺さる全員
[00:12:57] やるこれを置いた場所に悔が刺さる全員
[00:13:04] 下がれマナ始めろ了解座標を確認ガイド
[00:13:04] 下がれマナ始めろ了解座標を確認ガイド
[00:13:08] シグナルを目標にAピラーを射出し
[00:13:08] シグナルを目標にAピラーを射出し
[00:13:12] ます射出完了着弾までの操作権を
[00:13:12] ます射出完了着弾までの操作権を
[00:13:16] オペレーターに受け渡します了解
[00:13:16] オペレーターに受け渡します了解
[00:13:19] コントロール切り替え完了えシフティが
[00:13:19] コントロール切り替え完了えシフティが
[00:13:21] 操縦するの
[00:13:21] 操縦するの
[00:13:25] えっとはいガイドシグナルまでの操作は私
[00:13:25] えっとはいガイドシグナルまでの操作は私
[00:13:28] の担当です私はそういうことが得意では
[00:13:28] の担当です私はそういうことが得意では
[00:13:30] ないので
[00:13:30] ないので
[00:13:35] へえじゃあシフティは得意なんですね得意
[00:13:35] へえじゃあシフティは得意なんですね得意
[00:13:38] とまではきませんが教育家庭に含まれてい
[00:13:38] とまではきませんが教育家庭に含まれてい
[00:13:42] ましたからコツがあるんですよフライト
[00:13:42] ましたからコツがあるんですよフライト
[00:13:46] シミュレーターと同じ感じですそうなんだ
[00:13:46] シミュレーターと同じ感じですそうなんだ
[00:13:48] あっと
[00:13:48] あっと
[00:13:54] よいしょこうしてはい問題ありません目標
[00:13:54] よいしょこうしてはい問題ありません目標
[00:14:06] 目標到達こちらでも確認しました
[00:14:06] 目標到達こちらでも確認しました
[00:14:09] ハーモニーキューブとの連携を開始ハブ
[00:14:09] ハーモニーキューブとの連携を開始ハブ
[00:14:14] 指定完了演算能力の増幅を確認アーク生成
[00:14:14] 指定完了演算能力の増幅を確認アーク生成
[00:14:46] アークの基礎構造物建造完了Aピラーの
[00:14:46] アークの基礎構造物建造完了Aピラーの
[00:14:49] ステータスオールグリーンハーモニー
[00:14:49] ステータスオールグリーンハーモニー
[00:14:52] キューブと連携し領域を拡張し
[00:14:52] キューブと連携し領域を拡張し
[00:14:56] ますなんなのこれ景色がいきなり変わっ
[00:14:56] ますなんなのこれ景色がいきなり変わっ
[00:15:00] ちゃったけど簡単に言うと擬似的な
[00:15:00] ちゃったけど簡単に言うと擬似的な
[00:15:03] ハーモニーキューブです補助装置とも言え
[00:15:03] ハーモニーキューブです補助装置とも言え
[00:15:06] ますAピラーは打ち込まれた地点を中心と
[00:15:06] ますAピラーは打ち込まれた地点を中心と
[00:15:10] してアークの基礎構造物を建造できます
[00:15:10] してアークの基礎構造物を建造できます
[00:15:14] 今回の基礎構造物の材質はe2クリスタル
[00:15:14] 今回の基礎構造物の材質はe2クリスタル
[00:15:17] に体性がありますからこれで排除すること
[00:15:17] に体性がありますからこれで排除すること
[00:15:21] が可能ですまたハーモニーキューブの演算
[00:15:21] が可能ですまたハーモニーキューブの演算
[00:15:24] 補助機能があり設置数が増えるほど
[00:15:24] 補助機能があり設置数が増えるほど
[00:15:27] ハーモニーキューブの能力が増幅されます
[00:15:27] ハーモニーキューブの能力が増幅されます
[00:15:29] えっと
[00:15:30] えっと
[00:15:31] よくわかんないんだ
[00:15:31] よくわかんないんだ
[00:15:37] けどこんなことあるのな何もない場所から
[00:15:37] けどこんなことあるのな何もない場所から
[00:15:40] ブロックが飛び出してくるなんてありえ
[00:15:40] ブロックが飛び出してくるなんてありえ
[00:15:46] ないわよその通り考えがいことですですが
[00:15:46] ないわよその通り考えがいことですですが
[00:15:51] 目の前で起きたでしょうどどういう原理
[00:15:51] 目の前で起きたでしょうどどういう原理
[00:15:54] 聞いてもわかんないだろうけどトップ
[00:15:54] 聞いてもわかんないだろうけどトップ
[00:15:59] シークレットですえなんでこの一連の家庭
[00:15:59] シークレットですえなんでこの一連の家庭
[00:16:02] があなたの知る物理やエネルギーの法則に
[00:16:02] があなたの知る物理やエネルギーの法則に
[00:16:06] 従っていると思いますかよくわかんない
[00:16:06] 従っていると思いますかよくわかんない
[00:16:11] けど違うと思うこんなの普通じゃないです
[00:16:11] けど違うと思うこんなの普通じゃないです
[00:16:15] からトップシークレットなのです答えに
[00:16:15] からトップシークレットなのです答えに
[00:16:18] なったでしょうか疑問が全く解消されて
[00:16:18] なったでしょうか疑問が全く解消されて
[00:16:20] ないんです
[00:16:20] ないんです
[00:16:22] けどもういい
[00:16:22] けどもういい
[00:16:27] だろうだって気になるでしょ聞いても
[00:16:27] だろうだって気になるでしょ聞いても
[00:16:30] わからないんだろ科学のドキュメンタリー
[00:16:30] わからないんだろ科学のドキュメンタリー
[00:16:34] とかあるでしょ全部は理解できなくても
[00:16:34] とかあるでしょ全部は理解できなくても
[00:16:36] 面白い
[00:16:36] 面白い
[00:16:41] しその足りない頭でよく考えてみろこれの
[00:16:41] しその足りない頭でよく考えてみろこれの
[00:16:44] 原理が誰にでも公開されていて簡単に理解
[00:16:44] 原理が誰にでも公開されていて簡単に理解
[00:16:47] できるようなものだったらとっくにテロに
[00:16:47] できるようなものだったらとっくにテロに
[00:16:50] 使われている
[00:16:50] 使われている
[00:16:55] ああ言葉の通り常識からかけ離れたものだ
[00:16:55] ああ言葉の通り常識からかけ離れたものだ
[00:16:59] そんなものに対応できると思うかそれは
[00:16:59] そんなものに対応できると思うかそれは
[00:17:04] 難しいでしょうねそうトップシークレット
[00:17:04] 難しいでしょうねそうトップシークレット
[00:17:06] とはそういうこと
[00:17:06] とはそういうこと
[00:17:10] だあなたも分からないってだけのこと随分
[00:17:10] だあなたも分からないってだけのこと随分
[00:17:14] 遠回しに言うじゃないああ分からない知る
[00:17:14] 遠回しに言うじゃないああ分からない知る
[00:17:19] 必要もないじゃあ私たちの目的はこれを
[00:17:19] 必要もないじゃあ私たちの目的はこれを
[00:17:22] あちこちに立てていってアークの基礎構造
[00:17:22] あちこちに立てていってアークの基礎構造
[00:17:25] 物でクリスタルを全部潰していくってこと
[00:17:25] 物でクリスタルを全部潰していくってこと
[00:17:30] ですねその通りですなんトゲームみたいで
[00:17:30] ですねその通りですなんトゲームみたいで
[00:17:32] 面白そう
[00:17:32] 面白そう
[00:17:38] する妙です
[00:17:38] する妙です
[00:17:44] ねえ何かありましたかAピラーの設置後
[00:17:44] ねえ何かありましたかAピラーの設置後
[00:17:46] 予想よりハーモニーキューブの演算性能が
[00:17:46] 予想よりハーモニーキューブの演算性能が
[00:17:50] 上昇していませんAピラーはハーモニー
[00:17:50] 上昇していませんAピラーはハーモニー
[00:17:53] キューブの補助演算装置でもあります設置
[00:17:53] キューブの補助演算装置でもあります設置
[00:17:56] するほど演算速度が上昇するはずなのです
[00:17:56] するほど演算速度が上昇するはずなのです
[00:18:02] がえか何か問題がエラーチェックの結果
[00:18:02] がえか何か問題がエラーチェックの結果
[00:18:05] 装置自体に不具合はありませんどこかで
[00:18:05] 装置自体に不具合はありませんどこかで
[00:18:09] 勝手に使われているそうですね機能が
[00:18:09] 勝手に使われているそうですね機能が
[00:18:12] 乗っ取られている可能性があります
[00:18:12] 乗っ取られている可能性があります
[00:18:16] グレイブ探知はできる現時点では手遅れ
[00:18:16] グレイブ探知はできる現時点では手遅れ
[00:18:20] です再度動きがあった時には対応できると
[00:18:20] です再度動きがあった時には対応できると
[00:18:24] 予想します分かりました準備しておきます
[00:18:24] 予想します分かりました準備しておきます
[00:18:30] ぐグレイブっていうピルグリムは強いの
[00:18:30] ぐグレイブっていうピルグリムは強いの
[00:18:34] 強いわどどれ
[00:18:34] 強いわどどれ
[00:18:40] くらいさあよくわからないのまだ全力では
[00:18:40] くらいさあよくわからないのまだ全力では
[00:18:43] 戦ってないからお前がなんとかできたなら
[00:18:43] 戦ってないからお前がなんとかできたなら
[00:18:47] そいつのレベルも察しがつくな大したこと
[00:18:47] そいつのレベルも察しがつくな大したこと
[00:18:51] はなさそうだ甘く見たら痛い目見るわよ
[00:18:51] はなさそうだ甘く見たら痛い目見るわよ
[00:18:55] そうですよラピがレッドフードまで使って
[00:18:55] そうですよラピがレッドフードまで使って
[00:19:02] 張り合いたくて
[00:19:02] 張り合いたくて
[00:19:06] ついどういうことああ
[00:19:06] ついどういうことああ
[00:19:11] えっとそのラピが赤いを被ると強くなるん
[00:19:11] えっとそのラピが赤いを被ると強くなるん
[00:19:15] ですよ大昔に赤いズキをかぶった人たちが
[00:19:15] ですよ大昔に赤いズキをかぶった人たちが
[00:19:21] で大丈夫
[00:19:21] で大丈夫
[00:19:27] よ私たちは知ってるからラピに何が起きた
[00:19:27] よ私たちは知ってるからラピに何が起きた
[00:19:33] とかどんな秘密があるのかも教官からそう
[00:19:33] とかどんな秘密があるのかも教官からそう
[00:19:38] よイングリッドが教えてくれたの私たちは
[00:19:38] よイングリッドが教えてくれたの私たちは
[00:19:42] 知っておくべきだと思うって
[00:19:42] 知っておくべきだと思うって
[00:19:47] 仲間だったからごめん隠したかったわけ
[00:19:47] 仲間だったからごめん隠したかったわけ
[00:19:53] じゃないの謝る必要はないどうせ私たちの
[00:19:53] じゃないの謝る必要はないどうせ私たちの
[00:19:56] ことは仲間だと思ってなかったんだろう腹
[00:19:56] ことは仲間だと思ってなかったんだろう腹
[00:19:59] をわって相談してくれたことなんてあった
[00:19:59] をわって相談してくれたことなんてあった
[00:20:04] かないだろ舞台として行動していた時も
[00:20:04] かないだろ舞台として行動していた時も
[00:20:09] 抜けた時もお前は何も言わなかっただから
[00:20:09] 抜けた時もお前は何も言わなかっただから
[00:20:13] 謝るなお前は私たちに何も期待してなかっ
[00:20:13] 謝るなお前は私たちに何も期待してなかっ
[00:20:18] ただから私たちもお前に期待するのをやめ
[00:20:18] ただから私たちもお前に期待するのをやめ
[00:20:20] たんだうん
[00:20:20] たんだうん
[00:20:37] ぞ変わらないわねラッピー本当に何も言わ
[00:20:37] ぞ変わらないわねラッピー本当に何も言わ
[00:20:40] ずに出ていったんですか離脱する時に
[00:20:40] ずに出ていったんですか離脱する時に
[00:20:44] リセットされたとかじゃないですよね違う
[00:20:44] リセットされたとかじゃないですよね違う
[00:20:52] わほ本当に何もなかったよそう何もなかっ
[00:20:52] わほ本当に何もなかったよそう何もなかっ
[00:20:52] た
[00:20:52] た
[00:20:55] わ何もなかったこと
[00:20:56] わ何もなかったこと
[00:21:09] 昔のことだし蒸し返したくないわほら行き
[00:21:09] 昔のことだし蒸し返したくないわほら行き
[00:21:12] ましょアブソリュートの皆さんに質問が
[00:21:12] ましょアブソリュートの皆さんに質問が
[00:21:13] あり
[00:21:13] あり
[00:21:19] ますえ何なぜここにいるんですか
[00:21:19] ますえ何なぜここにいるんですか
[00:21:24] えちょっとどういう意味を
[00:21:24] えちょっとどういう意味を
[00:21:30] えっと迷惑だったあそういう意味ではなく
[00:21:30] えっと迷惑だったあそういう意味ではなく
[00:21:33] てなぜわざわざアブソリュートがこの作戦
[00:21:33] てなぜわざわざアブソリュートがこの作戦
[00:21:37] にと思ったんですなるほど
[00:21:37] にと思ったんですなるほど
[00:21:40] [音楽]
[00:21:40] [音楽]
[00:21:43] ねピラーAとかなんとかでクリスタルを
[00:21:43] ねピラーAとかなんとかでクリスタルを
[00:21:47] 潰せばいいだけなんですよねAピラーです
[00:21:47] 潰せばいいだけなんですよねAピラーです
[00:21:50] Aピラーとかなんとかでクリスタルを潰せ
[00:21:50] Aピラーとかなんとかでクリスタルを潰せ
[00:21:53] ばいいだけなんですよねアブソルートが出
[00:21:53] ばいいだけなんですよねアブソルートが出
[00:21:56] てくるまでもないような気がしますさらに
[00:21:56] てくるまでもないような気がしますさらに
[00:21:59] 言えばもっとこの作戦に
[00:21:59] 言えばもっとこの作戦に
[00:22:03] 専隊があるはずですどうですノベル顔負け
[00:22:03] 専隊があるはずですどうですノベル顔負け
[00:22:07] の推理でしょう比べる相手のレベルが低
[00:22:07] の推理でしょう比べる相手のレベルが低
[00:22:12] すぎないでも確かにその通りよねあなた
[00:22:12] すぎないでも確かにその通りよねあなた
[00:22:15] たちの得意分野じゃなさそうだし
[00:22:15] たちの得意分野じゃなさそうだし
[00:22:18] クリスタル掃除機みたいなものでも担いで
