# NIKKE 第38章 转录
视频ID: QlRHtXiPc1I
[00:12:06] 。ジーズ、今すぐエヒモス
[00:12:11] をどうしたの
[00:12:14] ?聞こえてるねえ、ジーズ。あ、うん、
[00:12:20] 聞こえてるよ。ベひ探しに行くって
[00:12:24] ちゃんと聞いてた
[00:12:27] 。何どうしたの?
[00:12:30] [音楽]
[00:12:33] え、ジーズ、落ち着いて。分かったからごめんて。よしよし。泣かないで。
[00:12:40] [音楽]
[00:12:47] [音楽]
[00:13:00] 私は久しぶりにレベに会えて嬉しかったの
[00:13:05] にね。レベは私の言うことなんて何も聞い
[00:13:10] てくれなくて怒ってばかでいつもいつも
[00:13:17] レベはベイモスのこと
[00:13:20] ばっかり私だってベビーのこと好きなの
[00:13:28] に私だってあいつらにやられてたんだ
[00:13:33] よもわかんなくて
[00:13:36] なんとかレビーだけで待って頑張ったのなのに怒られるし叩かれるし落ち着いてジーズ泣くのはやめ
[00:13:45] [音楽]
[00:13:55] [音楽]
[00:14:04] [音楽]
[00:14:09] ベヒモスがアークから来たあいつらを
[00:14:11] ノー張りで見つけて戦ったの。私も一緒に
[00:14:15] 行って手伝ったけどボコボコにやられ
[00:14:18] ちゃってベデベヒモスのコアだけにされて
[00:14:23] 卵の中で回復させてた
[00:14:25] ところそいつらが追いかけてきたって
[00:14:30] ことやられたベモス
[00:14:35] がでも次は勝てるベヒモス巨大化できた
[00:14:42] の本当
[00:14:44] うん。すごくかっこよかったの。さっきの奴ら見たでしょ?あいつらも大慌てでさ。わあ。
[00:14:56] 初めてだったから制御しきれなくて負けちゃったけど次は絶対に勝てる。今度はあんたもいるし。うん。私も役に立つよ。うん。
[00:15:07] [音楽]
[00:15:11] で、メヒモスは今すごくお腹が減ってるの
[00:15:15] 。だからたくさん食べさせないと。
[00:15:19] とりあえず私を食べさせておいたけど、
[00:15:23] まだまだ足りないの。今度は私とあんたで
[00:15:27] ベヒモスを助けよう。どうやってもっと私
[00:15:32] を食べさせる。
[00:15:34] え、じゃあデビはどうなっちゃうの?死んじゃうんじゃない?また生き返らせてくれたらいいでしょ。あんたと非もして。
[00:15:48] できないかもしれないし。死んじゃったらどうするの?
[00:15:54] 死なないって。
[00:16:02] 私はビーかベモスのどっちか1
[00:16:03] 人でも死んじゃったら一緒に死ぬから。何言ってんの?私やだ。死にたくない。レビーもベヒモスもバハムートも死んじゃうなんて嫌。私も死にたくない。だから私頑張りよ。取り返してくる。うまくいったら褒めてね。いい。
[00:16:09] [音楽]
[00:16:21] [音楽]
[00:16:27] うん、分かった。そういえばレビーは食べさせなくていいかも。え、へ、レビー、私が何をしてたか気にならない?
[00:16:31] [音楽]
[00:16:43] 珍しいものを探し回ってたはずでしょ。タイラント級のコアとか新しい素材とか。
[00:16:51] うん。そう、そう。それで最近すごく
[00:16:55] 珍しいものを見つけたの。地面の深い
[00:16:58] ところに終わってたけど拾ってきたんだ。
[00:17:02] うん。誰の力も借りないで私の力で。それ
[00:17:08] を見せたくて急いできたんだよ。ベヒモス
[00:17:11] に食べさせたらすぐに復活できるかも。
[00:17:15] ジズ探し物の才能はあるもんね。
[00:17:20] で、何を見つけてきたの?じゃ、ちょっと待ってて。何これ?人間もき?
[00:17:35] うん。そうだよ。
[00:17:38] ただの頭がない人間もきじゃん。
[00:17:42] 何か珍しいわけがあるの?
[00:17:46] この子ね、コアが2つあるの
[00:17:49] は?コアが2
[00:17:51] つある人間もきだよ。すごく珍しいでしょね。ね。待って。よく見たらこの格好いじゃん。
[00:17:56] [音楽]
[00:17:58] [拍手]
[00:17:59] [音楽]
[00:18:08] あいつ誰?知り合い?ラッピー?ラッピー
[00:18:13] のボディだよ、これ
[00:18:23] 。そうですね。水溜まりというには大きい
[00:18:27] ですが、建物1つほどなら余裕を持って
[00:18:31] 収まりそうです
[00:18:34] 。少なくともダークマターとは異なる何か
[00:18:38] に違いありません。あるいはダークマター
[00:18:42] が変化したものかもしれません
[00:18:45] 。先ほどドレイクがアトラスパターン性の
[00:18:49] 容器に確保しています。期間の際アーク内
[00:18:52] を持ち込むことにリスクがないか確認し
[00:18:55] ましょう
[00:18:57] 。当然です。まだ何も判明していません。
[00:19:02] ダークマターと似た年を持つ液体。分かっ
[00:19:05] ていることはそれだけです。触れた瞬間に
[00:19:09] 内臓が破裂したり、体が発火する可能性も
[00:19:12] ないとは言えません。ご自分の身体能力を
[00:19:16] 過信しすぎないでください。代償のない力
[00:19:19] などありません
[00:19:22] 。ですので私が直接触って確認します。
[00:19:27] 正直なところ先ほどから気になって仕方が
[00:19:30] ありませんでした
[00:19:33] 。
[00:19:34] 単なる水銀ということもあるかもしれません。あるいは発行のプランクトンという可能性も。私は指揮感より強いですから代償の分からない力でもありません。
[00:19:43] [音楽]
[00:19:53] バードボーイラピラプチャーだ。
[00:19:54] [音楽]
[00:20:02] お風呂にでも入っていたのか。黒は大事だからな。
[00:20:04] [音楽]
[00:20:07] 落ちて上がってきただけ。適当なことを言わないで。特に異常なく機能しているようです。
[00:20:08] [音楽]
[00:20:16] [音楽]
[00:20:18] やはりそれほど危険な液体では官、ラプチャーを見てください。
[00:21:00] あ
[00:21:05] 、今のは何だ?溶けた。
[00:21:09] いや、溶けたにしてはあまりにも。
[00:21:17] あ、早く出して。
[00:21:20] 私に命令するな。
[00:21:22] いいから早く。
[00:21:31] うわ、なんだこれは。怖い。はあ。
[00:21:39] [音楽]
[00:21:43] まずい。ドレイク落ちけ。靴の先に一滴かかっただけだ。
[00:21:50] 黄色
[00:21:51] 切る必要はないわ。
[00:21:53] 何?違ったのか?
[00:21:56] 違わないと思う。
[00:21:58] 早く靴を脱いで。
[00:22:01] 大切にしている靴だぞ。
[00:22:03] 終園が買ってくれたからとか勇気かかった方だけでいいから脱いで。
[00:22:08] 裸は嫌だ。
[00:22:10] ならラプラス切って。黄色スライス
[00:22:14] 脱いだぞ。
[00:22:19] き貴様。私の靴は臭くないぞ。そこまで避ける必要はないだろう。
[00:22:27] 切られた方が良かったかしら。
[00:22:31] しきがかかった程度で大げだ。あ、足を切った方がいいな。
[00:22:41] [音楽]
[00:22:43] ヒーロースライス。ヒーロー出力が低下しているのを忘れていた。ひ、ヒーローの力とはこの程度か。
[00:22:49] [音楽]
[00:22:58] すまらんな。
[00:23:00] 別の場所でやってもらえる?
[00:23:02] これ触ったものをあの銀色な液体にしちゃうみたいね。物体を銀の期待に強制的に変換した。ラプチャーどころかトラスパターンまで。そんなことがこんな短でできるなんて。
[00:23:19] 靴にかかったのは一滴だけだったわ。物質の量は関係ないのかもしれない。
[00:23:31] あちこちにある銀の液溜まりですが、
[00:23:34] おそらく本来は何らかの建築物があった
[00:23:37] 場所だと思われます。木星の柱が数本だけ
[00:23:41] 残っていました。おそらく間違いありませ
[00:23:45] ん。あの液体が触れて建築物がほぼ全て
[00:23:49] 液体化した痕跡でしょう。幸い自然のもの
[00:23:54] には影響がないようです。の植物や樹目、
[00:23:58] それから木星の柱にも異常は見られません
[00:24:02] 。人工物がある場所を避けて移動するべき
[00:24:05] かと。レビアタンはダークマターに手を
[00:24:08] 加えると妖怪液みたいなものになるって
[00:24:11] 言ってたよね。これと混ぜたんじゃない。
[00:24:15] ここに来る前にダークマターと銀色の水が
[00:24:18] 混ざってる場所があったでしょう
[00:24:23] 。あの木が答えになればいいのですが。
[00:24:35] 指揮官、何かお考えですか?直系に人泡かせたいとは何度も聞いていますね。口ぶりや気迫からはかなり恨んでいるようだと感じました。
[00:24:38] [音楽]
[00:24:56] 顎か顔面に一撃を食らわせるのでは
[00:24:59] [音楽]
[00:25:10] ?少々手が込みすぎていますね
[00:25:15] [音楽]
[00:25:16] 。クリスタルを利用してエネルギーを集め
[00:25:20] 、それでハーモニーキューブを稼働させる
[00:25:23] 。それを利用してアークに似た何かを作る
[00:25:27] 。さらにダークマターと銀色の液体の妖怪
[00:25:31] 液で新種のラプチャーを想像する。妖怪液
[00:25:36] には溶かしたものの情報がそのまま残ると
[00:25:39] も言っていました。以前に発見した卵の
[00:25:42] 集団やタイラン級に匹敵するブラック
[00:25:45] スネーク。それらを考えれば
[00:25:48] フォービーストは優れたものを選んで
[00:25:51] 生み出す方法を知っている
[00:25:53] [音楽]
[00:26:00] 。可能性は大いにありそうです。物資の
[00:26:04] 運搬に向いた能力のようでした。高能力を
[00:26:08] 保ったままダークマターを倉庫のように
[00:26:11] 利用していましたのでレビアタンが
[00:26:13] シンデレラを素材にしようとしていたと
[00:26:15] いう話とも辻妻が合います。最初の
[00:26:19] ヘレティックであれば素材として申し分
[00:26:22] ないでしょう。
[00:26:29] [音楽]
[00:26:32] いえ、それ以上のものを目指すかと。フーストにとって使える時間は無限に近いはず。フォビーストは絶対に確実なの方法に向けて動いていると。
[00:26:35] [音楽]
[00:26:52] [音楽]
[00:27:01] やはりヘレティックの想像ではない
[00:27:04] でしょうか。無数のヘレティックを
[00:27:06] 作り出すことができればいくら直系だとし
[00:27:09] て
[00:27:11] [音楽]
[00:27:14] もヘレティックを作り出すよりもさらに
[00:27:18] 確実に復讐できる方法。テレティック以上
[00:27:21] の何か
[00:27:23] 。あ
[00:27:25] 、クイーン。
[00:27:31] 仮にフォービーストがクイーンを生み出す
[00:27:33] 方法にたどり着いたなら、それ以上に確実
[00:27:37] な復讐の手段はないかと思います。
[00:27:40] そもそも直系という呼び方自体生まれに
[00:27:43] 対する反発が見られますからフォースだけ
[00:27:47] のクイーンを
[00:27:49] 作りを構築し今あるラプチャーの勢力を
[00:27:53] 打ち砕く復讐の形としても実に完璧
[00:27:58] [音楽]
[00:28:09] です。
[00:28:15] [音楽]
[00:28:24] 帰りましょう。あのアニス、もう3
[00:28:26] 日目ですよ。7時5
[00:28:31] 分までこのお店の前で待って何もせずに帰る。それがもう
[00:28:32] 3
[00:28:32] 日です。そんなに立ってた。一体どういうつもりですか?いよ。
[00:28:40] そのごめん。肉屋に来たら肉を買うべきで
[00:28:45] わ。試食用の肉の焼ける匂いで頭がどうに
[00:28:49] かなりそうです。怒るとこ
[00:28:52] そこそもそもメッセージは伝わったん
[00:28:56] でしょうか。うーん
[00:29:01] 。久しぶり。元気?私たちが初めて泣いた
[00:29:08] あの時。
[00:29:09] あの場所で待ってるわ。絶対に来てね。待ってるから。
[00:29:14] [音楽]
[00:29:17] どう見てもこれダイイングメッセージですよ。
[00:29:20] ダイングメッセージって何か知ってる?
[00:29:24] とにかく言いたいことがきちんと伝わっていない気がします。
[00:29:28] 見たなら伝わってるはずよ。見てなかったらちょっとあれだけど多くの人には見られていないでしょうね。
[00:29:31] [音楽]
[00:29:38] そうだけどこういう話って階段みたいに広がっていくものだから
[00:29:43] アニスだと知っている人がいたら勝手な憶測を広める人も出るので
[00:29:49] どうせ地上探索絡みのニュースで顔は割れてるわよ。
[00:29:51] [音楽]
[00:29:53] ああ、そうでした。
[00:29:55] あ、興味を持つ人はいるはずよ。ほんの少しだろうけど。
[00:29:57] [音楽]
[00:30:02] ニュースで見る顔がこんな怪しい放送して
[00:30:05] たら勝手な噂を出るやつも出て当然でしょ
[00:30:08] 。どんな悪口になるかしらね。好き放題
[00:30:13] 言えばいいわ。私は聞かなきゃいいだけだ
[00:30:15] し。何を言ってようと私が知らなきゃお
[00:30:19] 仲間同士の妄想だもの。ずっとそうやって
[00:30:23] 生きてなさい
[00:30:24] 。
[00:30:25] 私が見てないところで勝手に盛り上がってればいいわん。
[00:30:31] 見られてるって勘違いしてるんでしょうね。私が当然エさしてると思って。それでなんで自分たちの言うことを聞かないんだとか怒り出してさ。何言ってんだか。見てもいいないんだから知ったことじゃないでしょ。アニス。あ。
[00:30:33] [音楽]
[00:30:55] ごめん。ちょっと話が飛んじゃったわね。
[00:31:00] 大丈夫ですか?妙な汗が。あ、大丈夫だから心配しないで。だめね。急に調子が悪くなっちゃった。ここのお肉食べとく。行っとくけど、そんなに美味しくないわよ。
[00:31:08] [音楽]
[00:31:20] [音楽]
[00:31:24] でもコスパがいいからよく通ってアニス久しぶりね。元気だった。マスクをつけた不審者。目を合わせず会話も避けてください。怪しい宗教団体かマルチ商法の勧誘に違いありません。
[00:31:26] [音楽]
[00:31:47] ミントうん。来てくれたのね。
[00:31:53] アニスに呼ばれたんだもの。ところでそちらは
[00:31:57] 私ですか?私はですね。仲間よ。ネオン。舞台の仲間。
[00:32:04] [音楽]
[00:32:07] ど、どうしたの?
[00:32:09] びっくりです。アニスに仲間だと思われていたなんて。
[00:32:15] あのね、あえて嬉しいわ。ネオンミントよ。
[00:32:20] アニスとは昔の仕事仲間ね。
[00:32:23] [音楽]
[00:32:25] ということはアイドルですか?ええ、アイドルだったわ。
[00:32:33] 私も慣れるでしょうか?
[00:32:36] もちろんよ。アイドルには誰だってなれるわ。
[00:32:40] 最高です。デビュー計画を立てないと
[00:32:44] 忙しいんじゃない?
[00:32:45] [音楽]
[00:32:47] まあそれなりよ。
[00:32:48] じゃあちょっと話せる。そのために呼んだんでしょ。場所を変えましょうか。トレーニングルームが近くにあるの。
[00:32:55] [音楽]
[00:33:00] クリコは
[00:33:02] 練習相変わらずでしょ。
[00:33:06] 相変わらずね。
[00:33:08] え、変わってないわ。アニスも相変わらず。
[00:33:09] [音楽]
[00:33:12] おう。
[00:33:14] [音楽]
[00:33:17] そう、
[00:33:19] [音楽]
[00:33:25] 引退ライブだな。やるんだ?
[00:33:29] えっと、さあ、準備ができたらいつでも
[00:33:34] [音楽]
[00:33:37] なら早いほどいい。3
[00:33:39] 日後にしよう。3日後早すぎない?
[00:33:43] Bマイスターをやる。それならいいだろ。
[00:33:44] [音楽]
[00:33:47] 私たちの最後の曲ね。
[00:33:52] アニスも歌と振り付けは全部覚えてるだろう。合わせるところも全部。
[00:33:54] [音楽]
[00:33:58] ううん。もう忘れちゃった。
[00:34:02] 本当に
[00:34:03] 覚えてるわ。でも自信ないし。
[00:34:09] 心配するな。体が覚えてる。半日も練習すれば昔の勘を取り戻せるさ。
[00:34:12] [音楽]
[00:34:16] ミント、ステージは用意できるか?
[00:34:19] え、任せて。
[00:34:22] 隣のネオンだったか。お前も一緒に出るのか?
[00:34:23] [音楽]
[00:34:28] おほ、いいんですか?
[00:34:31] 歌詞と振り付けが頭に入ってるなら。
[00:34:34] ではダめですね。マネージャー業に専念させてもらいます。
[00:34:40] ならそうしてくれ。
[00:34:42] アニス、今から練習できるか?
[00:34:45] え?今から?
[00:34:48] ああ、早ければ早い方がいいだろ。
[00:34:52] その今はちょっと
[00:34:56] なんでだ?マネージャーが見てるから恥ずかしがってるのか?
[00:34:58] [音楽]
[00:35:01] 最近まで話してなかったのよ。私がアイドルだったってこと。
[00:35:06] [音楽]
[00:35:07] 恥ずかしいのか?アイドルだったことが。
[00:35:11] そうじゃなくて。
[00:35:14] うん。ごめん。話に乗ってもらってるのに自分の事情ばっかり押し付けて練習やるわ。
[00:35:16] [音楽]
[00:35:22] [音楽]
[00:35:25] おお。では私は橋の方で静かに見学させてもらいますね。
[00:35:31] 先に言っとくけど笑わないでよね。
[00:35:34] そんなことはしません。アニスが頑張っている時に私が笑うはずないでしょ。
[00:35:35] [音楽]
[00:35:41] おお、
[00:35:42] ミント、お前も一緒にやるだろ?そうね。合わせるのは久しぶりね。ワクワクするわ。そ、そう。あう。うまくできるかしら。
[00:35:58] 言っただろ。やってるうちに体が思い出すぞ。始めよう。その方が早く終わる。
[00:36:02] [音楽]
[00:36:14] 疲れた。トリカはどこ行ったの?休憩もし
[00:36:19] ないで。シャワーでしょうね。練習したら
[00:36:23] シャワー。いつもそうだから練習中でも見
[00:36:27] た目に気を使わないとダめらしいわ。本当
[00:36:32] 相変わらずね。もっとひどくなってるかも
[00:36:35] 。
[00:36:37] かもしれないわね。アクセサリーの仕事うまくいってるの?
[00:36:43] ええ、順調みたいよ。アイドルをしてた時よりうまくいってるかもしれないわね。
[00:36:49] それでも練習はやめてなかったのね。
[00:36:52] [音楽]
[00:36:53] ええ、つでも戻れるようにね。
[00:36:57] あ、た、何、その私どうだった?練習した感じ良かったと思うわよ。やっぱり体は覚えてるみたいね。大したものだわ。
[00:36:59] [音楽]
[00:37:12] [音楽]
[00:37:16] そ、そう。まあ、確かに思ったより動けたから自分でも驚いてるわ。うん。
[00:37:19] [音楽]
[00:37:26] ネオ、どうしたの?さっきから静かだけど。アニス本当にアイドルだったんですね。
[00:37:31] [音楽]
[00:37:37] そう言ったでしょ。いきなり練習の流れになったから聞くタイミングを逃しちゃってたけど元気だった?ええ、元気だったわ。あ、この間耳アルバムもリースしたのよ。
[00:37:49] [音楽]
[00:37:54] うん。聞いた。
[00:37:55] 良かったわ。
[00:37:57] あら、本当?あれ?私とプリカが自ヒれ出したのよ。
[00:38:02] 知ってる。出たものは全部買ってるし。グッズとかトリカが作ってるアクセサリーとか。会いたいってもっと早く行ってくれればよかったのに。
[00:38:13] [音楽]
[00:38:21] できるわけないでしょ。
[00:38:27] 手はどうしたの
[00:38:31] ?なかなか上達しないものね。料理って。
[00:38:36] 料理番組に出してもらえるようになって、
[00:38:39] もう何年も経つのにまた包丁で怪我し
[00:38:43] ちゃったの。あれ?包丁で怪我ができるん
[00:38:47] ですか?ガッテシアムソードか何かで料理
[00:38:50] されてます
[00:38:51] ?そうじゃないわ。
[00:38:54] 私たち普段は1番人間に近いボディを使っ
[00:38:58] ているの。ちょっと怪我をしたからって
[00:39:01] すぐに取り替えたりもしないのよ。怪我や
[00:39:05] を直すのに時間をかけるのが大事なの。
[00:39:09] リアリティのためにね。複雑な業界ですね
[00:39:13] 。そうね。
[00:39:17] [音楽]
[00:39:23] でもなんで料理番組なの?興味あったっけ?料理は買って食べるのが
[00:39:24] 1番よ。
[00:39:26] やっぱり雰囲気が料理番組に合ってるんですって。ビジュアル的な話ね。確かにそうですね。イメージがパッと浮かんできます。
[00:39:29] [音楽]
[00:39:40] ありがとう。それで頑張ってるのよ。反応も悪くないし。
[00:39:46] 今じゃみんなから料理が本業だと思われてるみたいでね。昔はアイドルだったんですって言ったら嘘をつくのですって。
[00:39:49] [音楽]
[00:40:01] トリカはアクセサリー作り以外に何かしてないの?テレビ出演とか
[00:40:07] してないわね。時間のある時はいつもトレーニングルームで練習してばっかりよ。
[00:40:14] 今でもアイドルは歌とダンスだけで勝負
[00:40:18] するものだって思ってるみたい。
[00:40:20] キャラクターとかを気にするのは実力に
[00:40:23] 自信のない子がやることだって。歌と
[00:40:27] ダンスがうまければそういうのは後から
[00:40:30] ついてくるものらしいわ。もうそんな時代
[00:40:34] じゃないと思うけど。プリも分かってるわ
[00:40:38] 。だからこそ向きになってる部分もあるん
[00:40:41] じゃないかしら。
[00:40:43] 自分を貫くって素敵じゃない?ごめん。その話はなしよ。約束したでしょ?
