# NIKKE 第23章 转录
视频ID: XorqH_pRkuA
[00:04:27] くださいどうしたこんにちはドロシー
[00:04:34] です
[00:04:35] ピルグリム
[00:04:37] はい本当に来たのか
[00:04:41] あら本気ではなかったのですか
[00:04:45] えいやそうじゃ
[00:04:47] ない兵力をそちらに送ろうそこで待機して
[00:04:52] くれ私が行きます
[00:04:55] よアークの見物もしたいですし差し上げ
[00:05:00] たいプレゼントもあるのでガイドをつけて
[00:05:03] いただけると助かりますそそうかえ
[00:05:08] エニック13ブリーフィングルームに案内
[00:05:11] してくれはい
[00:05:14] エニック座標を私とミランダに送って
[00:05:17] くださいよんわかりました
[00:05:21] おお案内は私とミランダがしますよわ
[00:05:26] 私たちがですかあなたたちは
[00:05:30] acuですアークの警察です
[00:05:34] よそうです
[00:05:36] かでは案内をお願いできますかはいお任せ
[00:05:43] くださいよんあのでもヘレティックはどう
[00:05:47] やって持っていきますか
[00:05:51] う私たちが運ぶには大きすぎます
[00:05:55] ね私が持っていきます
[00:06:00] ですかありがとうございますありがとう
[00:06:03] ございますではすぐに出発します
[00:06:10] よ志官あとは私たちがやりますから心配
[00:06:15] いりません
[00:06:19] よではまた会い
[00:06:26] ましょう大丈夫でしょうそのあればに行動
[00:06:31] を起こしていたはずですからそれにacu
[00:06:35] はアークの貢献力ドロシーがもし彼女たち
[00:06:39] に手を出せばアーク全体が動くことになり
[00:06:42] ますですからポリは違法人の案内役を買っ
[00:06:46] て出たのでしょう
[00:06:48] えっとミランダはちょっと心配だけどポリ
[00:06:52] はしっかりしてるから問題ないはずよはい
[00:06:56] お2人とも強いですから
[00:07:04] アークの天井の一時補修はほぼ完了しまし
[00:07:08] たアブソルート部隊とメティス部隊を主軸
[00:07:12] とした2部隊が依然として地上で戦闘中
[00:07:18] 追加兵力を地上に送ったのでこれ以上
[00:07:22] ラプチャーが増えることはないものと判断
[00:07:24] されますただしまだアーク内部にの
[00:07:29] ラプチャーが残存していますすごい数の
[00:07:33] ラプチャーが来てたんです
[00:07:35] ね死亡した及び人間はいません作戦は全て
[00:07:43] 順調まもなく肩がつき
[00:07:48] ますその通り
[00:07:51] ですあなたが合流したとしても進捗に
[00:07:55] さほど影響はないでしょう揮官様
[00:07:59] 追いかける
[00:08:07] つもりラプチャー侵略時私の神経が別の
[00:08:12] 場所に向けられた時を狙ってエキゾチック
[00:08:17] 部隊は私の監視毛から外れました現在行方
[00:08:22] が分からない状態
[00:08:25] です現在ミシリ本社に
[00:08:30] エリシオンとテトラのCEOも一緒です
[00:08:34] ミリス本社はアークで安全な場所の1つ
[00:08:38] です
[00:08:45] からラジャ移動します各CEOに関連映像
[00:08:51] を転送しますこれより私はアーク内部の
[00:08:56] ラプチャー監視作業に戻りますつまりこれ
[00:09:01] 以上のサポートはできませんよろしいです
[00:09:06] か
[00:09:14] [音楽]
[00:09:19] はいでは今のお前の話をまとめるとアーク
[00:09:24] の天井に穴がきラプチャーが攻めてきたの
[00:09:28] は
[00:09:29] の仕ということ
[00:09:33] かエニックからの映像は確認したしかし
[00:09:38] あれだけでは判断材料にかける新相はあり
[00:09:42] ますが決定的な証拠がないですね
[00:09:46] エキゾチックの行動には一貫性がありませ
[00:09:49] んよクローは掘用ボムを買ってまた
[00:09:55] ブラックネットに登録しただけバイパーは
[00:09:58] いつものにに情報を提供しただけですね
[00:10:03] ジャッカルはエレベーターの固定装置をバ
[00:10:07] としてカットしただけです
[00:10:11] よとてもシンプルに確認する方法があり
[00:10:16] ますそうだノースキャンをすれば簡単に
[00:10:20] 解決するそれにディープスキャンを使えば
[00:10:25] その意まで把握できるそうすれば
[00:10:27] エキゾチックとこの事件の関性が明らかに
[00:10:31] なるなんでそこまでする必要があるの状況
[00:10:36] から見てほぼ確定じゃない簡単に解決
[00:10:40] できるのになんでわざわざそんな面倒な
[00:10:43] ことしなくちゃいけないの
[00:10:48] [音楽]
[00:10:49] よちょっと何
[00:10:52] よ何すんの話しなさい
[00:11:01] 決まってるでしょうこいつらの頭を
[00:11:04] 吹き飛ばすなだアに穴を開けたのよ頭が
[00:11:09] おかしいにも程がある
[00:11:14] でしょニのためとか言って今度は
[00:11:18] テロリストまでか
[00:11:34] [音楽]
[00:11:36] こいつ地上に行って頭がおかしくなったん
[00:11:39] じゃない
[00:11:40] のいくら気に入らないからってこんな状況
[00:11:44] でそんなことするように見える
[00:11:48] [音楽]
[00:11:51] ねえ話し
[00:11:53] なさいやめるんだこの事件の犯人は必ず
[00:11:58] 突き止め
[00:12:01] 何が問題なのよ市民はみんな避難したしく
[00:12:07] にやってきたラプチャーは被害が出る前に
[00:12:10] 全滅させるんでしょうヘレティックだか
[00:12:13] なんだかってのも襲ってきたらしいけど
[00:12:16] ピルグリムが来て倒したんでしょ何の問題
[00:12:20] もないのに犯人を突き止めることがそんな
[00:12:23] に大事罪を犯したなら償わないと
[00:12:29] エキゾチックの奴らは処分されて当然よ
[00:12:33] そう簡単に終わる話じゃないEHがこの
[00:12:38] 事件の犯人としてあげられているEHは
[00:12:42] エンターヘブンのリーダーエンターヘブン
[00:12:45] はアウターリムのテロ組織だこれが何を
[00:12:49] 意味するのか分からないのか知らないわ
[00:12:53] どうでもいい
[00:12:55] 中府アウターをする
[00:12:59] に入れたという意味ですアークに穴を開け
[00:13:03] た前代未のテロです少しでも関係があると
[00:13:07] 判断すればためらわない
[00:13:10] でしょうドバ福司令官がすでに動いている
[00:13:14] そうです彼はアウターリムを憎んでいます
[00:13:18] よこのチャンスを逃さないはずです
[00:13:23] エキゾチックを捕獲しなければなりません
[00:13:27] そうしなければアウターリムは血の海に
[00:13:30] なる
[00:13:31] でしょうだからアウターリムの奴らなんか
[00:13:34] どうなっても私には関係ないってば
[00:13:39] [音楽]
[00:13:41] ふこれはパーソナルフォーンですよねそう
[00:13:46] だ
[00:13:50] けどバカじゃないの何してんのよ
[00:13:54] [音楽]
[00:13:56] あー最近トレーニングを
[00:13:59] にしているのでパワーの調整ができません
[00:14:02] でし
[00:14:03] た
[00:14:05] お前
[00:14:07] コンダエキゾチックの追跡を任せます我々
[00:14:12] もサポートしてやりたいがアークにやって
[00:14:15] きたラプチャーの数が多い全ての戦力を
[00:14:18] そこに注いでいるお前に手を貸すのは厳し
[00:14:22] そう
[00:14:22] [音楽]
[00:14:24] だそのわりエクスター隊とギを待させて
[00:14:32] おこうではミーはマイクインたちを動かし
[00:14:36] てみましょうかアンダーワールド
[00:14:40] クイーンドバンとのトラブルのせいで謹慎
[00:14:43] 中で
[00:14:45] はマイクイーンたちはそんなことに囚われ
[00:14:48] ませんよもちろんミーもそうですが何を
[00:14:53] するつもりだドバの邪魔をするのです
[00:14:59] を集ているそうですねそれを少し邪魔して
[00:15:03] みようと思い
[00:15:04] ます内でもおこす君
[00:15:07] [音楽]
[00:15:09] ノーミの目的はあくまでも誰もハートし
[00:15:13] ないこと
[00:15:14] ですですからぜ小さなファイトぐらい
[00:15:19] でしょうそうかお前ならうまくやれる
[00:15:22] だろうどこからエゾチックを追跡
[00:15:27] するそうかいい判断だでは各自動くと
[00:15:33] しよう
[00:15:39] グラッ
[00:15:42] うんアンダーソンは今治療中
[00:15:46] だ命に別状はないだが動けるほど軽くも
[00:15:52] なくてね彼は今回いないものとして考えろ
[00:15:57] 詳細は後日説明する
[00:15:59] [音楽]
[00:16:03] 頼んだぞ
[00:16:06] [音楽]
[00:16:12] いや
[00:16:14] くそくそくそ
[00:16:18] くそゴミみたいな鉄くず
[00:16:21] だめミリスにはう気あんなに手間をかけて
[00:16:26] メティスをヒーローにしたのに
[00:16:32] ミリスの信頼を崩すわけにはいかない絶対
[00:16:36] におい携帯ははいこちらによし
[00:16:45] なさいばっかみたい携帯なんて新しいのを
[00:16:50] 用意すればいいだけな
[00:16:53] の何よこれどうなってんの
[00:17:00] ミシリ専用回線が繋がりませんは全部復活
[00:17:05] したんじゃなかったの先ほどミシリの
[00:17:09] メインハブが壊れたようです修理には時間
[00:17:13] がかかるためしばらくミシリ専用回線は
[00:17:16] 使えませんなんともなかったハブがなんで
[00:17:20] 壊れんのよはがどとか言っていたような気
[00:17:24] がしますなんでそんなことになってんのよ
[00:17:29] さあ私もそこまでは本当
[00:17:36] 最悪おいお前らはい
[00:17:41] ああエキゾチックを捕まえてきなさい何が
[00:17:46] あってもあいつらより先に見つけたらどう
[00:17:50] しますか殺し
[00:17:53] て鉄用リミットを解除しておくから見つけ
[00:17:58] て殺ししなさいわかったわねはい
[00:18:04] あ言って何か見つけたらすぐ連絡すること
[00:18:10] 専用回線がつながりませんがどうし
[00:18:13] ましょう専用回線を使ってるのは東部の
[00:18:17] 破壊時だけあとはエリシオンとテトラのを
[00:18:21] 混ぜて使ってるから問題ないわだから何か
[00:18:25] あったら連絡してかり
[00:18:29] [音楽]
[00:18:38] あれ師匠防壁が空いてます
[00:18:44] よなんで開いてるのお偉いさんの許可が
[00:18:48] ないと開けられないんじゃなかったそれも
[00:18:52] そうですがとっても静かですねアウター
[00:18:57] リムの人たちはずっとアークに来たがって
[00:19:00] たじゃないです
[00:19:01] かそれなのに誰もいませんよすごく静だ
[00:19:09] し指揮官どんな理由であろうと防壁が空い
[00:19:14] ているということはラプチャーがアウター
[00:19:17] リムの中へ入った可能性もあるという意味
[00:19:20] ですそのせいでこんなに静かなのかもね
[00:19:24] アウターリムにはシェルターとかないはず
[00:19:27] だから
[00:19:31] はい
[00:19:34] お
[00:19:36] お
[00:19:38] おどうやら近くにどうしても弟が欲しい方
[00:19:43] がいるみたいです
[00:19:46] ねおい弟ここだ
[00:19:52] モランちょっと助けてくれここに
[00:19:54] ラプチャーが
[00:19:59] [音楽]
[00:20:06] 大変なことになるところだった
[00:20:08] ぜまさか急にラプチャーと遭遇するとは
[00:20:16] な知ってるか誰のせいでアークに穴が開い
[00:20:21] てラプチャーが攻め込んできたの
[00:20:26] か聞いて驚くなよエゾチックの奴らが
[00:20:31] んなんで知ってん
[00:20:35] だああマスタングが話したんだなそれなら
[00:20:40] 話は早い俺あいつらを捕まえに来たんだ
[00:20:45] エゾチックはアウターリムと関係がある
[00:20:47] からまずはここを探ろうと思ってたんだが
[00:20:51] ちょうど良かった1人だと少し不安だった
[00:20:55] けど弟と仲間たちが一緒なら頼もしいぜ誰
[00:21:00] かが防壁を開けたせいでラプチャーが
[00:21:03] うじゃうじゃしてんださすがに1人だと
[00:21:06] きつくてさラプチャーの相手は専門でも
[00:21:09] ないしさとロザンナは知らねえなんか牽制
[00:21:16] がどうとか言ってたけど俺には詳しく教え
[00:21:19] てくれなくてよあいつらさいっつも2人
[00:21:24] だけで話して俺には何にも教えてくれねえ
[00:21:27] んだよタリムの皆さんはご無事ですかああ
[00:21:33] ラプチャー襲撃を知らせる放送はアーク
[00:21:35] 全域に流れたからアウターリムでも遅れず
[00:21:38] に対応できたんだ今はアウターリムで一番
[00:21:42] 安全な場所に隠れてるぞエキゾチックに
[00:21:45] ついて何か分かったことはある避難
[00:21:48] キャンプを歩き回って情報を集めてるが
[00:21:52] それらしいものはまだエンターヘブンの
[00:21:56] 本拠地が分かればなんとかなりそうだけど
[00:21:58] なエチックのやらエンターヘブンの本拠地
[00:22:02] によく出入りしてたからでもその本地よく
[00:22:07] 移動するから現在地がわかんなくて
[00:22:14] よ多分な今回のテロに関する何かがあるか
[00:22:19] もしれないしうまくいけばエキゾチックの
[00:22:22] 奴らが見つかるか
[00:22:26] もよしそれじゃ避難キャンプから行って
[00:22:30] みようエンターヘブンの関係者がいるかも
[00:22:33] しれ
[00:22:40] ねひどいです
[00:22:43] ねただ枠組だけ用意しましたって感じね1
[00:22:48] 匹でもラプチャーが来たらすぐやられ
[00:22:50] ちゃいそう来る前に逃げちまえばいいそこ
[00:22:55] は心配いらねこれで心するなっのが無理な
[00:22:59] 話でしょう
[00:23:01] おいここのリーダーは誰だ俺だお前は俺だ
[00:23:08] よ
[00:23:09] あモランの
[00:23:12] 姉貴お前ここにいたのかはい
[00:23:17] ま仕方ないですよここはまだマシな方です
[00:23:21] から息子と弟はここにはいませんによって
[00:23:28] 外出中に攻め込まれて大丈夫なのか分かり
[00:23:33] ませんが無事を祈ってますいつも通りただ
[00:23:38] 祈るだけですそう
[00:23:40] かでもEHも今回はちょっとやりすぎじゃ
[00:23:45] ないですかいつもみたいに予告だけとか
[00:23:48] 施設だけを壊すとかにしてくれない
[00:23:51] とまさか悪に穴を開けるなんて人殺しはし
[00:23:56] ないって言ってたのに
[00:23:59] こんなことするなんて信じられませんそれ
[00:24:02] に自爆だなんて無責任にも程があるおい
[00:24:07] それは違うぞ何が違うんですかあいつの
[00:24:11] せいでここに追い込まれていつ死ぬことに
[00:24:15] なるかも分からないのにラプチャーもそう
[00:24:17] ですが中央政府がいつ俺たちを片付けに
[00:24:21] 来るかイはアウターリムの人間ですからね
[00:24:25] 中央政府にとっては絶好の機会ですよね
[00:24:29] 俺たちみたいな邪魔者を片付ける最高の
[00:24:32] 口実ができたんですからだから違うってだ
[00:24:37] から何が違うって言うんですかそれ
[00:24:46] は
[00:24:48] 犯人なんだよ
[00:24:50] あんた軍人か軍人がどうしてここに
[00:24:58] 俺たちは何も知りませんアクテルはEHが
[00:25:03] 勝手にやったことでアウターリムの人間と
[00:25:06] は何の関係もありませ
[00:25:14] ん情報です
[00:25:20] か教えてくれよお前しっだけど一応あそこ
[00:25:26] の幹部だろ
[00:25:29] 教えたら俺たちには手出ししません約束
[00:25:33] するいや姉貴が約束したって意味ないん
[00:25:38] ですよこちらにいらっしゃる軍人さんが
[00:25:41] 約束してくれないとところで約束を守れる
[00:25:46] だけの権力があるんです
[00:25:51] かあなたのことを完全に信じるわけでは
[00:25:55] ありませんでも
[00:25:58] 本当に悔しいんですEHがやったことなの
[00:26:02] になんで俺たちまでひとまず協力し
[00:26:06] ましょうだからよろしく頼みます
[00:26:18] よちょっと残念でさEHは本当に頑張って
[00:26:24] たんだ頑張るテロリストって変かもしれね
[00:26:29] けどみんなが傷つかないラインでアウター
[00:26:33] リムの思いを伝えるために必死にやってき
[00:26:36] たんだよもちろんそのせいで内部に猛反発
[00:26:41] されて最悪の方向に進むことも多かった
[00:26:44] けど頑張ってたんだ
[00:26:48] ここ人間が暮らせる場所にするためになの
[00:26:52] に信じてもらえないなんてEHのことを
[00:26:56] 分かってたら絶対にそんなことをするや
[00:26:59] じゃないって信じられるはずなのにさ
[00:27:03] 私たちの立場からするとEはテロリストの
[00:27:07] リーダーそれ以上でもそれ以下でもない
[00:27:11] どんな理想を抱こうとどんな手段を使おう
[00:27:15] とEHはテロリストよアークを脅かすね
[00:27:21] そうかテロ行為はどんな理由があったとし
[00:27:26] ても正当化できるものじゃないからなそれ
[00:27:29] はEHもよく分かってただから他の道を
[00:27:34] 進もうとしてたのにその一歩を踏み出す前
[00:27:38] に死んじまったんだそれが残念なんだ
[00:27:45] [音楽]
[00:27:49] よここな
[00:27:52] の座標上はそうね悪の組織の本拠地って
[00:27:57] いうからもっとそれらしい雰囲気なのかと
[00:28:00] 思ってました旗とか挑戦してきた格闘家
[00:28:04] たちの銅像とかそういうのがあるのかなっ
[00:28:07] て貧乏なんだそんなことに使う金あるはず
[00:28:12] ないだろそれは分かるけどこれじゃここが
[00:28:16] 本当にエンターヘブンの本拠地かどうか
[00:28:19] 分からないじゃない匂いを嗅いでみろ匂い
[00:28:24] ああ大きく息を吸っておお
[00:28:33] はあ
[00:28:35] え
[00:28:37] うえ何の匂いよ
[00:28:39] これその手に持ってるの何これですかただ
[00:28:45] ここにあったのを拾っただけですよそれを
[00:28:48] どうして私の花に押し付けるのよどんな
[00:28:52] 匂いがするのか気になって自分で嗅げば
[00:28:55] いいじゃないああ
[00:28:59] ここ火薬の匂いがするわだろつまり武装し
[00:29:05] た奴らがここにいたってことだビゴだった
[00:29:08] な何もないのが問題だ
[00:29:14] けど官とにかく捜索してみましょうエゾ
[00:29:19] チックの手がかりがつめるかもしれませ
[00:29:23] んお待ちください師匠
[00:29:30] 誰か来ますよ10人くらいなんですっ
[00:29:41] て
[00:29:42] 2なんだよお前ら何しに来たん
[00:29:48] だそういうお前らはなん
[00:29:55] だカウンタ
[00:30:00] あアウターリムにラプチャーが入ってきた
[00:30:03] という話を聞いてラプチャーを倒そうと
[00:30:07] じゃあどうして中に入るのラプチャーが
[00:30:10] アキスに入るとでも思ったいやそれは補給
[00:30:16] をしようと補給アウターリムであなたたち
[00:30:22] 誰の命令でここに来たの
[00:30:24] とドバ福司令官様の命令です
[00:30:50] こいつらラプチャーを口実にアウターリム
[00:30:55] を一掃しに来たのか
[00:30:58] 防壁を開けたのもドバだろ違うかいやそれ
[00:31:03] はお前らはそこでじっとしてろ俺がその銃
[00:31:08] を全部ぶっ壊してやる動くな銃以外のもん
[00:31:13] が壊れるかもしれねえ
[00:31:18] ぞラジ
[00:31:35] 揮
[00:31:41] [音楽]
[00:31:51] 官官ごですか
[00:31:58] は滑り落ちたようですね地にこんな規模の
[00:32:01] トンネルがあるとは思いませんでし
[00:32:05] たはい私も見ましたネオンとアニスに連絡
[00:32:10] しますそれは無理だ
[00:32:13] よここ強い妨害電波が流れてるから
[00:32:20] バイパー
[00:32:21] ダリ怪我してない大丈夫
[00:32:29] ラジ
[00:32:35] あら大人しくしてて
[00:32:37] くれる私もダーリンを燃やしたくないのあ
[00:32:43] ちなみにこれ2も燃えるよよい冬ねここは
[00:32:49] ねエンターヘブンの本拠地とアークをつぐ
[00:32:54] 秘密の通路なの中で似をするやがいたら
[00:33:00] 燃やしちゃおうと思って壁の穴が見える
[00:33:05] でしょうあれは全部火炎放射機だから勝手
[00:33:10] に動いたりしちゃだめだ
[00:33:15] よあら
[00:33:18] ダーリンそんな怖い顔しないで私が知っ
[00:33:22] てるダーリンはいつも優しい目で私を見
[00:33:27] てくたの
[00:33:33] に知りたいじゃあついてきてくれるクに
[00:33:40] 合わせてあげる
[00:33:58] [音楽]
[00:34:06] [拍手]
[00:34:10] [音楽]
[00:34:14] ダーリさっきから無言なのは私の後ろ姿を
[00:34:20] 見つめるのに忙しくてそれともラピと秘密
[00:34:26] の会話でもしてた
[00:34:32] そうなのじゃあ綺麗に歩か
[00:34:37] なきゃ
[00:34:39] ダーリン私たちが
[00:34:43] 憎いどうしてアーク設立以来の仙台未の
[00:34:50] テロを実行したニケだからそれとも
[00:34:54] ダーリンのお腹に穴をた
[00:34:59] から質問を変えようかダーリンが私たちを
[00:35:05] 捕まえたらどうする
[00:35:10] [音楽]
[00:35:15] つもりアークに穴を開けてラプチャーが
[00:35:20] 攻め込んできた少しでもタイミングがずれ
[00:35:24] てたら第惨時になってたかもしれない
[00:35:29] そんなことをした
[00:35:31] 私たちそしてダーリンは私たちを捕まえに
[00:35:35] 来たこの事件の原因がエンターヘブンに
[00:35:40] なるように頑張って時間を貸せだけど実際
[00:35:46] 捕まるのは時間の問題だよね今は
[00:35:50] ラプチャーのせいでバタバタしてるから
[00:35:53] 平気だけどアークの全勢力が私たちの捕獲
[00:35:59] に乗り出し
[00:36:01] たらどうかな1時間持つか
[00:36:12] な
[00:36:13] つまり私たちが捕まるのは時間の問題って
[00:36:19] ことダーリンもじっと待ってればいいのに
[00:36:23] どうして私たちを捕まえに来たの何か他に
[00:36:30] したかったことがあるんじゃ
[00:36:36] ないダーリ嘘ついてるね本当にそのつもり
[00:36:42] だっ
[00:36:42] たらもっと早く主演に行ってるでしょ
[00:36:47] ボタン1つで私たちの頭を吹き飛ばせるん
[00:36:52] だ
[00:36:54] から私ちょっとしても
[00:37:00] いい私たちを許してくれると
[00:37:05] かどうし
[00:37:10] てそっか
[00:37:28] ダーリンって本当にお人よしだね
[00:37:32] テロリストを庇う
[00:37:34] つもり銃殺でもされたい
[00:37:38] [音楽]
[00:37:44] のさあね大した理由なんてないと思うよ
[00:37:50] 私たちのために何をどれくらいやって
[00:37:53] くれるか見たいっていうか
[00:38:14] [音楽]
[00:38:16] 大した理由はないけどダーリンが本当に気
[00:38:21] になるなら教えてあげても
[00:38:28] ダーリ
[00:38:30] ちょっと携帯見せて
[00:38:34] くれる
[00:38:36] えそう言わずに見せてよ私のも見せて
[00:38:43] [音楽]
[00:38:47] あげる見せてくれないなら私の友達を呼ぶ
[00:38:55] よどうして
[00:39:01] どうやったのいやその前
[00:39:06] に
[00:39:07] ダーリン燃やされたいの壁が火炎放射機に
[00:39:12] なってるって言ったよ
[00:39:18] [音楽]
[00:39:20] ねガスや油が出ないわねそもそも壁全体が
[00:39:25] 火炎放射機であるはずがない
[00:39:28] 綺麗すぎたのよ油汚れもなく熱による変形
[00:39:32] もないそれにあなたなら本物の中に偽物を
[00:39:37] 隠す気がし
[00:39:40] た平和におしりしたいのにどうしてこんな
[00:39:45] にピリピリしてるの
[00:39:51] [音楽]
[00:39:53] [拍手]
[00:40:04] [音楽]
[00:40:08] ドローン撃墜完了あなたが操作したわけ
[00:40:11] じゃなさそうね後ろにいるの出てき
[00:40:17] て久しぶりだな
[00:40:20] あれ式官だ式官
[00:40:26] [音楽]
[00:40:31] リンチは悪者の基本だからなさあ始めよう
[00:40:40] か
[00:40:42] 様
[00:40:46] 師匠らしくないミスをしたな
[00:40:50] バイパーミスだなんて私も頑張ったのよ
[00:40:57] くせにお前が後ろを歩くべき
[00:41:00] [音楽]
[00:41:02] だろそれじゃつまんないでしょ
[00:41:07] 官私と遊びに来たの官様大丈夫なの師匠私
[00:41:15] は大丈夫
[00:41:16] ですもらんは攻め込んできた方々を全員
[00:41:20] 倒して防壁の入口の方に行きました
[00:41:24] アウターリムに敵が入り込まないよう防
[00:41:27] ぐって言ってましたよ一緒に行けなくて
[00:41:30] 済まないって必ず伝えてくれって分かった
[00:41:36] あっちは心配なさそう
[00:41:38] ね簡単に解決できたはずなのにこんな面倒
[00:41:44] なことになったのはお前の思惑通りだと
[00:41:47] 考えていいんだなまあ好きに考え
[00:41:53] て
[00:41:54] おい少し話さないか
[00:42:00] 仕方がないな戦うのは専門外なんだがやっ
[00:42:04] てみる
[00:42:14] かあらダーリ本気なのねえ何何戦う
[00:42:22] の戦うの
[00:42:25] 好き楽勝ね
[00:42:27] どうせあいつら得意なのは裏切りだけ
[00:42:30] でしょ皆さんここは私1人で十分なので
[00:42:35] 後ろで銃でも打っててくださいそれって
[00:42:39] 一緒に戦うのと同じじゃない鉱石を1人
[00:42:43] じめしたいんです
[00:42:45] [音楽]
[00:42:50] 行こう相手にならないわ
[00:42:54] ねいくらなんでも強い先地上でのハード
[00:42:59] トレーニングのおかげ
[00:43:10] です全壁面の火炎放射機を稼働した何を
[00:43:15] するつもり温度を上げて酸素を燃やすここ
[00:43:20] は密閉空間だから熱気もこもるし酸素も
[00:43:23] 足りなく
[00:43:26] なるあなた
[00:43:29] おっと動かない方がいいこれを消せるのは
[00:43:33] 私だけだ消し方は私以外知ら
[00:43:41] ない逃げだそうなんて考えない方がいいよ
[00:43:46] 後ろからも火が出てるからさっき言った
[00:43:51] けど2も燃えちゃうからね一に窒息するか
[00:43:57] になろうって意味
[00:44:00] まさか私たちはこれくらいじゃ死なないよ
[00:44:04] でも人間は違うよねこれ
[00:44:10] 見える酸素マスクね最初から人質に取る気
[00:44:15] だったの会話が成り立たなかった時の
[00:44:20] プランBってやつだよ私たちと話し合う気
[00:44:24] がなさそうだったからはいはい分かったわ
[00:44:29] 話しましょう話を聞くから早くこれ消して
[00:44:33] よもう遅いよダーリンを渡してくれたら
[00:44:39] これをつけてあげる指揮官様を渡したって
[00:44:43] 私たちが安全だって保証はない
[00:44:47] でしょそんなこと気にしてる場合かな
[00:44:57] 師匠大丈夫です
[00:45:03] かさあどうするもし指揮官を傷つけたら
[00:45:10] あなたたちを全員殺す私たちがどうして
[00:45:14] ダーリンを傷つける
[00:45:16] のそんなこと絶対にしないから安心して
[00:45:23] ねえどうする師匠少しだけ待ってて
[00:45:28] くださいねすぐに迎えに行き
[00:45:37] ますあなたネオンって言ったよねそうです
[00:45:43] けどもなかなかだけどもうちょっと練習し
[00:45:48] なきゃ
[00:45:50] ね位置追跡装置は壊す
[00:45:55] ねあ
[00:45:58] みんな携帯を渡してくれるそんなの持って
[00:46:03] ないわ長引くとダーリンが危ないよ
[00:46:08] どんどん温度が上がってる
[00:46:17] からそれじゃバイ
[00:46:23] バイあもう
[00:46:27] 追いかけるよトンネルの道が複雑すぎる
[00:46:31] ルートが分からないと迷子になるわじゃあ
[00:46:34] どうするの来た道を戻って上で待機し
[00:46:38] ましょう待機してどうするのよさっき師匠
[00:46:42] のポケットに位置追跡装置を入れた時うち
[00:46:46] ポケットに発電団を入れておきました衝撃
[00:46:50] を受けたら爆発して煙がたくさん出るん
[00:46:53] ですそれはばれませんでしただからこの
[00:46:58] 近くの高台に行って師匠が発言団を爆発さ
[00:47:02] せるのを待ちましょう師匠なら必ず気づい
[00:47:05] て使ってくれるはずです
[00:47:09] あなたすごいわねありがとうネオ行き
[00:47:16] [音楽]
[00:47:21] ましょうおい
[00:47:23] 何でしょうもうすぐがウーリムに来るぞ
[00:47:28] もう先発隊を送ってる防壁を勝手に開けて
[00:47:32] 対人きで武装した2を送ってきたんだそう
[00:47:36] ですかそうですかって何落ち着いてんだよ
[00:47:40] 早く合流しろ多分次はもっと数を連れて
[00:47:44] くるはずだ俺1人じゃ止めらんねえよ私に
[00:47:48] はすべきことがあり
